Shape,X,Y
0,0.481480,0.935190
0,0.027778,0.092593
0,0.175930,0.564810
0,0.870370,0.175930
0,0.333330,0.037037
0,0.074074,0.314810
0,0.305560,0.935190
0,0.388890,0.009259
0,0.861110,0.203700
0,0.101850,0.370370
0,0.842590,0.231480
0,0.074074,0.287040
0,0.250000,0.046296
0,0.268520,0.861110
0,0.194440,0.703700
0,0.564810,0.842590
0,0.425930,1.000000
0,0.481480,0.990740
0,0.611110,0.759260
0,0.222220,0.722220
0,0.694440,0.490740
0,0.694440,0.074074
0,0.185190,0.592590
0,0.444440,0.000000
0,0.703700,0.435190
0,0.759260,0.361110
0,0.194440,0.675930
0,0.148150,0.481480
0,0.138890,0.055556
0,0.305560,0.037037
0,0.750000,0.092593
0,0.194440,0.046296
0,0.037037,0.231480
0,0.527780,0.046296
0,0.805560,0.277780
0,0.490740,0.907410
0,0.314810,0.990740
0,0.861110,0.148150
0,0.666670,0.064815
0,0.361110,0.027778
0,0.166670,0.537040
0,0.722220,0.083333
0,0.675930,0.509260
0,0.666670,0.537040
0,0.194440,0.620370
0,0.314810,0.907410
0,0.305560,0.962960
0,0.657410,0.564810
0,0.638890,0.620370
0,0.194440,0.648150
0,0.055556,0.259260
0,0.777780,0.101850
0,0.166670,0.509260
0,0.611110,0.731480
0,0.518520,0.888890
0,0.777780,0.305560
0,0.240740,0.805560
0,0.638890,0.703700
0,0.453700,1.000000
0,0.824070,0.259260
0,0.231480,0.777780
0,0.583330,0.814810
0,0.583330,0.046296
0,0.833330,0.129630
0,0.222220,0.046296
0,0.055556,0.083333
0,0.592590,0.787040
0,0.083333,0.074074
0,0.296300,0.888890
0,0.018519,0.203700
0,0.342590,0.990740
0,0.546300,0.870370
0,0.759260,0.333330
0,0.138890,0.425930
0,0.138890,0.453700
0,0.500000,0.027778
0,0.370370,1.000000
0,0.083333,0.342590
0,0.416670,0.000000
0,0.277780,0.037037
0,0.481480,0.962960
0,0.638890,0.648150
0,0.166670,0.046296
0,0.712960,0.407410
0,0.648150,0.592590
0,0.611110,0.055556
0,0.805560,0.111110
0,0.250000,0.833330
0,0.009259,0.175930
0,0.000000,0.148150
0,0.472220,0.000000
0,0.009259,0.120370
0,0.638890,0.675930
0,0.398150,1.000000
0,0.111110,0.064815
0,0.222220,0.750000
0,0.120370,0.398150
0,0.555560,0.046296
0,0.638890,0.064815
0,0.740740,0.388890
0,0.694440,0.462960
1,0.292520,0.945580
1,0.619050,0.482990
1,0.523810,0.802720
1,0.585030,0.700680
1,0.081633,0.292520
1,0.000000,0.156460
1,0.176870,0.639460
1,0.238100,0.897960
1,0.251700,0.823130
1,0.265310,0.938780
1,0.666670,0.095238
1,0.054422,0.108840
1,0.210880,0.741500
1,0.496600,0.931970
1,0.190480,0.068027
1,0.183670,0.693880
1,0.666670,0.292520
1,0.176870,0.666670
1,0.319730,0.013605
1,0.530610,0.061224
1,0.612240,0.510200
1,0.149660,0.530610
1,0.612240,0.081633
1,0.687070,0.265310
1,0.081633,0.095238
1,0.244900,0.054422
1,0.591840,0.646260
1,0.428570,0.959180
1,0.646260,0.374150
1,0.095238,0.319730
1,0.523810,0.911560
1,0.693880,0.102040
1,0.238100,0.925170
1,0.340140,0.000000
1,0.217690,0.061224
1,0.374150,1.000000
1,0.414970,0.013605
1,0.095238,0.346940
1,0.170070,0.612240
1,0.476190,0.054422
1,0.272110,0.054422
1,0.108840,0.088435
1,0.707480,0.210880
1,0.442180,0.931970
1,0.632650,0.428570
1,0.523810,0.857140
1,0.585030,0.068027
1,0.204080,0.714290
1,0.000000,0.129250
1,0.136050,0.455780
1,0.319730,0.040816
1,0.394560,0.000000
1,0.142860,0.482990
1,0.741500,0.156460
1,0.122450,0.401360
1,0.421770,0.040816
1,0.421770,0.986390
1,0.523810,0.884350
1,0.258500,0.843540
1,0.605440,0.619050
1,0.727890,0.183670
1,0.448980,0.047619
1,0.115650,0.374150
1,0.136050,0.074830
1,0.319730,0.945580
1,0.591840,0.673470
1,0.129250,0.428570
1,0.693880,0.238100
1,0.517010,0.829930
1,0.659860,0.319730
1,0.027211,0.122450
1,0.244900,0.795920
1,0.034014,0.210880
1,0.054422,0.238100
1,0.571430,0.727890
1,0.557820,0.061224
1,0.020408,0.183670
1,0.612240,0.591840
1,0.251700,0.870750
1,0.469390,0.931970
1,0.659860,0.346940
1,0.340140,0.959180
1,0.625850,0.455780
1,0.163270,0.068027
1,0.503400,0.054422
1,0.557820,0.755100
1,0.639460,0.088435
1,0.156460,0.557820
1,0.721090,0.115650
1,0.401360,1.000000
1,0.741500,0.129250
1,0.612240,0.537410
1,0.231290,0.768710
1,0.149660,0.503400
1,0.367350,0.000000
1,0.346940,0.986390
1,0.299320,0.054422
1,0.605440,0.564630
1,0.163270,0.585030
1,0.061224,0.265310
1,0.639460,0.401360
1,0.537410,0.775510
2,0.768520,0.074074
2,0.833330,0.240740
2,0.796300,0.074074
2,0.222220,0.611110
2,0.629630,0.046296
2,0.083333,0.296300
2,0.435190,0.000000
2,0.870370,0.157410
2,0.314810,0.861110
2,0.787040,0.351850
2,0.564810,0.944440
2,0.842590,0.101850
2,0.407410,1.000000
2,0.064815,0.268520
2,0.342590,0.879630
2,0.231480,0.666670
2,0.000000,0.194440
2,0.148150,0.398150
2,0.870370,0.129630
2,0.370370,0.898150
2,0.703700,0.518520
2,0.490740,1.000000
2,0.296300,0.833330
2,0.796300,0.324070
2,0.546300,0.037037
2,0.185190,0.074074
2,0.351850,0.037037
2,0.175930,0.481480
2,0.388890,0.981480
2,0.675930,0.629630
2,0.129630,0.092593
2,0.407410,0.000000
2,0.620370,0.842590
2,0.712960,0.055556
2,0.555560,0.972220
2,0.824070,0.083333
2,0.462960,0.000000
2,0.388890,0.953700
2,0.203700,0.527780
2,0.250000,0.722220
2,0.388890,0.925930
2,0.759260,0.379630
2,0.657410,0.046296
2,0.018519,0.222220
2,0.185190,0.509260
2,0.675930,0.685190
2,0.685190,0.574070
2,0.231480,0.638890
2,0.379630,0.018519
2,0.175930,0.453700
2,0.296300,0.046296
2,0.648150,0.731480
2,0.685190,0.046296
2,0.638890,0.759260
2,0.462960,1.000000
2,0.490740,0.009259
2,0.231480,0.694440
2,0.731480,0.435190
2,0.212960,0.064815
2,0.074074,0.111110
2,0.046296,0.250000
2,0.620370,0.814810
2,0.601850,0.037037
2,0.731480,0.462960
2,0.796300,0.296300
2,0.111110,0.351850
2,0.120370,0.379630
2,0.240740,0.055556
2,0.694440,0.546300
2,0.259260,0.750000
2,0.675930,0.601850
2,0.101850,0.324070
2,0.166670,0.425930
2,0.592590,0.870370
2,0.268520,0.046296
2,0.435190,1.000000
2,0.740740,0.407410
2,0.805560,0.268520
2,0.842590,0.212960
2,0.518520,1.000000
2,0.555560,0.916670
2,0.212960,0.555560
2,0.564810,0.888890
2,0.675930,0.657410
2,0.861110,0.185190
2,0.268520,0.777780
2,0.101850,0.101850
2,0.277780,0.805560
2,0.638890,0.787040
2,0.722220,0.490740
2,0.018519,0.138890
2,0.518520,0.037037
2,0.740740,0.055556
2,0.046296,0.120370
2,0.666670,0.712960
2,0.324070,0.046296
2,0.222220,0.583330
2,0.157410,0.083333
2,0.574070,0.037037
2,0.546300,0.990740
2,0.000000,0.166670
3,0.636360,0.085859
3,0.136360,0.080808
3,0.782830,0.202020
3,0.338380,0.060606
3,0.020202,0.191920
3,0.787880,0.131310
3,0.560610,0.070707
3,0.005051,0.166670
3,0.474750,0.893940
3,0.262630,0.060606
3,0.611110,0.707070
3,0.641410,0.530300
3,0.323230,0.984850
3,0.287880,0.060606
3,0.186870,0.803030
3,0.797980,0.151520
3,0.737370,0.111110
3,0.575760,0.808080
3,0.525250,0.853540
3,0.136360,0.560610
3,0.121210,0.464650
3,0.393940,0.010101
3,0.262630,0.898990
3,0.616160,0.681820
3,0.141410,0.585860
3,0.671720,0.429290
3,0.368690,0.025253
3,0.242420,0.853540
3,0.686870,0.378790
3,0.090909,0.338380
3,0.035354,0.217170
3,0.621210,0.631310
3,0.535350,0.070707
3,0.363640,0.050505
3,0.661620,0.090909
3,0.419190,0.000000
3,0.085859,0.090909
3,0.151520,0.737370
3,0.035354,0.106060
3,0.237370,0.060606
3,0.080808,0.287880
3,0.661620,0.454550
3,0.141410,0.661620
3,0.131310,0.535350
3,0.373740,1.000000
3,0.727270,0.277780
3,0.636360,0.555560
3,0.500000,0.873740
3,0.585860,0.782830
3,0.272730,0.924240
3,0.626260,0.606060
3,0.601010,0.757580
3,0.050505,0.242420
3,0.444440,0.934340
3,0.676770,0.404040
3,0.656570,0.479800
3,0.702020,0.328280
3,0.156570,0.762630
3,0.429290,0.949490
3,0.651520,0.505050
3,0.464650,0.020202
3,0.621210,0.656570
3,0.141410,0.611110
3,0.171720,0.787880
3,0.712120,0.303030
3,0.010101,0.116160
3,0.095960,0.363640
3,0.141410,0.636360
3,0.212120,0.060606
3,0.762630,0.121210
3,0.151520,0.686870
3,0.348480,1.000000
3,0.585860,0.075758
3,0.303030,0.959600
3,0.116160,0.439390
3,0.217170,0.848480
3,0.631310,0.580810
3,0.111110,0.085859
3,0.404040,0.954550
3,0.065657,0.267680
3,0.444440,0.000000
3,0.686870,0.095960
3,0.742420,0.252530
3,0.111110,0.414140
3,0.101010,0.388890
3,0.202020,0.828280
3,0.510100,0.065657
3,0.484850,0.065657
3,0.282830,0.944440
3,0.550510,0.833330
3,0.161620,0.070707
3,0.121210,0.489900
3,0.762630,0.227270
3,0.151520,0.712120
3,0.691920,0.353540
3,0.611110,0.080808
3,0.085859,0.313130
3,0.398990,0.979800
3,0.000000,0.141410
3,0.606060,0.732320
3,0.242420,0.873740
3,0.712120,0.106060
3,0.186870,0.065657
3,0.131310,0.510100
3,0.792930,0.176770
3,0.313130,0.060606
3,0.449490,0.909090
3,0.474750,0.045455
3,0.060606,0.095960
4,0.338710,0.870970
4,0.112900,0.064516
4,0.000000,0.112900
4,0.370970,0.870970
4,0.693550,0.806450
4,0.177420,0.483870
4,0.806450,0.258060
4,0.403230,0.016129
4,0.177420,0.048387
4,0.000000,0.145160
4,0.048387,0.225810
4,0.258060,0.048387
4,0.774190,0.467740
4,0.016129,0.096774
4,0.774190,0.500000
4,0.532260,1.000000
4,0.000000,0.161290
4,0.532260,0.016129
4,0.838710,0.209680
4,0.048387,0.209680
4,0.112900,0.306450
4,0.645160,0.854840
4,0.145160,0.387100
4,0.096774,0.274190
4,0.596770,0.903230
4,0.112900,0.290320
4,0.225810,0.048387
4,0.435480,0.000000
4,0.435480,1.000000
4,0.741940,0.677420
4,0.774190,0.403230
4,0.274190,0.822580
4,0.758060,0.048387
4,0.129030,0.064516
4,0.241940,0.774190
4,0.564520,0.032258
4,0.209680,0.709680
4,0.419350,0.983870
4,0.209680,0.048387
4,0.403230,0.935480
4,0.403230,0.967740
4,0.774190,0.419350
4,0.387100,0.903230
4,0.483870,1.000000
4,0.225810,0.741940
4,0.596770,0.887100
4,0.193550,0.548390
4,0.677420,0.838710
4,0.177420,0.532260
4,0.338710,0.032258
4,0.354840,0.032258
4,0.064516,0.080645
4,0.387100,0.032258
4,0.822580,0.064516
4,0.548390,1.000000
4,0.225810,0.758060
4,0.483870,0.000000
4,0.661290,0.854840
4,0.790320,0.387100
4,0.193550,0.612900
4,0.048387,0.080645
4,0.693550,0.032258
4,0.225810,0.725810
4,0.209680,0.693550
4,0.209680,0.677420
4,0.629030,0.032258
4,0.596770,0.919350
4,0.725810,0.741940
4,0.741940,0.725810
4,0.193550,0.048387
4,0.161290,0.451610
4,0.322580,0.854840
4,0.903230,0.145160
4,0.693550,0.822580
4,0.661290,0.032258
4,0.790320,0.338710
4,0.129030,0.338710
4,0.806450,0.290320
4,0.741940,0.709680
4,0.241940,0.048387
4,0.774190,0.435480
4,0.903230,0.096774
4,0.870970,0.064516
4,0.080645,0.258060
4,0.741940,0.645160
4,0.451610,1.000000
4,0.258060,0.790320
4,0.612900,0.032258
4,0.193550,0.580650
4,0.596770,0.951610
4,0.612900,0.870970
4,0.709680,0.790320
4,0.725810,0.758060
4,0.596770,0.967740
4,0.758060,0.580650
4,0.403230,0.983870
4,0.774190,0.451610
4,0.290320,0.048387
4,0.677420,0.032258
4,0.887100,0.161290
4,0.790320,0.306450
4,0.903230,0.129030
4,0.096774,0.064516
4,0.806450,0.274190
4,0.500000,1.000000
4,0.629030,0.854840
4,0.145160,0.370970
4,0.161290,0.435480
4,0.596770,0.935480
4,0.016129,0.177420
4,0.193550,0.645160
4,0.838710,0.225810
4,0.903230,0.080645
4,0.306450,0.838710
4,0.177420,0.467740
4,0.548390,0.032258
4,0.758060,0.532260
4,0.403230,0.951610
4,0.806450,0.048387
4,0.000000,0.096774
4,0.193550,0.596770
4,0.177420,0.516130
4,0.870970,0.177420
4,0.032258,0.080645
4,0.758060,0.564520
4,0.161290,0.048387
4,0.887100,0.064516
4,0.758060,0.629030
4,0.790320,0.048387
4,0.790320,0.354840
4,0.758060,0.548390
4,0.854840,0.193550
4,0.516130,0.000000
4,0.774190,0.048387
4,0.387100,0.887100
4,0.064516,0.225810
4,0.403230,0.919350
4,0.580650,0.032258
4,0.129030,0.322580
4,0.370970,0.032258
4,0.758060,0.596770
4,0.903230,0.112900
4,0.080645,0.241940
4,0.354840,0.870970
4,0.516130,1.000000
4,0.177420,0.500000
4,0.080645,0.080645
4,0.451610,0.000000
4,0.725810,0.774190
4,0.274190,0.048387
4,0.419350,0.000000
4,0.758060,0.516130
4,0.709680,0.032258
4,0.258060,0.806450
4,0.774190,0.483870
4,0.161290,0.403230
4,0.741940,0.048387
4,0.016129,0.193550
4,0.209680,0.661290
4,0.145160,0.354840
4,0.000000,0.129030
4,0.741940,0.693550
4,0.580650,0.983870
4,0.822580,0.241940
4,0.854840,0.064516
4,0.306450,0.048387
4,0.725810,0.048387
4,0.758060,0.612900
4,0.467740,1.000000
4,0.290320,0.838710
4,0.741940,0.661290
4,0.564520,1.000000
4,0.500000,0.000000
4,0.193550,0.564520
4,0.645160,0.032258
4,0.145160,0.064516
4,0.032258,0.193550
4,0.596770,0.032258
4,0.790320,0.370970
4,0.467740,0.000000
4,0.322580,0.048387
4,0.838710,0.064516
4,0.193550,0.629030
4,0.790320,0.322580
4,0.161290,0.419350
5,0.272730,0.933330
5,0.387880,0.030303
5,0.284850,0.812120
5,0.121210,0.339390
5,0.442420,0.018182
5,0.315150,0.030303
5,0.272730,0.793940
5,0.442420,0.987880
5,0.090909,0.290910
5,0.224240,0.769700
5,0.000000,0.169700
5,0.751520,0.309090
5,0.145450,0.054545
5,0.109090,0.315150
5,0.296970,0.836360
5,0.430300,1.000000
5,0.533330,0.818180
5,0.327270,0.969700
5,0.363640,0.030303
5,0.181820,0.648480
5,0.169700,0.551520
5,0.703030,0.060606
5,0.654550,0.527270
5,0.290910,0.036364
5,0.163640,0.484850
5,0.000000,0.145450
5,0.472730,0.963640
5,0.648480,0.551520
5,0.048485,0.090909
5,0.139390,0.387880
5,0.278790,0.951520
5,0.436360,0.000000
5,0.551520,0.793940
5,0.696970,0.406060
5,0.406060,1.000000
5,0.266670,0.036364
5,0.393940,0.006061
5,0.024242,0.103030
5,0.630300,0.696970
5,0.169700,0.048485
5,0.830300,0.218180
5,0.557580,0.036364
5,0.836360,0.193940
5,0.193940,0.721210
5,0.824240,0.121210
5,0.163640,0.503030
5,0.593940,0.769700
5,0.242420,0.042424
5,0.630300,0.042424
5,0.006061,0.121210
5,0.351520,0.963640
5,0.539390,0.909090
5,0.521210,0.957580
5,0.769700,0.284850
5,0.193940,0.042424
5,0.121210,0.060606
5,0.448480,0.963640
5,0.484850,0.030303
5,0.836360,0.169700
5,0.660610,0.503030
5,0.642420,0.600000
5,0.636360,0.648480
5,0.618180,0.721210
5,0.666670,0.478790
5,0.187880,0.672730
5,0.272730,0.909090
5,0.539390,0.933330
5,0.654550,0.048485
5,0.684850,0.430300
5,0.648480,0.575760
5,0.533330,0.036364
5,0.527270,0.860610
5,0.575760,0.781820
5,0.151520,0.436360
5,0.460610,0.030303
5,0.375760,0.975760
5,0.812120,0.236360
5,0.133330,0.363640
5,0.278790,0.884850
5,0.175760,0.600000
5,0.721210,0.357580
5,0.800000,0.103030
5,0.218180,0.042424
5,0.175760,0.575760
5,0.703030,0.381820
5,0.206060,0.745450
5,0.836360,0.145450
5,0.612120,0.745450
5,0.733330,0.333330
5,0.642420,0.624240
5,0.000000,0.193940
5,0.018182,0.218180
5,0.751520,0.078788
5,0.727270,0.072727
5,0.793940,0.260610
5,0.581820,0.042424
5,0.157580,0.460610
5,0.678790,0.054545
5,0.339390,0.030303
5,0.248480,0.787880
5,0.775760,0.090909
5,0.181820,0.624240
5,0.169700,0.527270
5,0.515150,0.836360
5,0.066667,0.266670
5,0.284850,0.860610
5,0.412120,0.000000
5,0.072727,0.078788
5,0.636360,0.672730
5,0.145450,0.412120
5,0.381820,1.000000
5,0.187880,0.696970
5,0.042424,0.242420
5,0.533330,0.884850
5,0.509090,0.036364
5,0.496970,0.963640
5,0.303030,0.963640
5,0.606060,0.042424
5,0.672730,0.454550
5,0.096970,0.072727
6,0.620000,0.392000
6,0.092000,0.092000
6,0.664000,0.320000
6,0.096000,0.344000
6,0.528000,0.084000
6,0.252000,0.856000
6,0.612000,0.420000
6,0.344000,0.004000
6,0.736000,0.220000
6,0.468000,0.840000
6,0.128000,0.424000
6,0.160000,0.584000
6,0.492000,0.824000
6,0.160000,0.696000
6,0.748000,0.192000
6,0.560000,0.728000
6,0.344000,0.032000
6,0.560000,0.616000
6,0.668000,0.124000
6,0.360000,1.000000
6,0.416000,0.064000
6,0.548000,0.756000
6,0.344000,0.060000
6,0.240000,0.940000
6,0.560000,0.700000
6,0.476000,0.952000
6,0.572000,0.560000
6,0.120000,0.084000
6,0.448000,0.964000
6,0.600000,0.448000
6,0.236000,0.912000
6,0.164000,0.612000
6,0.724000,0.148000
6,0.012000,0.180000
6,0.140000,0.480000
6,0.476000,0.868000
6,0.260000,0.828000
6,0.040000,0.236000
6,0.036000,0.112000
6,0.700000,0.272000
6,0.564000,0.588000
6,0.632000,0.368000
6,0.260000,0.060000
6,0.640000,0.116000
6,0.416000,0.008000
6,0.584000,0.096000
6,0.160000,0.724000
6,0.168000,0.752000
6,0.484000,0.896000
6,0.556000,0.088000
6,0.156000,0.556000
6,0.680000,0.296000
6,0.116000,0.396000
6,0.344000,0.980000
6,0.368000,0.000000
6,0.220000,0.780000
6,0.316000,0.060000
6,0.612000,0.108000
6,0.696000,0.136000
6,0.288000,0.060000
6,0.232000,0.064000
6,0.152000,0.528000
6,0.556000,0.672000
6,0.160000,0.640000
6,0.444000,0.072000
6,0.388000,1.000000
6,0.516000,0.808000
6,0.240000,0.884000
6,0.240000,0.808000
6,0.500000,0.076000
6,0.204000,0.064000
6,0.576000,0.532000
6,0.112000,0.368000
6,0.136000,0.452000
6,0.528000,0.780000
6,0.296000,0.964000
6,0.416000,0.036000
6,0.748000,0.164000
6,0.164000,0.668000
6,0.064000,0.100000
6,0.192000,0.772000
6,0.148000,0.500000
6,0.716000,0.248000
6,0.592000,0.476000
6,0.148000,0.076000
6,0.580000,0.504000
6,0.472000,0.076000
