Shape,X,Y
0,0.831512,0.267971
0,0.814639,0.298508
0,0.817058,0.327444
0,0.800186,0.357991
0,0.772863,0.379700
0,0.765636,0.409442
0,0.758409,0.439173
0,0.760827,0.468109
0,0.743159,0.489011
0,0.735933,0.518752
0,0.728705,0.548484
0,0.721478,0.578225
0,0.714252,0.607967
0,0.716670,0.636903
0,0.719089,0.665838
0,0.721506,0.694763
0,0.694989,0.726117
0,0.697408,0.755053
0,0.680536,0.785601
0,0.673308,0.815332
0,0.656436,0.845880
0,0.639575,0.876427
0,0.612252,0.898136
0,0.584929,0.919845
0,0.577702,0.949587
0,0.580119,0.978512
0,0.582538,1.007447
0,0.554409,1.019511
0,0.525483,1.021928
0,0.496548,1.024347
0,0.467612,1.026765
0,0.437871,1.019539
0,0.408935,1.021957
0,0.396882,0.993827
0,0.394464,0.964902
0,0.401680,0.935161
0,0.380788,0.917482
0,0.349434,0.890965
0,0.327725,0.863642
0,0.315662,0.835523
0,0.303599,0.807393
0,0.291535,0.779264
0,0.289117,0.750328
0,0.258569,0.733457
0,0.256151,0.704531
0,0.253733,0.675596
0,0.251314,0.646660
0,0.239261,0.618530
0,0.227197,0.590401
0,0.215134,0.562282
0,0.212716,0.533346
0,0.191007,0.506023
0,0.178943,0.477894
0,0.176526,0.448968
0,0.154817,0.421645
0,0.133108,0.394322
0,0.111402,0.366998
0,0.099340,0.338869
0,0.096922,0.309944
0,0.075215,0.282620
0,0.053507,0.255297
0,0.031801,0.227974
0,0.019738,0.199855
0,0.007675,0.171725
0,0.014901,0.141984
0,0.031772,0.111439
0,0.059899,0.099375
0,0.088026,0.087313
0,0.116152,0.075251
0,0.144282,0.063188
0,0.172411,0.051124
0,0.201336,0.048707
0,0.230272,0.046288
0,0.259207,0.043870
0,0.287337,0.031807
0,0.316272,0.029389
0,0.345197,0.026971
0,0.373327,0.014908
0,0.400650,-0.006799
0,0.428780,-0.018862
0,0.457705,-0.021280
0,0.486640,-0.023698
0,0.517994,0.002817
0,0.548542,0.019687
0,0.577477,0.017268
0,0.606403,0.014851
0,0.636144,0.022077
0,0.665886,0.029303
0,0.694821,0.026884
0,0.724553,0.034111
0,0.754294,0.041337
0,0.784036,0.048563
0,0.813778,0.055787
0,0.843519,0.063014
0,0.874057,0.079886
0,0.904605,0.096758
0,0.916668,0.124888
0,0.909441,0.154619
0,0.892569,0.185167
0,0.875697,0.215715
0,0.858029,0.236616
1,0.068107,0.210798
1,0.051687,0.180304
1,0.027527,0.150044
1,0.026590,0.119081
1,0.057319,0.110406
1,0.087815,0.093982
1,0.118310,0.077566
1,0.149036,0.068888
1,0.179530,0.052469
1,0.210270,0.043790
1,0.241233,0.042853
1,0.271961,0.034174
1,0.302690,0.025497
1,0.333653,0.024559
1,0.364616,0.023622
