Shape,X,Y
1,0.734457,0.526701
1,0.730138,0.543152
1,0.726044,0.559614
1,0.722034,0.576227
1,0.717130,0.592738
1,0.714181,0.609393
1,0.715373,0.626397
1,0.717172,0.643342
1,0.718332,0.660278
1,0.721427,0.677832
1,0.721610,0.694423
1,0.710998,0.707615
1,0.697597,0.719880
1,0.695095,0.735484
1,0.697505,0.752837
1,0.691986,0.768293
1,0.681925,0.782834
1,0.676681,0.799082
1,0.673176,0.815759
1,0.665795,0.830915
1,0.656606,0.845583
1,0.648747,0.861006
1,0.640236,0.875560
1,0.628418,0.887379
1,0.613960,0.897114
1,0.598809,0.906358
1,0.586385,0.917675
1,0.579759,0.933109
1,0.577667,0.950391
1,0.578206,0.967140
1,0.581630,0.984840
1,0.583998,1.002375
1,0.575268,1.013965
1,0.557266,1.019073
1,0.539567,1.021115
1,0.523063,1.022049
1,0.506134,1.023198
1,0.488896,1.025585
1,0.471895,1.027164
1,0.455656,1.023378
1,0.438842,1.019533
1,0.420535,1.022362
1,0.406178,1.020039
1,0.399195,1.004426
1,0.395160,0.985790
1,0.393785,0.969149
1,0.398926,0.951906
1,0.401865,0.935823
1,0.391494,0.923948
1,0.375179,0.914044
1,0.361669,0.903385
1,0.350125,0.891698
1,0.338723,0.879073
1,0.328646,0.865208
1,0.321144,0.849922
1,0.315072,0.833929
1,0.308777,0.818069
1,0.301040,0.802838
1,0.293417,0.787546
1,0.291422,0.769911
1,0.290389,0.752886
1,0.277966,0.743198
1,0.261163,0.736074
1,0.255393,0.721879
1,0.256168,0.703459
1,0.254889,0.686300
1,0.253403,0.669545
1,0.252349,0.652433
1,0.247757,0.636188
1,0.240296,0.620712
1,0.233548,0.605035
1,0.226703,0.589406
1,0.218897,0.574062
1,0.214592,0.557658
1,0.213996,0.540332
1,0.208528,0.525175
1,0.196720,0.512345
1,0.185858,0.498515
1,0.179705,0.482543
1,0.178352,0.465227
1,0.176406,0.448583
1,0.167570,0.434587
1,0.155077,0.421919
1,0.143984,0.408695
1,0.133811,0.395220
1,0.123070,0.382109
1,0.112525,0.368611
1,0.103790,0.353743
1,0.099148,0.337300
1,0.098467,0.319946
1,0.094422,0.304141
1,0.083487,0.290915
1,0.071242,0.278148
1,0.060817,0.264704
1,0.050204,0.251422
1,0.038939,0.238404
1,0.029885,0.224239
1,0.023466,0.208536
1,0.016017,0.192675
1,0.008806,0.177078
1,0.008385,0.160983
1,0.014006,0.144238
1,0.020727,0.127421
1,0.029645,0.113364
1,0.043695,0.104896
1,0.060340,0.099220
1,0.076214,0.092726
1,0.091619,0.085692
1,0.107279,0.078923
1,0.123057,0.072440
1,0.138740,0.065782
1,0.154199,0.058238
1,0.169940,0.051772
1,0.186674,0.049302
1,0.203834,0.048546
1,0.220788,0.046963
1,0.237920,0.046089
1,0.254959,0.044844
1,0.270872,0.039100
1,0.286472,0.032074
1,0.303195,0.029500
1,0.320480,0.029362
1,0.337526,0.028299
1,0.354111,0.024454
1,0.369668,0.017222
1,0.383408,0.007164
1,0.396497,-0.003775
1,0.411107,-0.012908
1,0.427227,-0.018554
1,0.443982,-0.020326
1,0.461289,-0.021765
1,0.478618,-0.024119
1,0.493942,-0.021001
1,0.506667,-0.009657
1,0.519239,0.004021
1,0.533504,0.014621
1,0.549325,0.019783
1,0.566205,0.019140
1,0.583398,0.016291
1,0.600399,0.014682
1,0.617129,0.016447
1,0.633649,0.021224
1,0.650113,0.026678
1,0.666791,0.029309
1,0.683809,0.027590
1,0.700706,0.027440
1,0.717253,0.031793
1,0.733757,0.036643
1,0.750346,0.040459
1,0.766949,0.044291
1,0.783501,0.048425
1,0.799998,0.052642
1,0.816691,0.056369
1,0.833490,0.059869
1,0.849320,0.065621
1,0.864032,0.074195
1,0.879286,0.082356
1,0.894945,0.089647
1,0.907809,0.100447
1,0.915318,0.116127
1,0.916279,0.133300
1,0.911559,0.149824
1,0.903969,0.165257
1,0.895494,0.180003
1,0.887319,0.194957
1,0.879177,0.209962
1,0.869831,0.224144
1,0.858029,0.236616
1,0.831512,0.267971
1,0.817342,0.281859
1,0.814601,0.297749
1,0.816557,0.314676
1,0.816481,0.331675
1,0.809732,0.347516
1,0.797250,0.360264
1,0.782381,0.370077
1,0.771709,0.381939
1,0.767684,0.398333
1,0.763840,0.415563
1,0.758946,0.431906
1,0.759892,0.449261
1,0.761390,0.466139
1,0.752077,0.479475
1,0.740921,0.492852
1,0.737018,0.509474
2,0.730552,0.591124
2,0.734114,0.608124
2,0.739336,0.625295
2,0.737573,0.642831
2,0.730215,0.659726
2,0.721546,0.675624
2,0.717394,0.692158
2,0.718439,0.709955
2,0.718038,0.727874
2,0.713547,0.745111
2,0.706494,0.761386
2,0.698842,0.777394
2,0.692203,0.794060
2,0.684394,0.809916
2,0.672646,0.823145
2,0.660380,0.835970
2,0.651870,0.851232
2,0.645541,0.868239
2,0.640076,0.885618
2,0.639686,0.902861
2,0.645106,0.919890
2,0.648573,0.937134
2,0.648478,0.954905
2,0.650093,0.973193
2,0.649783,0.990576
2,0.639947,1.004863
2,0.623281,1.014179
2,0.605815,1.017378
2,0.587804,1.016278
2,0.568970,1.014657
2,0.553770,1.019971
2,0.545429,1.035705
2,0.542161,1.055109
2,0.539346,1.072777
2,0.529894,1.086917
2,0.514004,1.095874
2,0.496651,1.098440
2,0.478280,1.096332
2,0.460076,1.090670
2,0.449131,1.078528
2,0.445553,1.060790
2,0.436973,1.045470
2,0.420559,1.037384
2,0.402565,1.036879
2,0.385134,1.037824
2,0.368088,1.034489
2,0.349933,1.029418
2,0.332298,1.023176
2,0.322417,1.010660
2,0.322413,0.992241
2,0.328150,0.974654
2,0.336099,0.959092
2,0.343341,0.942348
2,0.345599,0.924792
2,0.340358,0.908052
2,0.333949,0.891297
2,0.329608,0.874116
2,0.323678,0.857439
2,0.314476,0.842123
2,0.302270,0.828678
2,0.290819,0.815097
2,0.285075,0.798382
2,0.280701,0.781081
2,0.269498,0.768013
2,0.255826,0.756225
2,0.248313,0.740384
2,0.246295,0.722162
2,0.246218,0.704296
2,0.244199,0.686958
2,0.239111,0.669903
2,0.233699,0.652880
2,0.229035,0.635790
2,0.224569,0.618662
2,0.219478,0.601627
2,0.213665,0.584716
2,0.210520,0.567359
2,0.210767,0.549464
2,0.207653,0.532261
2,0.200950,0.515698
2,0.195745,0.498721
2,0.191521,0.481487
2,0.186756,0.464384
2,0.181546,0.447457
2,0.176656,0.430416
2,0.173064,0.412788
2,0.167799,0.395910
2,0.156395,0.381850
2,0.144541,0.368420
2,0.141331,0.351894
2,0.141649,0.333730
2,0.136093,0.317093
2,0.125324,0.302316
2,0.113434,0.288597
2,0.102777,0.274720
2,0.095129,0.259329
2,0.092267,0.241070
2,0.068107,0.210798
2,0.061804,0.192836
2,0.051117,0.179726
2,0.039056,0.167575
2,0.028635,0.152491
2,0.023258,0.133108
2,0.027840,0.117811
2,0.044071,0.112486
2,0.063086,0.108719
2,0.078706,0.100371
2,0.093241,0.090304
2,0.108715,0.081467
2,0.125426,0.075464
2,0.142658,0.071044
2,0.158845,0.064213
2,0.174245,0.055252
2,0.190529,0.047935
2,0.207892,0.044025
2,0.225682,0.043451
2,0.243324,0.042570
2,0.260475,0.038207
2,0.277369,0.032270
2,0.294380,0.027157
2,0.311892,0.024478
2,0.329691,0.024353
2,0.347189,0.025320
2,0.365166,0.023480
2,0.382158,0.014976
2,0.388071,-0.000301
2,0.385649,-0.018692
2,0.393991,-0.033058
2,0.411721,-0.040225
2,0.429566,-0.040861
2,0.446967,-0.041091
2,0.464694,-0.042202
2,0.482519,-0.037970
2,0.495396,-0.025660
2,0.499431,-0.007177
2,0.506609,0.006410
2,0.524156,0.009838
2,0.543404,0.012429
2,0.560358,0.016776
2,0.577649,0.017308
2,0.595546,0.016498
2,0.612966,0.020037
2,0.630266,0.023588
2,0.647972,0.022951
2,0.665785,0.022851
2,0.683194,0.026653
2,0.699627,0.033644
2,0.715570,0.041443
2,0.732358,0.046760
2,0.749870,0.050050
2,0.767222,0.053722
2,0.784577,0.057518
2,0.802180,0.060800
2,0.818982,0.065593
2,0.834720,0.073042
2,0.851559,0.080887
2,0.867202,0.089902
2,0.873837,0.104840
2,0.871500,0.123756
2,0.865206,0.140950
2,0.856673,0.156051
2,0.846574,0.170450
2,0.836191,0.184999
2,0.826998,0.200334
2,0.820481,0.216853
2,0.817153,0.234505
2,0.812602,0.251410
2,0.802689,0.265925
2,0.791786,0.280235
2,0.785424,0.296788
2,0.784091,0.314785
2,0.785568,0.332796
2,0.783338,0.349784
2,0.775243,0.365709
2,0.768189,0.382145
2,0.764759,0.399578
2,0.761610,0.417083
2,0.757640,0.434369
2,0.753678,0.451671
2,0.750020,0.469029
2,0.746513,0.486390
2,0.742266,0.503688
2,0.737713,0.520965
2,0.736538,0.538503
2,0.737721,0.556280
2,0.734585,0.573874
3,0.732115,0.528777
3,0.727319,0.545198
3,0.722556,0.561554
3,0.716891,0.577598
3,0.710693,0.593607
3,0.706952,0.610025
3,0.707022,0.627024
3,0.707628,0.644145
3,0.707567,0.661133
3,0.708011,0.678044
3,0.707626,0.695154
3,0.703975,0.712154
3,0.695142,0.726440
3,0.682708,0.738164
3,0.673126,0.752111
3,0.669444,0.769106
3,0.670562,0.786742
3,0.668575,0.802886
3,0.658079,0.816697
3,0.649939,0.831357
3,0.650362,0.848511
3,0.648774,0.864875
3,0.637627,0.877802
3,0.621668,0.887659
3,0.606247,0.895995
3,0.593277,0.906457
3,0.584547,0.921617
3,0.583605,0.938709
3,0.590096,0.954947
3,0.592567,0.970693
3,0.586588,0.986756
3,0.579847,1.003409
3,0.570553,1.016660
3,0.554359,1.022507
3,0.536453,1.023846
3,0.519639,1.023702
3,0.502753,1.023739
3,0.485690,1.023779
3,0.468742,1.023461
3,0.451559,1.024628
3,0.434432,1.025371
3,0.418985,1.018393
3,0.409044,1.004140
3,0.407664,0.987368
3,0.409866,0.969934
3,0.410107,0.952848
3,0.405137,0.936926
3,0.394825,0.922954
3,0.381789,0.911633
3,0.367486,0.902534
3,0.352379,0.894287
3,0.337873,0.885185
3,0.326175,0.873312
3,0.317029,0.858908
3,0.307602,0.844466
3,0.297587,0.830636
3,0.289818,0.815750
3,0.284602,0.799517
3,0.279360,0.783271
3,0.273802,0.767217
3,0.269177,0.750762
3,0.263062,0.734928
3,0.252747,0.720940
3,0.243770,0.706789
3,0.241891,0.690323
3,0.243690,0.672781
3,0.244317,0.655653
3,0.240403,0.639343
3,0.234308,0.623330
3,0.233007,0.606475
3,0.233146,0.589469
3,0.228288,0.573424
3,0.222320,0.557097
3,0.217862,0.540327
3,0.209056,0.526511
3,0.196355,0.514909
3,0.187488,0.500456
3,0.184290,0.483351
3,0.184532,0.466163
3,0.183343,0.449504
3,0.177955,0.433382
3,0.170541,0.417556
3,0.161479,0.403021
3,0.148380,0.392229
3,0.133105,0.383755
3,0.122377,0.371814
3,0.117396,0.355307
3,0.113410,0.338173
3,0.107599,0.322326
3,0.099075,0.307837
3,0.089084,0.293934
3,0.079736,0.279585
3,0.070325,0.265452
3,0.059064,0.252801
3,0.046588,0.241171
3,0.034310,0.229501
3,0.022393,0.217368
3,0.010746,0.204545
3,0.001376,0.190292
3,-0.002966,0.173871
3,-0.001466,0.156708
3,0.005513,0.141146
3,0.016471,0.127835
3,0.029597,0.116721
3,0.044220,0.108043
3,0.060021,0.101875
3,0.076312,0.096837
3,0.092461,0.091471
3,0.108522,0.085904
3,0.124632,0.080449
3,0.140754,0.075019
3,0.156862,0.069559
3,0.172973,0.064113
3,0.189084,0.058658
3,0.205184,0.053144
3,0.221303,0.047743
3,0.237449,0.042498
3,0.253491,0.036642
3,0.269498,0.030580
3,0.286005,0.027451
3,0.303082,0.027770
3,0.320231,0.028766
3,0.337148,0.027934
3,0.353602,0.023593
3,0.369133,0.016461
3,0.383470,0.007527
3,0.397028,-0.003207
3,0.410595,-0.014432
3,0.425573,-0.021199
3,0.442471,-0.021576
3,0.459765,-0.020926
3,0.476714,-0.021283
3,0.493745,-0.019345
3,0.509499,-0.012569
3,0.521846,0.000228
3,0.533107,0.013459
3,0.547745,0.018600
3,0.565209,0.017511
3,0.582497,0.016981
3,0.599372,0.017006
3,0.616492,0.016117
3,0.633153,0.018444
3,0.649202,0.024440
3,0.665698,0.027553
3,0.682849,0.026585
3,0.700108,0.025014
3,0.716791,0.026858
3,0.732759,0.033057
3,0.749463,0.035833
3,0.766706,0.034773
3,0.781872,0.040716
3,0.795572,0.051928
3,0.811158,0.055957
3,0.828603,0.054683
3,0.845875,0.057158
3,0.860817,0.065160
3,0.872850,0.076994
3,0.885439,0.089186
3,0.899384,0.100244
3,0.908541,0.113433
3,0.909887,0.130150
3,0.907023,0.147684
3,0.901971,0.163939
3,0.893477,0.178427
3,0.883399,0.192279
3,0.876719,0.207943
3,0.871934,0.224363
3,0.862731,0.237917
3,0.849358,0.249073
3,0.838377,0.262173
3,0.832707,0.278359
3,0.831371,0.295534
3,0.831785,0.312510
3,0.830044,0.329050
3,0.822196,0.344950
3,0.793306,0.374114
3,0.783688,0.387653
3,0.774517,0.402447
3,0.767515,0.418255
3,0.764395,0.434831
3,0.764809,0.451852
3,0.763628,0.468803
3,0.758032,0.484995
3,0.749052,0.499641
3,0.739281,0.513564
4,0.750611,0.515534
4,0.749060,0.532410
4,0.747361,0.549266
4,0.745378,0.566041
4,0.743601,0.582845
4,0.741214,0.599648
4,0.739378,0.616452
4,0.740586,0.633300
4,0.741620,0.650144
4,0.739643,0.666944
4,0.737318,0.683755
4,0.735541,0.700555
4,0.733496,0.717302
4,0.731950,0.734225
4,0.730420,0.751140
4,0.725450,0.767025
4,0.717271,0.781996
4,0.709657,0.797254
4,0.706506,0.814035
4,0.681571,0.843595
4,0.669676,0.855492
4,0.657077,0.866907
4,0.644430,0.878289
4,0.632394,0.890088
4,0.621208,0.902472
4,0.608566,0.913857
4,0.592573,0.922826
4,0.580145,0.933258
4,0.577683,0.949178
4,0.574879,0.966435
4,0.563339,0.979091
4,0.545440,0.983613
4,0.533035,0.990449
4,0.531964,1.007613
4,0.527752,1.025000
4,0.514209,1.036233
4,0.497473,1.041863
4,0.480613,1.042235
4,0.464335,1.037372
4,0.450098,1.027845
4,0.438792,1.015051
4,0.426955,1.003146
4,0.412199,0.994579
4,0.399326,0.984115
4,0.390985,0.969210
4,0.384640,0.953089
4,0.375328,0.939266
4,0.360818,0.928850
4,0.352695,0.914325
4,0.352154,0.896465
4,0.340339,0.890773
4,0.321314,0.889856
4,0.309362,0.878086
4,0.300738,0.862325
4,0.290876,0.848755
4,0.278521,0.837521
4,0.265676,0.826394
4,0.255148,0.813040
4,0.247694,0.797791
4,0.243128,0.781471
4,0.240674,0.764781
4,0.239899,0.747803
4,0.239404,0.730694
4,0.234370,0.714846
4,0.226011,0.699953
4,0.222366,0.683733
4,0.221980,0.666583
4,0.220533,0.649727
4,0.219199,0.632885
4,0.217742,0.616033
4,0.213953,0.599601
4,0.208275,0.583569
4,0.203020,0.567464
4,0.201720,0.550393
4,0.199816,0.533749
4,0.190814,0.519375
4,0.184983,0.504002
4,0.184670,0.486772
4,0.180937,0.470306
4,0.175570,0.454189
4,0.171199,0.437821
4,0.164657,0.422323
4,0.156747,0.407327
4,0.151267,0.391387
4,0.147136,0.374914
4,0.142469,0.358647
4,0.137413,0.342582
4,0.132840,0.326269
4,0.129162,0.309446
4,0.122370,0.294379
4,0.110815,0.281944
4,0.099566,0.269127
4,0.090121,0.255116
4,0.080487,0.241227
4,0.070468,0.227596
4,0.060664,0.213832
4,0.050675,0.200171
4,0.040224,0.186782
4,0.031079,0.172629
4,0.025304,0.156766
4,0.024414,0.139281
4,0.029794,0.122896
4,0.042320,0.112640
4,0.058533,0.106175
4,0.073764,0.098444
4,0.088911,0.091401
4,0.105189,0.086771
4,0.121557,0.082295
4,0.137769,0.077537
4,0.154197,0.073314
4,0.170019,0.067515
4,0.184988,0.059543
4,0.200609,0.053316
4,0.217012,0.048995
4,0.233231,0.043962
4,0.249595,0.040063
4,0.266463,0.038729
4,0.283390,0.037638
4,0.300210,0.036086
4,0.317033,0.034661
4,0.333955,0.033181
4,0.350820,0.031726
4,0.367317,0.030745
4,0.384676,0.028659
