Shape,X,Y
1,0.481480,0.935190
1,0.027778,0.092593
1,0.175930,0.564810
1,0.870370,0.175930
1,0.333330,0.037037
1,0.074074,0.314810
1,0.305560,0.935190
1,0.388890,0.009259
1,0.861110,0.203700
1,0.101850,0.370370
1,0.842590,0.231480
1,0.074074,0.287040
1,0.250000,0.046296
1,0.268520,0.861110
1,0.194440,0.703700
1,0.564810,0.842590
1,0.425930,1.000000
1,0.481480,0.990740
1,0.611110,0.759260
1,0.222220,0.722220
1,0.694440,0.490740
1,0.694440,0.074074
1,0.185190,0.592590
1,0.444440,0.000000
1,0.703700,0.435190
1,0.759260,0.361110
1,0.194440,0.675930
1,0.148150,0.481480
1,0.138890,0.055556
1,0.305560,0.037037
1,0.750000,0.092593
1,0.194440,0.046296
1,0.037037,0.231480
1,0.527780,0.046296
1,0.805560,0.277780
1,0.490740,0.907410
1,0.314810,0.990740
1,0.861110,0.148150
1,0.666670,0.064815
1,0.361110,0.027778
1,0.166670,0.537040
1,0.722220,0.083333
1,0.675930,0.509260
1,0.666670,0.537040
1,0.194440,0.620370
1,0.314810,0.907410
1,0.305560,0.962960
1,0.657410,0.564810
1,0.638890,0.620370
1,0.194440,0.648150
1,0.055556,0.259260
1,0.777780,0.101850
1,0.166670,0.509260
1,0.611110,0.731480
1,0.518520,0.888890
1,0.777780,0.305560
1,0.240740,0.805560
1,0.638890,0.703700
1,0.453700,1.000000
1,0.824070,0.259260
1,0.231480,0.777780
1,0.583330,0.814810
1,0.583330,0.046296
1,0.833330,0.129630
1,0.222220,0.046296
1,0.055556,0.083333
1,0.592590,0.787040
1,0.083333,0.074074
1,0.296300,0.888890
1,0.018519,0.203700
1,0.342590,0.990740
1,0.546300,0.870370
1,0.759260,0.333330
1,0.138890,0.425930
1,0.138890,0.453700
1,0.500000,0.027778
1,0.370370,1.000000
1,0.083333,0.342590
1,0.416670,0.000000
1,0.277780,0.037037
1,0.481480,0.962960
1,0.638890,0.648150
1,0.166670,0.046296
1,0.712960,0.407410
1,0.648150,0.592590
1,0.611110,0.055556
1,0.805560,0.111110
1,0.250000,0.833330
1,0.009259,0.175930
1,0.000000,0.148150
1,0.472220,0.000000
1,0.009259,0.120370
1,0.638890,0.675930
1,0.398150,1.000000
1,0.111110,0.064815
1,0.222220,0.750000
1,0.120370,0.398150
1,0.555560,0.046296
1,0.638890,0.064815
1,0.740740,0.388890
1,0.694440,0.462960
2,0.292520,0.945580
2,0.619050,0.482990
2,0.523810,0.802720
2,0.585030,0.700680
2,0.081633,0.292520
2,0.000000,0.156460
2,0.176870,0.639460
2,0.238100,0.897960
2,0.251700,0.823130
2,0.265310,0.938780
2,0.666670,0.095238
2,0.054422,0.108840
