"SHAPE","LANDMARK","X","Y"
"1",1,"0.450","0.002"
"2",2,"0.323","-0.332"
"3",3,"-0.095","-0.167"
"4",4,"-0.310","-0.066"
"5",5,"-0.314","-0.002"
"6",6,"-0.304","0.061"
"7",7,"-0.081","0.172"
"8",8,"0.329","0.332"
"1",1,"0.461","-0.005"
"2",2,"0.336","-0.304"
"3",3,"-0.101","-0.157"
"4",4,"-0.289","-0.114"
"5",5,"-0.350","-0.005"
"6",6,"-0.280","0.118"
"7",7,"-0.109","0.168"
"8",8,"0.332","0.299"
"1",1,"0.459","0.001"
"2",2,"0.321","-0.339"
"3",3,"-0.093","-0.159"
"4",4,"-0.296","-0.059"
"5",5,"-0.313","-0.002"
"6",6,"-0.308","0.062"
"7",7,"-0.097","0.163"
"8",8,"0.327","0.333"
"1",1,"0.464","0.009"
"2",2,"0.339","-0.320"
"3",3,"-0.150","-0.177"
"4",4,"-0.275","-0.080"
"5",5,"-0.333","0.002"
"6",6,"-0.245","0.079"
"7",7,"-0.134","0.176"
"8",8,"0.334","0.311"
"1",1,"0.433","0.009"
"2",2,"0.339","-0.339"
"3",3,"-0.117","-0.190"
"4",4,"-0.288","-0.066"
"5",5,"-0.303","0.005"
"6",6,"-0.293","0.065"
"7",7,"-0.108","0.190"
"8",8,"0.338","0.325"
"1",1,"0.451","-0.004"
"2",2,"0.335","-0.319"
"3",3,"-0.124","-0.155"
"4",4,"-0.283","-0.096"
"5",5,"-0.319","0.002"
"6",6,"-0.285","0.090"
"7",7,"-0.120","0.158"
"8",8,"0.344","0.324"
"1",1,"0.476","-0.009"
"2",2,"0.346","-0.301"
"3",3,"-0.132","-0.154"
"4",4,"-0.281","-0.092"
"5",5,"-0.327","0.006"
"6",6,"-0.286","0.098"
"7",7,"-0.127","0.152"
"8",8,"0.330","0.300"
"1",1,"0.449","0.017"
"2",2,"0.345","-0.328"
"3",3,"-0.150","-0.181"
"4",4,"-0.270","-0.081"
"5",5,"-0.302","-0.003"
"6",6,"-0.269","0.099"
"7",7,"-0.151","0.169"
"8",8,"0.347","0.308"
"1",1,"0.434","-0.010"
"2",2,"0.359","-0.299"
"3",3,"-0.123","-0.189"
"4",4,"-0.287","-0.076"
"5",5,"-0.319","0.005"
"6",6,"-0.289","0.084"
"7",7,"-0.125","0.183"
"8",8,"0.350","0.304"
"1",1,"0.465","0.002"
"2",2,"0.335","-0.291"
"3",3,"-0.139","-0.171"
"4",4,"-0.293","-0.092"
"5",5,"-0.321","0.005"
"6",6,"-0.281","0.089"
"7",7,"-0.119","0.153"
"8",8,"0.353","0.305"
