SPM results
T2_critical = 56.990
p = 0.040
X,Y,T2
0.731710,0.549120,8.996
0.730668,0.566306,8.038
0.728801,0.583428,8.662
0.727059,0.600649,7.099
0.726042,0.617779,4.607
0.724690,0.634829,4.083
0.724124,0.652203,4.241
0.724035,0.669120,4.343
0.724392,0.685908,4.431
0.724931,0.702945,4.684
0.723971,0.719900,5.380
0.720931,0.736718,6.569
0.715975,0.753089,6.758
0.708416,0.768222,7.226
0.700682,0.782737,6.773
0.692235,0.796378,4.996
0.683277,0.810183,3.330
0.674763,0.824846,2.680
0.666504,0.839626,2.193
0.654671,0.853962,2.630
0.644576,0.865528,10.036
0.639031,0.879035,36.843
0.635550,0.892755,16.618
0.632632,0.906562,0.826
0.629223,0.921161,4.412
0.623658,0.935617,24.517
0.617943,0.950553,59.704
0.612879,0.965661,71.424
0.607105,0.979898,52.801
0.598202,0.991589,31.092
0.586879,1.001143,14.891
0.573980,1.009186,3.627
0.560180,1.016416,0.226
0.547066,1.023468,0.080
0.535863,1.032004,0.497
0.523779,1.040382,2.106
0.508300,1.044742,2.418
0.490424,1.045826,2.271
0.473487,1.044025,2.416
0.460158,1.036619,4.040
0.448065,1.026790,6.571
0.433704,1.019022,3.500
0.418403,1.014605,2.982
0.406500,1.007656,2.087
0.395536,0.998832,3.089
0.385707,0.987454,3.841
0.377031,0.974121,3.029
0.370290,0.959645,1.677
0.365343,0.944113,2.041
0.359805,0.929741,3.501
0.353832,0.918386,3.876
0.347252,0.907064,4.236
0.342373,0.892872,4.544
0.336467,0.878781,3.457
0.325450,0.867740,2.534
0.312664,0.856246,2.950
0.300752,0.841141,2.796
0.290250,0.829260,5.616
0.279970,0.817046,11.830
0.269845,0.803993,12.040
0.261578,0.789706,10.166
0.255032,0.774484,12.007
0.248831,0.759015,13.479
0.242533,0.743586,8.480
0.238743,0.726993,5.628
0.237381,0.709886,4.865
0.237695,0.692953,5.129
0.235693,0.676508,5.465
0.233927,0.659412,5.899
0.231875,0.642271,6.704
0.229754,0.625288,7.599
0.226456,0.608577,9.272
0.222256,0.591856,11.592
0.218352,0.574994,11.963
0.214004,0.558520,11.924
0.209163,0.542273,13.281
0.204422,0.525952,12.626
0.200922,0.509051,13.092
0.195901,0.492633,13.983
0.190851,0.476259,13.393
0.187393,0.459242,14.337
0.182261,0.442798,16.608
0.174399,0.427509,16.984
0.167293,0.412210,17.804
0.161901,0.396354,15.954
0.154509,0.381187,13.418
0.146027,0.366293,12.708
0.137997,0.351095,11.905
0.130621,0.335690,8.749
0.125272,0.319699,5.899
0.116189,0.305496,5.698
0.104242,0.292616,6.491
0.093266,0.279357,6.933
0.081244,0.264331,5.343
0.070789,0.251506,5.459
0.061837,0.237554,6.134
0.050581,0.221505,9.683
0.040724,0.207729,9.029
0.033017,0.193022,7.114
0.025761,0.177471,6.425
0.020350,0.161579,5.758
0.020200,0.144504,5.257
0.024966,0.128837,4.659
0.033584,0.115668,3.684
0.047081,0.106767,1.561
0.062567,0.098476,0.956
0.078328,0.091262,0.456
0.094326,0.084918,0.073
0.110558,0.078905,0.107
0.126541,0.072500,0.044
0.143060,0.067526,0.007
0.159580,0.062357,0.087
0.175912,0.056620,0.007
0.191967,0.050498,0.005
0.208875,0.046953,0.028
0.226114,0.044537,0.054
0.243419,0.042371,0.036
0.260490,0.039382,0.053
0.276950,0.034539,0.591
0.293503,0.030531,2.174
0.310319,0.028135,5.134
0.326964,0.025816,6.981
0.343934,0.023510,5.057
0.360472,0.018635,2.660
0.374908,0.011331,1.224
0.386909,0.003101,0.475
0.397140,-0.007307,0.354
0.408118,-0.018122,1.628
0.423557,-0.024106,1.156
0.441010,-0.026934,0.267
0.457870,-0.027874,0.235
0.474343,-0.025983,0.517
0.489895,-0.020754,0.762
0.502568,-0.012732,0.582
0.514934,-0.004989,0.559
0.528151,0.003826,1.195
0.544739,0.013126,2.366
0.560544,0.016866,3.653
0.577506,0.018015,1.510
0.594519,0.019650,0.119
0.611759,0.020989,0.123
0.628963,0.022708,0.198
0.646128,0.024803,0.226
0.663449,0.026155,0.353
0.680752,0.027775,0.130
0.697944,0.029895,0.389
0.714895,0.032902,0.220
0.731249,0.038180,0.591
0.748278,0.041427,0.367
0.765447,0.043650,0.417
0.782362,0.047285,0.516
0.799120,0.051810,0.572
0.815616,0.056414,0.700
0.831806,0.061769,0.980
0.848619,0.067072,1.739
0.864344,0.074032,1.879
0.876374,0.083891,2.196
0.884724,0.097056,2.475
0.888862,0.112409,2.881
0.888940,0.128905,3.770
0.886035,0.145602,4.436
0.880585,0.161940,4.484
0.872620,0.177259,4.470
0.863600,0.191986,4.475
0.855486,0.207115,4.223
0.847433,0.222398,4.069
0.838244,0.237108,4.189
0.828845,0.251208,4.229
0.817265,0.266763,2.499
0.807123,0.280962,2.270
0.800431,0.296399,3.442
0.795056,0.314206,6.177
0.788160,0.331557,7.794
0.781540,0.347461,7.736
0.775885,0.363704,10.474
0.768464,0.381248,15.297
0.763076,0.397413,13.377
0.758721,0.414147,15.223
0.754214,0.430706,17.078
0.749911,0.447339,19.456
0.747389,0.464566,24.742
0.744589,0.481662,29.017
0.740840,0.498383,23.860
0.737578,0.515091,13.878
0.735083,0.532100,9.542
