Two Sample SPM Results
alpha = 0.050
T2_critical = 61.649
p = 0.041
X0,Y0,X1,Y1,T2
0.318979,0.868686,0.352526,0.887360,3.736
0.309244,0.856414,0.340434,0.877447,2.775
0.299820,0.842254,0.324474,0.868078,3.259
0.290458,0.828077,0.309785,0.852378,3.056
0.283793,0.812544,0.296040,0.843839,5.842
0.277047,0.796871,0.281955,0.835204,11.300
0.269259,0.781848,0.269750,0.824054,11.200
0.262544,0.766874,0.259665,0.810767,10.364
0.256920,0.751856,0.251702,0.795707,13.006
0.250480,0.737006,0.245849,0.779400,13.647
0.242528,0.722501,0.242247,0.762425,8.912
0.237881,0.706620,0.239590,0.745018,6.038
0.235714,0.689736,0.238967,0.727757,5.244
0.234352,0.672585,0.240451,0.711246,5.529
0.230243,0.656486,0.240554,0.694410,5.908
0.227218,0.639651,0.240066,0.676997,6.407
0.224117,0.622832,0.239014,0.659555,7.269
0.221034,0.605991,0.237921,0.642411,8.181
0.216427,0.589509,0.235771,0.625522,9.987
0.212133,0.572789,0.231892,0.608723,12.302
0.207601,0.556426,0.228333,0.591541,11.927
0.202340,0.540686,0.225374,0.574161,12.495
0.195826,0.525569,0.221540,0.557043,14.799
0.190377,0.509902,0.217424,0.540054,13.691
0.187473,0.492956,0.213680,0.523015,13.553
0.182288,0.476965,0.208598,0.506306,13.663
0.178670,0.460429,0.203017,0.489775,13.572
0.175059,0.443733,0.199109,0.472677,14.912
0.169216,0.427774,0.194190,0.455930,17.055
0.159943,0.413329,0.187136,0.440048,16.381
0.152006,0.398776,0.181734,0.423653,17.255
0.145734,0.383843,0.177104,0.406938,15.328
0.137022,0.369607,0.170332,0.391116,13.304
0.129764,0.354290,0.161546,0.376205,12.210
0.122675,0.338860,0.152062,0.361437,11.864
0.117826,0.322778,0.143303,0.346298,8.741
0.114126,0.306445,0.135836,0.330878,6.266
0.103974,0.292690,0.126767,0.316630,6.402
0.092718,0.279208,0.114353,0.304269,7.335
0.084217,0.264668,0.101351,0.292050,7.753
0.073709,0.250884,0.087127,0.276175,6.173
0.061516,0.240110,0.078345,0.261760,6.512
0.054024,0.225592,0.068864,0.247352,7.516
0.041447,0.208121,0.058380,0.233103,12.108
0.030412,0.196083,0.049668,0.218008,11.348
0.022456,0.181723,0.042945,0.202031,9.165
0.014752,0.166916,0.035768,0.186186,7.906
0.012268,0.150637,0.028905,0.170246,7.201
