Shape,X,Y
1,0.195800,0.731930
1,0.664340,0.890440
1,0.372960,0.951050
1,0.212120,0.240090
1,0.578090,1.000000
1,0.487180,0.130540
1,0.643360,0.608390
1,0.214450,0.419580
1,0.072261,0.046620
1,0.596740,0.249420
1,0.638690,0.428900
1,0.641030,0.480190
1,0.219110,0.911420
1,0.097902,0.065268
1,0.202800,0.885780
1,0.648020,0.736600
1,0.512820,0.149180
1,0.333330,0.060606
1,0.020979,0.013986
1,0.347320,0.946390
1,0.000000,0.000000
1,0.552450,0.997670
1,0.209790,0.552450
1,0.620050,0.300700
1,0.205130,0.655010
1,0.657340,0.813520
1,0.216780,0.342660
1,0.526810,0.993010
1,0.650350,0.762240
1,0.321680,0.944060
1,0.209790,0.501170
1,0.643360,0.634030
1,0.179490,0.020979
1,0.188810,0.783220
1,0.580420,0.223780
1,0.212120,0.470860
1,0.219110,0.291380
1,0.629370,0.326340
1,0.641030,0.557110
1,0.212120,0.445220
1,0.307690,0.051282
1,0.270400,0.937060
1,0.641030,0.505830
1,0.662000,0.839160
1,0.475520,0.979020
1,0.212120,0.496500
1,0.296040,0.941720
1,0.410260,0.088578
1,0.195800,0.188810
1,0.610720,0.275060
1,0.123540,0.086247
1,0.051282,0.006993
1,0.216780,0.317020
1,0.198140,0.706290
1,0.207460,0.578090
1,0.184150,0.163170
1,0.046620,0.030303
1,0.659670,0.916080
1,0.641030,0.531470
1,0.435900,0.100230
1,0.638690,0.454550
1,0.207460,0.629370
1,0.603730,0.997670
1,0.636360,0.377620
1,0.216780,0.265730
1,0.655010,0.787880
1,0.205130,0.023310
1,0.216780,0.368300
1,0.202800,0.680650
1,0.195800,0.860140
1,0.645690,0.685310
1,0.256410,0.034965
1,0.634030,0.351980
1,0.191140,0.757580
1,0.153850,0.016317
1,0.501170,0.986010
1,0.398600,0.955710
1,0.538460,0.172490
1,0.645690,0.710960
1,0.384620,0.079254
1,0.461540,0.114220
1,0.244760,0.927740
1,0.205130,0.214450
1,0.214450,0.393940
1,0.025641,0.002331
1,0.664340,0.864800
1,0.282050,0.041958
1,0.209790,0.526810
1,0.188810,0.808860
1,0.655010,0.941720
1,0.207460,0.603730
1,0.645690,0.659670
1,0.629370,0.990680
1,0.643360,0.582750
1,0.167830,0.137530
1,0.424240,0.962700
1,0.076923,0.009324
1,0.358970,0.069930
1,0.645690,0.967370
1,0.230770,0.027972
1,0.191140,0.834500
1,0.638690,0.403260
1,0.102560,0.011655
1,0.146850,0.111890
1,0.128210,0.013986
1,0.561770,0.198140
1,0.449880,0.972030
2,0.423080,0.985040
2,0.074786,0.690170
2,0.282050,0.147440
2,0.235040,0.128210
2,0.235040,0.929490
2,0.083333,0.337610
2,0.414530,0.260680
2,0.470090,1.000000
2,0.081197,0.431620
2,0.076923,0.572650
2,0.076923,0.643160
2,0.000000,0.000000
2,0.079060,0.478630
2,0.474360,0.683760
2,0.211540,0.920940
2,0.478630,0.848290
2,0.072650,0.831200
2,0.047009,0.010684
2,0.070513,0.878210
2,0.480770,0.942310
2,0.141030,0.076923
2,0.079060,0.502140
2,0.079060,0.549150
2,0.478630,0.824790
2,0.305560,0.160260
2,0.463680,0.378210
2,0.081197,0.455130
2,0.470090,0.566240
2,0.079060,0.243590
2,0.079060,0.196580
2,0.352560,0.192310
2,0.081197,0.408120
2,0.081197,0.290600
2,0.474360,0.707260
2,0.164530,0.908120
2,0.094017,0.036325
