Shape,X,Y
1,0.115986,0.103583
1,0.097459,0.087612
1,0.080049,0.071995
1,0.055385,0.059565
1,0.047539,0.041899
1,0.040920,0.020921
1,0.022328,0.032761
1,0.003029,0.020377
1,0.073594,0.030639
1,0.097704,0.033416
1,0.121819,0.036163
1,0.145910,0.039067
1,0.169687,0.043914
1,0.193804,0.046677
1,0.217498,0.051936
1,0.240745,0.058914
1,0.263958,0.065979
1,0.286527,0.074918
1,0.309138,0.083734
1,0.331742,0.092571
1,0.354346,0.101410
1,0.376971,0.110196
1,0.398907,0.120576
1,0.420075,0.132458
1,0.440461,0.145619
1,0.460187,0.159780
1,0.478846,0.175280
1,0.496082,0.192388
1,0.512099,0.210631
1,0.526422,0.230222
1,0.539374,0.250737
1,0.551593,0.271754
1,0.561463,0.293863
1,0.569128,0.316927
1,0.576208,0.340097
1,0.579094,0.364222
1,0.580730,0.388432
1,0.581837,0.412661
1,0.580832,0.436933
1,0.581215,0.461175
1,0.582253,0.485403
1,0.581451,0.509671
1,0.580704,0.533938
1,0.581296,0.558176
1,0.582146,0.582409
1,0.581024,0.606684
1,0.581934,0.630915
1,0.582525,0.655152
1,0.581465,0.679428
1,0.582442,0.703650
1,0.583913,0.727897
1,0.587291,0.751913
1,0.589413,0.776073
1,0.592632,0.800112
1,0.595061,0.824229
1,0.595236,0.848553
1,0.591031,0.872386
1,0.586201,0.896240
1,0.578430,0.919024
1,0.566055,0.940641
1,0.544844,0.950486
1,0.520298,0.952912
1,0.496221,0.951437
1,0.472303,0.947008
1,0.448944,0.940506
1,0.425733,0.933398
1,0.402388,0.926718
1,0.379666,0.918240
1,0.356708,0.910364
1,0.333027,0.905068
1,0.309274,0.900040
1,0.285265,0.896618
1,0.261123,0.894103
1,0.237194,0.889950
1,0.214246,0.882198
1,0.192785,0.870545
1,0.176373,0.852856
1,0.167335,0.830238
1,0.162631,0.806421
1,0.159651,0.782341
1,0.159033,0.758081
1,0.160511,0.733845
1,0.164768,0.709959
1,0.168504,0.686005
1,0.172386,0.662070
1,0.176342,0.638154
1,0.179065,0.614016
1,0.180650,0.589826
1,0.180799,0.565543
1,0.182890,0.541342
1,0.185094,0.517348
1,0.182740,0.492347
1,0.189760,0.469756
1,0.187392,0.444776
1,0.190256,0.420805
1,0.191395,0.396547
1,0.193427,0.372393
1,0.195007,0.348196
1,0.195056,0.323900
1,0.197693,0.299767
1,0.197382,0.275568
1,0.193958,0.251507
1,0.188663,0.227833
1,0.181340,0.204694
1,0.172443,0.182103
1,0.161108,0.160650
1,0.147116,0.140812
1,0.131948,0.121867
2,0.148457,0.122532
2,0.142262,0.099729
2,0.134397,0.077237
2,0.126242,0.055288
2,0.109401,0.035765
2,0.106777,0.015411
2,0.110973,-0.003657
2,0.085209,-0.001471
2,0.066960,-0.007575
2,0.138694,0.009723
2,0.159691,0.020884
2,0.178267,0.035593
2,0.196989,0.050179
2,0.216251,0.064048
2,0.235428,0.078024
2,0.255911,0.089973
2,0.277671,0.099557
2,0.300660,0.105270
2,0.323682,0.110995
2,0.346058,0.118929
2,0.367884,0.128228
2,0.389061,0.138934
2,0.409638,0.150759
2,0.429556,0.163657
2,0.448260,0.178254
2,0.465882,0.194174
2,0.482211,0.211382
2,0.497035,0.229916
2,0.510924,0.249148
2,0.523969,0.269012
