Shape,X,Y
1,0.003029,0.020377
1,0.022023,0.033703
1,0.026567,0.023083
1,0.050055,0.027933
1,0.073594,0.030639
1,0.097129,0.033345
1,0.120675,0.036052
1,0.144213,0.038758
1,0.167700,0.043608
1,0.191237,0.046314
1,0.214724,0.051165
1,0.238160,0.058160
1,0.261595,0.065155
1,0.284980,0.074295
1,0.308364,0.083434
1,0.331749,0.092574
1,0.355143,0.101714
1,0.378527,0.110853
1,0.401861,0.122135
1,0.425143,0.135567
1,0.448374,0.151143
1,0.471555,0.168853
1,0.494633,0.190860
1,0.515517,0.214968
1,0.532113,0.238966
1,0.546566,0.262912
1,0.558866,0.286807
1,0.566888,0.310600
1,0.574901,0.334393
1,0.578626,0.358083
1,0.580208,0.381723
1,0.581790,0.405363
1,0.581229,0.428952
1,0.580667,0.452550
1,0.582258,0.476190
1,0.581697,0.499778
1,0.581135,0.523367
1,0.580574,0.546956
1,0.582156,0.570596
1,0.581594,0.594184
1,0.581033,0.617773
1,0.582615,0.641413
1,0.582053,0.665002
1,0.581491,0.688600
1,0.583073,0.712239
1,0.584656,0.735879
1,0.588381,0.759570
1,0.589963,0.783210
1,0.593689,0.806900
1,0.595280,0.830540
1,0.594719,0.854129
1,0.589861,0.877616
1,0.585012,0.901102
1,0.575876,0.924496
1,0.560351,0.945584
1,0.536609,0.951453
1,0.512969,0.953035
1,0.489432,0.950330
1,0.465945,0.945481
1,0.442509,0.938480
1,0.419065,0.931487
1,0.395629,0.924495
1,0.372245,0.915350
1,0.348809,0.908357
1,0.325322,0.903509
1,0.301836,0.898660
1,0.278298,0.895955
1,0.254760,0.893240
1,0.231274,0.888392
1,0.207889,0.879256
1,0.184649,0.863680
1,0.170205,0.839734
1,0.164326,0.815992
1,0.160601,0.792301
1,0.159019,0.768661
1,0.159580,0.745072
1,0.162285,0.721535
1,0.167134,0.698039
1,0.169849,0.674501
1,0.174697,0.651015
1,0.177403,0.627477
1,0.180108,0.603939
1,0.180669,0.580350
1,0.181231,0.556762
1,0.183936,0.533224
1,0.184498,0.509635
1,0.185059,0.486047
1,0.187305,0.481801
1,0.187866,0.458212
1,0.188428,0.434624
1,0.191133,0.411086
1,0.191695,0.387497
1,0.194400,0.363960
1,0.194961,0.340371
1,0.195523,0.316782
1,0.198228,0.293244
1,0.196646,0.269595
1,0.192921,0.245905
1,0.187051,0.222163
1,0.179029,0.198370
1,0.168873,0.174526
1,0.154420,0.150580
1,0.135680,0.126531
1,0.114796,0.102429
1,0.091669,0.082567
1,0.068488,0.064850
1,0.045256,0.049276
2,0.066960,-0.007575
2,0.078258,0.002491
2,0.090707,-0.004657
2,0.102991,0.022499
2,0.114578,0.000396
2,0.138694,0.009723
2,0.163057,0.023322
2,0.187789,0.043330
2,0.212405,0.061201
2,0.237010,0.079074
2,0.261369,0.092672
2,0.285492,0.101994
2,0.309358,0.107058
2,0.333357,0.114240
2,0.357470,0.123573
2,0.381716,0.135035
2,0.406075,0.148627
2,0.430557,0.164369
2,0.455296,0.184380
2,0.478018,0.206643
2,0.496461,0.229154
2,0.512775,0.251797
2,0.526948,0.274554
2,0.536843,0.297568
2,0.546747,0.320571
2,0.552383,0.343830
2,0.555868,0.367204
2,0.559363,0.390577
2,0.560719,0.414083
2,0.562075,0.437579
2,0.565570,0.460962
2,0.566926,0.484459
2,0.568282,0.507965
2,0.569638,0.531461
2,0.573123,0.554835
2,0.574479,0.578341
2,0.575834,0.601837
2,0.579330,0.625220
2,0.580686,0.648717
2,0.582041,0.672213
2,0.583397,0.695719
2,0.586892,0.719092
2,0.588248,0.742598
2,0.589604,0.766095
2,0.593090,0.789478
2,0.594445,0.812974
2,0.595801,0.836471
2,0.597157,0.859977
2,0.600652,0.883350
2,0.602008,0.906856
2,0.603364,0.930353
2,0.606859,0.953735
2,0.594657,0.965153
2,0.570781,0.960100
2,0.546792,0.952907
2,0.522916,0.947854
2,0.499050,0.942801
2,0.475051,0.935618
2,0.451184,0.930555
2,0.427318,0.925501
2,0.403319,0.918319
2,0.379453,0.913265
2,0.355577,0.908212
2,0.331588,0.901019
2,0.307712,0.895966
2,0.283845,0.890913
2,0.259856,0.883720
2,0.235980,0.878667
2,0.212111,0.873613
2,0.188118,0.866430
