SHAPE,LANDMARK,X,Y
1,1,-0.619,0.152
1,2,0.289,0.267
1,3,0.536,-0.100
1,4,-0.207,-0.319
2,1,-0.615,0.089
2,2,0.314,0.270
2,3,0.556,-0.107
2,4,-0.255,-0.253
3,1,-0.604,0.154
3,2,0.245,0.281
3,3,0.566,-0.124
3,4,-0.206,-0.312
4,1,-0.624,0.134
4,2,0.319,0.227
4,3,0.544,-0.064
4,4,-0.238,-0.297
5,1,-0.594,0.121
5,2,0.297,0.254
5,3,0.564,-0.081
5,4,-0.268,-0.294
6,1,-0.603,0.182
6,2,0.179,0.222
6,3,0.628,-0.103
6,4,-0.205,-0.301
7,1,-0.588,0.099
7,2,0.295,0.255
7,3,0.580,-0.086
7,4,-0.287,-0.268
8,1,-0.573,0.153
8,2,0.199,0.308
8,3,0.596,-0.148
8,4,-0.223,-0.313
9,1,-0.598,0.158
9,2,0.216,0.226
9,3,0.615,-0.092
9,4,-0.233,-0.292
10,1,-0.599,0.116
10,2,0.312,0.276
10,3,0.544,-0.094
10,4,-0.257,-0.297
