Two Sample SPM Results
alpha = 0.050
T2_critical = 34.564
p = 0.167
X0,Y0,X1,Y1,T2
0.108269,0.103274,0.117069,0.101124,1.274
0.091910,0.086161,0.097602,0.085380,0.253
0.074919,0.069882,0.077050,0.070533,0.007
0.056230,0.054705,0.056129,0.057312,0.088
0.025920,0.029049,0.028929,0.039301,0.925
0.026412,0.019657,0.011998,0.027383,0.766
0.032566,0.021493,0.007019,0.020856,0.688
0.036046,0.016664,0.029319,0.021833,0.437
0.061318,0.018716,0.052345,0.026587,0.626
0.095155,0.024868,0.075428,0.025429,0.521
0.118882,0.029449,0.100724,0.029255,0.476
0.141955,0.035623,0.125704,0.032645,0.424
0.165014,0.042351,0.150665,0.036947,0.486
0.188254,0.048669,0.175559,0.041263,0.608
0.211240,0.056101,0.200380,0.046303,0.810
0.234286,0.063831,0.224979,0.052162,0.972
0.257501,0.071461,0.249256,0.059346,0.961
0.280446,0.079886,0.273389,0.066974,1.195
0.303238,0.088551,0.296498,0.077247,0.886
0.326126,0.096852,0.319410,0.087973,0.448
0.348474,0.106569,0.343287,0.096378,0.555
0.370730,0.116537,0.366967,0.105290,0.668
0.392718,0.127252,0.389626,0.116462,0.672
0.413879,0.139540,0.411382,0.129166,0.749
0.434451,0.152777,0.431965,0.143541,0.658
0.454002,0.167456,0.450769,0.159871,0.401
0.472086,0.183915,0.468282,0.177329,0.247
0.489532,0.201033,0.484531,0.195926,0.204
0.505742,0.219299,0.499179,0.215833,0.378
0.520497,0.238840,0.512206,0.236773,0.519
0.533324,0.259580,0.524214,0.258461,0.506
0.544977,0.281101,0.534738,0.281084,0.522
0.554896,0.303377,0.543257,0.304532,0.535
0.562692,0.326482,0.551392,0.328462,0.456
0.568964,0.350004,0.557722,0.352948,0.413
0.573354,0.374002,0.562035,0.377925,0.415
0.576190,0.398254,0.565668,0.402929,0.386
0.578349,0.422571,0.566719,0.428177,0.510
0.579684,0.446934,0.567624,0.453388,0.630
0.580397,0.471369,0.568059,0.478587,0.773
0.580742,0.495825,0.569492,0.503736,0.820
0.581763,0.520196,0.570816,0.528956,0.958
0.581544,0.544554,0.571140,0.554155,1.166
0.581288,0.568967,0.572701,0.579300,1.189
0.582220,0.593292,0.573557,0.604547,1.557
0.582483,0.617701,0.574131,0.629748,2.044
0.582147,0.642103,0.574617,0.654951,2.640
0.582353,0.666476,0.576080,0.680099,3.652
0.583291,0.690859,0.577311,0.705316,6.077
0.583168,0.715235,0.577718,0.730519,12.591
0.583103,0.739645,0.579313,0.755661,18.870
0.584662,0.763924,0.580943,0.780835,16.214
0.586468,0.788268,0.581342,0.805998,16.572
0.587155,0.812626,0.581542,0.831048,10.005
0.588241,0.836940,0.582637,0.856037,7.597
0.589177,0.861291,0.582391,0.881113,8.109
0.588741,0.885599,0.581316,0.906205,8.960
0.587170,0.909999,0.581656,0.931069,8.131
0.585074,0.933565,0.580803,0.956229,7.925
0.572319,0.951427,0.570903,0.970732,5.453
0.552313,0.956750,0.557098,0.976898,8.010
0.529576,0.954905,0.540693,0.980800,6.689
0.505822,0.951872,0.527491,0.976974,2.803
0.482072,0.946762,0.500267,0.962988,1.529
0.458528,0.940134,0.477308,0.950325,2.256
0.434903,0.933955,0.455058,0.938846,4.135
0.411558,0.926849,0.433031,0.926946,5.542
0.388272,0.919344,0.410516,0.915946,5.631
0.364792,0.912621,0.387873,0.904932,5.682
0.341495,0.905519,0.364653,0.895445,5.725
0.318025,0.898636,0.341059,0.887885,5.680
0.294736,0.891772,0.317650,0.880944,4.920
0.271412,0.885198,0.294491,0.874714,4.124
0.248489,0.877301,0.271756,0.868099,2.626
0.226077,0.868488,0.249339,0.860484,1.492
0.205187,0.857610,0.227324,0.851751,0.873
0.188356,0.842151,0.205775,0.841306,0.437
0.178013,0.823319,0.190473,0.823841,0.211
0.171752,0.802162,0.178533,0.804796,0.088
0.165673,0.780009,0.166147,0.785849,0.163
0.164987,0.756069,0.156219,0.764629,0.422
0.165030,0.731954,0.150179,0.741929,0.821
0.165614,0.707952,0.148172,0.718038,1.165
0.166776,0.683744,0.148674,0.693556,1.327
0.168481,0.659550,0.150820,0.668885,1.371
0.170663,0.635314,0.154825,0.644266,1.235
0.173061,0.611001,0.159346,0.619750,1.066
0.175658,0.586779,0.163795,0.595367,0.949
0.177103,0.562432,0.168195,0.571063,0.736
0.179217,0.538088,0.172087,0.546708,0.602
0.182162,0.514021,0.177248,0.522590,0.404
0.183207,0.489467,0.181652,0.498350,0.345
0.186339,0.465503,0.185676,0.473839,0.406
0.187708,0.441102,0.190001,0.449529,1.086
0.189706,0.416788,0.194109,0.425086,1.138
0.191093,0.392375,0.198726,0.400566,1.428
0.192994,0.368115,0.201607,0.375704,1.158
0.194281,0.343738,0.204617,0.350745,1.092
0.193641,0.319360,0.207758,0.325761,1.401
0.192901,0.295225,0.208952,0.300499,1.433
0.190453,0.271217,0.209285,0.275145,1.720
0.185631,0.247618,0.206416,0.250071,1.881
0.179194,0.224530,0.200846,0.225410,2.134
0.170796,0.202186,0.193079,0.201465,2.539
0.161052,0.180552,0.182245,0.178793,2.797
0.150029,0.159746,0.169003,0.157503,3.052
0.137033,0.140081,0.153559,0.137761,3.287
0.122968,0.121397,0.135756,0.117846,2.929
