Two Sample SPM Results
T2_critical = 46.635
p = 0.278
X0,Y0,X1,Y1,T2
0.071341,0.020191,0.053494,0.027356,0.721
0.095338,0.025692,0.076509,0.025680,0.440
0.118837,0.030274,0.101755,0.029674,0.397
0.141867,0.036497,0.126719,0.032993,0.356
0.164998,0.043148,0.151608,0.037405,0.416
0.188190,0.049580,0.176468,0.041700,0.560
0.211292,0.056668,0.201255,0.046732,0.729
0.234448,0.064194,0.225788,0.052613,0.865
0.257770,0.071512,0.250039,0.059796,0.848
0.280788,0.079683,0.274015,0.067622,0.973
0.303501,0.088603,0.297066,0.077919,0.692
0.326375,0.096931,0.320108,0.088256,0.379
0.348654,0.106807,0.343920,0.096754,0.517
0.370870,0.116836,0.367649,0.105475,0.674
0.392856,0.127519,0.390452,0.116326,0.711
0.413985,0.139828,0.412202,0.129124,0.769
0.434520,0.153091,0.433068,0.143231,0.760
0.454015,0.167808,0.452418,0.159162,0.659
0.472059,0.184272,0.469957,0.176819,0.484
0.489510,0.201351,0.486185,0.195572,0.158
0.505769,0.219573,0.501059,0.215403,0.157
0.520422,0.239140,0.514131,0.236456,0.271
0.533186,0.259907,0.525708,0.258355,0.323
0.544844,0.281395,0.536060,0.281066,0.376
0.554664,0.303674,0.544704,0.304508,0.391
0.562410,0.326763,0.551833,0.328597,0.382
0.568804,0.350248,0.557837,0.353162,0.402
0.573302,0.374206,0.562065,0.378111,0.423
0.576237,0.398449,0.564963,0.403191,0.468
0.578586,0.422751,0.566264,0.428334,0.630
0.579851,0.447126,0.566831,0.453514,0.800
0.580384,0.471560,0.567197,0.478693,0.964
0.580922,0.496002,0.568779,0.503856,1.015
0.582070,0.520359,0.570095,0.528960,1.266
0.581674,0.544734,0.570242,0.554159,1.502
0.581360,0.569134,0.572010,0.579309,1.487
0.582489,0.593446,0.572809,0.604450,2.099
0.582644,0.617868,0.573386,0.629623,2.658
0.582112,0.642268,0.573705,0.654809,3.394
0.582583,0.666625,0.575389,0.679967,4.302
0.583611,0.690996,0.576614,0.705069,8.644
0.583097,0.715395,0.576825,0.730274,16.360
0.583224,0.739781,0.578273,0.755419,20.783
0.584584,0.764079,0.579914,0.780464,12.692
0.586467,0.788409,0.579971,0.805549,9.937
0.586936,0.812787,0.580114,0.830583,6.658
0.588348,0.837062,0.581128,0.855570,5.301
0.589476,0.861406,0.581192,0.880539,5.379
0.589142,0.885762,0.580403,0.905683,5.673
0.588022,0.910175,0.581244,0.930689,5.619
0.585088,0.933641,0.581326,0.955323,4.959
0.571395,0.949648,0.574313,0.972764,6.323
0.552189,0.955535,0.562298,0.982092,13.034
0.529498,0.954234,0.548645,0.984119,6.590
0.505742,0.951679,0.524820,0.975674,2.852
0.482014,0.946575,0.503040,0.963975,2.051
0.458415,0.940189,0.481168,0.952154,3.975
0.434761,0.934130,0.458984,0.940841,7.305
0.411460,0.926870,0.436900,0.929069,8.514
0.388122,0.919529,0.414696,0.917562,8.545
0.364654,0.912830,0.392131,0.906703,7.940
0.341428,0.905448,0.369189,0.896409,7.288
0.317979,0.898514,0.345773,0.888001,7.573
0.294646,0.891734,0.322239,0.880985,6.686
0.271345,0.885075,0.298950,0.874413,5.878
0.248397,0.877276,0.276417,0.867491,4.288
0.225825,0.868994,0.254029,0.860280,2.443
0.204694,0.858425,0.232307,0.851599,1.530
0.187650,0.843139,0.210246,0.842567,0.794
0.178994,0.822970,0.191419,0.828665,0.321
0.171943,0.802132,0.178484,0.809848,0.258
0.165907,0.779912,0.165949,0.791039,0.473
0.165002,0.756019,0.155860,0.769886,0.881
0.165163,0.731875,0.149691,0.747081,1.459
0.165213,0.707872,0.147500,0.723153,1.972
0.166571,0.683707,0.148177,0.698693,2.272
0.168030,0.659492,0.150303,0.674005,2.318
0.170366,0.635286,0.154573,0.649462,2.133
0.172903,0.610973,0.158799,0.624970,1.953
0.175439,0.586771,0.163357,0.600626,1.725
0.176873,0.562422,0.168107,0.576387,1.370
0.178884,0.538074,0.172072,0.552072,1.118
0.182192,0.514017,0.176578,0.527947,0.941
0.182919,0.489474,0.181585,0.503785,0.902
0.186076,0.465492,0.185292,0.479280,0.972
0.187515,0.441109,0.189978,0.455037,1.832
0.189554,0.416793,0.193646,0.430597,1.859
0.190863,0.392395,0.198349,0.406126,2.203
0.192576,0.368121,0.201586,0.381320,1.964
0.194087,0.343767,0.204246,0.356367,1.713
0.193506,0.319391,0.207646,0.331443,2.026
0.192742,0.295244,0.208825,0.306214,1.941
0.190399,0.271262,0.209250,0.280904,2.087
0.185719,0.247647,0.207232,0.255778,2.234
0.179602,0.224509,0.202063,0.231107,2.345
0.171231,0.202130,0.194781,0.207054,2.635
0.161960,0.180389,0.184568,0.184206,2.683
0.151019,0.159489,0.171843,0.162704,2.691
0.138072,0.139704,0.157043,0.142615,2.625
0.124206,0.120917,0.140700,0.123621,1.722
0.109469,0.102708,0.122739,0.106263,0.518
0.093028,0.085480,0.103367,0.090417,0.284
0.075817,0.069255,0.083240,0.075232,0.420
0.057584,0.053831,0.062681,0.061411,0.677
0.011072,0.017252,0.027965,0.038698,2.068
0.018915,0.016556,0.024917,0.033377,3.094
0.032159,0.028335,0.015718,0.023492,0.492
0.047998,0.020483,0.018656,0.020019,1.079
