Shape,X,Y
0,0.353600,0.315320
0,0.000000,0.671170
0,0.139640,0.869370
0,0.389640,0.146400
0,0.578830,0.000000
0,0.304050,0.556310
0,0.072072,0.869370
0,0.628380,0.105860
0,0.680180,0.869370
0,0.675680,0.342340
0,0.815320,0.869370
0,1.000000,0.815320
0,0.610360,0.004504
0,0.038288,0.869370
0,0.443690,0.869370
0,0.720720,0.578830
0,0.346850,0.349100
0,0.362610,0.281530
0,0.747750,0.869370
0,0.713960,0.869370
0,0.333330,0.416670
0,0.695950,0.443690
0,0.443690,0.000000
0,0.761260,0.614860
0,0.340090,0.382880
0,0.621620,0.072072
0,0.376130,0.213960
0,0.409910,0.869370
0,0.882880,0.869370
0,0.308560,0.869370
0,0.297300,0.590090
0,0.795050,0.614860
0,0.369370,0.247750
0,0.310810,0.522520
0,0.011261,0.614860
0,0.418920,0.011261
0,0.545050,0.000000
0,0.326580,0.450450
0,0.405410,0.078829
0,0.173420,0.869370
0,0.849100,0.869370
0,0.319820,0.484230
0,0.146400,0.614860
0,0.668920,0.308560
0,0.614860,0.038288
0,0.274770,0.869370
0,0.000000,0.738740
0,0.477480,0.869370
0,1.000000,0.781530
0,0.000000,0.806310
0,0.545050,0.869370
0,0.950450,0.869370
0,1.000000,0.713960
0,0.896400,0.614860
0,0.045045,0.614860
0,0.828830,0.614860
0,0.511260,0.869370
0,0.000000,0.637390
0,0.000000,0.704950
0,0.727480,0.612610
0,0.635140,0.139640
0,0.281530,0.614860
0,0.648650,0.207210
0,0.078829,0.614860
0,0.641890,0.173420
0,0.646400,0.869370
0,0.655410,0.240990
0,0.700450,0.477480
0,0.000000,0.772520
0,0.376130,0.869370
0,0.511260,0.000000
0,0.930180,0.614860
0,0.247750,0.614860
0,0.477480,0.000000
0,0.412160,0.045045
0,0.342340,0.869370
0,0.713960,0.545050
0,0.612610,0.869370
0,1.000000,0.849100
0,0.689190,0.409910
0,0.000000,0.840090
0,0.317570,0.488740
0,0.112610,0.614860
0,0.997750,0.614860
0,0.105860,0.869370
0,1.000000,0.680180
0,0.862610,0.614860
0,1.000000,0.646400
0,0.004504,0.869370
0,0.984230,0.869370
0,0.578830,0.869370
0,0.662160,0.274770
0,0.207210,0.869370
0,1.000000,0.747750
0,0.180180,0.614860
0,0.213960,0.614860
0,0.240990,0.869370
0,0.963960,0.614860
0,0.682430,0.376130
0,0.396400,0.112610
0,0.382880,0.180180
0,0.916670,0.869370
0,0.781530,0.869370
0,0.707210,0.511260
1,0.623060,0.086475
1,0.376940,0.230600
1,0.188470,0.616410
1,0.416850,0.022173
1,0.997780,0.654100
1,0.381370,0.192900
1,0.705100,0.521060
1,0.354770,0.343680
1,0.161860,0.607540
1,0.128600,0.862530
1,0.906870,0.605320
1,0.383590,0.860310
1,0.259420,0.858090
1,0.013304,0.694010
1,0.166300,0.862530
1,0.126390,0.611970
1,0.640800,0.188470
1,0.059867,0.607540
1,0.718400,0.589800
1,0.869180,0.607540
1,1.000000,0.827050
1,0.676270,0.379160
1,0.660750,0.212860
1,0.991130,0.625280
1,0.993350,0.691800
1,0.319290,0.525500
1,0.946780,0.860310
1,0.223950,0.878050
1,0.689580,0.416850
1,0.201770,0.862530
1,0.013304,0.862530
1,0.627490,0.117520
1,0.694010,0.454550
1,0.399110,0.117520
