Shape,X,Y
0,0.372200,0.249396
0,0.081988,0.546158
0,0.198834,0.709223
0,0.400903,0.109396
0,0.556469,-0.012983
0,0.332796,0.449115
0,0.142929,0.709669
0,0.598165,0.074277
0,0.646068,0.705651
0,0.638863,0.269624
0,0.757881,0.704758
0,0.910326,0.658818
0,0.582586,-0.009465
0,0.114977,0.709892
0,0.450400,0.707214
0,0.677691,0.464995
0,0.366839,0.277390
0,0.379432,0.221379
0,0.701975,0.705205
0,0.674018,0.705428
0,0.356099,0.333386
0,0.656304,0.353346
0,0.444656,-0.012090
0,0.711471,0.494538
0,0.361469,0.305384
0,0.592349,0.046366
0,0.390172,0.165384
0,0.422451,0.707437
0,0.813779,0.704312
0,0.338596,0.708107
0,0.327434,0.477109
0,0.739429,0.494314
0,0.384802,0.193386
0,0.338166,0.421113
0,0.090933,0.499493
0,0.424236,-0.002609
0,0.528520,-0.012760
0,0.350737,0.361379
0,0.413504,0.053385
0,0.226783,0.708999
0,0.785830,0.704535
0,0.345367,0.389373
0,0.202745,0.498600
0,0.633047,0.241720
0,0.586532,0.018458
0,0.310638,0.708330
0,0.082435,0.602064
0,0.478358,0.706990
0,0.910102,0.630860
0,0.082881,0.657970
0,0.534264,0.706544
0,0.869686,0.703865
0,0.909656,0.574954
0,0.823284,0.493645
0,0.118886,0.499270
0,0.767378,0.494091
0,0.506307,0.706767
0,0.081765,0.518209
0,0.082211,0.574107
0,0.683507,0.492899
0,0.603981,0.102181
0,0.314550,0.497707
0,0.615606,0.157998
0,0.146838,0.499047
0,0.609789,0.130086
0,0.618119,0.705874
0,0.621422,0.185903
0,0.660250,0.381273
0,0.082658,0.630013
0,0.394502,0.707660
0,0.500562,-0.012536
0,0.851233,0.493421
0,0.286601,0.497931
0,0.472613,-0.012313
0,0.418866,0.025388
0,0.366545,0.707883
0,0.671875,0.437090
0,0.590162,0.706098
0,0.910549,0.686767
0,0.650487,0.325441
0,0.083104,0.685919
0,0.343535,0.393119
0,0.174788,0.498823
0,0.907139,0.492975
0,0.170885,0.709446
0,0.909433,0.547005
0,0.795327,0.493868
0,0.909209,0.519056
0,0.087024,0.710116
0,0.897635,0.703642
0,0.562213,0.706321
0,0.627230,0.213807
0,0.254740,0.708776
0,0.909879,0.602911
0,0.230694,0.498377
0,0.258643,0.498154
0,0.282689,0.708553
0,0.879182,0.493198
0,0.644671,0.297537
0,0.406273,0.081394
0,0.395533,0.137390
0,0.841737,0.704089
0,0.729924,0.704981
0,0.666067,0.409178
1,0.594738,0.052419
1,0.388256,0.175086
1,0.231602,0.500960
1,0.420757,-0.000633
1,0.913286,0.528402
1,0.391787,0.143317
1,0.666127,0.417928
1,0.370188,0.270423
1,0.209148,0.493632
1,0.182494,0.708524
1,0.836475,0.487809
1,0.397198,0.705302
1,0.292628,0.704091
1,0.084514,0.567233
1,0.214240,0.708324
1,0.179303,0.497551
1,0.610217,0.138210
1,0.123264,0.494173
1,0.677691,0.475740
1,0.804750,0.489878
1,0.916073,0.674023
1,0.641097,0.298593
1,0.627146,0.158642
1,0.907533,0.504169
1,0.909755,0.560171
1,0.341277,0.423714
1,0.871435,0.702313
1,0.262866,0.721087
1,0.652505,0.330260
1,0.244107,0.708136
1,0.085408,0.709136
1,0.598633,0.078537
1,0.656435,0.361982
1,0.406325,0.079749
1,0.475619,0.704807
1,0.906405,0.621807
1,0.095246,0.492480
1,0.350156,0.350834
1,0.671891,0.444038
1,0.355885,0.371337
1,0.580177,0.704148
1,0.686607,0.705347
1,0.763147,0.702995
1,0.733326,0.710652
1,0.334008,0.455498
1,0.610017,0.106473
1,0.361014,0.296620
1,0.689052,0.499946
1,0.773072,0.499417
1,0.427098,0.708852
1,0.104068,0.707149
1,0.579482,0.002102
1,0.658589,0.703654
1,0.365485,0.709240
1,0.750618,0.492089
1,0.350523,0.705596
1,0.088754,0.647499
1,0.450550,-0.013891
1,0.550336,0.709936
1,0.313647,0.483635
1,0.402794,0.111509
1,0.375588,0.238651
1,0.293215,0.500571
1,0.594585,0.028146
1,0.720742,0.492277
1,0.637073,0.251942
1,0.623616,0.190402
1,0.530879,-0.006928
1,0.841567,0.702501
1,0.513998,-0.019892
1,0.793058,0.708406
1,0.562566,-0.016463
1,0.380987,0.206870
1,0.073194,0.548635
1,0.411736,0.049837
1,0.079113,0.599014
1,0.899430,0.700267
1,0.716460,0.701420
1,0.419076,0.029253
1,0.632522,0.715018
1,0.083341,0.677402
1,0.082329,0.516839
1,0.357449,0.322781
1,0.147560,0.497751
1,0.862645,0.491383
1,0.315646,0.504161
1,0.640932,0.272456
1,0.342946,0.391957
1,0.533481,0.702573
1,0.819219,0.711980
1,0.079313,0.630751
1,0.627534,0.220255
1,0.482287,-0.014091
1,0.263327,0.498890
1,0.665927,0.386191
1,0.447694,0.718053
1,0.888782,0.491218
1,0.503625,0.704631
1,0.167544,0.706749
1,0.135832,0.710688
1,0.914027,0.646028
1,0.320659,0.707653
1,0.911813,0.590027
1,0.610068,0.707699
2,0.439753,0.110448
2,0.697714,0.678153
2,0.459821,0.668842
2,0.421847,-0.057223
2,0.432997,0.040403
2,0.969648,0.697889
2,0.609143,0.404690
2,0.433758,0.178437
2,0.527815,-0.096032
2,0.267794,0.504258
2,0.044759,0.494874
2,0.964340,0.504672
2,0.604748,0.377111
2,0.581025,0.311412
2,0.195693,0.523773
2,0.387624,0.669240
2,0.567048,0.088502
2,0.820006,0.518206
2,0.579398,0.016235
2,0.423988,0.331385
2,0.947267,0.489901
2,0.423734,0.671167
2,0.563531,0.220191
2,0.164809,0.700198
2,0.017411,0.541737
2,0.854983,0.698521
2,0.639071,0.440625
2,0.923019,0.713011
2,0.024588,0.688232
2,0.962565,0.568385
2,0.622034,0.432233
2,0.172298,0.517532
2,0.415446,0.322936
2,0.369381,0.442111
2,0.026560,0.660617
2,0.970861,0.532240
2,0.428075,-0.082741
2,0.589613,-0.056024
2,0.581316,-0.019877
2,0.569374,0.124599
2,0.437823,0.144432
2,0.294231,0.678250
2,0.094771,0.706954
2,0.440326,0.214500
2,0.573228,0.052369
2,0.967356,0.666045
2,0.818898,0.702963
2,0.589425,-0.090001
2,0.661639,0.682595
2,0.432039,0.250646
2,0.633978,0.672135
2,0.303822,0.491320
2,0.559089,0.184116
2,0.032392,0.562899
2,0.969285,0.632061
2,0.421616,0.286803
2,0.190307,0.702184
2,0.688117,0.476464
2,0.563145,0.150111
2,0.911262,0.507081
2,0.100112,0.520047
2,0.024097,0.599044
2,0.026420,0.635131
2,0.439167,0.004269
2,0.527787,0.670594
2,0.433196,0.076501
2,0.330294,0.671682
2,0.074571,0.509575
2,0.333400,0.463554
2,0.875222,0.517902
2,0.231745,0.515079
2,0.597856,0.668081
2,0.727512,0.688601
2,0.411428,0.365437
2,0.422046,-0.021123
2,0.464104,-0.095681
2,0.136223,0.521974
2,0.023582,0.505604
2,0.761496,0.690540
2,0.795480,0.692480
2,0.856093,0.515881
2,0.948543,0.721366
2,0.747728,0.503739
2,0.130883,0.708881
2,0.967004,0.602344
2,0.568078,0.275383
2,0.555199,0.249967
2,0.258144,0.680576
2,0.353666,0.673680
2,0.783873,0.512036
2,0.491665,0.666540
2,0.555418,-0.096184
2,0.026911,0.724319
2,0.226300,0.682868
2,0.563886,0.670395
2,0.500214,-0.093757
2,0.409334,0.369692
2,0.886888,0.708967
2,0.058741,0.719900
2,0.662525,0.457487
2,0.717951,0.495408
2,0.386173,0.405919
2,0.581224,0.347510
3,0.360418,0.280705
3,0.923278,0.579622
3,0.420011,0.446681
3,0.638309,-0.002249
3,0.226546,0.523459
3,0.784999,0.465411
3,0.585323,0.704116
3,0.555013,0.706019
3,0.373358,0.713692
3,0.084659,0.590207
3,0.223056,0.702545
3,0.103306,0.685722
3,0.387994,0.384313
3,0.912123,0.729924
3,0.366077,0.311247
3,0.346413,0.538399
3,0.343155,0.713719
3,0.437476,0.530802
3,0.383050,0.372687
3,0.844121,0.486045
3,0.915832,0.669758
3,0.855491,0.730203
3,0.735856,0.711507
3,0.814614,0.474786
3,0.903243,0.506672
3,0.448263,0.508825
3,0.695559,0.446686
3,0.193210,0.696925
3,0.464065,0.711733
3,0.313193,0.709983
3,0.665364,0.446714
3,0.088393,0.560244
3,0.583990,0.235975
3,0.371744,0.341797
3,0.379058,0.100672
3,0.591427,0.145847
3,0.651828,0.421339
3,0.286248,0.534690
3,0.592000,-0.016428
3,0.825520,0.726474
3,0.589657,0.266526
3,0.622078,-0.014574
3,0.614144,0.328429
3,0.253027,0.706273
3,0.494268,0.711714
3,0.077215,0.680343
3,0.433755,0.713644
3,0.640521,0.390449
3,0.358508,0.250386
3,0.608297,0.086493
3,0.921424,0.609709
3,0.561797,-0.016403
3,0.167194,0.506589
3,0.524694,0.707929
3,0.403065,0.415443
3,0.386561,0.070934
3,0.403552,0.713672
3,0.441235,-0.020060
3,0.873620,0.497296
3,0.435082,0.477811
3,0.412799,-0.018039
3,0.629215,0.359551
3,0.795673,0.720855
3,0.598930,0.116108
3,0.406926,0.536469
3,0.725529,0.450423
3,0.471321,-0.018205
3,0.531603,-0.016377
3,0.501516,-0.018232
3,0.765703,0.717118
3,0.705885,0.707769
3,0.645720,0.704060
3,0.092102,0.500079
3,0.088368,0.530041
3,0.371565,0.130403
3,0.196815,0.515966
3,0.585816,0.175694
3,0.617674,0.056873
3,0.925133,0.549544
3,0.582079,0.205665
3,0.926987,0.519457
3,0.919569,0.639788
3,0.376616,0.538371
3,0.163239,0.693188
3,0.755260,0.457917
3,0.107840,0.489719
3,0.885453,0.733940
3,0.360362,0.220308
3,0.675807,0.705915
3,0.913978,0.699837
3,0.316218,0.538427
3,0.615525,0.704089
3,0.283106,0.708128
3,0.362217,0.190221
3,0.365953,0.160258
3,0.600963,0.297415
3,0.403431,0.011581
3,0.395929,0.041315
3,0.628932,0.027370
3,0.079070,0.650256
3,0.082804,0.620293
3,0.133273,0.689459
3,0.137459,0.499096
3,0.256401,0.529079
4,0.905390,0.597468
4,0.773392,0.471532
4,0.418062,0.051509
4,0.596308,0.210937
4,0.422994,0.717934
4,0.084026,0.648350
4,0.501400,0.002126
4,0.596346,0.017711
4,0.175386,0.700562
4,0.088497,0.593351
4,0.644464,0.704599
4,0.800584,0.480195
4,0.827775,0.488858
4,0.693581,0.408825
4,0.230200,0.708712
4,0.649793,0.323912
4,0.450713,0.715575
4,0.092934,0.692941
4,0.746200,0.462869
4,0.533861,0.708513
4,0.587408,0.127701
