Shape,X,Y
1,0.171990,0.709426
1,0.145087,0.709727
1,0.118636,0.709470
1,0.090014,0.711901
1,0.083044,0.688370
1,0.082945,0.661087
1,0.082676,0.634447
1,0.082498,0.607538
1,0.082205,0.580758
1,0.082279,0.553803
1,0.080945,0.527419
1,0.088978,0.501230
1,0.114547,0.498614
1,0.141860,0.499331
1,0.168524,0.498789
1,0.195418,0.498695
1,0.222209,0.498397
1,0.249137,0.498385
1,0.275627,0.497444
1,0.303724,0.499914
1,0.323874,0.486494
1,0.331072,0.459650
1,0.336120,0.433728
1,0.339262,0.406624
1,0.348489,0.381678
1,0.351577,0.354671
1,0.357140,0.328488
1,0.362077,0.302096
1,0.367160,0.275752
1,0.372200,0.249396
1,0.379432,0.221379
1,0.384487,0.195026
1,0.389543,0.168674
1,0.394581,0.142318
1,0.399677,0.115970
1,0.404555,0.089597
1,0.410782,0.063428
1,0.417277,0.037694
1,0.419674,0.009690
1,0.434890,-0.009570
1,0.462192,-0.012810
1,0.488738,-0.012259
1,0.515820,-0.012760
1,0.541984,-0.012664
1,0.570948,-0.013261
1,0.586388,0.001771
1,0.588231,0.030772
1,0.594650,0.056287
1,0.599872,0.082758
1,0.605410,0.108975
1,0.610863,0.135258
1,0.616342,0.161523
1,0.621815,0.187793
1,0.627283,0.214063
1,0.632758,0.240332
1,0.638231,0.266601
1,0.643710,0.292869
1,0.649127,0.319149
1,0.654840,0.345373
1,0.658866,0.371906
1,0.663676,0.398246
1,0.669171,0.424679
1,0.675202,0.450254
1,0.678561,0.478945
1,0.692288,0.495801
1,0.721444,0.494047
1,0.747659,0.494357
1,0.774659,0.493999
1,0.801426,0.493847
1,0.828343,0.493541
1,0.854959,0.493566
1,0.882354,0.492726
1,0.907928,0.493912
1,0.909047,0.521645
1,0.909470,0.548161
1,0.909656,0.575035
1,0.909863,0.601869
1,0.910129,0.628698
1,0.910073,0.655529
1,0.911557,0.682379
1,0.896614,0.704141
1,0.869620,0.703858
1,0.842778,0.704044
1,0.815965,0.704316
1,0.789123,0.704500
1,0.762294,0.704726
1,0.735460,0.704936
1,0.708628,0.705152
1,0.681796,0.705366
1,0.654964,0.705580
1,0.628131,0.705794
1,0.601299,0.706009
1,0.574467,0.706223
1,0.547634,0.706437
1,0.520802,0.706651
1,0.493969,0.706865
1,0.467137,0.707080
1,0.440305,0.707295
