Shape,X,Y
1,0.317570,0.488740
1,0.310810,0.522520
1,0.304050,0.556310
1,0.297300,0.590090
1,0.281530,0.614860
1,0.247750,0.614860
1,0.213960,0.614860
1,0.180180,0.614860
1,0.146400,0.614860
1,0.112610,0.614860
1,0.078829,0.614860
1,0.045045,0.614860
1,0.011261,0.614860
1,0.000000,0.637390
1,0.000000,0.671170
1,0.000000,0.704950
1,0.000000,0.738740
1,0.000000,0.772520
1,0.000000,0.806310
1,0.000000,0.840090
1,0.004504,0.869370
1,0.038288,0.869370
1,0.072072,0.869370
1,0.105860,0.869370
1,0.139640,0.869370
1,0.173420,0.869370
1,0.207210,0.869370
1,0.240990,0.869370
1,0.274770,0.869370
1,0.308560,0.869370
1,0.342340,0.869370
1,0.376130,0.869370
1,0.409910,0.869370
1,0.443690,0.869370
1,0.477480,0.869370
1,0.511260,0.869370
1,0.545050,0.869370
1,0.578830,0.869370
1,0.612610,0.869370
1,0.646400,0.869370
1,0.680180,0.869370
1,0.713960,0.869370
1,0.747750,0.869370
1,0.781530,0.869370
1,0.815320,0.869370
1,0.849100,0.869370
1,0.882880,0.869370
1,0.916670,0.869370
1,0.950450,0.869370
1,0.984230,0.869370
1,1.000000,0.849100
1,1.000000,0.815320
1,1.000000,0.781530
1,1.000000,0.747750
1,1.000000,0.713960
1,1.000000,0.680180
1,1.000000,0.646400
1,0.997750,0.614860
1,0.963960,0.614860
1,0.930180,0.614860
1,0.896400,0.614860
1,0.862610,0.614860
1,0.828830,0.614860
1,0.795050,0.614860
1,0.761260,0.614860
1,0.727480,0.612610
1,0.720720,0.578830
1,0.713960,0.545050
1,0.707210,0.511260
1,0.700450,0.477480
1,0.695950,0.443690
1,0.689190,0.409910
1,0.682430,0.376130
1,0.675680,0.342340
1,0.668920,0.308560
1,0.662160,0.274770
1,0.655410,0.240990
1,0.648650,0.207210
1,0.641890,0.173420
1,0.635140,0.139640
1,0.628380,0.105860
1,0.621620,0.072072
1,0.614860,0.038288
1,0.610360,0.004504
1,0.578830,0.000000
1,0.545050,0.000000
1,0.511260,0.000000
1,0.477480,0.000000
1,0.443690,0.000000
1,0.418920,0.011261
1,0.412160,0.045045
1,0.405410,0.078829
1,0.396400,0.112610
1,0.389640,0.146400
1,0.382880,0.180180
1,0.376130,0.213960
1,0.369370,0.247750
1,0.362610,0.281530
1,0.353600,0.315320
1,0.346850,0.349100
1,0.340090,0.382880
1,0.333330,0.416670
1,0.326580,0.450450
1,0.319820,0.484230
2,0.321510,0.487800
2,0.319290,0.525500
2,0.310420,0.563190
2,0.286030,0.596450
2,0.288250,0.620840
2,0.261640,0.616410
2,0.226160,0.614190
2,0.188470,0.616410
2,0.161860,0.607540
2,0.126390,0.611970
2,0.088692,0.611970
2,0.059867,0.607540
2,0.026608,0.605320
2,0.011086,0.634150
2,0.000000,0.671840
2,0.013304,0.694010
2,0.006652,0.731710
2,0.006652,0.769400
2,0.017738,0.789360
2,0.011086,0.824830
2,0.013304,0.862530
2,0.035477,0.860310
2,0.073171,0.864750
2,0.110860,0.860310
2,0.128600,0.862530
2,0.166300,0.862530
2,0.201770,0.862530
2,0.223950,0.878050
2,0.259420,0.858090
2,0.292680,0.862530
2,0.328160,0.860310
2,0.345900,0.864750
2,0.383590,0.860310
2,0.419070,0.864750
2,0.443460,0.875830
2,0.476720,0.860310
2,0.509980,0.860310
2,0.545450,0.858090
2,0.565410,0.866960
2,0.600890,0.860310
2,0.636360,0.864750
2,0.662970,0.873610
2,0.694010,0.860310
2,0.727270,0.862530
2,0.762750,0.858090
2,0.782710,0.869180
2,0.818180,0.860310
2,0.853660,0.866960
2,0.884700,0.871400
2,0.911310,0.860310
2,0.946780,0.860310
2,0.980040,0.858090
2,1.000000,0.827050
2,0.997780,0.793790
2,0.988910,0.764970
2,0.995570,0.727270
2,0.993350,0.691800
2,0.997780,0.654100
2,0.991130,0.625280
2,0.968960,0.609760
2,0.937920,0.609760
2,0.906870,0.605320
2,0.869180,0.607540
2,0.831490,0.618630
2,0.804880,0.609760
2,0.769400,0.609760
2,0.731710,0.618630
2,0.718400,0.589800
2,0.711750,0.552110
2,0.705100,0.521060
2,0.705100,0.483370
2,0.694010,0.454550
2,0.689580,0.416850
2,0.676270,0.379160
2,0.676270,0.348120
2,0.671840,0.323730
2,0.660750,0.286030
2,0.656320,0.250550
2,0.660750,0.212860
2,0.640800,0.188470
2,0.640800,0.150780
2,0.627490,0.117520
2,0.623060,0.086475
2,0.623060,0.057650
2,0.605320,0.026608
2,0.585370,0.004435
2,0.547670,0.015521
2,0.527720,0.000000
2,0.490020,0.006652
2,0.452330,0.006652
2,0.416850,0.022173
2,0.414630,0.057650
2,0.405760,0.082040
2,0.399110,0.117520
2,0.394680,0.155210
2,0.381370,0.192900
2,0.376940,0.230600
2,0.368070,0.268290
2,0.361420,0.305990
2,0.354770,0.343680
2,0.343680,0.374720
2,0.339250,0.405760
2,0.330380,0.439020
