SHAPE,LANDMARK,X,Y
1,1,-0.054,-0.378
1,2,-0.162,0.059
1,3,-0.368,0.071
1,4,-0.367,0.240
1,5,0.345,0.254
1,6,0.359,0.069
1,7,0.162,0.064
1,8,0.085,-0.380
2,1,-0.062,-0.380
2,2,-0.164,0.066
2,3,-0.359,0.051
2,4,-0.372,0.244
2,5,0.350,0.250
2,6,0.361,0.076
2,7,0.167,0.068
2,8,0.078,-0.375
3,1,-0.048,-0.377
3,2,-0.101,0.035
3,3,-0.373,0.081
3,4,-0.374,0.253
3,5,0.352,0.263
3,6,0.366,0.093
3,7,0.098,0.032
3,8,0.080,-0.380
4,1,-0.099,-0.386
4,2,-0.074,0.096
4,3,-0.364,0.062
4,4,-0.389,0.229
4,5,0.344,0.268
4,6,0.356,0.083
4,7,0.126,0.021
4,8,0.100,-0.374
5,1,-0.061,-0.381
5,2,-0.124,0.095
5,3,-0.374,0.076
5,4,-0.383,0.224
5,5,0.341,0.270
5,6,0.356,0.076
5,7,0.171,0.008
5,8,0.074,-0.367
6,1,-0.085,-0.387
6,2,-0.097,0.051
6,3,-0.368,0.067
6,4,-0.365,0.243
6,5,0.349,0.263
6,6,0.366,0.089
6,7,0.101,0.055
6,8,0.099,-0.382
7,1,-0.068,-0.387
7,2,-0.044,0.074
7,3,-0.374,0.089
7,4,-0.387,0.221
7,5,0.347,0.267
7,6,0.360,0.112
7,7,0.102,0.012
7,8,0.065,-0.388
8,1,-0.081,-0.349
8,2,-0.072,0.013
8,3,-0.334,0.036
8,4,-0.430,0.271
8,5,0.403,0.290
8,6,0.355,0.060
8,7,0.064,0.026
8,8,0.095,-0.347
9,1,-0.049,-0.350
9,2,-0.111,0.013
9,3,-0.340,0.043
9,4,-0.421,0.270
9,5,0.406,0.291
9,6,0.340,0.057
9,7,0.105,0.023
9,8,0.071,-0.347
10,1,-0.071,-0.398
10,2,-0.056,0.088
10,3,-0.340,0.085
10,4,-0.408,0.229
10,5,0.354,0.274
10,6,0.335,0.092
10,7,0.111,0.018
10,8,0.077,-0.388
