Two Sample SPM Results
T2_critical = 39.407
p = 0.405
X0,Y0,X1,Y1,T2
0.140875,0.701909,0.131179,0.704231,0.856
0.112368,0.702205,0.102145,0.709750,1.265
0.087134,0.699622,0.073144,0.710671,1.644
0.071546,0.687144,0.058642,0.697716,0.866
0.072489,0.657971,0.048512,0.682464,1.982
0.074288,0.629885,0.046983,0.659041,2.127
0.072207,0.602087,0.050507,0.629367,1.060
0.073995,0.573374,0.055341,0.600702,0.802
0.077446,0.545985,0.067393,0.574934,0.634
0.078972,0.525613,0.083686,0.556416,2.231
0.094196,0.510877,0.105657,0.546030,3.798
0.115047,0.503445,0.129516,0.535874,4.549
0.142226,0.509692,0.152213,0.524036,1.502
0.170101,0.514758,0.174926,0.512345,0.067
0.198338,0.516223,0.198123,0.503090,2.115
0.226480,0.517118,0.226540,0.500191,4.050
0.254334,0.520890,0.256446,0.498271,8.308
0.282590,0.518698,0.286374,0.497230,8.722
0.310429,0.517026,0.316301,0.496081,8.683
0.339078,0.515757,0.346516,0.494856,11.328
0.355559,0.497215,0.374431,0.488685,3.112
0.366718,0.472755,0.389985,0.471548,0.754
0.370974,0.448641,0.394935,0.455230,0.674
0.369817,0.420677,0.399759,0.436808,2.419
0.374477,0.392157,0.399897,0.411467,3.403
0.374542,0.364909,0.394580,0.382456,2.546
0.370703,0.338793,0.391073,0.353882,3.261
0.372727,0.310495,0.388218,0.324696,2.024
0.375771,0.282874,0.386594,0.295062,1.163
0.378770,0.254952,0.385623,0.265226,0.640
0.380443,0.226466,0.385142,0.235390,0.413
0.383800,0.198418,0.385523,0.205436,0.188
0.388128,0.170299,0.387004,0.175517,0.070
0.391513,0.142352,0.389138,0.145688,0.034
0.396097,0.114846,0.391634,0.115975,0.099
0.402002,0.087021,0.395060,0.086388,0.316
0.407657,0.059563,0.399019,0.057315,0.650
0.411346,0.033454,0.402686,0.027741,0.903
0.416134,0.005352,0.414947,0.004134,0.046
0.428555,-0.018491,0.437987,-0.005557,2.135
0.453789,-0.027636,0.465028,-0.013449,1.710
0.482008,-0.028373,0.494726,-0.016063,1.951
0.509963,-0.027831,0.523420,-0.013056,2.437
0.537630,-0.026813,0.553702,-0.013771,3.165
0.565612,-0.025724,0.577420,-0.011282,2.675
0.583602,-0.011973,0.594633,-0.000564,6.975
0.594114,0.007764,0.604696,0.022979,6.296
0.600373,0.032394,0.604663,0.053575,2.357
0.601007,0.059944,0.602402,0.083215,1.522
0.598751,0.087607,0.599524,0.112955,1.189
0.598164,0.115269,0.596588,0.142504,0.912
0.600628,0.142112,0.593894,0.172029,1.165
0.598159,0.170121,0.591796,0.201711,1.333
0.599653,0.198185,0.590045,0.231481,1.809
0.603083,0.225931,0.589844,0.261398,2.425
0.605971,0.253368,0.591989,0.291247,2.570
0.613614,0.280364,0.595110,0.321041,3.606
0.622327,0.307214,0.599647,0.350329,4.262
0.628747,0.334490,0.604962,0.380214,3.679
0.641056,0.360977,0.619039,0.401251,4.656
0.649056,0.387653,0.636123,0.418260,4.235
0.657347,0.414841,0.651039,0.436958,3.088
0.669003,0.438592,0.667374,0.454172,2.360
0.680678,0.464701,0.693319,0.461066,0.354
0.702002,0.477760,0.722919,0.459390,2.223
0.730489,0.479663,0.752917,0.461148,2.637
0.758044,0.484940,0.782631,0.464578,3.701
0.785637,0.490423,0.812279,0.469006,5.152
0.813324,0.492652,0.840081,0.477212,5.379
0.841039,0.495428,0.865276,0.490111,3.691
0.869041,0.500191,0.885855,0.508581,0.562
0.895550,0.502021,0.906111,0.524365,5.890
0.915653,0.509814,0.926903,0.539266,1.547
0.924521,0.533465,0.943634,0.562654,1.845
0.923704,0.561967,0.951879,0.590826,2.836
0.922162,0.590106,0.953270,0.620137,2.909
0.921246,0.618421,0.956231,0.649783,3.281
0.922243,0.646522,0.957060,0.680451,3.035
0.921400,0.674819,0.952805,0.707164,2.991
0.918064,0.702438,0.941398,0.727206,2.915
0.899470,0.717550,0.922871,0.740509,4.476
0.870891,0.715356,0.894474,0.738464,6.861
0.843089,0.715330,0.865410,0.729941,5.615
0.815231,0.711523,0.836992,0.722250,7.242
0.787023,0.709232,0.808779,0.712713,3.978
0.759261,0.707280,0.780270,0.704499,3.239
0.731628,0.703262,0.751517,0.698293,3.150
0.703336,0.702732,0.722701,0.692113,4.175
0.675192,0.699742,0.693593,0.686711,3.559
0.647253,0.701958,0.664234,0.682690,4.000
0.619465,0.700163,0.634571,0.679638,3.470
0.591302,0.697426,0.604751,0.677800,2.916
0.562884,0.699892,0.574679,0.676828,2.794
0.534908,0.699547,0.544737,0.677026,2.404
0.506582,0.700803,0.514800,0.675941,2.234
0.478184,0.700754,0.484802,0.676486,1.881
0.450274,0.704849,0.454791,0.677199,2.056
0.422399,0.703830,0.424820,0.677507,2.036
0.394050,0.702317,0.394898,0.678086,1.859
0.365675,0.704400,0.365083,0.678674,2.536
0.337458,0.702220,0.335479,0.679735,2.555
0.309167,0.703442,0.306143,0.681596,3.724
0.280849,0.702917,0.276541,0.684097,4.003
0.251954,0.705191,0.247175,0.686724,5.386
0.225203,0.704076,0.218211,0.690596,12.337
0.197224,0.703531,0.189287,0.695027,2.328
0.168991,0.702909,0.160447,0.698989,0.624
