Shape,X,Y
0,0.000000,0.517010
0,0.554420,0.925170
0,0.285710,0.034014
0,0.619050,0.710880
0,0.064626,0.380950
0,0.040816,0.428570
0,0.568030,0.360540
0,0.163270,0.156460
0,0.619050,0.734690
0,0.615650,0.591840
0,0.159860,0.180270
0,0.615650,0.431970
0,0.619050,0.455780
0,0.068027,0.768710
0,0.367350,0.013605
0,0.129250,0.244900
0,0.027211,0.452380
0,0.047619,0.649660
0,0.037415,0.547620
0,0.530610,0.217690
0,0.510200,0.962590
0,0.585030,0.877550
0,0.608840,0.806120
0,0.306120,0.013605
0,0.051020,0.578230
0,0.462590,0.965990
0,0.323130,0.996600
0,0.343540,0.003401
0,0.163270,0.204080
0,0.619050,0.639460
0,0.081633,0.357140
0,0.646260,0.527210
0,0.000000,0.493200
0,0.391160,0.027211
0,0.517010,0.146260
0,0.132650,0.911560
0,0.479590,0.102040
0,0.370750,0.979590
0,0.051020,0.404760
0,0.183670,0.136050
0,0.438780,0.955780
0,0.051020,0.721090
0,0.530610,0.193880
0,0.394560,0.965990
0,0.108840,0.292520
0,0.639460,0.503400
0,0.459180,0.085034
0,0.619050,0.687070
0,0.414970,0.945580
0,0.108840,0.316330
0,0.047619,0.602040
0,0.605440,0.829930
0,0.503400,0.122450
0,0.561220,0.312930
0,0.047619,0.673470
0,0.619050,0.615650
0,0.248300,0.081633
0,0.180270,0.959180
0,0.486390,0.965990
0,0.061224,0.744900
0,0.615650,0.782310
0,0.275510,1.000000
0,0.251700,0.996600
0,0.095238,0.863950
0,0.146260,0.224490
0,0.551020,0.289120
0,0.608840,0.408160
0,0.115650,0.887760
0,0.411560,0.047619
0,0.346940,0.986390
0,0.227890,0.993200
0,0.537410,0.265310
0,0.595240,0.387760
0,0.013605,0.540820
0,0.619050,0.758500
0,0.530610,0.241500
0,0.642860,0.551020
0,0.435370,0.064626
0,0.112240,0.268710
0,0.207480,0.115650
0,0.047619,0.697280
0,0.268710,0.057823
0,0.074830,0.816330
0,0.105440,0.340140
0,0.625850,0.479590
0,0.081633,0.840140
0,0.057823,0.554420
0,0.571430,0.901360
0,0.156460,0.935370
0,0.527210,0.170070
0,0.319730,0.000000
0,0.534010,0.945580
0,0.006803,0.476190
0,0.632650,0.574830
0,0.227890,0.098639
0,0.564630,0.336730
0,0.071429,0.792520
0,0.204080,0.979590
0,0.619050,0.663270
0,0.574830,0.380950
0,0.595240,0.853740
0,0.299320,1.000000
0,0.047619,0.625850
1,0.013158,0.569080
1,0.470390,0.141450
1,0.483550,0.187500
1,0.358550,0.029605
1,0.138160,0.138160
1,0.003289,0.490130
1,0.592110,0.460530
1,0.588820,0.733550
1,0.121710,0.161180
1,0.223680,0.990130
1,0.529610,0.325660
1,0.588820,0.825660
1,0.470390,0.944080
1,0.000000,0.500000
1,0.572370,0.618420
1,0.088816,0.901320
1,0.496710,0.256580
1,0.177630,0.970390
1,0.154610,0.092105
1,0.042763,0.832240
1,0.592110,0.575660
1,0.536180,0.371710
1,0.055921,0.855260
1,0.108550,0.345390
1,0.032895,0.585530
1,0.549340,0.394740
1,0.585530,0.437500
1,0.490130,0.233550
1,0.003289,0.546050
1,0.128290,0.299340
1,0.601970,0.483550
1,0.023026,0.740130
1,0.407890,0.953950
1,0.582240,0.687500
1,0.424340,0.940790
1,0.427630,0.078947
1,0.384870,0.970390
1,0.289470,0.000000
1,0.381580,0.046053
1,0.009868,0.467110
1,0.575660,0.641450
1,0.601970,0.529610
1,0.312500,0.006579
1,0.069079,0.878290
1,0.069079,0.378290
1,0.588820,0.779610
1,0.559210,0.894740
1,0.029605,0.671050
1,0.486840,0.210530
1,0.200660,0.049342
1,0.052632,0.398030
1,0.463820,0.118420
1,0.023026,0.786180
1,0.131580,0.944080
1,0.516450,0.930920
1,0.200660,0.980260
1,0.154610,0.960530
1,0.243420,0.016447
1,0.128290,0.230260
1,0.539470,0.914470
1,0.335530,0.016447
1,0.220390,0.029605
1,0.023026,0.763160
1,0.128290,0.207240
1,0.292760,1.000000
1,0.598680,0.552630
1,0.026316,0.694080
1,0.361840,0.986840
1,0.029605,0.809210
1,0.000000,0.523030
1,0.447370,0.947370
1,0.118420,0.322370
1,0.128290,0.253290
1,0.588820,0.756580
1,0.128290,0.276320
1,0.404610,0.062500
1,0.601970,0.506580
1,0.269740,1.000000
1,0.108550,0.924340
1,0.493420,0.940790
1,0.246710,0.996710
1,0.092105,0.368420
1,0.144740,0.115130
1,0.578950,0.664470
1,0.125000,0.184210
1,0.585530,0.848680
1,0.513160,0.279610
1,0.026316,0.444080
1,0.572370,0.414470
1,0.585530,0.710530
1,0.266450,0.009868
1,0.338820,0.996710
1,0.032895,0.648030
1,0.450660,0.095395
1,0.039474,0.421050
1,0.315790,0.996710
1,0.036184,0.625000
1,0.526320,0.302630
1,0.588820,0.802630
1,0.575660,0.595390
1,0.177630,0.069079
1,0.578950,0.871710
1,0.039474,0.601970
1,0.532890,0.348680
1,0.026316,0.717110
1,0.480260,0.164470
2,0.566670,0.753330
2,0.216670,0.996670
2,0.286670,1.000000
2,0.053333,0.806670
2,0.010000,0.486670
2,0.163330,0.106670
2,0.030000,0.690000
2,0.536670,0.350000
2,0.003333,0.503330
2,0.563330,0.846670
2,0.123330,0.923330
2,0.276670,0.013333
2,0.500000,0.186670
2,0.046667,0.396670
2,0.036667,0.736670
2,0.186670,0.083333
2,0.590000,0.466670
2,0.033333,0.596670
2,0.483330,0.140000
2,0.093333,0.286670
2,0.600000,0.583330
2,0.030000,0.643330
2,0.083333,0.876670
2,0.060000,0.830000
2,0.566670,0.636670
2,0.050000,0.783330
2,0.240000,1.000000
2,0.356670,0.976670
2,0.560000,0.870000
2,0.546670,0.393330
2,0.333330,0.983330
2,0.570000,0.613330
2,0.036667,0.540000
2,0.493330,0.163330
2,0.493330,0.956670
2,0.193330,0.986670
2,0.030000,0.713330
2,0.323330,0.003333
2,0.470000,0.116670
2,0.060000,0.373330
2,0.433330,0.070000
2,0.046667,0.550000
2,0.566670,0.823330
2,0.136670,0.153330
2,0.300000,0.000000
2,0.413330,0.053333
2,0.256670,0.026667
2,0.566670,0.660000
2,0.036667,0.573330
2,0.090000,0.333330
2,0.566670,0.776670
2,0.083333,0.356670
2,0.030000,0.666670
2,0.346670,0.013333
2,0.546670,0.893330
2,0.586670,0.443330
2,0.470000,0.966670
2,0.423330,0.960000
2,0.503330,0.210000
2,0.030000,0.440000
2,0.453330,0.093333
2,0.310000,0.993330
2,0.013333,0.550000
2,0.263330,1.000000
2,0.590000,0.490000
2,0.523330,0.303330
2,0.393330,0.036667
2,0.090000,0.310000
2,0.510000,0.280000
2,0.030000,0.620000
2,0.516670,0.940000
2,0.503330,0.256670
2,0.370000,0.020000
2,0.540000,0.373330
2,0.140000,0.200000
2,0.563330,0.706670
2,0.503330,0.233330
2,0.000000,0.526670
2,0.146670,0.946670
2,0.380000,0.960000
2,0.136670,0.176670
2,0.046667,0.760000
2,0.566670,0.800000
2,0.143330,0.130000
2,0.036667,0.416670
2,0.070000,0.853330
2,0.020000,0.463330
2,0.533330,0.326670
2,0.123330,0.243330
2,0.106670,0.263330
2,0.563330,0.683330
2,0.233330,0.043333
2,0.533330,0.916670
2,0.596670,0.560000
2,0.566670,0.400000
2,0.446670,0.966670
2,0.580000,0.420000
2,0.210000,0.063333
2,0.170000,0.970000
2,0.590000,0.513330
2,0.100000,0.900000
2,0.593330,0.536670
2,0.580000,0.593330
2,0.400000,0.946670
2,0.143330,0.223330
2,0.563330,0.730000
3,0.030303,0.633000
3,0.020202,0.468010
3,0.589230,0.734010
3,0.417510,0.053872
3,0.030303,0.444440
3,0.188550,0.084175
3,0.138050,0.178450
3,0.164980,0.107740
3,0.582490,0.407410
3,0.090909,0.313130
3,0.542090,0.353540
3,0.585860,0.828280
3,0.212120,0.063973
3,0.030303,0.680130
3,0.400670,0.952860
3,0.235690,0.043771
3,0.518520,0.939390
3,0.037037,0.420880
3,0.589230,0.757580
3,0.612790,0.548820
3,0.259260,0.026936
3,0.602690,0.501680
3,0.141410,0.202020
3,0.239060,0.996630
3,0.033670,0.727270
3,0.087542,0.892260
3,0.279460,0.013468
3,0.047138,0.797980
3,0.606060,0.525250
3,0.424240,0.966330
3,0.602690,0.454550
3,0.000000,0.531990
3,0.585860,0.686870
3,0.488220,0.141410
3,0.585860,0.710440
3,0.373740,0.020202
3,0.191920,0.983160
3,0.380470,0.973060
3,0.047138,0.400670
3,0.528620,0.306400
3,0.397310,0.037037
3,0.037037,0.750840
3,0.498320,0.164980
3,0.060606,0.377100
3,0.084175,0.360270
3,0.104380,0.915820
3,0.592590,0.606060
3,0.060606,0.845120
3,0.043771,0.774410
3,0.286200,1.000000
3,0.538720,0.919190
3,0.303030,0.000000
3,0.090909,0.336700
3,0.070707,0.868690
3,0.124580,0.245790
3,0.356900,0.986530
3,0.457910,0.094276
3,0.505050,0.188550
3,0.003367,0.508420
3,0.000000,0.555560
3,0.030303,0.609430
3,0.144780,0.131310
3,0.515150,0.282830
3,0.333330,0.993270
3,0.350170,0.013468
3,0.602690,0.478110
3,0.215490,0.993270
3,0.579120,0.639730
3,0.144780,0.225590
3,0.508420,0.235690
3,0.030303,0.703700
3,0.616160,0.572390
3,0.474750,0.117850
3,0.037037,0.585860
3,0.030303,0.656570
3,0.023569,0.569020
3,0.094276,0.289560
3,0.494950,0.952860
3,0.144780,0.956230
3,0.168350,0.973060
3,0.585860,0.804710
3,0.121210,0.936030
3,0.555560,0.898990
3,0.589230,0.781140
3,0.545450,0.377100
3,0.575760,0.616160
3,0.575760,0.851850
3,0.471380,0.966330
3,0.582490,0.663300
3,0.050505,0.821550
3,0.612790,0.595960
3,0.262630,0.996630
3,0.447810,0.969700
3,0.010101,0.491580
3,0.437710,0.070707
3,0.309760,0.996630
3,0.107740,0.265990
3,0.138050,0.154880
3,0.326600,0.003367
3,0.592590,0.430980
3,0.565660,0.875420
3,0.558920,0.390570
3,0.508420,0.212120
3,0.508420,0.259260
3,0.538720,0.329970
4,0.340000,0.986670
4,0.583330,0.810000
4,0.166670,0.120000
4,0.056667,0.563330
4,0.046667,0.703330
4,0.050000,0.586670
4,0.476670,0.103330
4,0.506670,0.150000
4,0.406670,0.946670
4,0.583330,0.763330
4,0.093333,0.866670
4,0.153330,0.936670
4,0.600000,0.430000
4,0.533330,0.290000
4,0.046667,0.610000
4,0.523330,0.266670
4,0.580000,0.740000
4,0.556670,0.383330
4,0.013333,0.550000
4,0.580000,0.716670
4,0.213330,0.073333
4,0.156670,0.143330
4,0.046667,0.433330
4,0.200000,0.980000
4,0.303330,0.006667
4,0.113330,0.890000
4,0.106670,0.323330
4,0.153330,0.166670
4,0.060000,0.750000
4,0.316670,0.996670
4,0.606670,0.476670
4,0.086667,0.363330
4,0.476670,0.966670
4,0.106670,0.300000
4,0.590000,0.600000
4,0.590000,0.406670
4,0.606670,0.500000
4,0.260000,0.036667
4,0.513330,0.173330
4,0.613330,0.570000
4,0.036667,0.556670
4,0.500000,0.963330
4,0.606670,0.523330
4,0.573330,0.393330
4,0.053333,0.410000
4,0.190000,0.096667
4,0.523330,0.946670
4,0.583330,0.786670
4,0.543330,0.926670
4,0.280000,0.020000
4,0.176670,0.960000
4,0.560000,0.903330
4,0.326670,0.000000
4,0.440000,0.060000
4,0.013333,0.480000
4,0.080000,0.843330
4,0.153330,0.190000
4,0.373330,0.016667
4,0.066667,0.386670
4,0.270000,1.000000
4,0.160000,0.213330
4,0.576670,0.856670
4,0.066667,0.773330
4,0.223330,0.993330
4,0.520000,0.196670
4,0.573330,0.880000
4,0.460000,0.080000
4,0.130000,0.913330
4,0.070000,0.796670
4,0.106670,0.346670
4,0.146670,0.233330
4,0.583330,0.670000
4,0.583330,0.623330
4,0.550000,0.336670
4,0.030000,0.456670
4,0.420000,0.043333
4,0.546670,0.313330
4,0.046667,0.656670
4,0.580000,0.833330
4,0.350000,0.006667
4,0.116670,0.276670
4,0.046667,0.633330
4,0.493330,0.126670
4,0.603330,0.453330
4,0.580000,0.693330
4,0.386670,0.966670
4,0.520000,0.220000
4,0.430000,0.956670
4,0.453330,0.966670
4,0.073333,0.820000
4,0.000000,0.503330
4,0.130000,0.253330
4,0.000000,0.526670
4,0.363330,0.980000
4,0.396670,0.026667
4,0.236670,0.053333
4,0.610000,0.546670
4,0.610000,0.593330
4,0.293330,1.000000
4,0.520000,0.243330
4,0.246670,0.996670
4,0.046667,0.680000
4,0.556670,0.360000
4,0.583330,0.646670
4,0.050000,0.726670
5,0.117850,0.885520
5,0.037037,0.420880
5,0.457910,0.956230
5,0.602690,0.565660
5,0.538720,0.878790
