Shape,X,Y
0,-0.024789,0.528245
0,0.535269,0.918056
0,0.245579,0.042176
0,0.593664,0.704038
0,0.035661,0.391737
0,0.013323,0.439545
0,0.533894,0.358266
0,0.127489,0.166717
0,0.594291,0.727629
0,0.587163,0.586183
0,0.124737,0.190398
0,0.582955,0.427785
0,0.586950,0.451286
0,0.049236,0.775838
0,0.325930,0.019806
0,0.096109,0.255239
0,0.000470,0.463494
0,0.025882,0.658421
0,0.013087,0.557589
0,0.493058,0.217716
0,0.492441,0.956296
0,0.564344,0.870069
0,0.586055,0.798670
0,0.265264,0.021418
0,0.027372,0.587559
0,0.445359,0.960917
0,0.307988,0.994916
0,0.302071,0.010323
0,0.128742,0.213899
0,0.591785,0.633276
0,0.051885,0.367698
0,0.615790,0.521343
0,-0.025416,0.504654
0,0.349879,0.032660
0,0.477704,0.147301
0,0.117023,0.915672
0,0.439464,0.104473
0,0.354722,0.976809
0,0.022807,0.415686
0,0.147164,0.145958
0,0.421499,0.951428
0,0.031132,0.729104
0,0.492432,0.194125
0,0.377955,0.962708
0,0.077141,0.302957
0,0.608426,0.497931
0,0.418795,0.088161
0,0.593038,0.680447
0,0.397640,0.941949
0,0.077767,0.326548
0,0.024629,0.611239
0,0.583313,0.822350
0,0.463592,0.124069
0,0.525893,0.311273
0,0.026509,0.682012
0,0.591158,0.609685
0,0.209766,0.090341
0,0.165458,0.961600
0,0.468940,0.960291
0,0.041869,0.752426
0,0.592176,0.774900
0,0.260896,0.999538
0,0.237216,0.996796
0,0.078703,0.869485
0,0.112426,0.234569
0,0.515160,0.287951
0,0.575581,0.404374
0,0.099554,0.892539
0,0.370628,0.052344
0,0.331310,0.984173
0,0.213535,0.994054
0,0.501049,0.264718
0,0.561569,0.384519
0,-0.010683,0.551478
0,0.594918,0.751220
0,0.493685,0.241307
0,0.613048,0.545023
0,0.394667,0.068567
0,0.079883,0.279277
0,0.170218,0.125119
0,0.027136,0.705602
0,0.229362,0.066213
0,0.057229,0.822840
0,0.075025,0.350228
0,0.594315,0.474698
0,0.064596,0.846252
0,0.033486,0.563789
0,0.551496,0.894018
0,0.141241,0.938636
0,0.488436,0.170624
0,0.278390,0.007580
0,0.515584,0.938816
0,-0.019123,0.487622
0,0.603558,0.568883
0,0.189992,0.107728
0,0.529898,0.334765
0,0.053233,0.799339
0,0.189586,0.981196
0,0.592411,0.656866
0,0.541168,0.378309
0,0.573833,0.846210
0,0.284487,0.998911
0,0.025256,0.634830
1,0.013158,0.569080
1,0.470390,0.141450
1,0.483550,0.187500
1,0.358550,0.029605
1,0.138160,0.138160
1,0.003289,0.490130
1,0.592110,0.460530
1,0.588820,0.733550
1,0.121710,0.161180
1,0.223680,0.990130
1,0.529610,0.325660
1,0.588820,0.825660
1,0.470390,0.944080
1,0.000000,0.500000
1,0.572370,0.618420
1,0.088816,0.901320
1,0.496710,0.256580
1,0.177630,0.970390
1,0.154610,0.092105
1,0.042763,0.832240
1,0.592110,0.575660
1,0.536180,0.371710
1,0.055921,0.855260
1,0.108550,0.345390
1,0.032895,0.585530
1,0.549340,0.394740
1,0.585530,0.437500
1,0.490130,0.233550
1,0.003289,0.546050
1,0.128290,0.299340
1,0.601970,0.483550
1,0.023026,0.740130
1,0.407890,0.953950
1,0.582240,0.687500
1,0.424340,0.940790
1,0.427630,0.078947
1,0.384870,0.970390
1,0.289470,0.000000
1,0.381580,0.046053
1,0.009868,0.467110
1,0.575660,0.641450
1,0.601970,0.529610
1,0.312500,0.006579
1,0.069079,0.878290
1,0.069079,0.378290
1,0.588820,0.779610
1,0.559210,0.894740
1,0.029605,0.671050
1,0.486840,0.210530
1,0.200660,0.049342
1,0.052632,0.398030
1,0.463820,0.118420
1,0.023026,0.786180
1,0.131580,0.944080
1,0.516450,0.930920
1,0.200660,0.980260
1,0.154610,0.960530
1,0.243420,0.016447
1,0.128290,0.230260
1,0.539470,0.914470
1,0.335530,0.016447
1,0.220390,0.029605
1,0.023026,0.763160
1,0.128290,0.207240
1,0.292760,1.000000
1,0.598680,0.552630
1,0.026316,0.694080
1,0.361840,0.986840
1,0.029605,0.809210
1,0.000000,0.523030
1,0.447370,0.947370
1,0.118420,0.322370
1,0.128290,0.253290
1,0.588820,0.756580
1,0.128290,0.276320
1,0.404610,0.062500
1,0.601970,0.506580
1,0.269740,1.000000
1,0.108550,0.924340
1,0.493420,0.940790
1,0.246710,0.996710
1,0.092105,0.368420
1,0.144740,0.115130
1,0.578950,0.664470
1,0.125000,0.184210
1,0.585530,0.848680
1,0.513160,0.279610
1,0.026316,0.444080
1,0.572370,0.414470
1,0.585530,0.710530
1,0.266450,0.009868
1,0.338820,0.996710
1,0.032895,0.648030
1,0.450660,0.095395
1,0.039474,0.421050
1,0.315790,0.996710
1,0.036184,0.625000
1,0.526320,0.302630
1,0.588820,0.802630
1,0.575660,0.595390
1,0.177630,0.069079
1,0.578950,0.871710
1,0.039474,0.601970
1,0.532890,0.348680
1,0.026316,0.717110
1,0.480260,0.164470
2,0.575656,0.750028
2,0.231469,1.005545
2,0.301931,1.006705
2,0.061362,0.819677
2,0.007811,0.499395
2,0.150054,0.112664
2,0.034265,0.703139
2,0.532903,0.345574
2,0.001631,0.516349
2,0.575215,0.843949
2,0.135361,0.934746
2,0.261057,0.015309
2,0.490943,0.182555
2,0.041854,0.407790
2,0.042424,0.749840
2,0.172784,0.088478
2,0.590150,0.461174
2,0.034700,0.609228
2,0.472730,0.136167
2,0.085322,0.295770
2,0.603845,0.578118
2,0.032807,0.656231
2,0.093702,0.889097
2,0.068792,0.842918
2,0.572011,0.632772
2,0.057283,0.796321
2,0.255022,1.008163
2,0.371560,0.981069
2,0.572596,0.867502
2,0.544308,0.388813
2,0.348309,0.988492
2,0.574629,0.609208
2,0.036280,0.552165
2,0.483510,0.159304
2,0.508293,0.956698
2,0.207698,0.996223
2,0.034994,0.726589
2,0.307643,0.003800
2,0.458603,0.113135
2,0.054526,0.383914
2,0.420288,0.067372
2,0.046644,0.561903
2,0.577843,0.820386
2,0.124715,0.160395
2,0.284090,0.001179
2,0.399665,0.051244
2,0.241371,0.029336
2,0.572740,0.656221
2,0.037322,0.585665
2,0.083430,0.342773
2,0.576385,0.773487
2,0.077458,0.366440
2,0.033536,0.679690
2,0.331415,0.013122
2,0.559927,0.891368
2,0.586074,0.437819
2,0.485156,0.967478
2,0.438040,0.962232
2,0.495019,0.205900
2,0.026455,0.451862
2,0.441119,0.090199
2,0.325172,0.999272
2,0.013140,0.562945
2,0.278472,1.007434
2,0.590879,0.484623
2,0.518037,0.299082
2,0.379042,0.035118
2,0.082701,0.319323
2,0.503910,0.276050
2,0.032078,0.632782
2,0.531232,0.939214
2,0.496477,0.252809
2,0.355072,0.019095
2,0.536979,0.368919
2,0.129520,0.207199
2,0.570841,0.703234
2,0.495748,0.229349
2,-0.000990,0.539912
2,0.159550,0.957476
2,0.394488,0.963585
2,0.125444,0.183854
2,0.053204,0.772976
2,0.577114,0.796936
2,0.130680,0.136738
2,0.032428,0.428204
2,0.079572,0.866054
2,0.017133,0.475624
2,0.528817,0.322229
2,0.114119,0.251271
2,0.097998,0.271894
2,0.570112,0.679774
2,0.218433,0.046816
2,0.547248,0.915244
2,0.599770,0.554773
2,0.564618,0.394892
2,0.461707,0.968207
2,0.578641,0.414578
2,0.195608,0.067647
2,0.183728,0.980197
2,0.591608,0.508073
2,0.111183,0.912026
2,0.595684,0.531428
2,0.584056,0.588794
2,0.414174,0.949562
2,0.133596,0.230544
2,0.571570,0.726683
3,0.029362,0.640229
3,0.015837,0.476402
3,0.587204,0.728861
3,0.402117,0.056262
3,0.025382,0.452755
3,0.175114,0.091224
3,0.126895,0.186022
3,0.152177,0.115150
3,0.573609,0.404283
3,0.082868,0.320921
3,0.532305,0.351576
3,0.585843,0.822659
3,0.198122,0.070640
3,0.030357,0.687088
3,0.404348,0.950431
3,0.221130,0.050057
3,0.521235,0.934551
3,0.031580,0.429188
3,0.587701,0.752295
3,0.606719,0.544240
3,0.244209,0.032822
3,0.595682,0.497584
3,0.130733,0.209385
3,0.244592,0.997360
3,0.034699,0.733886
3,0.091743,0.896789
3,0.264009,0.019005
3,0.049582,0.803904
3,0.599530,0.520947
3,0.428067,0.963326
3,0.594688,0.450726
3,-0.002899,0.540440
3,0.582858,0.682063
3,0.474267,0.141804
3,0.583355,0.705498
3,0.357888,0.023710
3,0.197439,0.984963
3,0.384691,0.970941
3,0.041196,0.408881
3,0.517917,0.304992
3,0.381678,0.039951
3,0.038544,0.757249
3,0.484807,0.165025
3,0.054089,0.385163
3,0.077167,0.367932
3,0.108982,0.919858
3,0.587844,0.601577
3,0.063968,0.850489
3,0.045737,0.780541
3,0.291532,0.999716
3,0.540893,0.914041
3,0.287159,0.005117
3,0.083365,0.344356
3,0.074508,0.873710
3,0.114924,0.253258
3,0.361541,0.984831
3,0.443137,0.095581
3,0.491995,0.188318
3,-0.000048,0.516935
3,-0.002401,0.563875
3,0.028864,0.616795
3,0.132591,0.139011
3,0.504027,0.281842
3,0.338249,0.992030
3,0.334312,0.017512
3,0.595185,0.474150
3,0.221087,0.994517
3,0.575162,0.635337
3,0.134581,0.232748
3,0.496341,0.235115
3,0.030854,0.710522
3,0.610567,0.567603
3,0.460378,0.118664
3,0.035062,0.593219
3,0.029859,0.663664
3,0.021316,0.576760
3,0.085718,0.297416
3,0.498085,0.948441
3,0.150002,0.959183
3,0.173792,0.975418
3,0.585345,0.799225
3,0.126141,0.939596
3,0.557209,0.893602
3,0.588198,0.775720
3,0.536142,0.374929
3,0.571324,0.611974
3,0.576298,0.846307
3,0.474935,0.962331
3,0.579010,0.658700
3,0.053427,0.827268
3,0.607714,0.591108
3,0.268026,0.996863
3,0.451572,0.966179
3,0.006291,0.500050
3,0.422556,0.072574
3,0.314885,0.995868
3,0.098607,0.273698
3,0.126397,0.162587
3,0.310664,0.007967
3,0.584148,0.427504
3,0.566754,0.869954
3,0.549819,0.388038
3,0.495843,0.211681
3,0.496838,0.258549
3,0.528456,0.328213
4,0.340637,0.990333
4,0.578701,0.804732
4,0.136993,0.126771
4,0.041846,0.575330
4,0.036618,0.716132
4,0.035958,0.598975
4,0.447437,0.099407
4,0.479137,0.145200
4,0.406153,0.947913
4,0.577099,0.757909
4,0.089043,0.878405
4,0.151639,0.946576
4,0.582383,0.422915
4,0.510690,0.284744
4,0.033415,0.622496
4,0.499856,0.261681
4,0.572958,0.734617
4,0.537310,0.377579
4,-0.002088,0.563443
4,0.572157,0.711211
4,0.182205,0.078350
4,0.127761,0.150521
4,0.027351,0.445247
4,0.199949,0.988446
4,0.270212,0.008376
4,0.109906,0.901126
4,0.083775,0.332827
4,0.125212,0.174052
4,0.051597,0.762497
4,0.317574,1.001166
4,0.590677,0.469509
4,0.065080,0.373645
4,0.477069,0.965576
4,0.082975,0.309421
4,0.578185,0.593815
4,0.571550,0.399851
4,0.591478,0.492915
4,0.227769,0.039962
4,0.486620,0.168378
4,0.600562,0.562916
4,0.021552,0.569334
4,0.500360,0.961425
4,0.592278,0.516322
4,0.554367,0.387040
4,0.033238,0.421612
4,0.159599,0.102561
4,0.523195,0.943909
4,0.577900,0.781326
4,0.542574,0.923157
4,0.247263,0.022554
4,0.175856,0.969181
4,0.558498,0.899169
4,0.293399,0.000887
4,0.409160,0.057193
4,-0.004490,0.493214
4,0.074865,0.855447
4,0.126012,0.197459
4,0.340784,0.016007
4,0.045815,0.397748
4,0.270865,1.006109
4,0.133505,0.220636
4,0.573621,0.851784
4,0.059086,0.785675
4,0.223813,1.001019
4,0.494113,0.191566
4,0.571071,0.875305
4,0.429912,0.076573
4,0.127432,0.923960
4,0.063231,0.808977
4,0.084577,0.356243
4,0.120818,0.241159
4,0.573896,0.664273
4,0.572294,0.617450
4,0.529016,0.330995
4,0.011431,0.469235
4,0.388522,0.041158
4,0.524874,0.307693
4,0.035017,0.669319
4,0.576161,0.828253
4,0.317034,0.006775
4,0.092207,0.285671
4,0.034216,0.645902
4,0.464953,0.122252
4,0.586525,0.446207
4,0.571356,0.687794
4,0.386774,0.968665
4,0.494914,0.214972
4,0.429902,0.957145
4,0.453652,0.966377
4,0.067376,0.832269
4,-0.017066,0.517078
4,0.104779,0.261797
4,-0.016265,0.540494
4,0.363815,0.982840
4,0.364544,0.025238
4,0.204935,0.057483
4,0.596420,0.539624
4,0.598022,0.586437
4,0.294272,1.005308
4,0.495714,0.238379
4,0.247344,1.003569
4,0.035817,0.692725
4,0.536509,0.354172
4,0.573095,0.640867
4,0.040763,0.739434
5,0.124015,0.905020
5,0.027517,0.437769
5,0.470118,0.965699
5,0.604086,0.566166
5,0.549366,0.884824
5,0.520941,0.306371
5,0.284158,1.012442
5,0.037802,0.764604
5,0.331824,1.010942
5,0.499016,0.259348
5,0.029898,0.621714
5,0.032552,0.597774
5,0.216388,0.050133
5,0.331181,0.015849
5,0.110466,0.257940
5,0.590124,0.447323
5,0.531904,0.329882
5,0.259682,0.018099
5,0.460471,0.117432
5,0.056324,0.811734
5,0.516713,0.930154
5,0.485804,0.164337
5,0.594282,0.471049
5,0.027993,0.669487
5,0.169773,0.951293
5,0.121944,0.189420
5,0.190949,0.974484
5,0.031481,0.563728
5,0.497516,0.211682
5,0.094081,0.278901
5,0.048765,0.788116
5,0.402241,0.974647
5,0.148588,0.928103
5,0.260111,1.006387
5,0.212017,0.994266
5,0.400557,0.054561
5,0.355228,0.021908
5,0.127249,0.141541
5,0.081656,0.858640
5,0.308098,1.015099
5,0.079312,0.350936
5,0.568306,0.403707
5,0.577754,0.812361
5,0.576662,0.669267
5,0.029493,0.717152
5,0.049956,0.392750
5,0.540209,0.377324
5,0.595782,0.518714
5,0.493415,0.947921
5,0.078562,0.327103
5,0.379596,0.038181
5,-0.006397,0.551296
5,0.446393,0.969857
5,0.193198,0.071310
5,0.536061,0.353608
5,0.574005,0.693207
5,0.126091,0.213146
5,0.378944,0.992425
5,0.037088,0.417012
5,0.030243,0.740985
5,0.588140,0.600747
5,0.021458,0.461806
5,0.042016,0.573629
5,0.081217,0.303163
5,0.442693,0.094131
5,0.578570,0.621494
5,0.575912,0.645434
5,0.170008,0.092487
5,0.574754,0.717030
5,0.028743,0.693320
5,0.011994,0.485960
5,0.146924,0.117065
5,0.002530,0.510114
5,0.568291,0.836516
5,0.007971,0.574701
5,0.121194,0.165588
5,0.474841,0.140826
5,0.102833,0.881830
5,0.506571,0.282967
5,0.493359,0.187956
5,0.235957,0.996924
5,0.582569,0.423704
5,0.130249,0.236872
5,0.576254,0.764696
5,0.599939,0.542440
5,0.595032,0.494882
5,0.073253,0.374983
5,0.283086,0.003731
5,0.577004,0.788529
5,0.575504,0.740863
5,0.422452,0.967199
5,0.239685,0.032360
5,0.027243,0.645654
5,0.533098,0.909193
5,0.498266,0.235515
5,0.067288,0.835236
5,0.355433,1.003387
5,0.608244,0.589892
5,0.421518,0.070941
5,0.307026,0.006385
5,0.547667,0.397545
5,-0.003743,0.527356
5,0.555421,0.860777
6,0.577402,0.672215
6,0.125314,0.145171
6,0.575505,0.625171
6,0.036911,0.707476
6,0.478970,0.151108
6,0.369786,0.030967
6,0.051192,0.393870
6,0.014525,0.486233
6,0.163738,0.096497
6,0.014417,0.567012
6,0.002438,0.520375
6,0.281928,1.024091
6,0.305455,1.023143
6,0.576780,0.406331
6,0.588760,0.452978
6,0.410276,0.951597
