Shape,X,Y
1,0.117023,0.915672
1,0.099554,0.892539
1,0.078703,0.869485
1,0.064596,0.846252
1,0.057229,0.822840
1,0.053233,0.799339
1,0.049236,0.775838
1,0.041869,0.752426
1,0.031132,0.729104
1,0.027136,0.705602
1,0.026509,0.682012
1,0.025882,0.658421
1,0.025256,0.634830
1,0.024629,0.611239
1,0.027372,0.587559
1,0.033486,0.563789
1,0.013087,0.557589
1,-0.010683,0.551478
1,-0.024789,0.528245
1,-0.025416,0.504654
1,-0.019123,0.487622
1,0.000470,0.463494
1,0.013323,0.439545
1,0.022807,0.415686
1,0.035661,0.391737
1,0.051885,0.367698
1,0.075025,0.350228
1,0.077767,0.326548
1,0.077141,0.302957
1,0.079883,0.279277
1,0.096109,0.255239
1,0.112426,0.234569
1,0.128742,0.213899
1,0.124737,0.190398
1,0.127489,0.166717
1,0.147164,0.145958
1,0.170218,0.125119
1,0.189992,0.107728
1,0.209766,0.090341
1,0.229362,0.066213
1,0.245579,0.042176
1,0.265264,0.021418
1,0.278390,0.007580
1,0.302071,0.010323
1,0.325930,0.019806
1,0.349879,0.032660
1,0.370628,0.052344
1,0.394667,0.068567
1,0.418795,0.088161
1,0.439464,0.104473
1,0.463592,0.124069
1,0.477704,0.147301
1,0.488436,0.170624
1,0.492432,0.194125
1,0.493058,0.217716
1,0.493685,0.241307
1,0.501049,0.264718
1,0.515160,0.287951
1,0.525893,0.311273
1,0.529898,0.334765
1,0.533894,0.358266
1,0.541168,0.378309
1,0.561569,0.384519
1,0.575581,0.404374
1,0.582955,0.427785
1,0.586950,0.451286
1,0.594315,0.474698
1,0.608426,0.497931
1,0.615790,0.521343
1,0.613048,0.545023
1,0.603558,0.568883
1,0.587163,0.586183
1,0.591158,0.609685
1,0.591785,0.633276
1,0.592411,0.656866
1,0.593038,0.680447
1,0.593664,0.704038
1,0.594291,0.727629
1,0.594918,0.751220
1,0.592176,0.774900
1,0.586055,0.798670
1,0.583313,0.822350
1,0.573833,0.846210
1,0.564344,0.870069
1,0.551496,0.894018
1,0.535269,0.918056
1,0.515584,0.938816
1,0.492441,0.956296
1,0.468940,0.960291
1,0.445359,0.960917
1,0.421499,0.951428
1,0.397640,0.941949
1,0.377955,0.962708
1,0.354722,0.976809
1,0.331310,0.984173
1,0.307988,0.994916
1,0.284487,0.998911
1,0.260896,0.999538
1,0.237216,0.996796
1,0.213535,0.994054
1,0.189586,0.981196
1,0.165458,0.961600
1,0.141241,0.938636
2,0.177630,0.069079
2,0.200660,0.049342
2,0.220390,0.029605
2,0.243420,0.016447
2,0.266450,0.009868
2,0.289470,0.000000
2,0.312500,0.006579
2,0.335530,0.016447
2,0.358550,0.029605
