Shape,X,Y
1,0.207592,0.092436
1,0.224056,0.073859
1,0.237770,0.052813
1,0.253464,0.034195
1,0.270253,0.014792
1,0.291363,0.006985
1,0.316007,0.015679
1,0.338489,0.025587
1,0.358428,0.040392
1,0.376810,0.057048
1,0.397672,0.070696
1,0.416872,0.086524
1,0.436238,0.102097
1,0.456412,0.116995
1,0.471758,0.136154
1,0.483428,0.158381
1,0.491047,0.181882
1,0.493019,0.206740
1,0.492975,0.231643
1,0.497349,0.256061
1,0.508871,0.278087
1,0.521508,0.299592
1,0.528332,0.323502
1,0.532115,0.347669
1,0.537417,0.373312
1,0.558439,0.383399
1,0.574531,0.401683
1,0.582436,0.425509
1,0.586704,0.449954
1,0.593879,0.473797
1,0.606769,0.495014
1,0.615487,0.518402
1,0.613457,0.543080
1,0.605321,0.566688
1,0.587724,0.584795
1,0.591006,0.608994
1,0.591771,0.633879
1,0.592483,0.658755
1,0.593116,0.683617
1,0.593768,0.708487
1,0.594530,0.733350
1,0.594609,0.758231
1,0.590095,0.782678
1,0.585121,0.807013
1,0.580499,0.831247
1,0.570588,0.854224
1,0.561018,0.877108
1,0.548614,0.898749
1,0.534402,0.919116
1,0.517298,0.937136
1,0.498125,0.953524
1,0.474495,0.959798
1,0.449372,0.961292
1,0.426160,0.954062
1,0.402537,0.942046
1,0.384381,0.954304
1,0.365519,0.972286
1,0.342172,0.980534
1,0.319168,0.990000
1,0.295735,0.997718
1,0.270793,0.999707
1,0.246096,0.997855
1,0.221190,0.995476
1,0.198133,0.987056
1,0.177863,0.972136
1,0.159209,0.955946
1,0.141241,0.938636
1,0.117023,0.915672
1,0.102317,0.895578
1,0.085370,0.877374
1,0.070413,0.857475
1,0.060340,0.834756
1,0.054920,0.810468
1,0.051158,0.785875
1,0.045407,0.761670
1,0.035266,0.738911
1,0.028046,0.715273
1,0.026630,0.690369
1,0.026092,0.665508
1,0.025413,0.640667
1,0.024726,0.615702
1,0.026260,0.591243
1,0.034297,0.565968
1,0.012635,0.557543
1,-0.011227,0.551090
1,-0.024358,0.529843
1,-0.025474,0.504957
1,-0.015613,0.482258
1,0.000593,0.463330
1,0.012521,0.441499
1,0.021634,0.418319
1,0.033139,0.396340
1,0.045516,0.374521
1,0.065643,0.359001
1,0.077821,0.339579
1,0.077317,0.313975
1,0.077723,0.289075
1,0.087123,0.266515
1,0.102382,0.246789
1,0.119519,0.227659
1,0.128668,0.206726
1,0.124039,0.181274
1,0.132922,0.158784
1,0.151867,0.141934
1,0.170134,0.125196
1,0.188790,0.108748
2,0.196869,0.053316
2,0.213988,0.035373
2,0.233968,0.020467
2,0.257433,0.012796
2,0.280596,0.002660
2,0.304058,0.002930
2,0.327435,0.012861
2,0.349461,0.023886
2,0.370156,0.037720
2,0.390265,0.052252
2,0.410390,0.066763
2,0.430811,0.080955
2,0.450833,0.095577
2,0.463357,0.117038
2,0.470195,0.140920
2,0.480034,0.163723
2,0.483634,0.188273
2,0.487168,0.212833
2,0.490834,0.237431
2,0.498940,0.260735
2,0.513979,0.280659
2,0.526211,0.302262
2,0.529747,0.326831
2,0.533194,0.351413
2,0.537489,0.375821
2,0.551200,0.396590
2,0.570346,0.412415
2,0.583965,0.433143
2,0.590853,0.457024
2,0.600961,0.479835
2,0.602068,0.504404
2,0.601988,0.529266
2,0.598472,0.553863
2,0.590959,0.577380
2,0.575123,0.596474
2,0.572615,0.621265
2,0.576330,0.645738
2,0.579782,0.670348
2,0.583255,0.694917
2,0.587029,0.719477
2,0.589082,0.744154
2,0.588772,0.769005
2,0.588769,0.793816
2,0.589056,0.818675
2,0.586523,0.843281
2,0.580758,0.867592
2,0.566552,0.887548
2,0.548866,0.905381
2,0.530435,0.921755
2,0.509169,0.934919
2,0.485619,0.942054
2,0.460971,0.946385
2,0.436281,0.943389
2,0.414776,0.946785
2,0.395256,0.963947
2,0.375001,0.977376
2,0.354112,0.991465
2,0.330327,0.997067
2,0.305502,0.997929
2,0.280851,1.000570
2,0.256087,0.998398
2,0.231888,0.992903
2,0.208751,0.983922
2,0.186070,0.973850
2,0.162992,0.964549
2,0.141698,0.952053
2,0.122156,0.936520
2,0.104139,0.919587
2,0.088142,0.900551
2,0.071725,0.881886
2,0.058821,0.860751
2,0.046810,0.838989
2,0.034001,0.817739
2,0.024503,0.794748
2,0.022873,0.770082
2,0.022762,0.745205
2,0.025967,0.720617
2,0.026259,0.695811
2,0.029575,0.671222
2,0.033057,0.646645
2,0.036837,0.622082
2,0.038686,0.597478
2,0.024175,0.577755
2,0.007471,0.560068
2,0.001568,0.535640
2,-0.001192,0.510753
2,0.004418,0.486784
2,0.011740,0.463253
2,0.026851,0.443332
2,0.039108,0.421743
2,0.051331,0.400205
2,0.066404,0.380185
2,0.089013,0.370097
2,0.105465,0.352019
2,0.115400,0.328962
2,0.126189,0.306425
2,0.128641,0.282087
2,0.128237,0.257177
2,0.128276,0.232373
2,0.128303,0.207538
2,0.124675,0.182931
2,0.122493,0.158698
2,0.137825,0.138721
2,0.144782,0.114904
2,0.154610,0.092105
2,0.177630,0.069079
3,0.193520,0.069540
3,0.211996,0.052472
3,0.231458,0.036487
3,0.251883,0.022020
3,0.272426,0.006645
3,0.295951,0.000879
3,0.320230,0.008915
3,0.344194,0.016090
3,0.367096,0.025710
3,0.386996,0.041505
3,0.406991,0.056693
3,0.426124,0.072968
3,0.442600,0.092027
3,0.457837,0.112035
3,0.471188,0.133350
3,0.482171,0.155982
3,0.490235,0.179801
3,0.494881,0.204523
3,0.495744,0.229656
3,0.496784,0.254772
3,0.505178,0.278481
3,0.518495,0.299828
3,0.528948,0.322702
3,0.533200,0.347443
3,0.537559,0.372614
3,0.550644,0.391546
3,0.572811,0.402284
3,0.582796,0.426363
3,0.588747,0.450538
3,0.590858,0.475641
3,0.591028,0.500786
3,0.594702,0.525764
3,0.598533,0.550167
3,0.604761,0.575985
3,0.584285,0.588625
3,0.574187,0.611652
3,0.572087,0.636572
3,0.572288,0.661729
3,0.570028,0.686725
3,0.570950,0.711919
3,0.573283,0.736880
3,0.576381,0.761792
3,0.576637,0.786965
3,0.577927,0.812127
3,0.575973,0.837105
3,0.573706,0.862314
3,0.563829,0.885113
3,0.551419,0.907116
3,0.539126,0.929176
3,0.522091,0.947355
3,0.500729,0.961188
3,0.477015,0.968615
3,0.451827,0.966929
3,0.428310,0.955734
3,0.406786,0.952373
3,0.386966,0.970879
3,0.365911,0.983164
3,0.341933,0.991092
3,0.319151,1.001886
3,0.294724,1.007334
3,0.269524,1.007724
3,0.244373,1.007657
3,0.219935,1.001896
3,0.197598,0.990261
3,0.177571,0.975025
3,0.159550,0.957476
3,0.135361,0.934746
3,0.116574,0.917961
3,0.100485,0.898656
3,0.086374,0.877812
3,0.074346,0.855734
3,0.064980,0.832372
3,0.058985,0.807993
3,0.055514,0.782957
3,0.047299,0.759450
3,0.037131,0.736264
3,0.034224,0.711423
3,0.033780,0.686232
3,0.033027,0.661109
3,0.031951,0.635947
3,0.034599,0.610963
3,0.037204,0.585936
3,0.046852,0.562531
3,0.026370,0.554576
3,0.006105,0.558929
3,-0.001405,0.531307
3,0.004715,0.507462
3,0.013784,0.483905
3,0.023438,0.460691
3,0.030076,0.436401
3,0.039249,0.413179
3,0.049958,0.390020
3,0.068993,0.373855
3,0.082409,0.353881
3,0.083053,0.328284
3,0.083641,0.303155
3,0.092869,0.279910
3,0.106884,0.259134
3,0.126268,0.241163
3,0.133102,0.219764
3,0.126784,0.194475
3,0.124492,0.169641
3,0.127594,0.144554
3,0.140185,0.123112
3,0.157588,0.104586
3,0.174881,0.086441
4,0.193716,0.074742
4,0.211985,0.057912
4,0.231227,0.042128
4,0.251463,0.027882
4,0.271843,0.013010
4,0.294393,0.004512
4,0.318734,0.011235
4,0.341992,0.019479
4,0.365317,0.027420
4,0.385127,0.042803
4,0.404614,0.058160
4,0.423901,0.073821
4,0.440515,0.092306
4,0.455702,0.112002
4,0.469279,0.132800
4,0.480633,0.154913
4,0.489278,0.178202
4,0.494755,0.202453
4,0.496435,0.227214
4,0.496278,0.252110
4,0.501571,0.276336
4,0.513608,0.298042
4,0.525494,0.319963
4,0.531647,0.343820
4,0.533920,0.369122
4,0.549334,0.387727
4,0.570725,0.401157
4,0.582130,0.422569
4,0.592975,0.445339
4,0.595411,0.469684
4,0.595455,0.494624
4,0.599080,0.519185
4,0.606373,0.542974
4,0.610551,0.567425
4,0.607167,0.591813
4,0.584217,0.602936
4,0.570514,0.619633
4,0.577282,0.645361
4,0.580999,0.669523
4,0.583063,0.694322
4,0.585576,0.718962
4,0.587686,0.743643
4,0.588377,0.768550
4,0.585794,0.793198
4,0.586170,0.818133
4,0.578725,0.841504
4,0.568724,0.864365
4,0.560180,0.887788
4,0.546201,0.908083
4,0.529585,0.926901
4,0.510002,0.941658
4,0.488601,0.954787
4,0.466231,0.964667
4,0.441222,0.966326
4,0.417347,0.956508
4,0.397754,0.954185
4,0.380237,0.975092
4,0.358187,0.986095
4,0.334268,0.992788
4,0.309716,0.996955
4,0.285182,0.999310
4,0.260466,0.996692
4,0.235544,0.997070
4,0.211551,0.991098
4,0.188525,0.981530
4,0.166155,0.971031
4,0.146089,0.956173
4,0.126943,0.940367
4,0.110461,0.921780
4,0.095648,0.901841
4,0.080143,0.882290
4,0.068354,0.860618
4,0.057778,0.837976
4,0.050767,0.814380
4,0.047687,0.789595
4,0.041018,0.765703
4,0.035810,0.741472
4,0.031679,0.716925
4,0.030352,0.692166
4,0.029913,0.667306
4,0.029528,0.642468
4,0.028693,0.617621
4,0.035108,0.593544
4,0.018241,0.575175
4,-0.002752,0.563195
4,-0.002657,0.537977
4,0.000924,0.513648
4,0.010196,0.490465
4,0.019710,0.467566
4,0.027602,0.444004
4,0.035334,0.420579
4,0.046086,0.397787
4,0.061896,0.379322
4,0.079939,0.363084
4,0.083397,0.338028
4,0.083036,0.313250
4,0.089060,0.289296
4,0.102303,0.268215
4,0.119348,0.249566
4,0.134873,0.231158
4,0.129978,0.206390
4,0.126540,0.181923
4,0.127106,0.157053
4,0.135365,0.133656
4,0.152177,0.115150
4,0.175114,0.091224
5,0.197422,0.063707
5,0.217223,0.048278
5,0.236435,0.032086
5,0.255871,0.016462
5,0.278383,0.004536
5,0.302696,0.001934
5,0.326649,0.010603
5,0.350108,0.019310
5,0.372786,0.029913
5,0.393174,0.044679
5,0.412853,0.060259
5,0.430902,0.077703
5,0.446145,0.097658
5,0.461385,0.117572
5,0.475758,0.138297
5,0.484536,0.161669
5,0.492666,0.185552
5,0.495004,0.210376
5,0.495478,0.235513
5,0.499460,0.260301
5,0.509683,0.283202
5,0.523601,0.304319
5,0.528470,0.328823
5,0.536381,0.352606
5,0.537399,0.377706
5,0.559801,0.389817
5,0.576681,0.407705
5,0.584233,0.431838
5,0.588518,0.456547
5,0.591433,0.481435
5,0.591601,0.506555
5,0.594777,0.531566
5,0.599390,0.555660
5,0.600717,0.582543
5,0.579399,0.593080
5,0.572279,0.616618
5,0.573152,0.641764
5,0.573705,0.666882
5,0.571266,0.691826
5,0.572263,0.716957
5,0.574143,0.741924
5,0.577708,0.766725
5,0.578399,0.791869
5,0.577717,0.816900
5,0.574463,0.841790
5,0.572618,0.866983
5,0.564200,0.890221
5,0.550583,0.911680
5,0.535501,0.931414
5,0.517522,0.949451
5,0.496629,0.962675
5,0.471479,0.966130
5,0.446931,0.964946
5,0.423325,0.953290
5,0.401348,0.950326
5,0.384479,0.971055
5,0.362648,0.983233
5,0.338816,0.991119
5,0.316061,1.001664
5,0.291215,1.005571
5,0.266176,1.005746
5,0.241126,1.003125
5,0.216706,0.998610
5,0.195275,0.984785
5,0.175856,0.969181
5,0.151639,0.946576
5,0.132495,0.930153
5,0.117183,0.910284
5,0.100813,0.891291
5,0.084414,0.872276
5,0.072661,0.850093
5,0.066043,0.825874
5,0.061996,0.801094
5,0.056729,0.776546
5,0.047082,0.753352
5,0.038299,0.729992
5,0.036100,0.704903
5,0.035407,0.679822
5,0.034519,0.654760
5,0.033630,0.629553
5,0.034369,0.604929
5,0.042774,0.578932
5,0.022761,0.569448
5,-0.001872,0.563588
5,-0.015617,0.542680
5,-0.017177,0.517533
5,-0.005807,0.495206
5,0.007910,0.474141
5,0.022989,0.453783
5,0.031091,0.430348
5,0.040029,0.407004
5,0.053614,0.385850
5,0.072565,0.368369
5,0.085840,0.349392
5,0.082533,0.323403
5,0.085974,0.299172
5,0.096906,0.276130
5,0.109485,0.254886
5,0.126247,0.234994
5,0.132140,0.212741
5,0.124612,0.188225
5,0.126058,0.163082
5,0.131176,0.138509
5,0.144383,0.117343
5,0.162448,0.099705
5,0.179467,0.081265
6,0.188484,0.075788
6,0.206608,0.058726
6,0.225676,0.042654
6,0.245781,0.028116
6,0.266042,0.013108
6,0.288188,0.003065
6,0.312815,0.008597
6,0.336051,0.017113
6,0.359873,0.023968
6,0.380177,0.038654
6,0.399789,0.053987
6,0.419517,0.069190
6,0.436840,0.087042
6,0.452470,0.106481
6,0.466714,0.126884
6,0.478863,0.148632
6,0.488485,0.171592
6,0.495094,0.195611
6,0.498098,0.220302
6,0.498170,0.245252
6,0.501344,0.269872
6,0.511950,0.292393
6,0.525127,0.313589
6,0.533543,0.336990
6,0.537379,0.361328
6,0.541958,0.386938
6,0.558979,0.401294
6,0.578797,0.414930
6,0.587808,0.438942
6,0.593295,0.463031
6,0.595032,0.487900
6,0.595267,0.512794
6,0.599091,0.537495
6,0.602870,0.561660
6,0.609260,0.587330
6,0.589360,0.599905
6,0.578453,0.622132
6,0.575923,0.646853
6,0.576512,0.671752
6,0.573871,0.696498
6,0.574964,0.721400
6,0.575673,0.746287
6,0.576370,0.771161
6,0.577653,0.796119
6,0.575813,0.820634
6,0.564321,0.843089
6,0.554086,0.865573
6,0.547318,0.889391
6,0.532676,0.909758
6,0.517414,0.929447
6,0.497788,0.944626
6,0.478382,0.960585
6,0.455546,0.969728
6,0.430503,0.967488
6,0.406525,0.972164
6,0.386293,0.987003
6,0.365069,0.999626
6,0.341581,1.008081
6,0.317373,1.014206
6,0.292630,1.013906
6,0.268105,1.008996
6,0.245005,0.999660
6,0.220290,0.995769
6,0.199350,0.984907
6,0.182766,0.965018
6,0.165944,0.947087
6,0.149131,0.928652
6,0.130908,0.911649
6,0.113621,0.893802
6,0.096706,0.875456
6,0.080291,0.856792
6,0.067410,0.835462
6,0.056764,0.812944
6,0.049177,0.789223
6,0.038751,0.766637
6,0.030584,0.743073
6,0.029494,0.718227
6,0.028743,0.693334
6,0.027935,0.668443
6,0.027398,0.643571
6,0.029977,0.618781
6,0.034410,0.594280
6,0.040842,0.571131
6,0.018915,0.567966
6,-0.000409,0.568836
6,-0.006728,0.541174
6,-0.000361,0.517646
6,0.008613,0.494324
6,0.018175,0.471345
6,0.024844,0.447327
6,0.033581,0.424224
6,0.044075,0.401202
6,0.061832,0.384285
6,0.077384,0.366103
6,0.079141,0.340725
6,0.078879,0.315878
6,0.085918,0.292171
6,0.099261,0.271132
6,0.116862,0.252593
6,0.130652,0.233525
6,0.124932,0.208601
6,0.121444,0.184129
6,0.121977,0.159200
6,0.130203,0.135736
6,0.146924,0.117065
6,0.170008,0.092487
7,0.188608,0.073125
7,0.205354,0.054498
7,0.224510,0.038463
7,0.244806,0.023801
7,0.265282,0.009291
7,0.288703,0.000656
7,0.313543,0.003022
7,0.336426,0.013272
7,0.358333,0.025308
7,0.381017,0.036143
7,0.401682,0.049903
7,0.419304,0.067867
7,0.435854,0.086531
7,0.451190,0.106349
7,0.466722,0.126007
7,0.477709,0.148440
7,0.488773,0.170951
7,0.494117,0.195332
7,0.495241,0.220351
7,0.496257,0.245363
7,0.501272,0.269810
7,0.514837,0.290904
7,0.525688,0.313454
7,0.533558,0.337223
7,0.537848,0.362006
