Shape,X,Y
1,0.000000,0.517010
1,0.554420,0.925170
1,0.285710,0.034014
1,0.619050,0.710880
1,0.064626,0.380950
1,0.040816,0.428570
1,0.568030,0.360540
1,0.163270,0.156460
1,0.619050,0.734690
1,0.615650,0.591840
1,0.159860,0.180270
1,0.615650,0.431970
1,0.619050,0.455780
1,0.068027,0.768710
1,0.367350,0.013605
1,0.129250,0.244900
1,0.027211,0.452380
1,0.047619,0.649660
1,0.037415,0.547620
1,0.530610,0.217690
1,0.510200,0.962590
1,0.585030,0.877550
1,0.608840,0.806120
1,0.306120,0.013605
1,0.051020,0.578230
1,0.462590,0.965990
1,0.323130,0.996600
1,0.343540,0.003401
1,0.163270,0.204080
1,0.619050,0.639460
1,0.081633,0.357140
1,0.646260,0.527210
1,0.000000,0.493200
1,0.391160,0.027211
1,0.517010,0.146260
1,0.132650,0.911560
1,0.479590,0.102040
1,0.370750,0.979590
1,0.051020,0.404760
1,0.183670,0.136050
1,0.438780,0.955780
1,0.051020,0.721090
1,0.530610,0.193880
1,0.394560,0.965990
1,0.108840,0.292520
1,0.639460,0.503400
1,0.459180,0.085034
1,0.619050,0.687070
1,0.414970,0.945580
1,0.108840,0.316330
1,0.047619,0.602040
1,0.605440,0.829930
1,0.503400,0.122450
1,0.561220,0.312930
1,0.047619,0.673470
1,0.619050,0.615650
1,0.248300,0.081633
1,0.180270,0.959180
1,0.486390,0.965990
1,0.061224,0.744900
1,0.615650,0.782310
1,0.275510,1.000000
1,0.251700,0.996600
1,0.095238,0.863950
1,0.146260,0.224490
1,0.551020,0.289120
1,0.608840,0.408160
1,0.115650,0.887760
1,0.411560,0.047619
1,0.346940,0.986390
1,0.227890,0.993200
1,0.537410,0.265310
1,0.595240,0.387760
1,0.013605,0.540820
1,0.619050,0.758500
1,0.530610,0.241500
1,0.642860,0.551020
1,0.435370,0.064626
1,0.112240,0.268710
1,0.207480,0.115650
1,0.047619,0.697280
1,0.268710,0.057823
1,0.074830,0.816330
1,0.105440,0.340140
1,0.625850,0.479590
1,0.081633,0.840140
1,0.057823,0.554420
1,0.571430,0.901360
1,0.156460,0.935370
1,0.527210,0.170070
1,0.319730,0.000000
1,0.534010,0.945580
1,0.006803,0.476190
1,0.632650,0.574830
1,0.227890,0.098639
1,0.564630,0.336730
1,0.071429,0.792520
1,0.204080,0.979590
1,0.619050,0.663270
1,0.574830,0.380950
1,0.595240,0.853740
1,0.299320,1.000000
1,0.047619,0.625850
2,0.013158,0.569080
2,0.470390,0.141450
2,0.483550,0.187500
2,0.358550,0.029605
2,0.138160,0.138160
2,0.003289,0.490130
2,0.592110,0.460530
2,0.588820,0.733550
2,0.121710,0.161180
2,0.223680,0.990130
2,0.529610,0.325660
2,0.588820,0.825660
2,0.470390,0.944080
2,0.000000,0.500000
2,0.572370,0.618420
2,0.088816,0.901320
2,0.496710,0.256580
2,0.177630,0.970390
2,0.154610,0.092105
2,0.042763,0.832240
2,0.592110,0.575660
2,0.536180,0.371710
2,0.055921,0.855260
2,0.108550,0.345390
2,0.032895,0.585530
2,0.549340,0.394740
2,0.585530,0.437500
2,0.490130,0.233550
2,0.003289,0.546050
2,0.128290,0.299340
2,0.601970,0.483550
2,0.023026,0.740130
2,0.407890,0.953950
2,0.582240,0.687500
2,0.424340,0.940790
2,0.427630,0.078947
2,0.384870,0.970390
2,0.289470,0.000000
2,0.381580,0.046053
2,0.009868,0.467110
2,0.575660,0.641450
2,0.601970,0.529610
2,0.312500,0.006579
2,0.069079,0.878290
2,0.069079,0.378290
2,0.588820,0.779610
2,0.559210,0.894740
2,0.029605,0.671050
2,0.486840,0.210530
2,0.200660,0.049342
