"SHAPE","LANDMARK","X","Y"
"1",1,"0.624","0.013"
"2",2,"-0.026","-0.372"
"3",3,"-0.571","-0.022"
"4",4,"-0.027","0.381"
"1",1,"0.645","0.000"
"2",2,"-0.015","-0.354"
"3",3,"-0.570","-0.008"
"4",4,"-0.059","0.361"
"1",1,"0.638","-0.004"
"2",2,"-0.004","-0.359"
"3",3,"-0.571","-0.004"
"4",4,"-0.062","0.367"
"1",1,"0.646","-0.002"
"2",2,"-0.025","-0.360"
"3",3,"-0.555","-0.013"
"4",4,"-0.066","0.376"
"1",1,"0.648","0.005"
"2",2,"-0.026","-0.359"
"3",3,"-0.561","-0.008"
"4",4,"-0.061","0.363"
"1",1,"0.648","0.009"
"2",2,"-0.029","-0.361"
"3",3,"-0.562","-0.008"
"4",4,"-0.057","0.360"
"1",1,"0.645","0.006"
"2",2,"-0.023","-0.349"
"3",3,"-0.576","-0.015"
"4",4,"-0.045","0.358"
"1",1,"0.654","0.002"
"2",2,"-0.040","-0.349"
"3",3,"-0.556","-0.023"
"4",4,"-0.058","0.370"
"1",1,"0.654","0.002"
"2",2,"-0.040","-0.349"
"3",3,"-0.556","-0.023"
"4",4,"-0.058","0.370"
"1",1,"0.657","0.019"
"2",2,"-0.040","-0.361"
"3",3,"-0.561","-0.003"
"4",4,"-0.056","0.346"
