Two Sample SPM Results
alpha = 0.050
T2_critical = 52.415
p = 0.008
X0,Y0,X1,Y1,T2
0.197824,0.070748,0.192198,0.060765,4.532
0.215849,0.053579,0.209106,0.042509,7.612
0.234172,0.036796,0.229094,0.028161,9.847
0.254023,0.022671,0.250947,0.016779,13.633
0.274700,0.008329,0.272573,0.004650,15.843
0.297692,0.003448,0.296142,-0.001791,25.136
0.321811,0.011859,0.319818,0.004954,19.907
0.344849,0.020870,0.341901,0.016119,5.220
0.366757,0.032231,0.363484,0.027846,2.845
0.386474,0.047657,0.383676,0.042176,3.390
0.406504,0.062514,0.403933,0.056339,3.995
0.425722,0.078394,0.423399,0.071623,5.422
0.443266,0.095933,0.442965,0.086556,19.925
0.458939,0.115129,0.458683,0.105470,28.791
0.471636,0.136304,0.471012,0.127016,24.686
0.482160,0.158934,0.480218,0.149865,17.371
0.489372,0.182742,0.488384,0.173238,18.973
0.492965,0.207385,0.493556,0.197422,23.380
0.494293,0.232291,0.496494,0.221998,18.304
0.497762,0.256796,0.497031,0.246966,18.696
0.507856,0.279353,0.504573,0.269497,46.028
0.520684,0.300809,0.519168,0.289894,46.341
0.528198,0.324364,0.529807,0.312178,39.056
0.533307,0.348590,0.536466,0.336053,51.867
0.536757,0.373715,0.538978,0.360625,56.255
0.553883,0.389816,0.541740,0.385080,50.226
0.573019,0.405049,0.558951,0.400592,96.240
0.583112,0.427885,0.576734,0.417403,76.544
0.589559,0.451880,0.585266,0.440302,24.391
0.594509,0.476078,0.590536,0.464478,20.094
0.597384,0.500277,0.594942,0.488767,18.252
0.601207,0.524837,0.598576,0.513083,19.864
0.603245,0.549149,0.600716,0.537708,21.910
0.602461,0.574004,0.602437,0.562332,15.620
0.586739,0.590957,0.599994,0.586408,6.421
0.578861,0.612293,0.584542,0.604997,3.462
0.576771,0.635517,0.577463,0.628024,2.206
0.579108,0.660615,0.577159,0.652861,2.662
0.579733,0.685322,0.577443,0.677640,2.836
0.581415,0.710233,0.575614,0.702324,4.645
0.583323,0.735054,0.574244,0.726977,9.340
0.585031,0.759880,0.574701,0.751783,15.515
0.584455,0.784776,0.574840,0.776559,20.734
0.583123,0.809583,0.575085,0.801352,17.965
0.580726,0.834311,0.572209,0.825799,20.260
0.575279,0.858523,0.564858,0.849451,23.933
0.564864,0.880871,0.554311,0.871679,34.937
0.551932,0.902143,0.543305,0.893955,23.998
0.537133,0.921909,0.529237,0.913908,20.420
0.519133,0.939152,0.509762,0.929177,14.151
0.498221,0.952220,0.490746,0.945109,5.151
0.474512,0.959143,0.468972,0.956635,1.222
0.450128,0.960244,0.444948,0.961703,3.422
0.426759,0.955239,0.419712,0.960004,52.984
0.404655,0.953040,0.402720,0.975039,25.954
0.385716,0.965560,0.384559,0.992456,50.303
0.365685,0.981048,0.361608,1.000417,46.878
0.342287,0.989181,0.337831,1.007341,40.042
0.318830,0.996854,0.313653,1.011644,19.283
0.294448,1.001629,0.288998,1.010725,6.037
0.269552,1.002177,0.265260,1.004886,1.135
0.244790,0.999647,0.242303,0.995892,0.505
0.220425,0.995395,0.219543,0.986364,1.622
0.197725,0.985410,0.197178,0.976793,3.329
0.176561,0.972485,0.176948,0.963083,11.821
0.155650,0.956616,0.158146,0.946808,8.470
0.135468,0.939246,0.137500,0.930561,5.112
0.116372,0.920775,0.117834,0.915773,1.249
0.100444,0.901571,0.101023,0.897540,0.679
0.084706,0.882238,0.086189,0.877690,1.263
0.071277,0.861269,0.073023,0.856796,1.228
0.061306,0.838522,0.062222,0.834510,0.566
0.053536,0.815054,0.052638,0.811660,0.346
0.047734,0.790901,0.043808,0.788526,0.643
0.042070,0.766830,0.037321,0.764782,0.879
0.034895,0.743215,0.033873,0.740445,0.259
0.032029,0.718738,0.033156,0.715777,0.451
0.030751,0.693832,0.033003,0.690972,1.062
0.030713,0.668953,0.032833,0.666185,1.200
0.030793,0.644024,0.032435,0.641426,0.747
0.032012,0.619229,0.034096,0.616600,0.765
0.034723,0.594242,0.028415,0.593837,2.564
0.032639,0.573849,0.020378,0.575020,1.390
0.012569,0.562190,0.006123,0.558894,0.956
-0.004384,0.550307,-0.003781,0.545717,0.447
-0.009358,0.525483,-0.006647,0.520005,0.787
-0.004244,0.501612,0.000450,0.496902,0.979
0.005603,0.478804,0.010155,0.474455,0.915
0.018716,0.457740,0.022544,0.452999,0.702
0.028080,0.434799,0.031406,0.430005,0.531
0.037516,0.411857,0.042441,0.407882,0.810
0.049840,0.390036,0.058517,0.389806,10.265
0.067597,0.373233,0.077731,0.374764,5.061
0.083859,0.355475,0.092640,0.354976,2.091
0.088441,0.331651,0.100211,0.331920,2.090
0.091231,0.307195,0.105817,0.308458,1.989
0.097040,0.283300,0.110474,0.284506,3.103
0.106807,0.261185,0.115384,0.260909,2.284
0.120504,0.240977,0.122755,0.238925,0.205
0.129588,0.219772,0.127062,0.215939,0.846
0.126943,0.195749,0.122568,0.191190,53.526
0.124724,0.170923,0.121687,0.166949,13.375
0.131325,0.147524,0.129935,0.144020,1.693
0.143317,0.126190,0.140175,0.121679,1.652
0.159391,0.107348,0.151154,0.099992,6.111
0.179176,0.087351,0.171352,0.079858,8.709
