Shape,X,Y
1,0.559040,0.443370
1,0.472290,0.438550
1,0.330120,0.040964
1,0.920480,0.113250
1,0.978310,0.173490
1,0.120480,0.127710
1,0.216870,0.293980
1,0.718070,0.021687
1,0.139760,0.243370
1,0.000000,0.171080
1,0.674700,0.007229
1,0.493980,0.443370
1,0.460240,0.016867
1,0.265060,0.072289
1,0.987950,0.238550
1,0.544580,0.000000
1,0.024096,0.130120
1,0.207230,0.132530
1,0.840960,0.325300
1,0.797590,0.351810
1,0.602410,0.431330
1,0.739760,0.040964
1,0.609640,0.000000
1,0.819280,0.339760
1,0.395180,0.028916
1,0.515660,0.443370
1,0.898800,0.110840
1,0.438550,0.021687
1,0.653010,0.007229
1,0.407230,0.412050
1,0.667470,0.407230
1,0.775900,0.363860
1,0.077108,0.108430
1,0.243370,0.089157
1,0.226510,0.110840
1,0.007229,0.214460
1,0.710840,0.390360
1,0.645780,0.414460
1,0.696390,0.016867
1,0.385540,0.404820
1,0.877110,0.106020
1,0.055422,0.103610
1,0.450600,0.431330
1,0.631330,0.000000
1,0.689160,0.397590
1,0.007229,0.151810
1,0.012048,0.226510
1,0.566270,0.000000
1,0.183130,0.250600
1,0.525300,0.007229
1,1.000000,0.216870
1,0.860240,0.303610
1,0.997590,0.195180
1,0.956630,0.151810
1,0.968670,0.250600
1,0.537350,0.443370
1,0.142170,0.137350
1,0.255420,0.332530
1,0.503610,0.012048
1,0.481930,0.016867
1,0.946990,0.260240
1,0.824100,0.060241
1,0.308430,0.050602
1,0.277110,0.344580
1,0.053012,0.265060
1,0.200000,0.272290
1,0.587950,0.000000
1,0.881930,0.284340
1,0.118070,0.250600
1,0.161450,0.243370
1,0.074699,0.262650
1,0.624100,0.421690
1,0.855420,0.098795
1,0.363860,0.392770
1,0.342170,0.380720
1,0.233730,0.315660
1,0.903610,0.269880
1,0.163860,0.146990
1,0.033735,0.108430
1,0.836140,0.081928
1,0.783130,0.045783
1,0.373490,0.031325
1,0.804820,0.055422
1,0.754220,0.368670
1,0.004819,0.192770
1,0.761450,0.048193
1,0.320480,0.371080
1,0.416870,0.024096
1,0.351810,0.036145
1,0.096386,0.255420
1,0.732530,0.380720
1,0.428920,0.421690
1,0.098795,0.118070
1,0.016867,0.248190
1,0.298800,0.359040
1,0.286750,0.060241
1,0.031325,0.267470
1,0.942170,0.130120
1,0.925300,0.265060
