Shape,X,Y
1,0.508176,0.426088
1,0.820740,0.313908
1,0.737856,0.356781
1,0.921167,0.237558
1,0.868718,0.084657
1,0.562823,-0.007448
1,0.293232,0.060961
1,0.841305,0.299088
1,0.112563,0.123798
1,0.668479,-0.004242
1,0.052242,0.271404
1,0.133983,0.132405
1,0.379906,0.381486
1,0.502337,0.006472
1,0.018396,0.178810
1,0.583897,-0.008212
1,0.932810,0.105792
1,0.177884,0.243391
1,0.613153,0.410563
1,0.135970,0.251948
1,0.717112,0.366916
1,0.689903,0.004363
1,0.800080,0.326386
1,0.422745,0.398699
1,0.969470,0.146677
1,0.176831,0.149618
1,0.156800,0.244156
1,0.481432,0.011920
1,0.889972,0.088578
1,0.879687,0.257828
1,0.486922,0.422167
1,0.069892,0.111271
1,0.815575,0.042025
1,0.911132,0.090157
1,0.981133,0.209580
1,0.023844,0.199724
1,0.696292,0.374708
1,0.947631,0.126366
1,0.758516,0.344303
1,0.775240,0.029414
1,0.732911,0.026258
1,0.091142,0.115192
1,0.336974,0.361931
1,0.026951,0.220723
1,0.992082,0.188081
1,0.523252,0.001023
1,0.988975,0.167082
1,0.040375,0.138144
1,0.293881,0.337699
1,0.962816,0.221973
1,0.647395,-0.003477
1,0.073239,0.268297
1,0.847379,0.078398
1,0.444169,0.407306
1,0.334711,0.040694
1,0.315475,0.350991
1,0.024744,0.159823
1,0.313966,0.050827
1,0.460348,0.012685
1,0.272372,0.326750
1,0.233540,0.290635
1,0.828043,0.062682
1,0.397530,0.026690
1,0.401406,0.392436
1,0.633898,0.400428
1,0.439434,0.018134
1,0.252082,0.090598
1,0.711148,0.008284
1,0.037509,0.253172
1,0.900252,0.243007
1,0.571419,0.423795
1,0.796664,0.038020
1,0.199214,0.249655
1,0.654718,0.392636
1,0.272572,0.073437
1,0.358398,0.370537
1,0.942081,0.232108
1,0.155407,0.141012
1,0.604981,-0.008976
1,0.376530,0.029796
1,0.626066,-0.009741
1,0.859282,0.277324
1,0.779421,0.338863
1,0.115062,0.257398
1,0.032060,0.232267
1,0.236457,0.112270
1,0.048981,0.116720
1,0.418444,0.021240
1,0.094235,0.265190
1,0.675547,0.384843
1,0.218480,0.134033
1,0.529250,0.425324
1,0.550335,0.424559
1,0.754250,0.032521
1,0.355626,0.035245
1,0.216377,0.270145
1,0.592324,0.418346
1,0.541738,-0.006684
1,0.465583,0.415913
1,0.250693,0.311115
1,0.197905,0.148854
2,0.224224,0.150444
2,0.029254,0.145883
2,0.182120,0.154336
2,0.729029,0.028595
2,0.106225,0.260396
2,0.561064,-0.007468
2,0.499506,0.424296
2,0.306295,0.339878
2,0.943939,0.128647
2,0.243288,0.285871
2,0.053742,0.109779
2,0.310003,0.058100
2,0.127059,0.252594
2,0.582159,-0.008244
2,0.435280,0.018284
2,0.975088,0.209644
2,0.915359,0.244703
2,0.688239,0.004280
2,0.826425,0.060215
2,0.262811,0.306266
2,0.687895,0.377466
2,0.211267,0.244802
2,0.327994,0.355500
2,0.603341,-0.006677
2,0.833222,0.308746
2,0.230790,0.265207
2,0.853885,0.296248
2,0.478238,0.420386
2,0.030878,0.253783
2,0.771306,0.029387
2,0.022898,0.228260
2,0.371133,0.379729
2,0.351417,0.035453
2,0.519142,0.001116
2,0.926754,0.108156
2,0.646309,0.395418
2,0.890391,0.076637
2,0.847770,0.066471
2,0.330581,0.043261
2,0.667059,0.385268
2,0.349607,0.368794
2,0.709592,0.010535
2,0.284596,0.324246
2,0.811665,0.041982
2,0.414100,0.399271
2,0.117800,0.128545
2,0.147981,0.247131
2,0.074922,0.111341
2,0.956763,0.222056
2,0.139240,0.137142
2,0.771058,0.341544
2,0.792832,0.040329
2,0.965810,0.148966
2,0.520687,0.425858
2,0.017434,0.207338
2,0.936023,0.232205
2,0.729472,0.359505
2,0.064296,0.268984
2,0.085304,0.265869
2,0.037853,0.124443
2,0.268772,0.085435
2,0.189999,0.240892
2,0.498220,0.006580
2,0.912004,0.089926
2,0.645703,-0.003543
2,0.869037,0.070381
2,0.456202,0.012820
2,0.239846,0.128746
2,0.043288,0.272108
2,0.750383,0.034851
2,0.435540,0.407878
2,0.625472,0.403229
2,0.456894,0.414127
2,0.812299,0.314209
2,0.539969,-0.006692
2,0.750049,0.344669
2,0.414185,0.019061
2,0.096362,0.119948
2,0.874290,0.276725
2,0.604636,0.411040
2,0.289263,0.068252
2,0.477297,0.012044
2,0.013624,0.167582
2,0.393262,0.024525
2,0.250792,0.107219
2,0.392660,0.390674
2,0.624349,-0.009797
2,0.203302,0.155907
2,0.894868,0.261888
2,0.562877,0.424305
2,0.983685,0.188204
2,0.160680,0.145739
2,0.025414,0.232861
2,0.708722,0.369655
2,0.372253,0.027646
2,0.666885,-0.001975
2,0.011970,0.186415
2,0.168904,0.241668
2,0.791722,0.329046
2,0.583800,0.418842
2,0.982909,0.167108
2,0.541782,0.425082
3,0.978517,0.195490
3,0.257871,0.287541
3,0.202537,0.154919
3,0.177781,0.241207
3,0.223514,0.146929
3,0.556952,0.416953
3,0.092990,0.251896
3,0.760376,0.356251
3,0.905586,0.262502
3,0.359157,0.051214
3,0.074409,0.148500
3,0.634352,0.399475
3,0.416000,0.387398
3,0.114059,0.246267
3,0.452004,0.007033
3,0.591608,0.396546
3,0.493041,0.417293
3,0.787161,0.037841
3,-0.006216,0.201633
3,0.409760,0.015924
3,0.275218,0.305749
3,0.700472,0.003624
3,0.117148,0.151430
3,0.050545,0.256056
3,0.535685,0.417853
3,0.697464,0.380228
3,0.940462,0.135538
3,0.437978,0.403045
3,0.031764,0.147940
3,0.275977,0.099715
3,0.514408,0.418753
3,0.885209,0.284679
3,0.613275,0.405095
3,0.199048,0.240308
3,0.852573,0.072957
3,0.244082,0.129482
3,0.739508,0.366609
3,0.722149,0.012178
3,0.550271,-0.020802
3,0.967598,0.217258
3,0.156504,0.242108
3,0.459345,0.404505
3,0.960169,0.153646
3,0.977617,0.174213
3,0.657428,-0.006394
3,0.337989,0.054476
3,0.029274,0.256956
3,0.255200,0.112434
3,0.843965,0.317205
3,0.743917,0.023096
3,0.874450,0.086235
3,0.053137,0.149400
3,0.635860,-0.012584
3,0.391552,0.033269
3,0.655420,0.393846
3,0.001675,0.220241
3,0.235803,0.269534
3,0.592916,-0.020238
3,0.470712,0.001505
3,0.095681,0.147600
