Shape,X,Y
1,0.226876,0.124722
1,0.239202,0.108252
1,0.251293,0.091497
1,0.266605,0.077679
1,0.283854,0.066192
1,0.302098,0.056602
1,0.320598,0.047307
1,0.339485,0.039173
1,0.359576,0.034186
1,0.379608,0.029273
1,0.400017,0.026128
1,0.420007,0.020952
1,0.440436,0.017903
1,0.460415,0.012676
1,0.481060,0.011962
1,0.501050,0.006824
1,0.521100,0.001802
1,0.540163,-0.006248
1,0.560685,-0.007495
1,0.581369,-0.008107
1,0.601975,-0.008753
1,0.622705,-0.010142
1,0.642511,-0.004421
1,0.663135,-0.004413
1,0.682476,0.001290
1,0.702715,0.006465
1,0.720546,0.014621
1,0.736621,0.028575
1,0.756948,0.032190
1,0.777169,0.029742
1,0.796311,0.037929
1,0.816315,0.042478
1,0.826773,0.060322
1,0.841280,0.075374
1,0.860589,0.082683
1,0.880727,0.087330
1,0.901461,0.088969
1,0.920706,0.094494
1,0.935945,0.109712
1,0.947631,0.126366
1,0.969470,0.146677
1,0.985224,0.160321
1,0.992297,0.179878
1,0.988106,0.200109
1,0.974157,0.215276
1,0.956114,0.225608
1,0.937238,0.233738
1,0.917010,0.238360
1,0.897392,0.244386
1,0.880809,0.256833
1,0.865447,0.270780
1,0.852053,0.286429
1,0.838334,0.301795
1,0.821310,0.313569
1,0.803563,0.324105
1,0.786262,0.335656
1,0.766761,0.342033
1,0.747941,0.349948
1,0.730365,0.361061
1,0.711320,0.369037
1,0.692130,0.376621
1,0.673581,0.385707
1,0.654183,0.392817
1,0.634824,0.400018
1,0.616276,0.409110
1,0.597112,0.416739
1,0.577282,0.422730
1,0.556785,0.424562
1,0.536115,0.424923
1,0.515461,0.426184
1,0.494999,0.424117
1,0.474953,0.418898
1,0.455486,0.412105
1,0.436481,0.403945
1,0.417033,0.397038
1,0.397390,0.390802
1,0.379136,0.381051
1,0.360772,0.371589
1,0.341636,0.363843
1,0.322884,0.355184
1,0.305169,0.344533
1,0.287297,0.334259
1,0.268905,0.324796
1,0.252217,0.312578
1,0.238645,0.297019
1,0.225420,0.281256
1,0.212628,0.264727
1,0.198947,0.249485
1,0.179167,0.243538
1,0.158435,0.243792
1,0.139069,0.250841
1,0.119135,0.256204
1,0.099711,0.263483
1,0.079730,0.267241
1,0.058736,0.271722
1,0.042029,0.262819
1,0.034991,0.242344
1,0.027925,0.223202
1,0.024351,0.202969
1,0.018883,0.182887
1,0.022811,0.162997
1,0.035530,0.146412
1,0.043699,0.127063
1,0.056122,0.112771
1,0.077718,0.111949
1,0.097352,0.117428
1,0.116472,0.125440
1,0.135657,0.133045
1,0.154822,0.140747
1,0.173838,0.148839
1,0.194521,0.149788
1,0.212447,0.139891
