"SHAPE","LANDMARK","X","Y"
"1",1,"-0.448","-0.101"
"2",2,"-0.447","0.080"
"3",3,"0.110","0.266"
"4",4,"0.654","-0.005"
"5",5,"0.130","-0.239"
"1",1,"-0.443","-0.108"
"2",2,"-0.457","0.083"
"3",3,"0.125","0.268"
"4",4,"0.646","-0.004"
"5",5,"0.129","-0.238"
"1",1,"-0.450","-0.069"
"2",2,"-0.456","0.057"
"3",3,"0.128","0.258"
"4",4,"0.648","0.011"
"5",5,"0.131","-0.257"
"1",1,"-0.452","-0.086"
"2",2,"-0.465","0.084"
"3",3,"0.106","0.228"
"4",4,"0.660","-0.002"
"5",5,"0.151","-0.224"
"1",1,"-0.433","-0.147"
"2",2,"-0.451","0.112"
"3",3,"0.108","0.292"
"4",4,"0.641","-0.027"
"5",5,"0.136","-0.230"
"1",1,"-0.450","-0.105"
"2",2,"-0.432","0.114"
"3",3,"0.107","0.266"
"4",4,"0.630","0.023"
"5",5,"0.145","-0.298"
"1",1,"-0.437","-0.126"
"2",2,"-0.426","0.105"
"3",3,"0.127","0.332"
"4",4,"0.603","0.007"
"5",5,"0.132","-0.318"
"1",1,"-0.433","-0.102"
"2",2,"-0.443","0.099"
"3",3,"0.113","0.278"
"4",4,"0.637","0.017"
"5",5,"0.126","-0.292"
"1",1,"-0.406","-0.128"
"2",2,"-0.408","0.131"
"3",3,"0.026","0.321"
"4",4,"0.662","-0.020"
"5",5,"0.126","-0.304"
"1",1,"-0.445","-0.118"
"2",2,"-0.433","0.106"
"3",3,"0.103","0.252"
"4",4,"0.663","0.013"
"5",5,"0.112","-0.254"
