Two Sample SPM Results
alpha = 0.050
T2_critical = 41.915
p = 0.008
X0,Y0,X1,Y1,T2
0.228202,0.135072,0.238511,0.142039,2.182
0.242491,0.121653,0.254677,0.131730,3.762
0.256280,0.106728,0.266965,0.116249,3.625
0.270309,0.091948,0.279343,0.100073,3.092
0.286085,0.078553,0.294171,0.086068,3.246
0.303336,0.067022,0.309373,0.072515,3.010
0.320818,0.055845,0.325421,0.057477,1.413
0.338793,0.046356,0.340249,0.043435,0.293
0.357689,0.038184,0.356026,0.030420,3.857
0.376506,0.029694,0.372800,0.018530,8.263
0.395395,0.022442,0.389107,0.006294,11.172
0.415672,0.018016,0.406735,-0.006612,18.526
0.436062,0.014496,0.424386,-0.017304,26.901
0.456406,0.010044,0.442124,-0.027240,38.591
0.475876,0.005828,0.459632,-0.036665,29.822
0.495823,0.000491,0.479151,-0.042599,26.630
0.516291,-0.003057,0.499194,-0.046623,31.757
0.536336,-0.007002,0.519209,-0.050092,30.211
0.557057,-0.006902,0.539480,-0.048521,24.333
0.577915,-0.007047,0.559646,-0.045074,19.251
0.598741,-0.006697,0.579933,-0.041935,17.157
0.619509,-0.006520,0.600206,-0.038605,14.662
0.639844,-0.003357,0.619784,-0.032605,14.190
0.660492,-0.001246,0.639025,-0.025886,13.584
0.680824,0.002084,0.658388,-0.019895,12.248
0.701216,0.006322,0.677345,-0.012058,11.718
0.720576,0.011636,0.695911,-0.003223,10.891
0.738593,0.020429,0.713587,0.007068,10.450
0.757579,0.027690,0.731112,0.017188,13.028
0.776782,0.030072,0.749573,0.025220,24.335
0.795255,0.038333,0.767307,0.035140,34.928
0.814102,0.046214,0.783148,0.046725,26.050
0.829843,0.057782,0.799786,0.057625,13.157
0.845532,0.067417,0.817690,0.067913,10.722
0.861982,0.079177,0.835638,0.077904,8.323
0.879739,0.088904,0.853760,0.087417,6.497
0.898272,0.097658,0.870947,0.098227,7.326
0.916575,0.106589,0.886537,0.111746,12.512
0.933455,0.118185,0.903614,0.123039,19.168
0.949397,0.130609,0.920959,0.136527,24.139
0.968555,0.145720,0.935445,0.150390,23.109
0.982715,0.161161,0.953147,0.162943,9.896
0.984376,0.181487,0.958923,0.180502,6.003
0.975821,0.200346,0.950095,0.198382,5.779
0.960620,0.214230,0.938391,0.215176,5.570
0.942524,0.224698,0.922980,0.228499,6.006
0.924942,0.235494,0.906690,0.240892,6.261
0.908834,0.247977,0.896107,0.256824,5.139
0.891480,0.261961,0.883912,0.272380,2.414
0.875578,0.275293,0.869511,0.286720,2.326
0.860018,0.289033,0.854565,0.300687,2.284
0.843969,0.301941,0.838924,0.313950,2.345
0.827178,0.313705,0.821880,0.325492,2.666
0.808369,0.325159,0.803098,0.336926,2.923
0.791371,0.337086,0.785085,0.346862,2.133
0.774291,0.348958,0.768332,0.356716,1.492
0.755883,0.357819,0.750316,0.367881,1.457
0.737229,0.366741,0.731988,0.377007,1.357
0.718414,0.375618,0.713239,0.384997,1.173
0.698986,0.382375,0.694316,0.391948,1.074
0.679524,0.388707,0.675092,0.398773,1.039
0.660070,0.395524,0.655709,0.405775,1.063
0.640233,0.401319,0.636281,0.412357,1.040
0.620178,0.405638,0.616265,0.416730,1.046
0.600641,0.408680,0.596171,0.420836,1.225
0.581643,0.415174,0.575972,0.424643,0.968
0.561097,0.417194,0.555600,0.426816,0.910
0.540335,0.417599,0.535372,0.429537,1.135
0.519502,0.418747,0.515112,0.430305,1.001
0.498772,0.417946,0.494718,0.428648,0.824
0.480069,0.412820,0.474864,0.426237,1.159
0.460254,0.410325,0.455176,0.422953,1.010
0.440829,0.404672,0.435759,0.417734,1.365
0.421804,0.397107,0.416477,0.410801,2.022
0.403441,0.387829,0.398272,0.401677,2.276
0.385152,0.378609,0.380732,0.391473,2.321
0.366870,0.368794,0.364776,0.378833,1.789
0.348997,0.358430,0.349653,0.365382,0.925
0.331006,0.348252,0.334390,0.352170,0.545
0.312997,0.338184,0.317803,0.340280,0.760
0.296013,0.326272,0.301928,0.327516,1.059
0.278760,0.314582,0.287059,0.313497,2.027
0.261414,0.303205,0.274214,0.298147,3.149
0.245759,0.289546,0.261586,0.282357,3.677
0.232446,0.274177,0.249027,0.266259,3.352
0.219405,0.258151,0.234549,0.253669,2.792
0.203530,0.245286,0.215235,0.248803,2.627
0.184670,0.242156,0.195771,0.252925,13.799
0.164315,0.243877,0.177156,0.261586,143.835
0.144144,0.248175,0.158376,0.269898,205.069
0.124069,0.253201,0.139786,0.278709,148.851
0.104244,0.259149,0.120772,0.286447,70.319
0.084256,0.264968,0.101699,0.293512,48.611
0.063700,0.267827,0.081694,0.299297,40.013
0.043537,0.268122,0.065385,0.290701,17.140
0.029156,0.255609,0.057681,0.271603,15.799
0.021056,0.236358,0.052934,0.251691,18.721
0.013911,0.216874,0.047893,0.231674,20.711
0.011693,0.196813,0.044977,0.211681,24.080
0.012411,0.176707,0.042484,0.191641,23.241
0.018375,0.157120,0.043361,0.171123,19.389
0.029338,0.139746,0.047173,0.151231,9.161
0.042576,0.125858,0.053077,0.131556,2.246
0.059049,0.117709,0.062257,0.113850,0.271
0.078399,0.115223,0.080054,0.112315,0.109
0.097775,0.119180,0.100239,0.116587,0.144
0.116938,0.127382,0.120320,0.120399,0.530
0.135821,0.135083,0.140261,0.124942,1.247
0.154548,0.143254,0.159684,0.131101,2.159
0.173641,0.149634,0.179404,0.137153,2.921
0.192476,0.149838,0.198709,0.142111,2.714
0.211619,0.143874,0.218995,0.143039,0.669
