Two Sample SPM Results
T2_critical = 49.507
p = 0.001
X0,Y0,X1,Y1,T2
0.226796,0.134562,0.240021,0.140686,2.975
0.241016,0.122145,0.256175,0.130436,5.964
0.255697,0.108072,0.268523,0.115007,5.569
0.269607,0.093262,0.281081,0.099115,4.444
0.285054,0.079619,0.295948,0.085174,4.463
0.303373,0.066992,0.311151,0.071625,3.891
0.320907,0.055881,0.327148,0.056499,1.785
0.338802,0.046292,0.341934,0.042383,0.501
0.357734,0.038166,0.357808,0.029536,4.589
0.376546,0.029668,0.374564,0.017615,9.875
0.395438,0.022424,0.390967,0.005588,12.391
0.415719,0.018011,0.408492,-0.007544,24.070
0.436109,0.014491,0.426223,-0.018059,30.683
0.456453,0.010036,0.444020,-0.027843,42.826
0.475922,0.005816,0.461611,-0.036936,29.132
0.495869,0.000482,0.480990,-0.043340,29.587
0.516338,-0.003066,0.501158,-0.046987,32.439
0.536383,-0.007003,0.521146,-0.049640,25.616
0.557105,-0.006899,0.541417,-0.048095,20.290
0.577962,-0.007045,0.561623,-0.044821,15.704
0.598788,-0.006694,0.581857,-0.041447,12.886
0.619557,-0.006517,0.602148,-0.038195,10.752
0.639892,-0.003355,0.621733,-0.032224,10.233
0.660539,-0.001242,0.640932,-0.025318,9.057
0.680871,0.002080,0.660313,-0.019403,8.134
0.701264,0.006326,0.679245,-0.011483,7.605
0.720622,0.011626,0.697767,-0.002509,7.077
0.738641,0.020432,0.715517,0.007552,6.748
0.757626,0.027692,0.733027,0.017716,8.002
0.776828,0.030080,0.751347,0.026124,15.432
0.795297,0.038356,0.769158,0.035858,18.763
0.814142,0.046239,0.785031,0.047377,15.742
0.829879,0.057813,0.801536,0.058553,9.691
0.845554,0.067459,0.819384,0.068967,9.296
0.862007,0.079216,0.837532,0.078552,5.982
0.879778,0.088933,0.855585,0.088062,4.355
0.898315,0.097677,0.872112,0.099955,6.348
0.916621,0.106601,0.888078,0.112968,11.478
0.933499,0.118204,0.905230,0.124219,19.459
0.949439,0.130631,0.921338,0.136909,25.533
0.968595,0.145746,0.936311,0.150423,19.963
0.982732,0.161206,0.953530,0.163249,9.698
0.984353,0.181531,0.958724,0.181059,6.893
0.975786,0.200377,0.949795,0.198825,6.660
0.960577,0.214250,0.938075,0.215622,6.803
0.942484,0.224724,0.922464,0.228718,7.213
0.924910,0.235528,0.906268,0.241245,7.677
0.908803,0.248013,0.895612,0.257065,6.037
0.891449,0.261997,0.883480,0.272711,2.793
0.875544,0.275326,0.869105,0.287093,2.693
0.859999,0.289081,0.854110,0.300993,2.622
0.843903,0.301943,0.838460,0.314243,2.672
0.827142,0.313736,0.821449,0.325832,3.042
0.809434,0.324132,0.802615,0.337188,4.215
0.792385,0.336005,0.784573,0.347059,3.311
0.775451,0.348039,0.767838,0.356953,2.401
0.757113,0.356983,0.749834,0.368144,2.207
0.738600,0.366184,0.731487,0.377228,1.927
0.719743,0.374986,0.712727,0.385194,1.766
0.700246,0.381581,0.693807,0.392150,1.797
0.680895,0.388159,0.674584,0.398983,1.713
0.661498,0.395134,0.655193,0.405957,1.678
0.641608,0.400763,0.635734,0.412425,1.566
0.621621,0.405313,0.615728,0.416838,1.538
0.602124,0.408629,0.595643,0.420981,1.861
0.583118,0.415101,0.575421,0.424652,1.749
0.562577,0.417326,0.555054,0.426852,1.625
0.541806,0.417552,0.534824,0.429570,1.741
0.520967,0.418550,0.514565,0.430326,1.500
0.500245,0.418106,0.494192,0.428474,1.183
0.481585,0.412785,0.474335,0.426099,1.656
0.461561,0.410826,0.454634,0.422866,1.239
0.441961,0.405693,0.435214,0.417658,1.358
0.423075,0.397848,0.415992,0.410540,1.893
0.404516,0.388863,0.397743,0.401533,2.040
0.386178,0.379681,0.380216,0.391291,2.143
0.368131,0.369568,0.364264,0.378633,1.732
0.350152,0.359350,0.349140,0.365188,0.704
0.332120,0.349229,0.333875,0.351980,0.225
0.314124,0.339144,0.317297,0.340072,0.326
0.297148,0.327219,0.301436,0.327272,0.532
0.280039,0.315333,0.286568,0.313256,1.199
0.262671,0.303987,0.273751,0.297849,2.366
0.246660,0.290740,0.261177,0.281988,3.066
0.232863,0.275635,0.248624,0.265897,2.855
0.220576,0.259077,0.233115,0.252239,1.516
0.205012,0.245281,0.213489,0.247816,1.196
0.186115,0.241810,0.193787,0.253352,13.719
0.165640,0.243218,0.175407,0.262506,138.024
0.145523,0.247639,0.156605,0.270793,260.662
0.125408,0.252570,0.138031,0.279689,187.872
0.105599,0.258569,0.118924,0.287006,80.839
0.085646,0.264427,0.099636,0.294166,55.079
0.065213,0.267827,0.080241,0.298228,33.996
0.044501,0.269200,0.064695,0.288721,9.480
0.029621,0.257045,0.057286,0.269684,10.091
0.021610,0.237738,0.052716,0.249715,12.522
0.014021,0.218337,0.047869,0.229672,15.011
0.011669,0.198293,0.044131,0.209860,14.671
0.012473,0.178190,0.042376,0.189653,14.620
0.018079,0.158571,0.043492,0.169136,13.591
0.028652,0.141061,0.047487,0.149292,6.940
0.041661,0.127036,0.053979,0.129641,2.403
0.058320,0.118945,0.064203,0.114336,0.871
0.077300,0.116434,0.081834,0.113316,0.638
0.096495,0.118699,0.102165,0.116839,0.766
0.115780,0.126315,0.122353,0.120361,1.477
0.134717,0.134169,0.142075,0.125620,2.088
0.153428,0.142262,0.161532,0.132014,2.989
0.172524,0.148669,0.181332,0.137067,4.195
0.191218,0.149054,0.200644,0.141505,3.965
0.210309,0.143196,0.220810,0.142331,1.298
