Shape,X,Y
1,0.475860,0.013793
1,0.475860,0.124140
1,0.317240,0.510340
1,0.689660,0.972410
1,0.317240,0.593100
1,0.475860,0.565520
1,0.475860,0.400000
1,0.158620,0.889660
1,0.317240,0.020690
1,0.041379,0.668970
1,0.579310,1.000000
1,0.317240,0.131030
1,0.475860,0.206900
1,0.551720,1.000000
1,0.475860,0.317240
1,0.462070,0.000000
1,0.689660,0.862070
1,0.689660,0.779310
1,0.151720,0.696550
1,0.027586,0.744830
1,0.351720,0.972410
1,0.317240,0.675860
1,0.475860,0.427590
1,0.213790,0.931030
1,0.317240,0.537930
1,0.317240,0.186210
1,0.517240,0.675860
1,0.317240,0.213790
1,0.131030,0.875860
1,0.475860,0.068966
1,0.317240,0.372410
1,0.179310,0.696550
1,0.317240,0.103450
1,0.475860,0.648280
1,0.317240,0.455170
1,0.434480,0.000000
1,0.475860,0.096552
1,0.317240,0.648280
1,0.289660,0.710340
1,0.689660,0.917240
1,0.475860,0.482760
1,0.234480,0.703450
1,0.544830,0.675860
1,0.482760,0.703450
1,0.317240,0.268970
1,0.406900,0.000000
1,0.351720,0.000000
1,0.689660,0.696550
1,0.475860,0.179310
1,0.634480,1.000000
1,0.317240,0.344830
1,0.082759,0.827590
1,0.689660,0.944830
1,0.434480,0.972410
1,0.475860,0.593100
1,0.317240,0.241380
1,0.475860,0.262070
1,0.475860,0.289660
1,0.662070,1.000000
1,0.475860,0.537930
1,0.489660,0.972410
1,0.475860,0.372410
1,0.475860,0.151720
1,0.406900,0.972410
1,0.324140,0.000000
1,0.068966,0.675860
1,0.655170,0.675860
1,0.324140,0.972410
1,0.689660,0.724140
1,0.317240,0.482760
1,0.317240,0.400000
1,0.317240,0.158620
1,0.475860,0.344830
1,0.689660,0.806900
1,0.124140,0.689660
1,0.268970,0.951720
1,0.475860,0.510340
1,0.296550,0.965520
1,0.627590,0.675860
1,0.606900,1.000000
1,0.689660,0.751720
1,0.524140,1.000000
1,0.317240,0.075862
1,0.103450,0.855170
1,0.013793,0.655170
1,0.317240,0.048276
1,0.379310,0.000000
1,0.317240,0.317240
1,0.517240,0.979310
1,0.689660,1.000000
1,0.475860,0.041379
1,0.475860,0.620690
1,0.020690,0.717240
1,0.689660,0.889660
1,0.475860,0.675860
1,0.379310,0.972410
1,0.206900,0.703450
1,0.186210,0.910340
1,0.241380,0.944830
1,0.682760,0.675860
1,0.317240,0.703450
1,0.317240,0.565520
1,0.689660,0.834480
1,0.062069,0.800000
1,0.096552,0.682760
1,0.048276,0.772410
1,0.262070,0.710340
1,0.475860,0.234480
1,0.462070,0.972410
1,0.475860,0.455170
1,0.510340,0.703450
1,0.600000,0.675860
1,0.000000,0.662070
1,0.006897,0.689660
1,0.317240,0.289660
1,0.317240,0.427590
1,0.317240,0.620690
1,0.572410,0.675860
2,0.534060,0.683447
2,0.334060,0.488097
2,0.306160,0.483447
2,0.622440,0.576467
2,0.478250,-0.004923
2,0.478250,-0.144463
2,0.478250,0.441587
2,0.478250,-0.172363
2,0.371270,0.464847
2,0.510810,0.464847
2,0.566620,0.464847
2,0.478250,-0.116553
2,0.622440,0.632284
2,0.478250,0.302047
2,0.361970,0.488097
2,0.478250,-0.200273
2,0.194528,0.460187
2,0.180575,0.516007
2,0.371270,-0.177023
2,0.464300,0.664842
2,0.371270,0.381117
2,0.538710,0.464847
2,0.478250,0.357867
2,0.371270,-0.121203
2,0.371270,-0.093293
2,0.371270,0.185777
2,0.478250,0.078797
2,0.622440,0.464847
2,0.380570,0.664842
2,0.371270,-0.037483
2,0.506160,0.683447
2,0.617780,0.683447
2,0.478250,0.469497
2,0.622440,0.604377
2,0.478250,0.106707
2,0.478250,-0.060743
2,0.478250,-0.256083
2,0.371270,0.213677
2,0.478250,-0.032833
2,0.622440,0.548567
2,0.371270,-0.316553
2,0.371270,0.129957
2,0.478250,0.246237
2,0.561970,0.683447
2,0.199179,0.543917
2,0.371270,0.436937
2,0.371270,0.409027
2,0.278250,0.478797
2,0.478250,0.413677
2,0.478250,0.050887
2,0.222435,0.469497
2,0.371270,0.074147
2,0.241040,0.595075
2,0.478250,0.190427
2,0.478250,0.385777
2,0.622440,0.520657
2,0.478250,0.274147
2,0.371270,0.353217
2,0.371270,-0.260743
2,0.622440,0.492747
2,0.250342,0.474147
2,0.324760,0.646238
2,0.296850,0.632284
2,0.161970,0.464847
2,0.371270,-0.065393
2,0.589880,0.683447
2,0.496850,0.483447
2,0.478250,-0.228183
2,0.622440,0.660191
2,0.371270,-0.149113
2,0.371270,0.297397
2,0.478250,0.329957
2,0.371270,0.157867
2,0.371270,-0.288643
2,0.436390,0.664842
2,0.478250,0.022977
2,0.478250,-0.088643
2,0.213133,0.571817
2,0.478250,-0.283993
2,0.268950,0.613680
2,0.492200,0.664842
2,0.371270,-0.204923
2,0.166621,0.488097
2,0.427090,-0.316553
2,0.371270,0.241587
2,0.478250,0.218327
2,0.594530,0.464847
2,0.166621,0.450887
2,0.478250,0.134607
2,0.371270,-0.232833
2,0.399180,-0.316553
2,0.371270,0.018327
2,0.371270,0.269497
2,0.371270,0.102047
2,0.454990,-0.316553
2,0.371270,0.046237
2,0.478250,0.162517
2,0.371270,-0.009573
2,0.408480,0.664842
2,0.352670,0.660191
2,0.478250,-0.311903
2,0.371270,0.325307
3,0.876042,0.599828
3,0.662242,0.082588
3,0.820862,0.489478
3,0.193279,0.496378
3,0.876042,0.627408
3,0.255348,0.489478
3,0.662242,0.137758
3,0.613972,0.786028
3,0.545002,-0.186382
3,0.662242,0.330858
3,0.662242,-0.138106
3,0.503622,0.489478
3,0.662242,-0.055352
3,0.876042,0.654998
3,0.876042,0.572238
3,0.703622,0.510168
3,0.338102,0.703278
3,0.338102,0.510168
3,0.282934,0.661898
3,0.662242,-0.110520
3,0.669142,0.786028
3,0.531212,0.786028
3,0.310522,0.682588
3,0.503622,0.020518
3,0.476042,0.523958
3,0.503622,0.323958
3,0.227761,0.482588
3,0.641552,0.786028
3,0.876042,0.489478
3,0.786382,0.813618
3,0.600172,-0.186382
3,0.662242,-0.082932
3,0.662242,0.386028
3,0.503622,0.048098
3,0.503622,0.406718
3,0.282934,0.496378
3,0.662242,0.220518
3,0.200175,0.523958
3,0.558792,0.786028
3,0.662242,0.110168
3,0.310522,0.503278
3,0.703622,0.813618
3,0.503622,0.241208
3,0.793282,0.489478
3,0.503622,0.130858
3,0.448452,0.765338
3,0.662242,0.413618
3,0.503622,-0.034662
3,0.503622,0.461898
3,0.662242,0.303278
3,0.676042,0.517068
3,0.448452,0.523958
3,0.393282,0.737758
3,0.876042,0.682588
3,0.662242,-0.165692
3,0.393282,0.517068
3,0.503622,0.186028
3,0.876042,0.544648
3,0.503622,-0.007072
3,0.365692,0.717068
3,0.662242,0.441208
3,0.627762,-0.186382
3,0.503622,-0.117416
3,0.758792,0.813618
3,0.696722,0.786028
3,0.662242,0.027408
3,0.420862,0.758448
3,0.503622,0.075688
3,0.586382,0.786028
3,0.365692,0.510168
3,0.503622,0.434308
3,0.662242,0.468788
3,0.503622,-0.089830
3,0.503622,0.268788
3,0.655352,-0.186382
