Shape,X,Y
0,-0.079288,0.821572
0,-0.091378,0.795743
0,-0.109844,0.769759
0,-0.115560,0.744095
0,-0.127651,0.718276
0,-0.133368,0.692611
0,-0.120455,0.686563
0,-0.095288,0.699975
0,-0.069955,0.707000
0,-0.044623,0.714035
0,-0.019289,0.721070
0,0.006037,0.728095
0,0.031537,0.728753
0,0.056873,0.735788
0,0.082363,0.736445
0,0.107699,0.743470
0,0.133199,0.744128
0,0.158854,0.738417
0,0.159511,0.712917
0,0.160169,0.687427
0,0.160826,0.661927
0,0.161484,0.636427
0,0.162141,0.610936
0,0.162798,0.585436
0,0.163456,0.559936
0,0.164113,0.534445
0,0.164771,0.508945
0,0.165428,0.483455
0,0.166086,0.457955
0,0.166743,0.432455
0,0.167400,0.406964
0,0.168058,0.381464
0,0.168715,0.355974
0,0.169208,0.336851
0,0.169866,0.311351
0,0.170523,0.285851
0,0.171181,0.260360
0,0.171838,0.234860
0,0.172496,0.209360
0,0.173153,0.183870
0,0.173811,0.158372
0,0.174468,0.132875
0,0.175125,0.107379
0,0.181996,0.088421
0,0.207486,0.089078
0,0.232986,0.089736
0,0.258486,0.090393
0,0.283977,0.091051
0,0.309477,0.091708
0,0.321894,0.104785
0,0.321236,0.130281
0,0.320579,0.155778
0,0.319921,0.181275
0,0.319264,0.206773
0,0.318606,0.232263
0,0.317949,0.257763
0,0.317291,0.283263
0,0.316634,0.308754
0,0.315977,0.334254
0,0.315319,0.359754
0,0.314662,0.385245
0,0.314004,0.410744
0,0.313347,0.436235
0,0.312689,0.461735
0,0.312032,0.487235
0,0.311375,0.512726
0,0.310717,0.538226
0,0.310060,0.563716
0,0.309402,0.589216
0,0.308745,0.614716
0,0.308087,0.640207
0,0.307430,0.665707
0,0.306772,0.691207
0,0.306115,0.716697
0,0.311835,0.742362
0,0.337326,0.743019
0,0.344360,0.717684
0,0.369860,0.718341
0,0.395351,0.718998
0,0.420851,0.719656
0,0.446351,0.720314
0,0.471842,0.720971
0,0.497342,0.721628
0,0.503226,0.740915
0,0.502568,0.766415
0,0.501911,0.791906
0,0.501253,0.817406
0,0.500596,0.842906
0,0.499939,0.868397
0,0.499281,0.893897
0,0.498624,0.919396
0,0.497966,0.944887
0,0.497309,0.970387
0,0.496651,0.995878
0,0.495994,1.021378
0,0.470494,1.020720
0,0.444994,1.020063
0,0.419503,1.019405
0,0.394003,1.018748
0,0.368503,1.018090
0,0.343013,1.017433
0,0.337129,0.998146
0,0.311802,0.991111
0,0.286302,0.990454
0,0.260802,0.989796
0,0.235312,0.989139
0,0.209812,0.988482
0,0.184312,0.987824
0,0.158821,0.987167
0,0.133485,0.980141
0,0.108324,0.966729
0,0.082988,0.959704
0,0.057817,0.946292
0,0.032819,0.926512
0,0.007812,0.906741
0,-0.017359,0.893329
0,-0.042357,0.873549
0,-0.060823,0.847565
1,0.029674,0.914954
1,0.014586,0.886209
1,-0.005340,0.857548
1,-0.020428,0.828792
1,-0.025741,0.804695
1,-0.021186,0.790075
1,0.008040,0.799183
1,0.037267,0.808301
1,0.066399,0.812571
1,0.095532,0.816840
1,0.124667,0.821109
1,0.153791,0.825379
1,0.182831,0.824810
1,0.192034,0.800429
1,0.191465,0.771389
