Shape,X,Y
0,-0.079288,0.821572
0,-0.089429,0.798167
0,-0.105594,0.778091
0,-0.113556,0.754119
0,-0.120701,0.730686
0,-0.134219,0.705587
0,-0.123624,0.687042
0,-0.100352,0.696361
0,-0.076833,0.705714
0,-0.052018,0.711843
0,-0.027542,0.718629
0,-0.003126,0.726320
0,0.022132,0.728194
0,0.046940,0.733231
0,0.072014,0.736088
0,0.097090,0.740393
0,0.121406,0.744509
0,0.149267,0.743069
0,0.160994,0.726422
0,0.159374,0.699181
0,0.160642,0.674214
0,0.161133,0.648636
0,0.161834,0.623223
0,0.162478,0.597765
0,0.163137,0.572319
0,0.163793,0.546870
0,0.164449,0.521422
0,0.165105,0.495974
0,0.165762,0.470526
0,0.166418,0.445077
0,0.167073,0.419629
0,0.167730,0.394181
0,0.168386,0.368733
0,0.169042,0.343284
0,0.169699,0.317836
0,0.170355,0.292388
0,0.171011,0.266940
0,0.171668,0.241490
0,0.172322,0.216045
0,0.172986,0.190586
0,0.173611,0.165178
0,0.174387,0.139577
0,0.174593,0.114699
0,0.181005,0.089343
0,0.205699,0.088761
0,0.231356,0.089780
0,0.256757,0.090283
0,0.282176,0.091182
0,0.307797,0.091014
0,0.323259,0.110147
0,0.320689,0.135898
0,0.320545,0.161266
0,0.319752,0.186736
0,0.319132,0.212178
0,0.318466,0.237628
0,0.317813,0.263076
0,0.317155,0.288525
0,0.316500,0.313973
0,0.315844,0.339421
0,0.315187,0.364869
0,0.314531,0.390318
0,0.313875,0.415766
0,0.313219,0.441214
0,0.312562,0.466663
0,0.311906,0.492111
0,0.311250,0.517559
0,0.310594,0.543008
0,0.309938,0.568456
0,0.309281,0.593904
0,0.308625,0.619354
0,0.307970,0.644793
0,0.307306,0.670277
0,0.306681,0.695596
0,0.305936,0.721524
0,0.315007,0.744466
0,0.339175,0.740065
0,0.346016,0.716453
0,0.372826,0.718751
0,0.397908,0.718984
0,0.423478,0.719715
0,0.448802,0.720488
0,0.474622,0.720616
0,0.498752,0.723187
0,0.503371,0.749133
0,0.502278,0.773963
0,0.501739,0.799577
0,0.501051,0.824981
0,0.500404,0.850441
0,0.499744,0.875884
0,0.499096,0.901342
0,0.498410,0.926758
0,0.497864,0.952324
0,0.496797,0.977338
0,0.497667,1.004396
0,0.490794,1.023292
0,0.462807,1.019982
0,0.438066,1.020000
0,0.412322,1.019295
0,0.387346,1.018163
0,0.360317,1.019446
0,0.340652,1.011531
0,0.327685,0.991994
0,0.299937,0.990929
0,0.275118,0.990134
0,0.249501,0.989507
0,0.224097,0.988870
0,0.198642,0.988111
0,0.173176,0.987847
0,0.147876,0.985230
0,0.124434,0.975224
0,0.101525,0.964530
0,0.077055,0.957441
0,0.055122,0.944379
0,0.035196,0.928558
0,0.015659,0.912125
0,-0.006175,0.899218
0,-0.028103,0.886256
0,-0.046658,0.868740
0,-0.060823,0.847565
1,-0.025769,0.805321
1,-0.014767,0.787723
1,0.011271,0.800872
1,0.034709,0.807886
1,0.058989,0.811518
1,0.083644,0.815072
1,0.108238,0.818748
1,0.132449,0.822147
1,0.157564,0.826072
1,0.182263,0.825212
1,0.191816,0.802686
1,0.191822,0.777515
1,0.190997,0.753003
1,0.190654,0.728100
1,0.190122,0.703352
1,0.189649,0.678554
1,0.189161,0.653769
1,0.188675,0.628982
1,0.188190,0.604195
1,0.187704,0.579409
1,0.187218,0.554622
1,0.186733,0.529835
1,0.186248,0.505048
1,0.185762,0.480261
1,0.185276,0.455474
1,0.184791,0.430687
1,0.184305,0.405900
1,0.183819,0.381113
1,0.183334,0.356326
1,0.182849,0.331539
1,0.182363,0.306753
1,0.181877,0.281966
1,0.181392,0.257179
1,0.180906,0.232392
1,0.180420,0.207605
1,0.179934,0.182818
1,0.179451,0.158032
1,0.178965,0.133245
1,0.178469,0.108448
1,0.178040,0.083716
1,0.177333,0.058715
1,0.177543,0.034600
1,0.175317,0.008131
1,0.177743,-0.013841
1,0.203544,-0.013348
1,0.228938,-0.013406
1,0.252571,-0.014187
1,0.279769,-0.013517
1,0.290256,0.003068
1,0.287574,0.030428
1,0.288943,0.054498
1,0.289244,0.079435
1,0.289744,0.104210
1,0.290242,0.128987
1,0.290718,0.153781
1,0.291207,0.178565
1,0.291692,0.203353
1,0.292178,0.228140
1,0.292663,0.252927
1,0.293149,0.277714
1,0.293634,0.302500
1,0.294119,0.327287
1,0.294605,0.352074
1,0.295091,0.376861
1,0.295577,0.401648
1,0.296062,0.426435
1,0.296548,0.451222
1,0.297033,0.476009
1,0.297518,0.500796
1,0.298004,0.525583
1,0.298490,0.550370
1,0.298976,0.575156
1,0.299461,0.599943
1,0.299946,0.624730
1,0.300435,0.649517
1,0.300904,0.674303
1,0.301444,0.699093
1,0.301788,0.723872
1,0.302535,0.748674
1,0.302940,0.773456
1,0.301503,0.798139
1,0.319655,0.817426
1,0.334881,0.800511
1,0.357460,0.795361
1,0.383648,0.797257
1,0.407262,0.796530
1,0.434136,0.794321
1,0.455002,0.797805
1,0.453957,0.824201
1,0.454242,0.849199
1,0.455015,0.873680
1,0.455358,0.898633
1,0.455892,0.923314
1,0.456371,0.948249
1,0.456845,0.972796
1,0.457334,0.997621
1,0.453380,1.022435
1,0.429653,1.024173
1,0.403670,1.023555
1,0.379843,1.023721
1,0.353459,1.026971
1,0.332268,1.020053
1,0.315549,1.003540
1,0.289294,1.007129
1,0.264695,1.007218
1,0.239953,1.007549
1,0.215148,1.008408
1,0.190299,1.007102
1,0.166687,1.000096
1,0.144535,0.988727
1,0.122068,0.978234
1,0.100741,0.965715
1,0.080257,0.951590
1,0.059185,0.938585
1,0.029674,0.914954
1,0.018763,0.892591
1,0.004712,0.872291
1,-0.008979,0.851484
1,-0.020160,0.829397
2,-0.079699,0.814864
2,-0.094735,0.794244
2,-0.106458,0.771665
2,-0.116856,0.748391
2,-0.127089,0.725014
2,-0.122117,0.697575
2,-0.133204,0.687019
2,-0.095287,0.700737
2,-0.070715,0.707532
2,-0.046150,0.714364
2,-0.021564,0.721061
2,0.002930,0.728383
2,0.028407,0.729075
2,0.053012,0.735701
2,0.078404,0.736770
2,0.103191,0.742992
2,0.128002,0.744950
2,0.155252,0.741867
2,0.160194,0.719770
2,0.159755,0.693432
2,0.160689,0.668174
2,0.161254,0.642626
2,0.161918,0.617156
2,0.162556,0.591664
2,0.163201,0.566179
2,0.163844,0.540692
2,0.164486,0.515205
2,0.165130,0.489718
2,0.165773,0.464232
2,0.166417,0.438745
2,0.167060,0.413258
2,0.167703,0.387772
