Shape,X,Y
1,0.317240,0.289660
1,0.317240,0.317240
1,0.317240,0.344830
1,0.317240,0.372410
1,0.317240,0.400000
1,0.317240,0.427590
1,0.317240,0.455170
1,0.317240,0.482760
1,0.317240,0.510340
1,0.317240,0.537930
1,0.317240,0.565520
1,0.317240,0.593100
1,0.317240,0.620690
1,0.317240,0.648280
1,0.317240,0.675860
1,0.317240,0.703450
1,0.289660,0.710340
1,0.262070,0.710340
1,0.234480,0.703450
1,0.206900,0.703450
1,0.179310,0.696550
1,0.151720,0.696550
1,0.124140,0.689660
1,0.096552,0.682760
1,0.068966,0.675860
1,0.041379,0.668970
1,0.013793,0.655170
1,0.000000,0.662070
1,0.006897,0.689660
1,0.020690,0.717240
1,0.027586,0.744830
1,0.048276,0.772410
1,0.062069,0.800000
1,0.082759,0.827590
1,0.103450,0.855170
1,0.131030,0.875860
1,0.158620,0.889660
1,0.186210,0.910340
1,0.213790,0.931030
1,0.241380,0.944830
1,0.268970,0.951720
1,0.296550,0.965520
1,0.324140,0.972410
1,0.351720,0.972410
1,0.379310,0.972410
1,0.406900,0.972410
1,0.434480,0.972410
1,0.462070,0.972410
1,0.489660,0.972410
1,0.517240,0.979310
1,0.524140,1.000000
1,0.551720,1.000000
1,0.579310,1.000000
1,0.606900,1.000000
1,0.634480,1.000000
1,0.662070,1.000000
1,0.689660,1.000000
1,0.689660,0.972410
1,0.689660,0.944830
1,0.689660,0.917240
1,0.689660,0.889660
1,0.689660,0.862070
1,0.689660,0.834480
1,0.689660,0.806900
1,0.689660,0.779310
1,0.689660,0.751720
1,0.689660,0.724140
1,0.689660,0.696550
1,0.682760,0.675860
1,0.655170,0.675860
1,0.627590,0.675860
1,0.600000,0.675860
1,0.572410,0.675860
1,0.544830,0.675860
1,0.517240,0.675860
1,0.510340,0.703450
1,0.482760,0.703450
1,0.475860,0.675860
1,0.475860,0.648280
1,0.475860,0.620690
1,0.475860,0.593100
1,0.475860,0.565520
1,0.475860,0.537930
1,0.475860,0.510340
1,0.475860,0.482760
1,0.475860,0.455170
1,0.475860,0.427590
1,0.475860,0.400000
1,0.475860,0.372410
1,0.475860,0.344830
1,0.475860,0.317240
1,0.475860,0.289660
1,0.475860,0.262070
1,0.475860,0.234480
1,0.475860,0.206900
1,0.475860,0.179310
1,0.475860,0.151720
1,0.475860,0.124140
1,0.475860,0.096552
1,0.475860,0.068966
1,0.475860,0.041379
1,0.475860,0.013793
1,0.462070,0.000000
1,0.434480,0.000000
1,0.406900,0.000000
1,0.379310,0.000000
1,0.351720,0.000000
1,0.324140,0.000000
1,0.317240,0.020690
1,0.317240,0.048276
1,0.317240,0.075862
1,0.317240,0.103450
1,0.317240,0.131030
1,0.317240,0.158620
1,0.317240,0.186210
1,0.317240,0.213790
1,0.317240,0.241380
1,0.317240,0.268970
2,0.195350,0.004651
2,0.167440,0.018605
2,0.139530,0.037209
2,0.111630,0.051163
2,0.088372,0.079070
2,0.069767,0.106980
2,0.051163,0.134880
2,0.037209,0.162790
2,0.023256,0.190700
2,0.018605,0.218600
2,0.018605,0.246510
2,0.018605,0.274420
2,0.018605,0.302330
2,0.018605,0.330230
2,0.000000,0.344190
2,0.000000,0.372090
2,0.000000,0.400000
2,0.000000,0.427910
2,0.000000,0.455810
2,0.023256,0.460470
2,0.051163,0.460470
2,0.079070,0.460470
2,0.106980,0.460470
2,0.134880,0.460470
2,0.162790,0.460470
2,0.190700,0.460470
2,0.218600,0.460470
2,0.218600,0.432560
2,0.218600,0.404650
2,0.218600,0.376740
2,0.218600,0.348840
2,0.200000,0.334880
2,0.213950,0.316280
2,0.241860,0.316280
2,0.269770,0.316280
2,0.297670,0.316280
2,0.325580,0.316280
2,0.353490,0.316280
2,0.381400,0.316280
2,0.409300,0.316280
2,0.437210,0.316280
2,0.465120,0.316280
2,0.493020,0.316280
2,0.520930,0.316280
2,0.548840,0.316280
2,0.576740,0.316280
2,0.604650,0.316280
2,0.632560,0.316280
2,0.660470,0.316280
2,0.688370,0.316280
2,0.716280,0.316280
