Shape,X,Y
1,0.313388,0.156642
1,-0.051589,0.731237
1,0.506147,0.881279
1,0.030335,0.946969
1,0.308884,0.520965
1,0.452163,1.036777
1,0.163674,0.161297
1,-0.117371,0.788986
1,0.026320,0.745211
1,0.157963,0.623213
1,0.400118,1.036134
1,0.310492,0.390850
1,0.341806,1.015892
1,0.504860,0.985377
1,0.162065,0.291411
1,0.309205,0.494948
1,0.004550,0.927139
1,0.313710,0.130618
1,0.348074,1.035491
1,0.160216,0.441044
1,-0.103475,0.717585
1,-0.021316,0.913799
1,0.311779,0.286761
1,0.306310,0.729152
1,0.223112,0.090457
1,0.159727,1.007131
1,0.107924,0.986970
1,0.104230,0.759185
1,0.161181,0.362982
1,0.156355,0.753329
1,0.159250,0.519115
1,0.312497,0.755259
1,0.156998,0.701285
1,0.507112,0.803207
1,0.161744,0.317438
1,0.505182,0.959350
1,0.163352,0.187322
1,0.504217,1.037421
1,0.158929,0.545142
1,-0.142429,0.710593
1,0.312744,0.208690
1,0.307275,0.651081
1,0.397390,0.730278
1,0.507756,0.751163
1,0.056112,0.966809
1,0.078284,0.752364
1,0.306631,0.703134
1,0.159894,0.467071
1,0.249139,0.090779
1,0.315869,1.009062
1,0.505825,0.907306
1,0.160537,0.415027
1,0.000293,0.744889
1,0.263816,1.008418
1,0.157642,0.649231
1,0.478190,1.037099
1,0.475461,0.731243
1,0.052266,0.752042
1,0.158607,0.571160
1,-0.077531,0.724406
1,0.156677,0.727302
1,0.306953,0.677108
1,0.211771,1.007775
1,0.314031,0.104595
1,0.130257,0.759507
1,0.345345,0.729635
1,0.338515,0.755581
1,0.160859,0.389000
1,0.159572,0.493098
1,0.163996,0.135274
1,0.449443,0.730921
1,0.158285,0.597186
1,0.313066,0.182665
1,0.164318,0.109251
1,0.171068,0.089814
1,0.275157,0.091101
1,0.161422,0.343465
1,0.426145,1.036456
1,-0.025644,0.738068
1,0.506469,0.855261
1,0.309527,0.468921
1,-0.123555,0.762879
1,0.507434,0.777190
1,-0.047092,0.893960
1,0.310814,0.364832
1,-0.066289,0.867701
1,0.237798,1.008096
1,0.081978,0.980149
1,0.162387,0.265393
1,0.371372,0.729956
1,0.312101,0.260734
1,0.309849,0.442894
1,0.157320,0.675258
1,-0.085485,0.841433
1,0.162709,0.239367
1,0.423417,0.730600
1,0.133781,1.000310
1,0.163031,0.213340
1,0.289843,1.008740
1,0.308562,0.546992
1,0.374092,1.035812
1,0.307918,0.599036
1,0.310170,0.416877
1,-0.129337,0.704245
1,0.301183,0.091422
1,0.311457,0.312779
1,0.307597,0.625063
1,0.501488,0.731565
1,0.185745,1.007453
1,0.197085,0.090135
1,0.312423,0.234707
1,0.308240,0.573010
1,0.504538,1.011394
1,-0.136245,0.736701
1,0.505503,0.933332
1,-0.098175,0.815245
1,0.311136,0.338805
1,0.506790,0.829234
2,0.240107,0.597376
2,0.238654,0.621889
2,0.231081,0.610067
2,0.247320,0.582163
2,0.243311,0.616704
2,0.227326,0.607380
2,0.236571,0.621066
2,0.242987,0.590085
2,0.245455,0.583835
2,0.230108,0.609482
2,0.241753,0.593210
2,0.238050,0.602585
2,0.232054,0.610652
2,0.248557,0.587669
2,0.247734,0.589752
2,0.235993,0.607793
2,0.242488,0.618787
2,0.237612,0.621477
2,0.242050,0.613798
2,0.241254,0.621912
2,0.242797,0.602252
2,0.239172,0.613464
2,0.239917,0.609544
2,0.236324,0.620166
2,0.238461,0.601543
2,0.241563,0.605377
2,0.245266,0.596002
2,0.227169,0.611332
2,0.241008,0.613386
2,0.242899,0.617746
2,0.235170,0.609876
2,0.229512,0.616071
2,0.240930,0.595293
2,0.239506,0.610585
2,0.243398,0.589043
2,0.243209,0.601210
2,0.249403,0.582986
2,0.246500,0.592877
2,0.226946,0.607832
2,0.227978,0.613859
2,0.244134,0.614621
2,0.233027,0.611237
2,0.233199,0.618931
2,0.239094,0.611627
2,0.234069,0.611649
2,0.250203,0.583502
2,0.240737,0.622711
2,0.248362,0.582575
2,0.228745,0.614965
2,0.239696,0.598418
2,0.237227,0.604668
2,0.236404,0.606751
2,0.244854,0.597044
2,0.244632,0.585918
2,0.228230,0.608138
2,0.238683,0.612669
2,0.240518,0.596335
2,0.245867,0.582794
2,0.235282,0.619754
2,0.236816,0.605710
2,0.239284,0.599460
2,0.246089,0.593919
2,0.238873,0.600502
2,0.239967,0.612975
2,0.240740,0.607460
2,0.245044,0.584877
2,0.234241,0.619343
2,0.239696,0.622300
2,0.249380,0.585586
2,0.246278,0.581752
2,0.244221,0.586960
2,0.243620,0.600169
2,0.244031,0.599127
2,0.241665,0.620870
2,0.241152,0.606418
2,0.226886,0.610016
2,0.232157,0.618520
2,0.231184,0.617935
2,0.240329,0.608502
2,0.242575,0.591126
2,0.244443,0.598086
2,0.245677,0.594961
2,0.248968,0.586627
2,0.234758,0.610918
2,0.242164,0.592168
2,0.227279,0.612579
2,0.230348,0.617003
2,0.241341,0.594251
2,0.243810,0.588002
2,0.242077,0.619829
2,0.237638,0.603626
2,0.229135,0.608897
2,0.243092,0.614209
2,0.246911,0.591836
2,0.249791,0.584544
2,0.248145,0.588711
2,0.226777,0.608769
2,0.242386,0.603294
2,0.241974,0.604335
2,0.235581,0.608834
2,0.247323,0.590794
2,0.243722,0.615662
3,0.165109,0.392207
3,0.164465,0.366710
3,0.574663,0.700738
3,-0.020405,0.875185
3,0.427653,0.940406
3,0.498665,0.721788
3,0.317965,0.637059
3,0.305741,0.152696
3,0.170256,0.596151
3,0.026728,0.720938
3,0.159962,0.188263
3,0.103208,0.719008
3,0.163179,0.315727
3,0.606851,0.712677
3,0.170899,0.621638
3,0.162535,0.290230
3,0.250332,0.989517
3,0.168969,0.545167
3,0.612581,0.687020
3,0.161248,0.239247
3,0.161892,0.264743
