SHAPE,LANDMARK,X,Y
1,1,-0.499,0.022
1,2,0.136,0.119
1,3,0.058,0.400
1,4,0.453,-0.180
1,5,0.159,-0.215
1,6,0.158,-0.031
1,7,-0.466,-0.114
2,1,-0.556,-0.008
2,2,0.184,0.100
2,3,0.138,0.281
2,4,0.396,-0.113
2,5,0.195,-0.144
2,6,0.182,-0.011
2,7,-0.539,-0.106
3,1,-0.494,0.029
3,2,0.139,0.121
3,3,0.055,0.393
3,4,0.461,-0.175
3,5,0.164,-0.225
3,6,0.142,-0.027
3,7,-0.468,-0.116
4,1,-0.488,0.026
4,2,0.137,0.121
4,3,0.052,0.389
4,4,0.457,-0.177
4,5,0.163,-0.215
4,6,0.160,-0.030
4,7,-0.480,-0.114
5,1,-0.556,-0.005
5,2,0.187,0.100
5,3,0.129,0.276
5,4,0.399,-0.114
5,5,0.197,-0.144
5,6,0.184,-0.010
5,7,-0.539,-0.103
6,1,-0.517,0.015
6,2,0.152,0.108
6,3,0.087,0.338
6,4,0.427,-0.149
6,5,0.186,-0.182
6,6,0.175,-0.020
6,7,-0.511,-0.110
7,1,-0.525,0.010
7,2,0.163,0.115
7,3,0.088,0.344
7,4,0.422,-0.154
7,5,0.181,-0.186
7,6,0.170,-0.020
7,7,-0.498,-0.110
8,1,-0.526,0.011
8,2,0.162,0.117
8,3,0.088,0.340
8,4,0.423,-0.153
8,5,0.182,-0.186
8,6,0.170,-0.019
8,7,-0.499,-0.111
9,1,-0.527,0.012
9,2,0.159,0.107
9,3,0.088,0.343
9,4,0.424,-0.151
9,5,0.183,-0.184
9,6,0.171,-0.017
9,7,-0.499,-0.110
10,1,-0.543,-0.022
10,2,0.164,0.102
10,3,0.151,0.326
10,4,0.381,-0.136
10,5,0.201,-0.164
10,6,0.171,0.002
10,7,-0.525,-0.108
