Two Sample SPM Results
alpha = 0.050
T2_critical = 25.067
p = 0.008
X0,Y0,X1,Y1,T2
-0.059071,0.814032,-0.063431,0.817094,0.358
-0.060881,0.793578,-0.070569,0.802890,1.790
-0.059721,0.785654,-0.071504,0.783121,0.171
-0.055576,0.774500,-0.070909,0.766441,0.160
-0.050764,0.761950,-0.051267,0.766653,0.139
-0.045326,0.747826,-0.026678,0.775873,2.283
-0.033466,0.739763,-0.002448,0.780529,5.553
-0.006856,0.747603,0.022578,0.782667,5.243
0.017418,0.754210,0.047354,0.786530,4.903
0.042368,0.758125,0.071650,0.789029,10.983
0.061381,0.753700,0.095605,0.787789,47.138
0.076201,0.748066,0.120034,0.787558,217.191
0.091031,0.739171,0.143049,0.787145,720.615
0.105740,0.732538,0.164222,0.782457,134.990
0.120631,0.723989,0.178120,0.765573,81.048
0.135425,0.717030,0.179310,0.740408,77.830
0.149914,0.709147,0.178610,0.715014,102.052
0.166310,0.698033,0.178739,0.689769,40.870
0.171789,0.677036,0.178557,0.664451,6.937
0.170851,0.650954,0.178476,0.639162,12.150
0.171343,0.625997,0.178367,0.613863,8.544
0.171450,0.600737,0.178265,0.588567,7.558
0.171661,0.575559,0.178161,0.563270,6.222
0.171844,0.550359,0.178058,0.537973,5.186
0.172034,0.525165,0.177954,0.512676,4.278
0.172223,0.499970,0.177851,0.487380,3.515
0.172412,0.474775,0.177747,0.462083,2.872
0.172601,0.449579,0.177644,0.436786,2.336
0.172790,0.424384,0.177540,0.411490,1.893
0.172979,0.399189,0.177437,0.386193,1.528
0.173168,0.373994,0.177333,0.360896,1.230
0.173357,0.348798,0.177230,0.335599,0.991
0.173545,0.323603,0.177126,0.310303,0.799
0.173734,0.298408,0.177023,0.285006,0.649
0.173923,0.273213,0.176919,0.259709,0.532
0.174112,0.248017,0.176815,0.234412,0.444
0.174301,0.222822,0.176713,0.209117,0.380
0.174491,0.197628,0.176607,0.183818,0.335
0.174671,0.172427,0.176504,0.158523,0.307
0.174900,0.147256,0.176422,0.133239,0.290
0.174941,0.121975,0.176188,0.107847,0.285
0.175618,0.097036,0.176646,0.082981,0.284
0.174347,0.071231,0.174530,0.056106,0.368
0.181437,0.048809,0.183456,0.037905,0.421
0.206451,0.048242,0.210256,0.038054,0.957
0.232072,0.048949,0.235198,0.037988,0.730
0.256767,0.048897,0.260518,0.037800,0.931
0.282871,0.049596,0.284889,0.039478,0.547
0.303083,0.055744,0.301554,0.052927,0.156
0.308177,0.079829,0.302265,0.077781,5.451
0.307877,0.104713,0.301714,0.103478,10.833
0.307747,0.129968,0.302135,0.128586,7.148
0.307526,0.155161,0.302118,0.153953,6.947
0.307352,0.180351,0.302261,0.179227,5.898
0.307157,0.205549,0.302353,0.204530,5.122
0.306970,0.230743,0.302459,0.229825,4.371
0.306781,0.255939,0.302562,0.255122,3.695
0.306592,0.281134,0.302666,0.280419,3.089
0.306403,0.306329,0.302769,0.305716,2.552
0.306214,0.331524,0.302873,0.331013,2.081
0.306025,0.356720,0.302976,0.356309,1.671
0.305836,0.381915,0.303080,0.381606,1.319
