Two Sample SPM Results
T2_critical = 53.320
p = 0.000
X0,Y0,X1,Y1,T2
-0.060093,0.811725,-0.063157,0.817941,1.960
-0.062417,0.791548,-0.070286,0.803659,3.466
-0.060782,0.783404,-0.070844,0.784106,0.340
-0.056092,0.772071,-0.071778,0.765923,0.186
-0.052064,0.759621,-0.050760,0.767375,0.286
-0.045329,0.745470,-0.026291,0.775369,2.645
-0.030939,0.740050,-0.002148,0.780726,5.863
-0.004660,0.748869,0.022904,0.782706,4.927
0.019912,0.754726,0.047687,0.786623,5.099
0.044784,0.758820,0.072000,0.788997,10.303
0.063804,0.754443,0.095922,0.788312,47.831
0.078672,0.748463,0.120387,0.787743,256.687
0.093528,0.739402,0.143436,0.786511,742.345
0.108184,0.733100,0.164799,0.782467,131.889
0.123152,0.724131,0.177346,0.765147,78.972
0.137819,0.717695,0.179384,0.739933,64.251
0.152588,0.709060,0.178625,0.714626,65.566
0.168280,0.697028,0.178726,0.689326,16.866
0.171482,0.674223,0.178567,0.664016,7.331
0.171014,0.648511,0.178476,0.638711,10.626
0.171379,0.623455,0.178370,0.613404,8.218
0.171521,0.598222,0.178267,0.588097,7.368
0.171722,0.573037,0.178164,0.562790,6.268
0.171908,0.547839,0.178060,0.537484,5.347
0.172097,0.522644,0.177956,0.512177,4.507
0.172287,0.497449,0.177853,0.486871,3.768
0.172475,0.472253,0.177749,0.461564,3.125
0.172664,0.447058,0.177646,0.436258,2.569
0.172853,0.421863,0.177542,0.410951,2.094
0.173042,0.396667,0.177438,0.385644,1.695
0.173231,0.371472,0.177335,0.360338,1.362
0.173420,0.346277,0.177231,0.335031,1.087
0.173609,0.321082,0.177128,0.309724,0.865
0.173798,0.295887,0.177024,0.284418,0.687
0.173987,0.270691,0.176921,0.259111,0.547
0.174175,0.245496,0.176817,0.233804,0.440
0.174365,0.220301,0.176715,0.208499,0.360
0.174555,0.195106,0.176608,0.183189,0.302
0.174736,0.169906,0.176508,0.157888,0.266
0.174958,0.144733,0.176415,0.132583,0.241
0.175025,0.119457,0.176213,0.107214,0.233
0.175607,0.094499,0.176590,0.082257,0.232
0.174684,0.068766,0.174632,0.055529,0.320
0.183773,0.047932,0.184287,0.038049,0.178
0.209007,0.048564,0.210924,0.038024,0.385
0.234600,0.048918,0.235910,0.038010,0.299
0.259225,0.049076,0.261229,0.037728,0.431
0.285635,0.049296,0.285599,0.039784,0.155
0.304661,0.057171,0.301587,0.053658,0.829
0.308197,0.082465,0.302215,0.078546,3.768
0.307792,0.107203,0.301736,0.104225,7.933
0.307689,0.132498,0.302125,0.129356,5.174
0.307461,0.157680,0.302120,0.154728,5.057
0.307289,0.182873,0.302259,0.180014,4.307
0.307093,0.208070,0.302352,0.205326,3.747
0.306907,0.233265,0.302458,0.230632,3.203
0.306717,0.258460,0.302562,0.255938,2.707
0.306529,0.283656,0.302665,0.281245,2.262
0.306340,0.308851,0.302768,0.306552,1.863
0.306151,0.334046,0.302872,0.331858,1.512
0.305962,0.359241,0.302976,0.357165,1.205
0.305773,0.384436,0.303079,0.382472,0.941
0.305584,0.409632,0.303183,0.407778,0.717
0.305395,0.434827,0.303286,0.433085,0.528
0.305206,0.460022,0.303390,0.458391,0.374
0.305017,0.485217,0.303493,0.483698,0.250
0.304829,0.510412,0.303597,0.509005,0.154
0.304639,0.535608,0.303700,0.534311,0.083
0.304450,0.560803,0.303804,0.559618,0.035
0.304263,0.586000,0.303907,0.584925,0.009
0.304067,0.611187,0.304013,0.610230,0.002
0.303905,0.636413,0.304110,0.635539,0.010
0.303617,0.661492,0.304234,0.660840,0.050
0.304197,0.687078,0.304284,0.686159,0.004
0.314640,0.706927,0.304500,0.711443,9.638
0.325954,0.708560,0.304467,0.736763,83.229
0.333994,0.709211,0.304255,0.762202,209.965
0.350593,0.720961,0.316650,0.779952,1745.416
0.365825,0.730907,0.333126,0.775291,52.686
0.381468,0.741229,0.352510,0.766588,3.114
0.395793,0.751793,0.375701,0.763749,0.648
0.419227,0.758862,0.400142,0.762478,7.522
0.435244,0.758985,0.425477,0.762665,0.072
0.444488,0.772672,0.451002,0.762465,4.037
0.454616,0.788465,0.473657,0.768707,12.307
0.463679,0.803509,0.481105,0.787648,16.411
0.474002,0.817919,0.484415,0.811044,7.931
0.482130,0.834420,0.484552,0.836276,0.152
0.481410,0.860171,0.484632,0.861615,0.504
0.481109,0.885493,0.484749,0.886916,0.760
0.481037,0.910531,0.484827,0.912207,0.854
0.480818,0.935885,0.485006,0.937568,1.212
0.480540,0.960704,0.484905,0.962729,1.265
0.480413,0.986974,0.485482,0.988377,2.482
0.470706,1.002477,0.484582,1.012893,5.469
0.454690,1.010920,0.464392,1.020702,2.866
0.438181,1.020786,0.438402,1.020486,0.007
0.413329,1.021230,0.413281,1.020659,0.016
0.387995,1.020166,0.388130,1.020504,0.005
0.361892,1.021447,0.361949,1.021792,0.004
0.343910,1.012483,0.342289,1.012230,1.438
0.324115,1.002788,0.328087,0.997106,2.214
0.301365,0.996031,0.303239,0.999875,0.811
0.275813,0.996932,0.277842,1.001120,1.008
0.250626,0.996640,0.252720,1.001961,2.120
0.225474,0.996337,0.227364,1.002096,2.409
0.200240,0.996444,0.202090,1.002038,2.014
0.175191,0.994540,0.177027,0.999182,1.627
0.150628,0.989701,0.152693,0.993187,6.800
0.127952,0.978989,0.128719,0.985143,13.012
0.104774,0.969267,0.104832,0.978045,43.334
0.082109,0.958858,0.081884,0.963071,4.810
0.061587,0.944033,0.060074,0.950301,6.557
0.041169,0.929397,0.036278,0.936584,6.878
0.016886,0.911223,0.014701,0.923373,13.006
-0.000380,0.894282,-0.006458,0.905791,13.240
-0.019576,0.876458,-0.023862,0.887165,7.939
-0.035133,0.856987,-0.036413,0.865426,3.400
-0.048359,0.835498,-0.047856,0.843120,3.227
