Shape,X,Y
0,0.440600,0.116630
0,0.423330,0.172790
0,0.799140,0.183590
0,0.561560,0.639310
0,0.317490,0.280780
0,1.000000,0.533480
0,0.451400,0.088553
0,0.963280,0.673870
0,0.779700,0.792660
0,0.898490,0.280780
0,0.615550,0.723540
0,0.047516,0.740820
0,0.922250,0.308860
0,0.021598,0.684670
0,0.574510,0.038877
0,0.019438,0.460040
0,0.004320,0.516200
0,0.066955,0.768900
0,0.997840,0.505400
0,0.412530,0.200860
0,0.576670,0.667390
0,0.969760,0.393090
0,0.956800,0.365010
0,0.997840,0.561560
0,0.771060,0.161990
0,0.449240,0.639310
0,0.892010,0.747300
0,0.462200,0.060475
0,0.032397,0.712740
0,0.505400,0.527000
0,0.431970,0.144710
0,0.092873,0.352050
0,0.980560,0.421170
0,0.416850,0.695460
0,0.177110,0.308860
0,0.920090,0.725700
0,0.546440,0.611230
0,0.807780,0.786180
0,0.263500,0.805620
0,0.630670,0.075594
0,0.978400,0.645790
0,0.490280,0.555080
0,0.006480,0.628510
0,0.002160,0.600430
0,0.032397,0.431970
0,0.723540,0.794820
0,0.714900,0.125270
0,0.235420,0.812100
0,0.863930,0.762420
0,0.941680,0.336930
0,0.987040,0.617710
0,0.179270,0.816410
0,0.492440,0.004320
0,0.095032,0.790500
0,0.853130,0.231100
0,0.751620,0.796980
0,0.658750,0.092873
0,0.518360,0.000000
0,0.602590,0.058315
0,0.012959,0.656590
0,0.874730,0.252700
0,0.375810,0.745140
0,0.319650,0.781860
0,0.462200,0.611230
0,0.989200,0.449240
0,0.291580,0.794820
0,0.120950,0.330450
0,0.010799,0.488120
0,0.667390,0.771060
0,0.205180,0.302380
0,0.695460,0.786180
0,0.475160,0.032397
0,0.066955,0.377970
0,0.207340,0.816410
0,0.686830,0.107990
0,0.123110,0.805620
0,0.639310,0.749460
0,0.596110,0.695460
0,0.475160,0.583150
0,0.347730,0.764580
0,0.047516,0.403890
0,0.149030,0.317490
0,0.943840,0.701940
0,0.289420,0.287260
0,0.742980,0.142550
0,0.825050,0.203020
0,0.995680,0.477320
0,0.531320,0.583150
0,0.546440,0.021598
0,0.373650,0.254860
0,0.151190,0.814250
0,0.345570,0.272140
0,0.518360,0.555080
0,0.397410,0.228940
0,0.434130,0.667390
0,0.835850,0.777540
0,0.233260,0.298060
0,0.993520,0.589630
0,0.002160,0.544280
0,0.395250,0.723540
0,0.000000,0.572350
0,0.261340,0.291580
1,0.997840,0.578830
1,0.319650,0.786180
1,0.576670,0.745140
1,0.002160,0.550760
1,0.129590,0.812100
1,0.885530,0.755940
1,0.887690,0.272140
1,0.838010,0.779700
1,0.438440,0.732180
1,0.390930,0.747300
1,0.278620,0.192220
1,0.004320,0.527000
1,0.468680,0.032397
1,0.773220,0.168470
1,0.820730,0.205180
1,0.647950,0.768900
1,0.814250,0.788340
1,0.790500,0.794820
1,0.002160,0.598270
1,0.183590,0.269980
1,0.224620,0.818570
1,0.654430,0.092873
1,0.995680,0.483800
1,0.725700,0.136070
1,0.254860,0.211660
1,0.015119,0.479480
1,0.742980,0.801300
1,0.766740,0.799140
1,0.987040,0.626350
1,0.373650,0.116630
1,0.004320,0.622030
1,0.583150,0.049676
1,0.967600,0.388770
1,0.207340,0.250540
1,0.023758,0.455720
1,0.073434,0.375810
1,0.501080,0.676030
1,0.552920,0.732180
1,0.032397,0.717060
1,0.749460,0.151190
1,0.993520,0.602590
1,0.701940,0.123110
1,0.302380,0.172790
1,0.034557,0.431970
1,0.490280,0.010799
1,0.671710,0.777540
1,0.600430,0.753780
1,0.326130,0.155510
1,0.535640,0.017279
1,0.531320,0.710580
1,0.695460,0.790500
1,0.008639,0.503240
1,0.976240,0.412530
1,0.045356,0.740820
1,0.868250,0.248380
1,0.514040,0.686830
1,0.177110,0.820730
1,0.000000,0.574510
1,0.933050,0.719220
1,0.053996,0.399570
1,0.272140,0.807780
1,0.008639,0.645790
1,0.483800,0.697620
1,0.630670,0.079914
1,0.092873,0.354210
1,0.200860,0.820730
1,0.060475,0.764580
1,0.559400,0.034557
1,0.997840,0.507560
1,0.678190,0.107990
1,0.153350,0.818570
1,0.907130,0.293740
1,1.000000,0.555080
1,0.248380,0.814250
1,0.444920,0.053996
1,0.159830,0.291580
1,0.909290,0.738660
1,0.114470,0.332610
1,0.343410,0.771060
1,0.861770,0.768900
1,0.047516,0.408210
1,0.397410,0.097192
1,0.015119,0.669550
1,0.606910,0.066955
1,0.136070,0.313170
1,0.105830,0.803460
1,0.624190,0.762420
1,0.414690,0.738660
1,0.349890,0.136070
1,0.231100,0.228940
1,0.991360,0.460040
1,0.295900,0.799140
1,0.021598,0.693300
1,0.984880,0.436290
1,0.965440,0.673870
1,0.796980,0.185750
1,0.462200,0.719220
1,0.952480,0.697620
1,0.719220,0.796980
1,0.511880,0.000000
1,0.941680,0.341250
1,0.954640,0.365010
1,1.000000,0.531320
1,0.082073,0.786180
1,0.367170,0.758100
1,0.978400,0.650110
1,0.926570,0.317490
1,0.421170,0.075594
1,0.844490,0.226780
2,0.237580,0.732180
2,0.002160,0.522680
2,0.231100,0.172790
2,0.980560,0.559400
2,0.334770,0.127430
2,0.768900,0.103670
2,0.967600,0.585310
2,0.490280,0.041037
2,0.829370,0.699780
2,0.501080,0.539960
2,0.997840,0.429810
2,0.025918,0.365010
2,0.803460,0.708420
2,0.019438,0.600430
2,0.751620,0.717060
2,0.596110,0.650110
2,0.023758,0.367170
2,0.529160,0.578830
2,0.639310,0.060475
2,0.133910,0.730020
2,0.282940,0.149030
2,0.997840,0.481640
2,0.211660,0.736500
2,0.896330,0.196540
2,0.438440,0.075594
2,0.872570,0.170630
2,0.622030,0.667390
2,0.984880,0.352050
2,0.004320,0.444920
2,0.820730,0.129590
2,0.587470,0.034557
2,0.006480,0.548600
2,0.315330,0.704100
2,0.056156,0.313170
2,0.777540,0.714900
2,0.107990,0.719220
2,0.000000,0.470840
2,0.742980,0.095032
2,0.127430,0.239740
2,0.647950,0.682510
2,0.665230,0.069114
2,0.386610,0.103670
2,0.954640,0.611230
2,1.000000,0.455720
2,0.725700,0.714900
2,0.907130,0.656590
2,0.058315,0.678190
2,0.466520,0.591790
2,0.995680,0.403890
2,0.516200,0.552920
2,0.483800,0.565870
2,0.308860,0.138230
2,0.043197,0.652270
2,0.881210,0.673870
2,0.673870,0.695460
2,0.015119,0.393090
2,0.717060,0.086393
2,0.289420,0.717060
2,0.933050,0.634990
2,0.263500,0.725700
2,0.082073,0.701940
2,0.153350,0.218140
2,0.077754,0.287260
2,0.010799,0.574510
2,0.185750,0.736500
2,0.561560,0.019438
2,0.257020,0.159830
2,0.535640,0.000000
2,0.205180,0.185750
2,0.570190,0.626350
2,0.511880,0.021598
2,0.038877,0.339090
2,0.341250,0.688980
2,0.699780,0.708420
2,0.965440,0.300220
2,0.691140,0.077754
2,0.008639,0.419010
2,0.548600,0.604750
2,0.917930,0.222460
2,0.442760,0.617710
2,0.794820,0.114470
2,0.464360,0.060475
2,0.393090,0.656590
2,0.419010,0.637150
2,0.976240,0.326130
2,0.030238,0.626350
2,0.412530,0.090713
2,0.000000,0.496760
2,0.367170,0.671710
2,0.179270,0.200860
2,0.846650,0.146870
2,0.159830,0.734340
2,0.101510,0.263500
2,0.360690,0.116630
2,0.855290,0.688980
2,0.991360,0.377970
2,0.613390,0.049676
2,0.935210,0.248380
2,0.952480,0.274300
2,0.989200,0.533480
2,0.993520,0.507560
3,0.401730,0.738660
3,0.762420,0.164150
3,0.021598,0.464360
3,0.762420,0.803460
3,0.710580,0.131750
3,0.980560,0.429810
3,0.194380,0.825050
3,0.326130,0.159830
3,0.000000,0.593950
3,0.196540,0.263500
3,0.168470,0.825050
3,0.481640,0.023758
3,0.144710,0.308860
3,0.941680,0.714900
3,0.429810,0.073434
3,1.000000,0.533480
3,0.606910,0.071274
3,0.503240,0.000000
3,0.928730,0.326130
3,0.090713,0.799140
3,1.000000,0.559400
3,0.403890,0.095032
3,0.012959,0.490280
3,0.555080,0.036717
3,0.684670,0.116630
3,0.064795,0.775380
3,0.632830,0.762420
3,0.917930,0.736500
3,0.012959,0.671710
3,0.002160,0.542120
3,0.606910,0.745140
3,0.097192,0.354210
3,0.788340,0.183590
3,0.814250,0.203020
3,0.032397,0.438440
3,0.300220,0.179270
3,0.116630,0.812100
3,0.220300,0.822890
3,0.658750,0.775380
3,0.455720,0.047516
3,0.993520,0.481640
3,0.475160,0.669550
3,0.075594,0.377970
3,0.840170,0.784020
3,0.427650,0.719220
3,0.974080,0.663070
3,0.971920,0.403890
3,0.982720,0.637150
3,0.120950,0.332610
3,0.684670,0.788340
3,0.658750,0.101510
3,0.840170,0.226780
3,0.632830,0.086393
3,0.053996,0.403890
3,0.995680,0.585310
3,0.529160,0.017279
3,0.352050,0.138230
3,0.248380,0.220300
3,0.866090,0.771060
3,0.520520,0.652270
3,0.736500,0.149030
3,0.989200,0.455720
3,0.349890,0.771060
3,0.958960,0.377970
3,0.034557,0.723540
3,0.170630,0.285100
3,0.006480,0.516200
3,0.557240,0.704100
3,0.377970,0.118790
3,0.909290,0.300220
3,0.537800,0.678190
3,0.710580,0.799140
3,0.866090,0.250540
3,0.222460,0.241900
3,0.946000,0.352050
3,0.991360,0.611230
3,0.021598,0.697620
3,0.997840,0.507560
3,0.298060,0.801300
3,0.887690,0.276460
3,0.246220,0.818570
3,0.580990,0.053996
3,0.000000,0.568030
3,0.047516,0.412530
3,0.453560,0.695460
3,0.272140,0.812100
3,0.142550,0.820730
3,0.004320,0.619870
3,0.788340,0.801300
3,0.507560,0.626350
3,0.492440,0.643630
3,0.961120,0.688980
3,0.892010,0.755940
3,0.323970,0.788340
3,0.736500,0.803460
3,0.580990,0.725700
3,0.047516,0.749460
3,0.375810,0.755940
3,0.814250,0.792660
3,0.274300,0.200860
3,0.008639,0.645790
4,0.524660,0.022422
4,0.831840,0.809420
4,0.320630,0.798210
4,0.165920,0.343050
4,0.150220,0.313900
4,0.495520,0.000000
4,0.264570,0.188340
4,0.360990,0.598650
4,0.917040,0.322870
4,0.349780,0.656950
4,0.349780,0.744390
4,0.381170,0.094170
4,0.988790,0.468610
4,0.204040,0.847530
4,0.894620,0.295960
4,0.352020,0.627800
4,0.132290,0.479820
4,0.011211,0.771300
4,0.029148,0.800450
4,0.042601,0.596410
4,0.147980,0.284750
4,0.174890,0.852020
4,0.159190,0.450670
4,0.352020,0.118830
4,0.964130,0.701790
4,0.639010,0.746640
4,0.526910,0.484300
4,0.004484,0.683860
4,0.343050,0.773540
4,0.082960,0.538120
4,0.630040,0.659190
4,0.002242,0.742150
4,0.468610,0.013453
4,0.349780,0.715250
4,0.621080,0.630040
4,0.612110,0.080717
4,1.000000,0.556050
4,0.585200,0.571750
4,0.757850,0.170400
4,0.686100,0.820630
4,0.013453,0.654710
4,0.943950,0.730940
4,0.977580,0.672650
4,0.145740,0.852020
4,0.995520,0.614350
4,0.410310,0.069507
4,0.262330,0.831840
4,0.582960,0.062780
4,0.816140,0.215250
4,0.656950,0.804930
4,0.845290,0.239910
4,0.177130,0.257850
4,0.605380,0.600900
4,0.670400,0.114350
4,0.547090,0.513450
4,0.233180,0.840810
4,0.293720,0.165920
4,0.116590,0.847530
4,0.890130,0.778030
4,0.506730,0.455160
4,0.955160,0.381170
4,0.728700,0.150220
4,0.632290,0.688340
4,0.937220,0.352020
4,0.919280,0.755610
4,0.715250,0.829600
4,0.643500,0.775780
4,0.190580,0.401350
4,0.744390,0.831840
4,0.468610,0.452910
4,0.058296,0.825110
4,0.802690,0.820630
4,0.291480,0.818390
4,0.000000,0.713000
4,0.968610,0.410310
4,0.322870,0.141260
4,0.787000,0.190580
4,0.997760,0.526910
4,0.860990,0.795960
4,0.636770,0.717490
4,0.986550,0.643500
4,0.439460,0.040359
4,0.448430,0.482060
4,0.206280,0.235430
4,0.997760,0.585200
4,0.869960,0.266820
4,0.087444,0.840810
4,0.979820,0.439460
4,0.026906,0.625560
4,0.060538,0.567260
4,0.403590,0.540360
4,0.186100,0.423770
4,0.107620,0.508970
4,0.553810,0.044843
4,0.381170,0.569510
4,0.641260,0.098655
4,0.235430,0.210760
4,0.565020,0.542600
4,0.426010,0.511210
4,0.181610,0.372200
4,0.491030,0.426010
4,0.349780,0.686100
4,0.773540,0.827350
4,0.699550,0.132290
4,0.995520,0.497760
5,0.047516,0.414690
5,0.064795,0.777540
5,1.000000,0.563710
5,0.995680,0.485960
5,0.380130,0.118790
5,0.246220,0.820730
5,0.444920,0.658750
5,0.760260,0.805620
5,0.660910,0.103670
5,0.354210,0.138230
5,0.863930,0.773220
5,0.494600,0.555080
5,0.323970,0.790500
5,0.056156,0.403890
5,0.000000,0.596110
5,0.172790,0.285100
5,0.546440,0.624190
5,0.412530,0.710580
5,0.000000,0.570190
5,0.520520,0.572350
5,0.909290,0.304540
5,0.561560,0.650110
5,0.842330,0.231100
5,0.634990,0.088553
5,0.632830,0.751620
5,0.982720,0.434130
5,0.457880,0.632830
5,0.457880,0.047516
5,0.272140,0.814250
5,0.533480,0.598270
5,0.298060,0.803460
5,0.734340,0.805620
5,0.021598,0.699780
5,0.812100,0.796980
5,0.738660,0.151190
5,0.989200,0.460040
5,0.032397,0.440600
5,0.021598,0.466520
5,0.995680,0.589630
5,0.790500,0.187900
5,0.429810,0.684670
5,0.123110,0.332610
5,0.764580,0.168470
5,0.971920,0.408210
5,0.406050,0.097192
5,0.375810,0.755940
5,0.328290,0.159830
5,0.168470,0.827210
5,1.000000,0.537800
5,0.961120,0.382290
5,0.939520,0.717060
5,0.250540,0.220300
5,0.302380,0.179270
5,0.656590,0.775380
5,0.012959,0.492440
5,0.146870,0.308860
5,0.915770,0.738660
5,0.982720,0.641470
5,0.198700,0.263500
5,0.816410,0.207340
5,0.002160,0.544280
5,0.611230,0.727860
5,0.991360,0.615550
5,0.006480,0.518360
5,0.431970,0.073434
5,0.930890,0.330450
5,0.708420,0.801300
5,0.468680,0.606910
5,0.099352,0.354210
5,0.889850,0.280780
5,0.557240,0.038877
5,0.481640,0.580990
5,0.946000,0.356370
5,0.531320,0.019438
5,0.609070,0.073434
5,0.591790,0.701940
5,0.583150,0.056156
5,0.034557,0.725700
5,0.194380,0.827210
5,0.682510,0.790500
5,0.889850,0.758100
5,0.276460,0.200860
5,0.047516,0.751620
5,0.116630,0.814250
5,0.505400,0.000000
5,0.868250,0.254860
5,0.509720,0.546440
5,0.008639,0.647950
5,0.958960,0.693300
5,0.838010,0.786180
5,0.224620,0.241900
5,0.220300,0.825050
5,0.483800,0.023758
5,0.004320,0.622030
5,0.012959,0.673870
5,0.395250,0.736500
5,0.576670,0.676030
5,0.971920,0.667390
5,0.712740,0.136070
5,0.077754,0.377970
5,0.090713,0.801300
5,0.686830,0.118790
5,0.142550,0.822890
5,0.786180,0.803460
5,0.349890,0.773220
5,0.997840,0.511880
6,0.021108,0.554090
6,0.007916,0.786280
6,0.525070,0.034301
6,0.831130,0.313980
6,0.496040,0.007916
6,0.224270,0.994720
6,0.000000,0.699210
6,0.947230,0.633250
6,0.411610,0.815300
6,0.936680,0.749340
6,0.002638,0.641160
6,0.002638,0.728230
6,0.007916,0.612140
6,0.936680,0.546170
6,0.865440,0.894460
6,0.868070,0.372030
6,0.728230,0.197890
6,0.585750,0.889180
6,0.321900,0.171500
6,0.670180,0.150400
6,0.266490,0.229550
6,0.947230,0.662270
6,0.527700,0.773090
6,0.311350,0.952510
6,0.749340,0.968340
6,0.606860,0.918210
6,0.031662,0.873350
6,0.184700,0.316620
6,0.295510,0.200530
6,0.836410,0.920840
6,0.350920,0.142480
6,0.364120,0.902370
6,0.445910,0.728230
6,0.720320,0.973610
6,0.005277,0.757260
6,0.068602,0.459100
6,0.237470,0.258580
6,0.810030,0.284960
6,0.031662,0.525070
6,0.403690,0.084433
6,0.013193,0.583110
6,0.899740,0.430080
6,0.382590,0.873350
6,0.424800,0.786280
6,0.783640,0.255940
6,0.079156,0.960420
6,0.211080,0.287600
6,0.757260,0.226910
6,0.907650,0.836410
6,0.928760,0.778360
6,0.886540,0.401060
