Shape,X,Y
1,0.281606,0.802004
1,0.337992,0.770345
1,-0.017972,0.581659
1,0.670071,0.098633
1,0.438672,0.641533
1,0.213621,0.299418
1,0.253330,0.813454
1,0.355181,0.253118
1,0.441489,0.054467
1,-0.000268,0.467450
1,0.583781,0.049774
1,0.917570,0.720721
1,0.012370,0.438761
1,0.861289,0.758950
1,0.082264,0.801129
1,0.633333,0.749817
1,0.690914,0.786043
1,0.941225,0.696210
1,0.185230,0.304298
1,0.366114,0.750136
1,0.641334,0.083808
1,0.072257,0.356658
1,0.046443,0.383398
1,0.241974,0.292348
1,-0.015281,0.610088
1,0.887738,0.270037
1,0.404085,0.169027
1,0.224977,0.820525
1,0.889487,0.743121
1,0.785282,0.173275
1,0.309832,0.788365
1,0.552544,0.639531
1,0.100337,0.334258
1,0.932526,0.326193
1,0.507245,0.554907
1,0.393636,0.197678
1,0.698837,0.115651
1,0.431041,0.083125
1,0.992466,0.495990
1,0.033205,0.751610
1,0.327022,0.271137
1,0.811896,0.192512
1,0.804786,0.784040
1,0.776434,0.791110
1,0.608782,0.723962
1,0.471146,-0.003004
1,-0.003331,0.666832
1,0.995157,0.524420
1,0.412343,0.140405
1,0.027197,0.410023
1,0.298707,0.280397
1,0.989589,0.581461
1,0.168128,0.825895
1,0.960433,0.667405
1,-0.014593,0.524656
1,0.454128,0.025770
1,0.017377,0.723411
1,0.139622,0.824206
1,0.053414,0.779731
1,0.833090,0.774780
1,-0.008525,0.496072
1,0.961996,0.382629
1,0.982706,0.439208
1,0.863149,0.241993
1,0.128574,0.320619
1,0.989776,0.467561
1,0.536714,0.611332
1,0.662186,0.771215
1,0.526200,0.013550
1,0.493605,0.526670
1,0.497347,-0.007846
1,0.196586,0.825395
1,0.568364,0.667729
1,0.993468,0.552926
1,0.005928,0.695146
1,0.975261,0.638667
1,0.554966,0.030568
1,0.612557,0.066791
1,0.840865,0.220479
1,0.973446,0.410904
1,0.588573,0.695841
1,0.520885,0.583134
1,0.378808,0.226416
1,0.451310,0.612834
1,-0.010401,0.638479
1,-0.016282,0.553162
1,0.156888,0.311369
1,0.727614,0.132669
1,0.111000,0.815958
1,0.406835,0.699037
1,0.983520,0.610045
1,0.423854,0.670271
1,0.756428,0.151877
1,0.385437,0.727890
1,0.912327,0.298081
1,0.420592,0.111783
1,0.478777,0.555407
1,0.270365,0.287467
1,0.719536,0.794302
1,0.948356,0.354391
1,0.748043,0.795991
1,0.463949,0.584135
2,0.997840,0.507560
2,0.390930,0.747300
2,0.647950,0.768900
2,0.004320,0.622030
2,0.200860,0.820730
2,0.952480,0.697620
2,0.820730,0.205180
2,0.909290,0.738660
2,0.501080,0.676030
2,0.462200,0.719220
2,0.207340,0.250540
2,0.002160,0.598270
2,0.397410,0.097192
2,0.701940,0.123110
2,0.749460,0.151190
2,0.719220,0.796980
2,0.885530,0.755940
2,0.861770,0.768900
2,0.015119,0.669550
2,0.114470,0.332610
2,0.295900,0.799140
2,0.583150,0.049676
2,0.976240,0.412530
2,0.654430,0.092873
2,0.183590,0.269980
2,0.002160,0.550760
2,0.814250,0.788340
2,0.838010,0.779700
2,1.000000,0.555080
2,0.302380,0.172790
2,0.021598,0.693300
2,0.511880,0.000000
2,0.926570,0.317490
2,0.136070,0.313170
2,0.004320,0.527000
2,0.034557,0.431970
2,0.552920,0.732180
2,0.624190,0.762420
2,0.082073,0.786180
2,0.678190,0.107990
2,1.000000,0.531320
2,0.630670,0.079914
2,0.231100,0.228940
2,0.008639,0.503240
2,0.421170,0.075594
2,0.742980,0.801300
2,0.671710,0.777540
2,0.254860,0.211660
2,0.468680,0.032397
2,0.600430,0.753780
2,0.766740,0.799140
2,0.000000,0.574510
2,0.941680,0.341250
2,0.105830,0.803460
2,0.796980,0.185750
2,0.576670,0.745140
2,0.248380,0.814250
2,0.008639,0.645790
2,0.978400,0.650110
2,0.023758,0.455720
2,0.343410,0.771060
2,0.032397,0.717060
2,0.531320,0.710580
2,0.559400,0.034557
2,0.047516,0.408210
2,0.272140,0.807780
2,0.129590,0.812100
2,0.490280,0.010799
2,0.984880,0.436290
2,0.606910,0.066955
2,0.224620,0.818570
2,0.844490,0.226780
2,0.995680,0.483800
2,0.319650,0.786180
2,0.373650,0.116630
2,0.092873,0.354210
2,0.965440,0.673870
2,0.053996,0.399570
2,0.414690,0.738660
2,0.933050,0.719220
2,0.015119,0.479480
2,0.326130,0.155510
2,0.045356,0.740820
2,0.535640,0.017279
2,0.073434,0.375810
2,0.177110,0.820730
2,0.695460,0.790500
2,0.483800,0.697620
2,0.278620,0.192220
2,0.159830,0.291580
2,0.967600,0.388770
2,0.367170,0.758100
2,0.060475,0.764580
2,0.954640,0.365010
2,0.993520,0.602590
2,0.725700,0.136070
2,0.514040,0.686830
2,0.987040,0.626350
2,0.790500,0.794820
2,0.444920,0.053996
2,0.887690,0.272140
2,0.907130,0.293740
2,0.991360,0.460040
2,0.153350,0.818570
2,0.438440,0.732180
2,0.997840,0.578830
2,0.868250,0.248380
2,0.349890,0.136070
2,0.773220,0.168470
3,0.571461,0.089705
3,0.917079,0.272165
3,0.945881,0.695588
3,-0.003755,0.663096
3,0.841425,0.765500
3,0.441511,0.693597
3,-0.009026,0.636610
3,0.681496,0.766061
3,-0.005149,0.476533
3,0.288499,0.205197
3,0.073583,0.791749
3,1.002808,0.456100
3,0.002895,0.449620
3,0.841402,0.196782
3,0.017528,0.420279
3,0.157349,0.273722
3,0.997535,0.429603
3,0.235924,0.229060
3,0.529044,0.650867
3,0.679380,0.130760
3,0.893862,0.737208
3,0.032038,0.741959
3,0.598582,0.104408
3,0.313344,0.786468
3,0.735381,0.784370
3,0.339493,0.770098
3,0.131269,0.292312
3,0.154527,0.822543
3,0.968400,0.350542
3,0.391721,0.735147
3,0.572734,0.698378
3,0.894050,0.246225
3,0.493369,0.078819
3,1.008914,0.509220
3,0.005045,0.447331
3,0.706293,0.138804
3,0.954249,0.324324
3,0.465093,0.666198
3,1.000316,0.589473
3,0.105329,0.315341
3,0.514894,0.624659
3,0.788651,0.782703
3,-0.014298,0.610114
3,0.048406,0.768108
3,0.034450,0.393088
3,-0.018185,0.556913
3,0.760118,0.154890
3,0.341065,0.181334
3,0.100771,0.808672
3,0.262212,0.217128
3,0.314777,0.193266
3,0.867713,0.753568
3,0.787101,0.165155
3,-0.014579,0.530140
3,0.079458,0.340590
3,0.990043,0.403177
3,0.482016,0.639008
3,0.517090,0.055861
3,-0.017352,0.583548
3,0.544350,0.075002
3,0.733205,0.146848
3,0.992271,0.616385
3,1.007528,0.535925
3,0.868801,0.220364
3,0.625565,0.114671
3,0.600133,0.721960
3,0.919941,0.718618
3,0.627324,0.738883
3,0.967303,0.670479
3,0.183487,0.257362
3,0.654445,0.753587
3,1.005861,0.482665
3,0.471799,0.099489
3,0.055811,0.365769
3,0.207856,0.823096
3,0.498940,0.611827
3,0.980331,0.376820
3,0.209706,0.243211
3,0.287136,0.800619
3,0.367283,0.167183
3,0.417731,0.714337
3,0.708538,0.778545
3,0.419640,0.136666
3,0.393501,0.153035
3,0.181231,0.823929
3,0.814211,0.179859
3,0.762086,0.785756
3,0.935669,0.298244
3,0.445789,0.120297
3,0.979787,0.643427
3,0.365572,0.751518
3,0.652477,0.122715
3,1.003922,0.562699
3,0.815078,0.775211
3,-0.010974,0.503376
3,0.127753,0.818937
3,0.549854,0.676877
3,0.260779,0.810331
3,0.234352,0.817823
3,0.005956,0.689453
3,0.017888,0.715741
4,0.144385,0.305907
4,0.682945,0.788935
4,0.789803,0.183604
4,0.019121,0.694760
4,0.734793,0.804340
4,0.451877,0.694740
4,0.352948,0.135996
4,1.000110,0.535178
4,0.660386,0.100732
4,0.972623,0.405214
4,0.379011,0.116650
4,0.960388,0.690767
4,0.946913,0.353151
4,0.165627,0.823150
4,0.982285,0.638950
4,0.347644,0.769962
4,0.838748,0.785379
4,0.940785,0.716637
4,0.519172,0.651804
4,0.457256,0.045633
4,0.321591,0.787145
4,0.991069,0.613026
4,0.763933,0.164000
4,0.890821,0.757505
4,0.760760,0.804468
4,0.483341,0.021960
4,-0.001873,0.564828
4,0.139682,0.818694
4,0.582721,0.052746
4,0.712159,0.131284
4,0.000420,0.538882
4,0.910394,0.301045
4,0.657042,0.775823
4,0.631139,0.762711
4,0.815664,0.203197
4,0.998075,0.509200
4,0.431170,0.071469
4,0.326874,0.157507
4,-0.002001,0.590795
4,0.973500,0.664874
4,0.399738,0.737761
4,0.074801,0.374799
4,0.888872,0.277135
4,0.062011,0.772876
4,0.120464,0.329582
4,0.217562,0.821243
4,0.473644,0.668890
4,0.243550,0.817044
4,0.929740,0.327098
4,0.002198,0.616784
4,0.786738,0.802433
4,0.605258,0.745271
4,0.812738,0.793906
4,0.867362,0.251061
4,0.295570,0.800000
4,0.916884,0.738158
4,0.999982,0.561145
4,0.989677,0.457223
4,0.087858,0.796807
4,0.031226,0.435164
4,0.708848,0.799883
4,0.425802,0.718414
4,0.196534,0.260722
4,0.491084,0.643009
4,0.530979,0.015705
4,0.959768,0.379182
4,0.738041,0.148724
4,0.011495,0.487002
4,0.995525,0.587080
4,0.536355,0.677857
4,0.020279,0.461078
4,0.006396,0.642772
4,0.579387,0.725667
4,0.981150,0.431224
4,0.506317,0.625773
4,0.269549,0.810691
4,0.556849,0.035307
4,0.373686,0.754944
4,0.248683,0.217701
4,0.555702,0.703910
4,0.300820,0.176854
4,0.864779,0.772524
4,0.686278,0.116008
4,0.841513,0.227129
4,0.096556,0.351103
4,0.274746,0.198354
4,0.405096,0.092977
4,0.634494,0.085459
4,0.031975,0.720792
4,0.046501,0.409282
4,0.053035,0.400659
4,0.191584,0.823279
4,0.113757,0.809919
4,0.222608,0.239211
4,0.010595,0.668761
4,0.004876,0.512937
4,0.505098,-0.001734
4,0.170470,0.282232
4,0.044829,0.746823
4,0.993876,0.483212
4,0.608602,0.070184
5,0.220158,0.201778
5,0.981089,0.536676
5,0.443385,0.459141
5,0.004953,0.602538
5,0.019961,0.574678
5,0.190117,0.222062
5,0.132502,0.437709
5,0.572484,0.555697
5,0.628824,0.074255
5,0.538537,0.496023
5,0.488704,0.406590
5,0.187569,0.334832
5,0.766749,0.171349
5,0.350270,0.568524
5,0.601237,0.054835
5,0.554404,0.525792
5,0.011529,0.746872
5,0.298426,0.762397
5,0.321983,0.739490
5,0.123096,0.804698
5,0.037175,0.546955
5,0.339672,0.596656
5,-0.004344,0.717103
5,0.194621,0.364055
5,0.948043,0.390706
5,0.889970,0.756898
5,0.628889,0.789464
5,0.209801,0.798988
5,0.465011,0.431691
5,0.066426,0.790124
5,0.800673,0.804518
5,0.268521,0.780477
5,0.159803,0.246753
5,0.502377,0.436223
5,0.771314,0.813774
5,0.310409,0.138712
5,0.848545,0.245052
5,0.713276,0.821256
5,0.461426,0.024049
5,0.952371,0.678828
5,0.180725,0.803827
5,0.959503,0.420192
5,0.932167,0.360937
5,0.335695,0.625198
5,0.893666,0.303194
5,0.173906,0.305200
5,0.395725,0.513769
5,0.280368,0.158996
5,0.519032,-0.012246
5,0.937367,0.706678
5,0.546336,0.011585
5,0.056594,0.519368
5,0.742227,0.818612
5,0.370629,0.095931
5,0.656612,0.806683
5,0.371895,0.541084
5,0.160739,0.410667
5,0.333922,0.653876
5,0.975810,0.478775
5,0.617430,0.759968
5,0.684124,0.110888
5,0.430975,0.050952
5,0.830170,0.793049
5,0.656411,0.093675
5,0.968758,0.449552
5,0.962969,0.650696
5,0.915741,0.734129
5,-0.011828,0.659066
5,0.973567,0.622564
5,0.614354,0.702213
5,0.330377,0.711222
5,0.981520,0.565481
5,0.419555,0.486455
5,0.239025,0.791936
5,0.711711,0.130311
5,0.188849,0.385840
5,0.491740,-0.000648
5,0.821367,0.219018
5,0.980658,0.507862
5,0.859928,0.777182
5,0.914086,0.331032
5,0.160233,0.275567
5,0.611720,0.673263
5,0.080425,0.492064
5,0.871178,0.273026
5,0.573651,0.035416
5,0.332150,0.682554
5,0.739298,0.149723
5,0.151774,0.806471
5,0.094691,0.798508
5,0.604238,0.615225
5,-0.011395,0.687880
5,0.038705,0.772905
5,0.250336,0.179281
5,0.590564,0.585602
5,0.340587,0.116225
5,0.106459,0.464886
5,0.684744,0.817280
5,0.611279,0.644448
5,-0.005644,0.630670
5,0.614785,0.731027
5,0.520457,0.466118
5,0.977543,0.594022
5,0.400807,0.073443
5,0.794199,0.192975
6,0.996002,0.488045
6,0.740271,0.151292
6,0.191405,0.825697
6,0.269378,0.813124
6,0.810436,0.798675
6,0.559107,0.037811
