Shape,X,Y
1,0.244944,0.291746
1,0.274202,0.286685
1,0.302967,0.279215
1,0.330927,0.269324
1,0.355622,0.252738
1,0.375753,0.230844
1,0.390417,0.205047
1,0.401323,0.177401
1,0.409987,0.149008
1,0.417911,0.120371
1,0.427621,0.092340
1,0.437700,0.064335
1,0.449165,0.037183
1,0.461141,0.009140
1,0.484088,-0.008183
1,0.511717,0.000213
1,0.534901,0.019539
1,0.560742,0.034106
1,0.585340,0.050775
1,0.610933,0.065839
1,0.636435,0.081067
1,0.662762,0.094796
1,0.688586,0.109436
1,0.714108,0.124629
1,0.739425,0.140151
1,0.763701,0.157249
1,0.787590,0.174901
1,0.811647,0.192308
1,0.833137,0.212766
1,0.854499,0.233450
1,0.874896,0.254977
1,0.894315,0.277477
1,0.913793,0.299885
1,0.931138,0.323998
1,0.945935,0.349745
1,0.959136,0.376348
1,0.970754,0.403683
1,0.980409,0.431748
1,0.988435,0.460384
1,0.991943,0.489821
1,0.994902,0.519403
1,0.993888,0.549040
1,0.990088,0.578510
1,0.984100,0.607583
1,0.976179,0.636226
1,0.963121,0.662855
1,0.947307,0.688080
1,0.928151,0.710652
1,0.906151,0.730773
1,0.881853,0.747685
1,0.855856,0.762145
1,0.829754,0.776200
1,0.801342,0.784945
1,0.772497,0.792014
1,0.743129,0.796214
1,0.713577,0.793109
1,0.685419,0.783710
1,0.659366,0.769426
1,0.635520,0.751715
1,0.614423,0.730783
1,0.596512,0.707123
1,0.579096,0.683024
1,0.562694,0.658356
1,0.548626,0.632082
1,0.533643,0.606668
1,0.519873,0.579886
1,0.506034,0.554434
1,0.476902,0.555375
1,0.493605,0.526670
1,0.463949,0.584135
1,0.451959,0.611303
1,0.440081,0.638524
1,0.426701,0.665027
1,0.412039,0.690881
1,0.395179,0.715253
1,0.376806,0.738722
1,0.355247,0.758885
1,0.330402,0.775393
1,0.305146,0.790903
1,0.278225,0.803515
1,0.250586,0.814311
1,0.221682,0.821224
1,0.192362,0.825715
1,0.162627,0.825800
1,0.133113,0.823003
1,0.105014,0.813336
1,0.078909,0.799099
1,0.055048,0.781372
1,0.037051,0.757836
1,0.021873,0.732208
1,0.009636,0.705205
1,-0.000177,0.677155
1,-0.008166,0.648555
1,-0.013850,0.619424
1,-0.017654,0.589927
1,-0.016792,0.560303
1,-0.015181,0.530611
1,-0.009897,0.501446
1,-0.002072,0.472757
1,0.009219,0.445335
1,0.022345,0.418654
1,0.038265,0.393619
1,0.057593,0.371068
1,0.079054,0.350471
1,0.102843,0.332738
1,0.129765,0.320169
1,0.158024,0.311040
1,0.186869,0.303995
1,0.216114,0.298862
2,0.224374,0.234592
2,0.245776,0.218186
2,0.267264,0.201841
2,0.287877,0.184377
2,0.309177,0.167799
2,0.330918,0.151792
2,0.351706,0.134553
2,0.372611,0.117465
2,0.393577,0.100449
2,0.413749,0.082489
2,0.433548,0.064199
2,0.453846,0.046156
2,0.473159,0.027776
2,0.492907,0.008614
2,0.517027,0.001218
2,0.538452,0.019858
2,0.560416,0.035177
2,0.583196,0.049708
2,0.604973,0.065689
2,0.628541,0.078827
2,0.652320,0.091636
2,0.675179,0.105996
2,0.697845,0.120688
2,0.721481,0.133729
2,0.744525,0.147797
2,0.766475,0.163524
2,0.788338,0.179369
2,0.809756,0.195815
2,0.830034,0.213629
2,0.850153,0.231673
2,0.869833,0.250116
2,0.886833,0.271106
2,0.904841,0.291223
2,0.922326,0.311807
2,0.937527,0.334123
2,0.950620,0.357728
2,0.963915,0.381274
2,0.974079,0.406220
2,0.983274,0.431628
2,0.990785,0.457549
2,0.995717,0.484097
2,0.998166,0.510989
2,1.000262,0.537899
2,0.999354,0.564890
2,0.995792,0.591653
2,0.989539,0.617905
2,0.981176,0.643616
2,0.968929,0.667618
2,0.956208,0.691498
2,0.939808,0.712826
2,0.919458,0.730664
2,0.898125,0.747222
2,0.875463,0.761847
2,0.851279,0.773902
2,0.826338,0.784214
2,0.800579,0.792361
2,0.774199,0.797915
2,0.747334,0.801357
2,0.720731,0.797330
2,0.694695,0.790177
2,0.671008,0.777191
2,0.645529,0.768245
2,0.619570,0.760886
2,0.594210,0.751567
2,0.569075,0.741778
2,0.546391,0.726870
2,0.528684,0.707067
2,0.512298,0.684714
2,0.492723,0.681221
2,0.476181,0.708032
2,0.455335,0.723679
2,0.430597,0.734632
2,0.404606,0.741898
2,0.379634,0.752223
2,0.355426,0.764174
2,0.332289,0.778072
2,0.309331,0.792329
2,0.284822,0.803573
2,0.259018,0.811592
2,0.232650,0.817353
2,0.205825,0.820467
2,0.178836,0.820784
2,0.151960,0.818303
2,0.125936,0.810973
2,0.101044,0.800804
2,0.079691,0.784085
2,0.060724,0.764895
2,0.046126,0.742187
2,0.033156,0.718502
2,0.021836,0.693984
2,0.014694,0.667946
2,0.007715,0.641864
2,0.003634,0.615187
2,0.000975,0.588280
2,0.000904,0.561399
2,0.003565,0.534488
2,0.007612,0.507815
2,0.014433,0.481686
2,0.023532,0.456265
2,0.034695,0.431679
2,0.047664,0.407998
2,0.064345,0.386754
2,0.081827,0.366200
2,0.100302,0.346497
2,0.119724,0.327746
2,0.139896,0.309792
2,0.159830,0.291580
2,0.183590,0.269980
2,0.204643,0.253067
3,0.194249,0.251450
3,0.218424,0.238409
3,0.242784,0.225770
3,0.267879,0.214604
3,0.292852,0.203195
3,0.317883,0.191900
3,0.342833,0.180444
3,0.366971,0.167352
3,0.391172,0.154373
3,0.414504,0.139899
3,0.437877,0.125528
3,0.460173,0.109248
3,0.480711,0.091833
3,0.500212,0.070004
3,0.520300,0.056219
3,0.542905,0.073844
3,0.567015,0.087566
3,0.591039,0.100500
3,0.616200,0.111573
3,0.642412,0.119765
3,0.668739,0.127563
3,0.695043,0.135439
3,0.721345,0.143329
3,0.747683,0.151077
3,0.773798,0.159620
3,0.798729,0.171038
3,0.822569,0.184746
3,0.845493,0.199804
3,0.866212,0.217856
3,0.885565,0.237342
3,0.904445,0.257311
3,0.921829,0.278524
3,0.937655,0.300984
3,0.953614,0.323327
3,0.966853,0.347375
3,0.978418,0.372289
3,0.988290,0.397909
3,0.996171,0.424209
3,1.002026,0.451045
3,1.005343,0.478291
3,1.008687,0.505564
3,1.007867,0.532983
3,1.004239,0.560209
3,1.000690,0.587438
3,0.993270,0.613877
3,0.981878,0.638844
3,0.970783,0.664045
3,0.955051,0.686333
3,0.935240,0.705603
3,0.914130,0.723047
3,0.891575,0.738752
3,0.868269,0.753268
3,0.843324,0.764738
3,0.817602,0.774350
3,0.791267,0.782137
3,0.764042,0.785691
3,0.736616,0.784518
3,0.709716,0.778947
3,0.684713,0.767643
3,0.659774,0.756111
3,0.635416,0.743489
3,0.611650,0.729656
3,0.589493,0.713498
3,0.569134,0.695088
3,0.549164,0.676180
3,0.531433,0.654894
3,0.519298,0.631329
3,0.499112,0.611848
3,0.484146,0.633396
3,0.470478,0.659300
3,0.453859,0.680042
3,0.434610,0.700057
3,0.413667,0.717760
3,0.392164,0.734841
3,0.368881,0.749394
3,0.346412,0.765175
3,0.323555,0.780358
3,0.299822,0.794238
3,0.274866,0.805596
3,0.248693,0.813947
3,0.222063,0.820728
3,0.194841,0.823967
3,0.167376,0.823376
3,0.139974,0.821130
3,0.113427,0.814393
3,0.088861,0.802043
3,0.066401,0.786149
3,0.047208,0.766545
3,0.032731,0.743199
3,0.019576,0.719082
3,0.007997,0.694206
3,-0.002118,0.668636
3,-0.008065,0.641872
3,-0.013439,0.614925
3,-0.016993,0.587723
3,-0.018341,0.560263
3,-0.014995,0.533050
3,-0.011428,0.505770
3,-0.005483,0.479111
3,0.000887,0.451952
3,0.015147,0.428887
3,0.026398,0.403569
3,0.043258,0.381767
3,0.060322,0.360341
3,0.079458,0.340590
3,0.105329,0.315341
3,0.125613,0.296804
3,0.147592,0.280370
3,0.170483,0.265176
4,0.215968,0.244769
4,0.237126,0.226964
4,0.258993,0.210064
4,0.280975,0.193311
4,0.302296,0.175713
4,0.324548,0.159304
4,0.345868,0.141708
4,0.367900,0.125005
4,0.389424,0.107720
4,0.409606,0.088777
4,0.431170,0.071469
4,0.457256,0.045633
4,0.478375,0.030066
4,0.496421,0.002882
4,0.517724,0.003869
4,0.540659,0.023819
4,0.562688,0.039230
4,0.585717,0.054805
4,0.608643,0.070210
4,0.632442,0.084274
4,0.656279,0.098283
4,0.680047,0.112394
4,0.703995,0.126226
4,0.727055,0.141455
4,0.750559,0.156012
4,0.773729,0.170987
4,0.795603,0.187962
4,0.817526,0.204767
4,0.837742,0.223619
4,0.858335,0.242145
4,0.876997,0.262425
4,0.894703,0.283694
4,0.913078,0.304322
4,0.929415,0.326638
4,0.944865,0.349589
4,0.957336,0.374226
4,0.969871,0.398918
4,0.979141,0.424893
4,0.987996,0.451137
4,0.993170,0.478228
4,0.997564,0.505544
4,1.000008,0.533062
4,1.000024,0.560715
4,0.995375,0.587967
4,0.990511,0.615161
4,0.981474,0.641310
4,0.972473,0.667434
4,0.959652,0.691945
4,0.943098,0.714111
4,0.923039,0.733098
4,0.901306,0.750266
4,0.878083,0.765164
4,0.853765,0.778457
4,0.828301,0.788980
4,0.802012,0.797810
4,0.775246,0.803946
4,0.747515,0.804677
4,0.719967,0.802548
4,0.693701,0.794097
4,0.668904,0.781792
4,0.644119,0.769538
4,0.620147,0.755847
4,0.597687,0.739671
4,0.575799,0.722802
4,0.555651,0.703850
4,0.539102,0.681463
4,0.523214,0.660319
4,0.511190,0.629747
4,0.494472,0.637726
4,0.478261,0.662563
4,0.461983,0.683487
4,0.442623,0.703908
4,0.421634,0.721695
4,0.399322,0.738054
4,0.376303,0.753372
4,0.352317,0.767116
4,0.329229,0.782345
4,0.305066,0.795660
4,0.279758,0.806924
4,0.253384,0.815020
4,0.226175,0.820072
4,0.198693,0.822907
4,0.171039,0.823470
4,0.143670,0.819681
4,0.117320,0.811341
4,0.092277,0.799561
4,0.070576,0.782472
4,0.053209,0.760869
4,0.039710,0.736763
4,0.027475,0.711965
4,0.015946,0.686843
4,0.008924,0.660123
4,0.004918,0.632762
4,0.000074,0.605519
4,-0.002406,0.578057
4,-0.000818,0.550417
4,0.002874,0.523036
4,0.008935,0.496058
4,0.017150,0.469665
4,0.027200,0.443910
4,0.039843,0.419305
4,0.056041,0.396921
4,0.073911,0.375829
4,0.092396,0.355256
4,0.112717,0.336532
4,0.132799,0.317542
4,0.152509,0.298154
4,0.173254,0.279875
4,0.194595,0.262301
5,0.166200,0.290512
5,0.157675,0.259392
5,0.171299,0.233252
5,0.199788,0.216139
5,0.225218,0.197979
5,0.250631,0.179071
5,0.276800,0.161333
5,0.303134,0.143847
5,0.328574,0.125081
5,0.354378,0.106838
5,0.380420,0.088927
5,0.405574,0.069766
