Shape,X,Y
1,0.047516,0.403890
1,0.032397,0.431970
1,0.019438,0.460040
1,0.010799,0.488120
1,0.004320,0.516200
1,0.002160,0.544280
1,0.000000,0.572350
1,0.002160,0.600430
1,0.006480,0.628510
1,0.012959,0.656590
1,0.021598,0.684670
1,0.032397,0.712740
1,0.047516,0.740820
1,0.066955,0.768900
1,0.095032,0.790500
1,0.123110,0.805620
1,0.151190,0.814250
1,0.179270,0.816410
1,0.207340,0.816410
1,0.235420,0.812100
1,0.263500,0.805620
1,0.291580,0.794820
1,0.319650,0.781860
1,0.347730,0.764580
1,0.375810,0.745140
1,0.395250,0.723540
1,0.416850,0.695460
1,0.434130,0.667390
1,0.449240,0.639310
1,0.462200,0.611230
1,0.475160,0.583150
1,0.490280,0.555080
1,0.505400,0.527000
1,0.518360,0.555080
1,0.531320,0.583150
1,0.546440,0.611230
1,0.561560,0.639310
1,0.576670,0.667390
1,0.596110,0.695460
1,0.615550,0.723540
1,0.639310,0.749460
1,0.667390,0.771060
1,0.695460,0.786180
1,0.723540,0.794820
1,0.751620,0.796980
1,0.779700,0.792660
1,0.807780,0.786180
1,0.835850,0.777540
1,0.863930,0.762420
1,0.892010,0.747300
1,0.920090,0.725700
1,0.943840,0.701940
1,0.963280,0.673870
1,0.978400,0.645790
1,0.987040,0.617710
1,0.993520,0.589630
1,0.997840,0.561560
1,1.000000,0.533480
1,0.997840,0.505400
1,0.995680,0.477320
1,0.989200,0.449240
1,0.980560,0.421170
1,0.969760,0.393090
1,0.956800,0.365010
1,0.941680,0.336930
1,0.922250,0.308860
1,0.898490,0.280780
1,0.874730,0.252700
1,0.853130,0.231100
1,0.825050,0.203020
1,0.799140,0.183590
1,0.771060,0.161990
1,0.742980,0.142550
1,0.714900,0.125270
1,0.686830,0.107990
1,0.658750,0.092873
1,0.630670,0.075594
1,0.602590,0.058315
1,0.574510,0.038877
1,0.546440,0.021598
1,0.518360,0.000000
1,0.492440,0.004320
1,0.475160,0.032397
1,0.462200,0.060475
1,0.451400,0.088553
1,0.440600,0.116630
1,0.431970,0.144710
1,0.423330,0.172790
1,0.412530,0.200860
1,0.397410,0.228940
1,0.373650,0.254860
1,0.345570,0.272140
1,0.317490,0.280780
1,0.289420,0.287260
1,0.261340,0.291580
1,0.233260,0.298060
1,0.205180,0.302380
1,0.177110,0.308860
1,0.149030,0.317490
1,0.120950,0.330450
1,0.092873,0.352050
1,0.066955,0.377970
2,0.047516,0.408210
2,0.034557,0.431970
2,0.023758,0.455720
2,0.015119,0.479480
2,0.008639,0.503240
2,0.004320,0.527000
2,0.002160,0.550760
2,0.000000,0.574510
2,0.002160,0.598270
2,0.004320,0.622030
2,0.008639,0.645790
2,0.015119,0.669550
2,0.021598,0.693300
2,0.032397,0.717060
2,0.045356,0.740820
2,0.060475,0.764580
2,0.082073,0.786180
2,0.105830,0.803460
2,0.129590,0.812100
2,0.153350,0.818570
2,0.177110,0.820730
2,0.200860,0.820730
2,0.224620,0.818570
2,0.248380,0.814250
2,0.272140,0.807780
2,0.295900,0.799140
2,0.319650,0.786180
2,0.343410,0.771060
2,0.367170,0.758100
2,0.390930,0.747300
2,0.414690,0.738660
2,0.438440,0.732180
2,0.462200,0.719220
2,0.483800,0.697620
2,0.501080,0.676030
2,0.514040,0.686830
2,0.531320,0.710580
2,0.552920,0.732180
2,0.576670,0.745140
2,0.600430,0.753780
2,0.624190,0.762420
2,0.647950,0.768900
2,0.671710,0.777540
2,0.695460,0.790500
2,0.719220,0.796980
2,0.742980,0.801300
2,0.766740,0.799140
2,0.790500,0.794820
2,0.814250,0.788340
2,0.838010,0.779700
2,0.861770,0.768900
2,0.885530,0.755940
2,0.909290,0.738660
2,0.933050,0.719220
2,0.952480,0.697620
2,0.965440,0.673870
2,0.978400,0.650110
2,0.987040,0.626350
2,0.993520,0.602590
2,0.997840,0.578830
2,1.000000,0.555080
2,1.000000,0.531320
2,0.997840,0.507560
2,0.995680,0.483800
2,0.991360,0.460040
2,0.984880,0.436290
2,0.976240,0.412530
2,0.967600,0.388770
2,0.954640,0.365010
2,0.941680,0.341250
2,0.926570,0.317490
2,0.907130,0.293740
2,0.887690,0.272140
2,0.868250,0.248380
2,0.844490,0.226780
2,0.820730,0.205180
2,0.796980,0.185750
2,0.773220,0.168470
2,0.749460,0.151190
2,0.725700,0.136070
2,0.701940,0.123110
2,0.678190,0.107990
2,0.654430,0.092873
2,0.630670,0.079914
2,0.606910,0.066955
2,0.583150,0.049676
2,0.559400,0.034557
2,0.535640,0.017279
