SHAPE,LANDMARK,X,Y
1,1,0.610,-0.116
2,2,-0.409,-0.402
3,3,-0.004,0.020
4,4,-0.197,0.498
1,1,0.649,-0.121
2,2,-0.371,-0.409
3,3,-0.132,0.045
4,4,-0.145,0.486
1,1,0.606,-0.100
2,2,-0.398,-0.436
3,3,-0.068,0.027
4,4,-0.139,0.508
1,1,0.656,-0.127
2,2,-0.395,-0.386
3,3,-0.075,0.054
4,4,-0.185,0.459
1,1,0.620,-0.109
2,2,-0.476,-0.356
3,3,0.121,0.021
4,4,-0.266,0.444
1,1,0.646,-0.120
2,2,-0.424,-0.366
3,3,-0.002,0.030
4,4,-0.220,0.456
1,1,0.688,-0.115
2,2,-0.438,-0.319
3,3,-0.008,0.012
4,4,-0.242,0.422
1,1,0.615,-0.109
2,2,-0.416,-0.397
3,3,-0.006,0.014
4,4,-0.193,0.492
1,1,0.591,-0.131
2,2,-0.403,-0.444
3,3,-0.007,0.084
4,4,-0.180,0.492
1,1,0.583,-0.090
2,2,-0.403,-0.441
3,3,-0.039,-0.003
4,4,-0.142,0.534
