Two Sample SPM Results
alpha = 0.050
T2_critical = 50.104
p = 0.016
X0,Y0,X1,Y1,T2
0.860190,0.239275,0.837419,0.265210,1.337
0.880387,0.260961,0.857753,0.280619,1.570
0.898473,0.283218,0.876952,0.296868,2.076
0.916516,0.305455,0.896623,0.312719,2.725
0.933248,0.328708,0.915394,0.329679,2.643
0.948055,0.353237,0.932728,0.348678,1.966
0.960472,0.379051,0.947570,0.372570,1.230
0.971877,0.405303,0.959425,0.399952,1.198
0.980857,0.432463,0.969863,0.427312,0.915
0.988228,0.460124,0.977973,0.455687,0.847
0.992352,0.488362,0.984108,0.484450,0.569
0.995370,0.516799,0.987498,0.513680,0.530
0.995240,0.545372,0.989940,0.543042,0.257
0.992764,0.573729,0.988408,0.572419,0.177
0.987524,0.601750,0.984848,0.601673,0.059
0.980320,0.629352,0.978641,0.630418,0.016
0.969001,0.655468,0.968994,0.658200,0.034
0.955899,0.680565,0.958085,0.685681,0.403
0.939087,0.703251,0.942755,0.710067,1.723
0.919565,0.723770,0.922973,0.730815,6.179
0.897712,0.741710,0.900944,0.748535,3.819
0.873696,0.757007,0.876716,0.762865,0.809
0.848883,0.770856,0.851376,0.774396,0.137
0.822620,0.781551,0.825327,0.783495,0.034
0.795485,0.789646,0.798630,0.789387,0.011
0.768018,0.794510,0.771989,0.798340,0.066
0.740275,0.795043,0.747759,0.806931,0.732
0.714187,0.789833,0.721384,0.811269,2.602
0.691381,0.779974,0.694733,0.809319,4.613
0.670811,0.765570,0.668839,0.798538,5.500
0.650888,0.749012,0.646191,0.780672,4.193
0.632512,0.730466,0.627423,0.758550,2.346
0.613313,0.712051,0.610788,0.734802,0.849
0.593366,0.693414,0.596146,0.709581,0.247
0.573817,0.673823,0.582987,0.683367,0.679
0.554481,0.653792,0.570870,0.656666,2.234
0.537065,0.631499,0.558817,0.629992,4.037
0.519294,0.601739,0.546507,0.602264,5.180
0.509205,0.587872,0.534445,0.581504,7.528
0.490098,0.586109,0.519704,0.565839,9.745
0.474976,0.603452,0.504633,0.566141,11.981
0.457525,0.626355,0.492593,0.582672,19.230
0.438654,0.646903,0.475145,0.614134,35.773
0.418265,0.665541,0.461062,0.639858,61.869
0.397412,0.684209,0.445433,0.666423,77.757
0.375848,0.702220,0.429264,0.690956,67.566
0.354077,0.720363,0.412173,0.714834,61.171
0.333045,0.738960,0.393968,0.737904,60.817
0.312313,0.756228,0.373585,0.759104,62.123
0.291625,0.771855,0.349859,0.776683,56.955
0.270095,0.785213,0.325107,0.792929,49.624
0.248101,0.796784,0.299039,0.806850,35.320
0.224249,0.805615,0.271562,0.817910,25.556
0.197458,0.810586,0.243013,0.825613,19.271
0.169971,0.811382,0.213769,0.830280,16.324
0.142612,0.808398,0.184192,0.831368,15.597
0.116582,0.800062,0.154753,0.828564,17.082
0.092411,0.787956,0.126522,0.820028,17.618
0.070962,0.772327,0.100145,0.806732,13.721
0.052752,0.752978,0.077072,0.788612,8.750
0.036109,0.731777,0.058873,0.765413,3.549
0.021587,0.709063,0.044770,0.739456,4.186
0.009570,0.684111,0.032992,0.712354,5.951
0.000667,0.657723,0.022552,0.684712,6.548
-0.005984,0.630065,0.015614,0.655975,7.015
-0.009557,0.601706,0.011654,0.626647,6.637
-0.008813,0.573065,0.008308,0.597247,4.464
-0.004765,0.544732,0.007503,0.567726,2.771
0.001880,0.516973,0.009633,0.538181,1.542
0.011155,0.490018,0.014796,0.509036,0.902
0.022219,0.463662,0.022510,0.480460,0.695
0.036465,0.438902,0.032355,0.452581,0.730
0.052562,0.415306,0.044493,0.425640,0.926
0.071168,0.393475,0.059701,0.400303,1.165
0.090601,0.372413,0.078382,0.377506,1.187
0.111409,0.352745,0.097429,0.354850,1.240
0.134959,0.333696,0.118102,0.333702,1.816
0.156628,0.315876,0.139486,0.313281,1.775
0.174982,0.297539,0.160668,0.292632,1.735
0.191487,0.280632,0.183461,0.271872,1.450
0.207464,0.263768,0.206058,0.252761,0.787
0.224815,0.246908,0.228726,0.233736,0.797
0.246912,0.231138,0.251220,0.214481,1.137
0.271793,0.216776,0.274237,0.195908,1.492
0.295356,0.200766,0.297631,0.177810,1.733
0.318399,0.183988,0.320567,0.159073,2.120
0.340120,0.166135,0.343892,0.140845,2.299
0.361025,0.147732,0.366863,0.122204,2.468
0.381231,0.128870,0.389762,0.103462,2.522
0.400758,0.109276,0.412524,0.084521,2.437
0.420812,0.090073,0.434791,0.065003,2.548
0.441568,0.068600,0.456251,0.044705,2.282
0.461215,0.049155,0.479733,0.024058,3.192
0.480922,0.024563,0.501735,0.010641,3.323
0.502883,0.011518,0.522764,-0.003074,4.684
0.527938,0.019597,0.547034,0.003860,4.786
0.551054,0.035798,0.570942,0.023282,4.099
0.574810,0.051984,0.594103,0.040788,4.184
0.598751,0.067483,0.618056,0.058238,4.132
0.623664,0.081399,0.642353,0.074929,3.645
0.648725,0.094991,0.667289,0.090922,3.378
0.673860,0.108472,0.691639,0.107461,3.029
0.698948,0.122061,0.711834,0.126821,2.165
0.723759,0.136061,0.729428,0.146121,0.519
0.748584,0.150128,0.746677,0.165499,0.525
0.772473,0.165804,0.763480,0.185561,0.784
0.795721,0.182568,0.779453,0.206481,0.992
0.818434,0.199977,0.795324,0.228130,1.129
0.839702,0.219215,0.814954,0.249031,1.210
