Shape,X,Y
0,0.662580,0.963190
0,0.018405,0.650310
0,0.858900,0.208590
0,0.920250,0.423310
0,0.306750,0.018405
0,0.705520,0.938650
0,0.263800,0.705520
0,0.386500,0.797550
0,0.159510,0.907980
0,0.006135,0.607360
0,0.196320,0.926380
0,0.533740,0.987730
0,0.914110,0.638040
0,0.226990,0.319020
0,0.202450,0.447850
0,0.239260,0.944790
0,0.092025,0.153370
0,0.558280,0.791410
0,0.920250,0.595090
0,0.680980,0.693250
0,0.220860,0.012270
0,0.319020,0.975460
0,0.730060,0.564420
0,0.061350,0.773010
0,0.693250,0.000000
0,0.300610,0.748470
0,0.901840,0.337420
0,0.196320,0.490800
0,0.717790,0.349690
0,0.055215,0.239260
0,0.883440,0.723930
0,0.877300,0.251530
0,0.276070,0.190180
0,0.601230,0.773010
0,0.693250,0.263800
0,0.717790,0.607360
0,0.797550,0.079755
0,0.926380,0.466260
0,0.730060,0.392640
0,0.650310,0.000000
0,0.748470,0.914110
0,0.012270,0.368100
0,0.208590,0.404910
0,0.613500,0.092025
0,0.846630,0.809820
0,0.306750,0.061350
0,0.000000,0.564420
0,0.257670,0.233130
0,0.110430,0.846630
0,0.073620,0.196320
0,0.000000,0.521470
0,0.822090,0.122700
0,0.036810,0.282210
0,0.134970,0.067485
0,0.202450,0.533740
0,0.736200,0.006135
0,0.865030,0.766870
0,0.926380,0.552150
0,0.785280,0.883440
0,0.705520,0.306750
0,0.214720,0.619630
0,0.404910,0.993870
0,0.177910,0.012270
0,0.006135,0.411040
0,0.288340,0.147240
0,0.705520,0.650310
0,0.000000,0.496930
0,0.895710,0.294480
0,0.815950,0.852760
0,0.926380,0.509200
0,0.110430,0.110430
0,0.901840,0.680980
0,0.736200,0.435580
0,0.263800,0.012270
0,0.631900,0.134970
0,0.042945,0.736200
0,0.914110,0.380370
0,0.030675,0.325150
0,0.233130,0.662580
0,0.515340,0.803680
0,0.650310,0.177910
0,0.607360,0.049080
0,0.361960,0.987730
0,0.736200,0.521470
0,0.276070,0.963190
0,0.000000,0.453990
0,0.576690,0.987730
0,0.153370,0.030675
0,0.214720,0.361960
0,0.036810,0.693250
0,0.202450,0.576690
0,0.429450,0.809820
0,0.742330,0.478530
0,0.490800,1.000000
0,0.300610,0.104290
0,0.343560,0.779140
0,0.245400,0.276070
0,0.079755,0.815950
0,0.773010,0.036810
0,0.607360,0.006135
0,0.619630,0.981600
0,0.472390,0.809820
0,0.840490,0.165640
0,0.141100,0.871170
0,0.668710,0.220860
0,0.644170,0.736200
0,0.447850,1.000000
1,0.447850,1.000000
1,0.920250,0.423310
1,0.582820,0.128830
1,0.006135,0.607360
1,0.202450,0.564420
1,0.539880,0.042945
1,0.276070,0.963190
1,0.067485,0.202450
1,0.343560,0.012270
1,0.079755,0.815950
1,0.061350,0.773010
1,0.257670,0.012270
1,0.846630,0.809820
1,0.926380,0.509200
1,0.110430,0.846630
1,0.196320,0.521470
1,0.650310,0.000000
1,0.134970,0.073620
1,0.049080,0.245400
1,0.312880,0.177910
1,0.822090,0.122700
1,0.343560,0.134970
1,0.453990,0.766870
1,0.858900,0.208590
1,0.288340,0.736200
1,0.000000,0.564420
1,0.018405,0.650310
1,0.662580,0.717790
1,0.104290,0.116560
1,0.736200,0.546010
1,0.711660,0.631900
1,0.705520,0.938650
1,0.895710,0.294480
1,0.576690,0.987730
1,0.202450,0.478530
1,0.877300,0.251530
1,0.000000,0.521470
1,0.625770,0.159510
1,0.736200,0.503070
1,0.214720,0.392640
1,0.693250,0.674850
1,0.901840,0.680980
1,0.619630,0.754600
1,0.374230,0.791410
1,0.092025,0.159510
1,0.226990,0.650310
1,0.699390,0.288340
1,0.196320,0.926380
1,0.239260,0.306750
1,0.730060,0.417180
1,0.644170,0.202450
1,0.576690,0.785280
1,0.736200,0.460120
1,0.361960,0.987730
1,0.496930,0.773010
1,0.723930,0.588960
1,0.147240,0.036810
1,0.785280,0.883440
1,0.490800,1.000000
1,0.214720,0.012270
1,0.674850,0.245400
1,0.000000,0.460120
1,0.251530,0.693250
1,0.239260,0.944790
1,0.926380,0.466260
1,0.901840,0.337420
1,0.036810,0.693250
1,0.736200,0.006135
1,0.815950,0.852760
1,0.171780,0.012270
1,0.300610,0.006135
1,0.797550,0.079755
1,0.380370,0.092025
