Shape,X,Y
0,0.701360,0.915040
0,0.031010,0.615763
0,0.877562,0.135404
0,0.947517,0.353374
0,0.305554,-0.041204
0,0.744544,0.888478
0,0.284261,0.664219
0,0.413019,0.754455
0,0.184100,0.875102
0,0.017018,0.572163
0,0.222423,0.892737
0,0.570164,0.944442
0,0.948324,0.573584
0,0.233771,0.269436
0,0.212886,0.402243
0,0.267027,0.910181
0,0.090013,0.104176
0,0.588818,0.742486
0,0.953195,0.529376
0,0.711289,0.637857
0,0.217351,-0.044651
0,0.349761,0.938968
0,0.757317,0.504238
0,0.079066,0.740059
0,0.700945,-0.072837
0,0.323396,0.707007
0,0.925816,0.265981
0,0.208025,0.446452
0,0.737648,0.284636
0,0.055137,0.193393
0,0.919739,0.662599
0,0.897833,0.178791
0,0.279798,0.135807
0,0.632215,0.722214
0,0.709665,0.197447
0,0.746165,0.548639
0,0.810445,0.005430
0,0.955217,0.397177
0,0.751639,0.328236
0,0.656950,-0.071418
0,0.787738,0.861915
0,0.015396,0.326820
0,0.217758,0.358045
0,0.622277,0.024086
0,0.884864,0.751817
0,0.306974,0.002796
0,0.009313,0.528370
0,0.262366,0.180421
0,0.131786,0.813866
0,0.072575,0.148790
0,0.007894,0.484365
0,0.837008,0.048620
0,0.037700,0.238007
0,0.131175,0.014760
0,0.215725,0.490244
0,0.745154,-0.067971
0,0.902296,0.707203
0,0.958057,0.485178
0,0.824439,0.829274
0,0.723657,0.241047
0,0.231136,0.577840
0,0.438371,0.954991
0,0.173345,-0.043231
0,0.010529,0.371018
0,0.290950,0.091406
0,0.735013,0.593051
0,0.007082,0.459222
0,0.918116,0.222188
0,0.854849,0.796826
0,0.956637,0.441172
0,0.107451,0.059572
0,0.937172,0.617985
0,0.759349,0.372029
0,0.261346,-0.046070
0,0.642549,0.067478
0,0.058992,0.702953
0,0.939807,0.309581
0,0.032833,0.282206
0,0.251418,0.621237
0,0.545228,0.756477
0,0.662831,0.110865
0,0.614567,-0.019712
0,0.394162,0.950120
0,0.762188,0.460030
0,0.305350,0.927816
0,0.005663,0.415226
0,0.614170,0.943022
0,0.148810,-0.023563
0,0.222619,0.313837
0,0.051287,0.659150
0,0.217145,0.534250
0,0.457430,0.765607
0,0.767049,0.415832
0,0.526574,0.958433
0,0.302102,0.046995
0,0.368415,0.737012
0,0.251214,0.224822
0,0.099343,0.783446
0,0.783883,-0.037759
0,0.613147,-0.063712
0,0.657963,0.935322
0,0.501425,0.764187
0,0.857280,0.092007
0,0.164021,0.837996
0,0.683103,0.154262
0,0.674994,0.683080
0,0.482569,0.959853
1,0.523538,0.959275
1,0.942468,0.314952
1,0.563423,0.051311
1,0.026539,0.606829
1,0.222858,0.540648
1,0.509718,-0.031847
1,0.343351,0.940962
1,0.043660,0.184973
1,0.305077,-0.041101
1,0.125546,0.812260
1,0.101834,0.770338
1,0.217063,-0.031397
1,0.910695,0.719338
1,0.958453,0.402273
1,0.160446,0.840233
1,0.211724,0.497328
1,0.618027,-0.088330
1,0.098259,0.045333
1,0.029652,0.231065
1,0.292352,0.132102
