Shape,X,Y
0,0.615692,0.731051
0,0.648311,0.711280
0,0.674994,0.683080
0,0.711289,0.637857
0,0.731058,0.604595
0,0.741540,0.567883
0,0.751103,0.530568
0,0.758871,0.493135
0,0.762913,0.454861
0,0.767073,0.416725
0,0.760804,0.378930
0,0.754180,0.341011
0,0.744498,0.303995
0,0.731832,0.267711
0,0.720878,0.230849
0,0.708326,0.194677
0,0.687950,0.162136
0,0.670179,0.128087
0,0.654946,0.092958
0,0.637697,0.058331
0,0.622108,0.023503
0,0.615606,-0.013782
0,0.609940,-0.055300
0,0.637103,-0.071347
0,0.678945,-0.071926
0,0.716511,-0.072838
0,0.753815,-0.064135
0,0.783095,-0.038762
0,0.803695,-0.006313
0,0.823649,0.026447
0,0.842688,0.059722
0,0.858515,0.094729
0,0.874823,0.129483
0,0.890723,0.164353
0,0.908438,0.198689
0,0.920802,0.234647
0,0.927521,0.272507
0,0.939636,0.308948
0,0.946440,0.346695
0,0.953442,0.384515
0,0.956364,0.422656
0,0.957612,0.461120
0,0.957002,0.499374
0,0.952314,0.537537
0,0.947990,0.575659
0,0.938830,0.612950
0,0.925379,0.648910
0,0.910923,0.684457
0,0.897540,0.720473
0,0.882824,0.755882
0,0.861889,0.788123
0,0.836571,0.816994
0,0.809192,0.844000
0,0.779193,0.867808
0,0.746195,0.887497
0,0.713568,0.907698
0,0.679985,0.926422
0,0.643852,0.939228
0,0.605534,0.943081
0,0.567353,0.945033
0,0.530911,0.957308
0,0.492771,0.960605
0,0.454455,0.956755
0,0.416255,0.953022
0,0.378509,0.946611
0,0.341271,0.937015
0,0.304150,0.927382
0,0.269281,0.911282
0,0.234226,0.896492
0,0.196459,0.883935
0,0.173203,0.855609
0,0.150477,0.825545
0,0.117793,0.803752
0,0.094157,0.774172
0,0.078455,0.738932
0,0.059836,0.705299
0,0.053024,0.667593
0,0.039421,0.631983
0,0.023716,0.596867
0,0.014198,0.559593
0,0.008804,0.521637
0,0.007871,0.483247
0,0.006303,0.444866
0,0.006291,0.406577
0,0.010740,0.368384
0,0.014557,0.330141
0,0.028786,0.294463
0,0.035712,0.256971
0,0.043271,0.219649
0,0.059014,0.184327
0,0.072684,0.148506
0,0.086747,0.112805
0,0.100054,0.076733
0,0.116826,0.042281
0,0.133882,0.007924
0,0.151023,-0.026420
0,0.183387,-0.045811
0,0.222093,-0.044380
0,0.260462,-0.045987
0,0.301127,-0.044478
0,0.308991,-0.011518
0,0.304300,0.029331
0,0.297805,0.065979
0,0.288099,0.103550
0,0.278151,0.140479
0,0.263797,0.176118
0,0.254306,0.213315
0,0.241817,0.249511
0,0.228651,0.285590
0,0.221255,0.323285
0,0.217464,0.361472
0,0.213291,0.399620
0,0.207952,0.437825
0,0.213231,0.475590
0,0.216326,0.513899
0,0.221052,0.551598
0,0.235246,0.587663
0,0.251936,0.622106
0,0.274701,0.652927
0,0.299651,0.682367
0,0.326481,0.709698
0,0.358095,0.731620
0,0.393019,0.747428
0,0.429565,0.759733
0,0.467211,0.766259
0,0.505627,0.763661
0,0.543405,0.756919
0,0.580095,0.745740
1,0.659700,0.699458
1,0.688295,0.672574
1,0.714665,0.641737
1,0.734624,0.606768
1,0.748334,0.568894
1,0.756168,0.529503
1,0.763707,0.489796
1,0.767328,0.450083
1,0.762039,0.410006
1,0.757392,0.370114
1,0.747151,0.331185
1,0.737394,0.292119
1,0.722759,0.254723
1,0.707884,0.217236
1,0.688925,0.181938
1,0.662136,0.151608
1,0.635594,0.121453
1,0.616735,0.085325
1,0.585470,0.062205
1,0.550790,0.041231
1,0.525990,0.009011
1,0.510096,-0.027989
1,0.519762,-0.069074
1,0.554465,-0.083642
1,0.595935,-0.085154
1,0.635371,-0.090542
1,0.675843,-0.094186
1,0.715244,-0.088776
1,0.747877,-0.064519
1,0.771821,-0.032140
1,0.795471,0.000372
1,0.817505,0.033965
1,0.836843,0.069296
1,0.856684,0.104275
1,0.876341,0.139354
1,0.897491,0.173849
1,0.909571,0.211920
1,0.922273,0.250070
1,0.936072,0.287736
1,0.945692,0.326908
1,0.954833,0.365991
1,0.958890,0.406071
1,0.963296,0.446050
1,0.962086,0.486252
1,0.960984,0.526495
1,0.956072,0.566398
1,0.945745,0.605304
1,0.933479,0.643612
1,0.922230,0.682266
1,0.910181,0.720630
1,0.891345,0.756221
1,0.867307,0.788507
1,0.840845,0.818912
1,0.811134,0.845885
1,0.778179,0.869055
1,0.745749,0.892844
1,0.711664,0.914339
1,0.674131,0.928660
1,0.633964,0.933596
1,0.595236,0.942531
1,0.557675,0.956911
1,0.517329,0.959161
1,0.477155,0.957815
