Shape,X,Y
1,0.662580,0.963190
1,0.018405,0.650310
1,0.858900,0.208590
1,0.920250,0.423310
1,0.306750,0.018405
1,0.705520,0.938650
1,0.263800,0.705520
1,0.386500,0.797550
1,0.159510,0.907980
1,0.006135,0.607360
1,0.196320,0.926380
1,0.533740,0.987730
1,0.914110,0.638040
1,0.226990,0.319020
1,0.202450,0.447850
1,0.239260,0.944790
1,0.092025,0.153370
1,0.558280,0.791410
1,0.920250,0.595090
1,0.680980,0.693250
1,0.220860,0.012270
1,0.319020,0.975460
1,0.730060,0.564420
1,0.061350,0.773010
1,0.693250,0.000000
1,0.300610,0.748470
1,0.901840,0.337420
1,0.196320,0.490800
1,0.717790,0.349690
1,0.055215,0.239260
1,0.883440,0.723930
1,0.877300,0.251530
1,0.276070,0.190180
1,0.601230,0.773010
1,0.693250,0.263800
1,0.717790,0.607360
1,0.797550,0.079755
1,0.926380,0.466260
1,0.730060,0.392640
1,0.650310,0.000000
1,0.748470,0.914110
1,0.012270,0.368100
1,0.208590,0.404910
1,0.613500,0.092025
1,0.846630,0.809820
1,0.306750,0.061350
1,0.000000,0.564420
1,0.257670,0.233130
1,0.110430,0.846630
1,0.073620,0.196320
1,0.000000,0.521470
1,0.822090,0.122700
1,0.036810,0.282210
1,0.134970,0.067485
1,0.202450,0.533740
1,0.736200,0.006135
1,0.865030,0.766870
1,0.926380,0.552150
1,0.785280,0.883440
1,0.705520,0.306750
1,0.214720,0.619630
1,0.404910,0.993870
1,0.177910,0.012270
1,0.006135,0.411040
1,0.288340,0.147240
1,0.705520,0.650310
1,0.000000,0.496930
1,0.895710,0.294480
1,0.815950,0.852760
1,0.926380,0.509200
1,0.110430,0.110430
1,0.901840,0.680980
1,0.736200,0.435580
1,0.263800,0.012270
1,0.631900,0.134970
1,0.042945,0.736200
1,0.914110,0.380370
1,0.030675,0.325150
1,0.233130,0.662580
1,0.515340,0.803680
1,0.650310,0.177910
1,0.607360,0.049080
1,0.361960,0.987730
1,0.736200,0.521470
1,0.276070,0.963190
1,0.000000,0.453990
1,0.576690,0.987730
1,0.153370,0.030675
1,0.214720,0.361960
1,0.036810,0.693250
1,0.202450,0.576690
1,0.429450,0.809820
1,0.742330,0.478530
1,0.490800,1.000000
1,0.300610,0.104290
1,0.343560,0.779140
1,0.245400,0.276070
1,0.079755,0.815950
1,0.773010,0.036810
1,0.607360,0.006135
1,0.619630,0.981600
1,0.472390,0.809820
1,0.840490,0.165640
1,0.141100,0.871170
1,0.668710,0.220860
1,0.644170,0.736200
1,0.447850,1.000000
2,0.447850,1.000000
2,0.920250,0.423310
2,0.582820,0.128830
2,0.006135,0.607360
2,0.202450,0.564420
2,0.539880,0.042945
2,0.276070,0.963190
2,0.067485,0.202450
2,0.343560,0.012270
2,0.079755,0.815950
2,0.061350,0.773010
2,0.257670,0.012270
2,0.846630,0.809820
2,0.926380,0.509200
2,0.110430,0.846630
2,0.196320,0.521470
2,0.650310,0.000000
2,0.134970,0.073620
2,0.049080,0.245400
2,0.312880,0.177910
2,0.822090,0.122700
2,0.343560,0.134970
2,0.453990,0.766870
2,0.858900,0.208590
2,0.288340,0.736200
2,0.000000,0.564420
2,0.018405,0.650310
2,0.662580,0.717790
2,0.104290,0.116560
2,0.736200,0.546010
2,0.711660,0.631900
2,0.705520,0.938650
2,0.895710,0.294480
2,0.576690,0.987730
2,0.202450,0.478530
2,0.877300,0.251530
2,0.000000,0.521470
2,0.625770,0.159510
2,0.736200,0.503070
2,0.214720,0.392640
2,0.693250,0.674850
2,0.901840,0.680980
2,0.619630,0.754600
2,0.374230,0.791410
2,0.092025,0.159510
2,0.226990,0.650310
2,0.699390,0.288340
2,0.196320,0.926380
2,0.239260,0.306750
2,0.730060,0.417180
2,0.644170,0.202450
2,0.576690,0.785280
2,0.736200,0.460120
2,0.361960,0.987730
2,0.496930,0.773010
2,0.723930,0.588960
2,0.147240,0.036810
2,0.785280,0.883440
2,0.490800,1.000000
2,0.214720,0.012270
2,0.674850,0.245400
2,0.000000,0.460120
2,0.251530,0.693250
2,0.239260,0.944790
2,0.926380,0.466260
2,0.901840,0.337420
2,0.036810,0.693250
2,0.736200,0.006135
2,0.815950,0.852760
2,0.171780,0.012270
2,0.300610,0.006135
2,0.797550,0.079755
2,0.380370,0.092025
2,0.404910,0.993870
2,0.012270,0.374230
2,0.926380,0.552150
2,0.288340,0.220860
2,0.042945,0.736200
2,0.711660,0.331290
2,0.000000,0.503070
2,0.914110,0.380370
2,0.883440,0.723930
2,0.533740,0.803680
2,0.914110,0.638040
2,0.319020,0.975460
2,0.202450,0.435580
2,0.552150,0.085890
2,0.564420,0.000000
2,0.607360,0.000000
2,0.748470,0.914110
2,0.141100,0.871170
2,0.214720,0.607360
2,0.533740,0.987730
2,0.331290,0.773010
2,0.619630,0.981600
2,0.159510,0.907980
2,0.865030,0.766870
2,0.030675,0.331290
2,0.723930,0.374230
2,0.374230,0.049080
2,0.417180,0.797550
2,0.920250,0.595090
2,0.662580,0.963190
2,0.840490,0.165640
2,0.220860,0.349690
2,0.693250,0.000000
2,0.263800,0.263800
2,0.773010,0.036810
2,0.036810,0.288340
2,0.006135,0.417180
3,0.778410,0.272730
3,0.204550,0.681820
3,0.454550,0.852270
3,0.465910,0.988640
3,0.147730,0.522730
3,0.022727,0.664770
3,0.255680,0.761360
3,0.068182,0.784090
3,0.846590,0.795450
3,0.784090,0.511360
3,0.142050,0.028409
3,0.198860,0.920450
3,0.426140,0.994320
3,0.903410,0.681820
3,0.272730,0.965910
3,0.045455,0.744320
3,0.028409,0.267050
3,0.755680,0.630680
3,0.931820,0.482950
3,0.181820,0.642050
3,0.142050,0.244320
3,0.176140,0.125000
3,0.159090,0.897730
3,0.414770,0.846590
3,0.335230,0.818180
3,0.715910,0.710230
3,0.681820,0.034091
3,0.676140,0.000000
3,0.755680,0.005682
3,0.806820,0.085227
3,0.789770,0.352270
3,0.164770,0.602270
3,0.096591,0.823860
3,0.738640,0.670450
3,0.647730,0.784090
3,0.579550,0.988640
3,0.232950,0.948860
3,0.914770,0.642050
3,0.926140,0.562500
3,0.198860,0.085227
3,0.000000,0.386360
3,0.073864,0.147730
3,0.375000,0.835230
3,0.136360,0.323860
3,0.914770,0.363640
3,0.784090,0.045455
3,0.017045,0.306820
3,0.789770,0.392050
3,0.886360,0.721590
3,0.125000,0.863640
3,0.727270,0.113640
3,0.534090,0.846590
3,0.011364,0.346590
3,0.767050,0.590910
3,0.659090,0.960230
3,0.846590,0.164770
3,0.539770,0.994320
3,0.778410,0.551140
3,0.136360,0.482950
3,0.789770,0.431820
3,0.687500,0.750000
3,0.738640,0.909090
3,0.011364,0.625000
3,0.215910,0.011364
3,0.142050,0.284090
3,0.784090,0.312500
3,0.619320,0.971590
3,0.869320,0.761360
3,0.494320,0.846590
3,0.096591,0.107950
3,0.909090,0.323860
3,0.136360,0.443180
3,0.778410,0.875000
3,0.039773,0.227270
3,0.153410,0.562500
3,0.034091,0.704550
3,0.500000,1.000000
3,0.698860,0.937500
3,0.312500,0.977270
3,0.005682,0.585230
3,0.000000,0.426140
3,0.818180,0.835230
3,0.761360,0.193180
3,0.000000,0.545450
3,0.772730,0.232950
3,0.215910,0.045455
3,0.704550,0.073864
3,0.789770,0.471590
3,0.164770,0.164770
3,0.130680,0.363640
3,0.056818,0.187500
3,0.573860,0.829550
3,0.130680,0.403410
3,0.886360,0.244320
3,0.744320,0.153410
3,0.352270,0.988640
3,0.113640,0.068182
3,0.715910,0.000000
3,0.926140,0.522730
3,0.920450,0.403410
3,0.897730,0.284090
3,0.926140,0.443180
3,0.227270,0.721590
3,0.613640,0.812500
3,0.000000,0.465910
3,0.829550,0.125000
3,0.920450,0.602270
3,0.392050,0.994320
3,0.000000,0.505680
3,0.153410,0.204550
3,0.295450,0.795450
3,0.176140,0.011364
3,0.869320,0.204550
4,0.541240,0.979380
4,0.675260,0.463920
4,0.180410,0.603090
4,0.309280,0.747420
4,0.664950,0.587630
4,0.159790,0.396910
4,0.025773,0.319590
4,0.201030,0.231960
4,0.077320,0.113400
4,0.226800,0.685570
4,0.170100,0.907220
4,0.020619,0.664950
4,0.804120,0.304120
4,0.742270,0.840210
4,0.572160,0.092784
4,0.417530,1.000000
4,0.829900,0.634020
4,0.773200,0.180410
4,0.706190,0.881440
4,0.350520,0.762890
4,0.603090,0.000000
4,0.597940,0.701030
4,0.010309,0.623710
4,0.041237,0.237110
4,0.685570,0.000000
4,0.458760,1.000000
4,0.252580,0.005155
4,0.835050,0.551550
4,0.170100,0.561860
4,0.005155,0.500000
4,0.835050,0.510310
4,0.793810,0.757730
4,0.005155,0.582470
4,0.195880,0.644330
4,0.015464,0.360820
4,0.211340,0.938140
4,0.257730,0.067010
4,0.185570,0.273200
4,0.783510,0.221650
4,0.824740,0.427840
4,0.335050,0.989690
4,0.252580,0.958760
4,0.551550,0.051546
4,0.226800,0.149480
4,0.056701,0.195880
4,0.587630,0.134020
4,0.103090,0.030928
4,0.293810,0.979380
4,0.515460,0.757730
4,0.159790,0.479380
4,0.175260,0.314430
4,0.242270,0.108250
4,0.819590,0.386600
4,0.159790,0.520620
4,0.747420,0.097938
4,0.773200,0.798970
4,0.376290,1.000000
4,0.664950,0.917530
4,0.649480,0.628870
4,0.623710,0.216490
4,0.432990,0.773200
4,0.536080,0.010309
4,0.097938,0.829900
4,0.067010,0.154640
4,0.211340,0.005155
4,0.211340,0.190720
4,0.675260,0.546390
4,0.268040,0.726800
