Shape,X,Y
1,0.701360,0.915040
1,0.031010,0.615763
1,0.877562,0.135404
1,0.947517,0.353374
1,0.305554,-0.041204
1,0.744544,0.888478
1,0.284261,0.664219
1,0.413019,0.754455
1,0.184100,0.875102
1,0.017018,0.572163
1,0.222423,0.892737
1,0.570164,0.944442
1,0.948324,0.573584
1,0.233771,0.269436
1,0.212886,0.402243
1,0.267027,0.910181
1,0.090013,0.104176
1,0.588818,0.742486
1,0.953195,0.529376
1,0.711289,0.637857
1,0.217351,-0.044651
1,0.349761,0.938968
1,0.757317,0.504238
1,0.079066,0.740059
1,0.700945,-0.072837
1,0.323396,0.707007
1,0.925816,0.265981
1,0.208025,0.446452
1,0.737648,0.284636
1,0.055137,0.193393
1,0.919739,0.662599
1,0.897833,0.178791
1,0.279798,0.135807
1,0.632215,0.722214
1,0.709665,0.197447
1,0.746165,0.548639
1,0.810445,0.005430
1,0.955217,0.397177
1,0.751639,0.328236
1,0.656950,-0.071418
1,0.787738,0.861915
1,0.015396,0.326820
1,0.217758,0.358045
1,0.622277,0.024086
1,0.884864,0.751817
1,0.306974,0.002796
1,0.009313,0.528370
1,0.262366,0.180421
1,0.131786,0.813866
1,0.072575,0.148790
1,0.007894,0.484365
1,0.837008,0.048620
1,0.037700,0.238007
1,0.131175,0.014760
1,0.215725,0.490244
1,0.745154,-0.067971
1,0.902296,0.707203
1,0.958057,0.485178
1,0.824439,0.829274
1,0.723657,0.241047
1,0.231136,0.577840
1,0.438371,0.954991
1,0.173345,-0.043231
1,0.010529,0.371018
1,0.290950,0.091406
1,0.735013,0.593051
1,0.007082,0.459222
1,0.918116,0.222188
1,0.854849,0.796826
1,0.956637,0.441172
1,0.107451,0.059572
1,0.937172,0.617985
1,0.759349,0.372029
1,0.261346,-0.046070
1,0.642549,0.067478
1,0.058992,0.702953
1,0.939807,0.309581
1,0.032833,0.282206
1,0.251418,0.621237
1,0.545228,0.756477
1,0.662831,0.110865
1,0.614567,-0.019712
1,0.394162,0.950120
1,0.762188,0.460030
1,0.305350,0.927816
1,0.005663,0.415226
1,0.614170,0.943022
1,0.148810,-0.023563
1,0.222619,0.313837
1,0.051287,0.659150
1,0.217145,0.534250
1,0.457430,0.765607
1,0.767049,0.415832
1,0.526574,0.958433
1,0.302102,0.046995
1,0.368415,0.737012
1,0.251214,0.224822
1,0.099343,0.783446
1,0.783883,-0.037759
1,0.613147,-0.063712
1,0.657963,0.935322
1,0.501425,0.764187
1,0.857280,0.092007
1,0.164021,0.837996
1,0.683103,0.154262
1,0.674994,0.683080
1,0.482569,0.959853
2,0.523538,0.959275
2,0.942468,0.314952
2,0.563423,0.051311
2,0.026539,0.606829
2,0.222858,0.540648
2,0.509718,-0.031847
2,0.343351,0.940962
2,0.043660,0.184973
2,0.305077,-0.041101
2,0.125546,0.812260
2,0.101834,0.770338
2,0.217063,-0.031397
2,0.910695,0.719338
2,0.958453,0.402273
2,0.160446,0.840233
2,0.211724,0.497328
2,0.618027,-0.088330
2,0.098259,0.045333
2,0.029652,0.231065
2,0.292352,0.132102
2,0.807918,0.017997
2,0.318939,0.084634
2,0.503491,0.719686
2,0.855342,0.101852
2,0.330280,0.706972
2,0.015401,0.563520
2,0.043965,0.649455
2,0.711695,0.645826
2,0.071672,0.092801
2,0.767729,0.461480
2,0.752285,0.552267
2,0.780650,0.867297
2,0.902766,0.185708
2,0.654178,0.932146
2,0.213154,0.452633
2,0.879048,0.143776
2,0.010549,0.519508
2,0.610901,0.077897
2,0.762877,0.417478
2,0.216024,0.363233
