Shape,Landmark,X,Y
1,1,0.153,0.031
1,2,0.448,1.000
1,3,0.773,0.037
1,4,0.607,0.006
1,5,0.429,0.810
1,6,0.307,0.018
2,1,0.172,0.012
2,2,0.448,1.000
2,3,0.773,0.037
2,4,0.540,0.043
2,5,0.454,0.767
2,6,0.380,0.092
3,1,0.142,0.028
3,2,0.466,0.989
3,3,0.756,0.006
3,4,0.682,0.034
3,5,0.455,0.852
3,6,0.216,0.045
4,1,0.103,0.031
4,2,0.418,1.000
4,3,0.722,0.015
4,4,0.536,0.010
4,5,0.433,0.773
4,6,0.278,0.026
5,1,0.170,0.009
5,2,0.453,1.000
5,3,0.821,0.024
5,4,0.736,0.100
5,5,0.480,0.815
5,6,0.252,0.015
6,1,0.138,0.046
6,2,0.448,1.000
6,3,0.747,0.000
6,4,0.563,0.126
6,5,0.448,0.724
6,6,0.345,0.069
7,1,0.189,0.046
7,2,0.434,1.037
7,3,0.623,0.037
7,4,0.491,0.169
7,5,0.415,0.725
7,6,0.377,0.140
8,1,0.102,0.000
8,2,0.508,1.000
8,3,0.881,0.034
8,4,0.678,0.017
8,5,0.458,0.661
8,6,0.305,0.000
9,1,0.126,0.009
9,2,0.477,0.937
9,3,0.892,0.018
9,4,0.676,0.018
9,5,0.495,0.649
9,6,0.360,0.018
10,1,0.170,0.019
10,2,0.415,1.000
10,3,0.642,0.009
10,4,0.462,0.113
10,5,0.415,0.689
10,6,0.349,0.123
