Two Sample SPM Results
alpha = 0.050
T2_critical = 38.974
p = 0.016
X0,Y0,X1,Y1,T2
0.625294,0.726317,0.616975,0.590468,77.314
0.658478,0.701846,0.641806,0.563075,80.143
0.685574,0.675375,0.659943,0.531152,76.315
0.712277,0.643758,0.673028,0.496587,74.854
0.730814,0.611184,0.679721,0.460065,66.067
0.745280,0.576473,0.683998,0.423692,49.531
0.757959,0.540979,0.683082,0.387433,35.394
0.764958,0.504217,0.682663,0.349965,28.820
0.769204,0.466780,0.678691,0.313232,21.962
0.771524,0.429430,0.669323,0.276746,19.168
0.769411,0.391837,0.658161,0.240903,20.607
0.766463,0.354518,0.648266,0.204618,17.347
0.759458,0.317498,0.633170,0.169948,16.811
0.750409,0.281025,0.616675,0.135783,16.892
0.740313,0.245413,0.603378,0.100824,10.912
0.728684,0.210219,0.590552,0.066143,8.982
0.717065,0.174474,0.583097,0.029291,8.684
0.701585,0.141349,0.582253,-0.006191,10.038
0.684632,0.109135,0.596244,-0.038500,12.196
0.669148,0.074596,0.619508,-0.066470,14.682
0.655572,0.039423,0.651479,-0.084492,16.536
0.646997,0.002587,0.684628,-0.092822,17.656
0.645342,-0.030483,0.720850,-0.099410,28.926
0.663481,-0.050523,0.761388,-0.096664,31.689
0.691542,-0.063692,0.791084,-0.076594,26.838
0.729506,-0.063728,0.814043,-0.050393,13.313
0.765501,-0.055172,0.830149,-0.019378,5.569
0.794572,-0.032439,0.837061,0.017227,1.801
0.814429,-0.000292,0.846323,0.051823,1.401
0.831241,0.033524,0.866699,0.084385,1.465
0.849038,0.067052,0.882452,0.118281,1.575
0.863842,0.102060,0.894656,0.153923,1.692
0.878158,0.137075,0.899952,0.185657,1.719
0.892274,0.172229,0.915122,0.218601,1.942
0.906441,0.207368,0.930656,0.252667,2.330
0.915938,0.243953,0.943730,0.287550,6.258
0.923685,0.281189,0.954893,0.322865,14.874
0.932625,0.318007,0.962104,0.359594,16.004
0.938394,0.355604,0.963618,0.396510,10.398
0.943619,0.393253,0.973973,0.432867,23.674
0.945774,0.431129,0.978201,0.470357,31.863
0.945751,0.468983,0.971370,0.504146,17.103
0.944807,0.506991,0.976118,0.541620,35.285
0.941335,0.544877,0.972911,0.578846,51.421
0.936201,0.582519,0.966542,0.615820,68.014
0.926684,0.619373,0.957366,0.652269,131.525
0.913506,0.655036,0.942297,0.687161,87.633
0.899615,0.690325,0.929064,0.722732,101.041
0.884585,0.725104,0.911170,0.756310,62.986
0.866257,0.758319,0.890076,0.791650,37.359
0.844106,0.789220,0.867334,0.821083,59.369
0.815946,0.819983,0.840521,0.847847,44.035
0.788274,0.846079,0.811041,0.871883,33.104
0.758331,0.869439,0.781457,0.895377,39.843
0.726928,0.891002,0.752393,0.920621,29.417
0.694052,0.910129,0.718129,0.935224,24.527
0.659145,0.924967,0.682325,0.948020,23.297
0.623036,0.936752,0.646787,0.961104,17.877
0.586057,0.944612,0.609755,0.968288,14.372
0.548927,0.952550,0.573741,0.980141,15.566
0.511844,0.956480,0.536134,0.985306,9.658
0.474058,0.956630,0.497984,0.986508,10.304
0.435943,0.955326,0.460172,0.987680,12.337
0.398259,0.950518,0.422326,0.984883,11.495
0.361070,0.942454,0.385336,0.977285,18.432
0.324525,0.931971,0.347888,0.970865,21.696
0.288857,0.919095,0.311449,0.960762,23.683
0.254115,0.903578,0.275244,0.948874,30.947
0.222268,0.883843,0.241184,0.931878,29.464
0.191872,0.861925,0.208142,0.912647,30.591
0.163162,0.837745,0.175241,0.888066,42.238
0.138341,0.809278,0.147742,0.861505,51.812
0.114887,0.779732,0.119182,0.836670,43.587
0.093143,0.748652,0.095472,0.807408,37.411
0.077214,0.714198,0.074769,0.775533,56.283
0.060716,0.680075,0.052580,0.744558,59.726
0.048773,0.644273,0.037656,0.710240,67.016
0.037770,0.607832,0.024669,0.674695,49.366
0.028131,0.571200,0.015088,0.638158,32.121
0.022850,0.533492,0.005020,0.601626,31.401
0.018071,0.495717,-0.002957,0.564553,30.123
0.018755,0.457789,-0.004935,0.526717,25.736
0.019236,0.419665,-0.009676,0.489339,22.310
0.021623,0.381809,-0.007513,0.451216,20.914
0.027422,0.344286,-0.003842,0.413386,18.868
0.032416,0.306686,0.000098,0.375554,18.262
0.041500,0.269823,0.005552,0.338034,17.331
0.051258,0.233080,0.012345,0.300555,15.086
0.061229,0.196496,0.022122,0.264106,12.597
0.073327,0.160585,0.031793,0.227738,12.375
0.086841,0.125135,0.039908,0.190682,13.644
0.100866,0.089968,0.051852,0.154675,12.904
0.113710,0.054427,0.060692,0.117671,12.276
0.131425,0.020908,0.069083,0.081808,21.923
0.152226,-0.006896,0.077864,0.046469,22.296
0.176098,-0.032411,0.089004,0.010464,21.358
0.209821,-0.047523,0.097859,-0.025344,34.237
0.244325,-0.043339,0.119531,-0.053086,54.262
0.271427,-0.031918,0.157819,-0.066705,56.096
0.289662,-0.011397,0.195281,-0.069660,35.857
0.292579,0.022185,0.230920,-0.059363,21.625
0.279573,0.057819,0.267319,-0.049960,14.270
0.265911,0.093090,0.301270,-0.037678,10.432
0.252908,0.128749,0.330050,-0.018882,14.190
0.242354,0.165006,0.337392,0.015008,15.786
0.230894,0.201117,0.336483,0.051439,16.710
0.220304,0.237596,0.324310,0.087148,17.729
0.209887,0.273994,0.311690,0.122975,21.608
0.203668,0.311027,0.302274,0.159623,24.509
0.198517,0.348650,0.293758,0.196493,25.036
0.195555,0.386179,0.285844,0.233277,28.667
0.196049,0.423843,0.276380,0.270272,26.374
0.195920,0.461841,0.272333,0.307433,34.456
0.201890,0.499180,0.270974,0.344738,42.343
0.210163,0.535819,0.273083,0.382741,42.488
0.221961,0.571592,0.273382,0.420544,50.555
0.237698,0.606016,0.279496,0.457160,51.310
0.256192,0.638777,0.287024,0.494300,52.443
0.278661,0.669093,0.299922,0.528588,57.487
0.305610,0.696081,0.322015,0.559438,67.256
0.338984,0.721976,0.345794,0.588673,69.917
0.373023,0.739209,0.375669,0.612364,61.293
0.408477,0.749814,0.409265,0.629774,54.539
0.442745,0.752376,0.445283,0.641529,36.998
0.480023,0.756183,0.481632,0.647031,34.128
0.517254,0.760286,0.517795,0.642944,51.647
0.555965,0.757463,0.553282,0.630107,56.193
0.591649,0.742275,0.587131,0.615779,68.562
