Shape,X,Y
0,0.873050,0.141572
0,0.128040,0.340893
0,0.026079,0.258816
0,0.447303,0.325862
0,1.070745,0.196234
0,0.518593,0.089561
0,0.340482,0.379018
0,0.529810,0.286648
0,0.246530,0.437716
0,0.267744,-0.071912
0,0.175216,0.011810
0,0.881061,0.282343
0,0.204725,-0.021250
0,0.170662,0.372990
0,0.152503,0.053906
0,0.828545,0.131551
0,0.815194,0.282961
0,0.573371,0.114693
0,0.771213,0.282323
0,0.617572,0.284784
0,0.850619,0.133436
0,0.382672,0.348370
0,0.859165,0.283589
0,0.551706,0.285402
0,0.340658,-0.003877
0,0.983610,0.154117
0,0.902957,0.281097
0,0.551297,0.112808
0,0.609383,0.140893
0,0.416170,0.054596
0,1.027758,0.157876
0,0.028776,0.195902
0,1.012805,0.281128
0,0.110136,0.081426
0,1.050723,0.175396
0,0.457910,0.071047
0,0.661375,0.282291
0,0.727242,0.281684
0,0.573602,0.284156
0,0.675439,0.143405
0,0.036711,0.280189
0,0.946938,0.281735
0,0.529222,0.110923
0,0.210340,0.408392
0,0.653898,0.150903
0,0.130963,0.061404
0,0.639479,0.283537
0,0.587131,0.135877
0,0.479984,0.072932
0,0.393562,0.043329
0,0.683450,0.284176
0,0.029411,0.151921
0,0.290333,0.435223
0,0.290530,-0.057513
0,0.026893,0.217977
0,0.924853,0.279851
0,0.631646,0.145898
0,0.047112,0.132088
0,0.361666,0.365258
0,0.227052,0.426271
0,0.837091,0.281715
0,0.404579,0.347123
0,0.105075,0.323374
0,0.915952,0.123446
0,0.325905,0.398677
0,0.082286,0.308975
0,0.323956,-0.021753
0,0.027530,0.174006
0,0.595498,0.282910
0,0.894234,0.127813
0,0.351287,0.017485
0,0.793298,0.284207
0,0.490739,0.317111
0,0.968835,0.280489
0,0.990731,0.279243
0,0.304290,-0.036329
0,1.034524,0.276751
0,0.231093,-0.054131
0,1.070106,0.240205
0,0.059677,0.297708
0,0.508447,0.297277
0,0.438422,0.059602
0,0.469021,0.321488
0,0.245669,-0.073797
0,0.225909,-0.035010
0,0.067765,0.108945
0,0.268604,0.439599
0,0.373906,0.028752
0,0.088772,0.092054
0,0.304899,0.415564
0,0.697513,0.145290
0,0.784752,0.134043
0,0.426297,0.342749
0,0.741483,0.145919
0,0.749317,0.283569
0,0.806649,0.132797
0,0.719587,0.147165
0,1.005684,0.155991
0,0.502237,0.077937
0,0.762846,0.135290
0,0.705346,0.282930
0,0.938215,0.128451
0,1.052409,0.260038
0,0.150829,0.355288
0,0.027961,0.236742
0,0.167080,0.034250
0,0.190506,0.390691
0,0.196578,0.001181
0,0.961179,0.145970
0,1.081374,0.217596
1,1.024420,0.261263
1,0.533868,0.093288
1,0.873251,0.268585
1,0.412457,0.396045
1,0.063873,0.286133
1,0.427141,0.379871
1,0.136656,0.001197
1,0.786709,0.269678
1,0.932807,0.157459
1,0.028837,0.201246
1,0.083281,0.303750
1,0.244196,-0.013290
1,0.718878,0.146175
1,0.106821,0.342815
1,0.265941,-0.011244
1,0.678731,0.274908
1,0.175195,0.413722
1,0.781180,0.155525
1,0.527104,0.272974
1,0.610751,0.148324
1,0.613636,0.271882
1,0.721922,0.272816
1,0.867423,0.148259
1,0.468474,0.084088
1,0.034014,0.244287
1,0.098250,0.102020
1,0.418464,0.009193
1,0.697133,0.144139
1,0.435351,0.357826
1,0.449726,0.335483
1,0.102328,0.058530
1,0.033961,0.179351
1,0.179409,-0.010152
1,0.997294,0.148147
1,0.632496,0.150360
1,0.305077,0.413616
1,0.491871,0.311794
1,0.851506,0.266539
1,0.845678,0.146223
1,0.222600,-0.012244
1,0.348118,0.408438
1,0.506705,0.298708
1,0.111998,0.385858
1,0.765113,0.270724
1,0.570445,0.273974
1,0.546954,0.108111
1,0.391011,0.400176
1,0.326523,0.409484
1,0.656987,0.272872
1,0.823922,0.144177
1,0.042171,0.157307
1,0.954253,0.153331
1,0.200855,-0.014280
1,0.567261,0.144241
1,0.100289,0.080275
1,1.046567,0.207609
1,0.218535,0.414715
1,0.446281,0.072795
1,0.157963,-0.006014
1,0.894847,0.267539
1,1.002824,0.262309
1,0.331026,-0.008218
1,0.352771,-0.006181
1,0.938038,0.265447
1,0.635391,0.273918
1,0.592041,0.272928
1,0.104781,0.364561
1,0.445234,0.051189
1,0.743518,0.271770
1,0.434931,0.030042
1,0.505659,0.277112
1,0.675238,0.139011
1,0.802327,0.145223
1,1.059952,0.228617
1,0.490218,0.086124
1,0.911660,0.167762
1,0.107452,0.036626
1,0.548700,0.271928
1,0.083869,0.124363
1,0.975849,0.152285
1,0.916442,0.266493
1,0.470574,0.319010
1,0.131406,0.403473
1,0.829900,0.267585
1,0.196790,0.412676
1,0.047401,0.265285
1,0.889765,0.162634
1,0.283481,0.414662
1,1.030089,0.186761
1,1.042185,0.244935
1,0.981229,0.263355
1,0.102689,0.321368
1,0.261736,0.412622
1,0.700327,0.273862
1,0.029883,0.222841
1,0.554165,0.129418
1,0.369564,0.404307
1,0.115661,0.014582
1,0.588557,0.137020
1,0.741220,0.160550
1,0.808304,0.268632
1,0.309281,-0.010254
1,0.062871,0.137748
1,0.287536,-0.012290
1,0.959633,0.264401
1,1.013622,0.165913
1,0.396122,-0.005182
1,0.374377,-0.007228
1,0.153300,0.408597
1,0.240141,0.413668
1,0.760182,0.168910
1,0.653643,0.140057
1,0.512113,0.091252
2,0.356026,0.349581
2,0.873784,0.156720
2,0.418634,0.323589
2,0.024056,0.259508
2,0.247992,-0.028804
2,0.820005,0.281543
2,0.918503,0.154177
2,0.138466,0.355544
2,0.909614,0.279646
2,0.494632,0.082145
2,1.021230,0.270100
2,0.301257,0.400757
2,0.225814,-0.024338
2,0.017230,0.195810
2,0.134006,0.333366
2,0.775104,0.280887
2,0.448823,0.065517
2,0.316523,-0.007066
2,0.274691,0.440724
2,0.334393,0.363626
2,0.169573,0.395430
2,1.045253,0.185415
2,0.618235,0.283399
2,0.670380,0.129830
2,0.760181,0.131131
2,0.293074,-0.024959
2,0.603119,0.130446
2,0.099111,0.114242
2,0.864724,0.279000
2,0.940499,0.146508
2,0.999051,0.274560
2,0.087467,0.303964
2,1.046525,0.207774
2,1.042681,0.252856
2,0.484078,0.291028
2,0.895962,0.152250
2,0.019152,0.173269
2,0.842364,0.280271
2,0.573516,0.285942
2,0.155528,0.373797
2,0.976692,0.275832
2,1.007759,0.145892
2,0.462808,0.311460
2,0.270351,-0.030076
2,0.033851,0.150001
2,0.648020,0.131101
2,0.289392,0.417456
2,0.737458,0.126016
2,0.752744,0.282158
2,0.984855,0.137578
2,0.357206,0.032278
2,0.528252,0.278900
2,0.135801,0.083316
2,0.692739,0.128559
2,0.851606,0.161179
2,0.595875,0.284671
2,0.162368,0.043357
2,0.931973,0.278374
2,0.064383,0.292462
2,0.380474,0.046977
2,0.805808,0.144561
2,0.557684,0.120214
2,0.887073,0.277729
2,0.110735,0.318665
2,0.962495,0.138850
2,0.425737,0.054016
2,0.077296,0.125099
2,0.440631,0.315930
2,0.782903,0.136247
2,0.537424,0.102143
2,0.018501,0.218169
2,0.055483,0.135956
2,0.203636,-0.019873
2,0.685485,0.282784
2,0.580770,0.131717
2,0.730385,0.283430
2,0.041116,0.277760
2,0.312760,0.377682
2,0.230154,0.446465
2,0.550793,0.280827
2,0.505893,0.280171
2,0.378386,0.348309
2,0.170682,0.020453
2,0.954332,0.277103
2,0.828894,0.156063
2,0.403015,0.048900
2,0.517173,0.084062
2,0.625842,0.135561
2,0.707844,0.281513
2,0.715280,0.130475
2,0.640584,0.282129
2,0.797463,0.279616
2,0.140917,0.060599
2,0.333585,0.011190
2,0.252876,0.451581
2,0.183618,0.417063
2,0.663125,0.284056
2,0.185747,0.003575
2,0.206704,0.428565
2,0.016396,0.237512
2,0.120929,0.103395
2,0.471909,0.077029
2,1.031208,0.163782
2,0.400564,0.343849
2,1.047796,0.230134
3,1.073158,0.283818
3,0.756962,0.255671
3,0.892376,0.264929
3,0.764504,0.151286
3,0.711695,0.248845
3,0.130317,0.044411
3,0.655586,0.174862
3,1.146941,0.222087
3,0.191107,0.408097
3,0.965158,0.175086
3,0.489769,0.101965
3,0.431420,0.360133
3,0.937644,0.271755
3,0.215350,-0.017716
3,0.786993,0.150485
3,0.678175,0.176867
3,0.237528,-0.026948
3,0.466359,0.313864
3,0.171072,0.003560
3,0.047790,0.176808
3,0.434161,0.042033
3,0.447487,0.337054
3,0.982812,0.275776
3,0.832061,0.151689
3,0.327173,-0.038584
3,0.106798,0.332298
3,0.282954,0.458289
3,1.100872,0.192771
3,0.532615,0.277739
3,0.086423,0.313326
3,0.237075,0.434596
3,0.802030,0.256887
3,0.089558,0.085260
3,0.193261,-0.005672
3,0.960133,0.270954
3,0.742215,0.157698
3,0.632908,0.170040
3,0.466680,0.085899
3,0.054004,0.272265
3,0.144837,0.373158
3,0.412549,0.383323
3,0.587128,0.149152
3,1.033116,0.186745
3,1.010626,0.187546
3,0.152100,0.023935
3,1.050569,0.281802
3,0.577282,0.267699
3,0.372942,-0.017699
3,0.304584,-0.040593
3,0.899718,0.154910
3,0.557927,0.119236
3,1.027890,0.276980
3,0.512559,0.109592
3,0.510225,0.281346
3,1.005401,0.277781
3,1.140114,0.267354
3,0.621648,0.249231
3,0.045781,0.199386
3,0.368782,0.418647
3,0.396031,-0.001636
3,0.167927,0.389213
3,1.123751,0.203215
3,0.057432,0.131429
3,0.259717,-0.036182
3,0.282095,-0.039792
3,0.488147,0.293391
3,0.049801,0.154218
3,0.723243,0.178082
3,0.419310,0.020048
3,1.055705,0.188750
3,0.070684,0.108450
3,0.666627,0.247629
3,0.824719,0.261708
3,0.305532,0.460305
3,0.124463,0.354186
3,0.535237,0.114414
3,0.053203,0.249776
3,0.855139,0.167756
3,0.644138,0.248430
3,0.555104,0.276939
3,0.214096,0.421346
3,0.111342,0.064786
3,0.922196,0.154109
3,0.869787,0.262913
3,0.349952,-0.030952
3,0.779452,0.254871
3,0.451829,0.063918
3,0.068859,0.294254
3,0.847309,0.263713
3,0.349810,0.439020
3,0.390660,0.400991
3,0.050192,0.244253
3,0.599270,0.252848
3,0.915065,0.269739
3,1.078183,0.187950
3,0.734384,0.253666
3,0.809571,0.152490
3,0.259864,0.442223
3,0.580717,0.126874
3,0.327921,0.456688
3,0.700765,0.178882
3,1.095636,0.283017
3,0.689105,0.246829
3,0.049392,0.221775
3,0.877629,0.166955
3,1.153364,0.244376
3,0.944785,0.156114
3,0.610218,0.165218
3,0.988048,0.185530
3,1.117925,0.276594
4,0.742673,0.148398
4,0.973210,0.178251
4,0.736358,0.272349
4,0.193702,0.405458
4,0.673490,0.145198
4,0.485461,0.282771
4,0.068095,0.122336
4,0.463302,0.077954
4,0.788766,0.157252
4,0.512048,0.138717
4,0.450570,0.348931
4,0.047516,0.211636
4,0.468073,0.302877
4,0.050591,0.168401
4,0.920993,0.250100
4,0.551838,0.268649
4,1.042406,0.178557
4,0.331990,0.432020
4,0.488983,0.138615
4,0.406034,-0.011679
4,0.267693,-0.023825
4,0.927066,0.180930
4,0.239780,0.420079
4,0.644110,0.269057
4,0.719621,0.145403
4,0.129051,0.030345
4,0.073057,0.304012
4,0.667175,0.269159
4,0.064509,0.280908
4,0.170675,0.396707
4,0.313850,-0.029387
4,1.059411,0.244947
4,0.216729,0.414210
4,0.851749,0.258443
4,0.690240,0.269262
4,1.019378,0.169806
4,0.765739,0.148500
4,1.013229,0.256275
4,0.713306,0.269364
4,0.147664,0.385072
4,0.508565,0.274224
4,0.828683,0.258341
4,0.597979,0.268853
4,0.874827,0.255662
4,0.308925,0.431917
4,0.696556,0.145300
4,0.152194,0.013147
4,0.950131,0.181032
4,0.084488,0.327128
4,0.175307,0.001716
4,0.558166,0.141805
4,0.834871,0.163222
4,0.055961,0.257804
4,0.047414,0.234701
4,0.355068,0.429239
4,0.336915,-0.029285
4,0.262832,0.423064
4,0.056459,0.145361
4,0.857923,0.166208
4,0.880963,0.172076
4,0.401263,0.415027
4,0.443324,0.031736
4,0.454755,0.054852
4,0.904016,0.175061
4,1.065420,0.190192
4,0.811806,0.163120
4,0.198423,-0.009714
4,0.535101,0.141703
4,0.574914,0.268751
4,0.424417,0.394947
4,0.528811,0.259897
4,0.429010,0.008606
4,0.627372,0.142111
4,0.967137,0.247421
4,0.759424,0.272451
4,0.378159,0.423574
4,0.944084,0.244436
4,0.621044,0.268955
4,1.082566,0.224866
4,0.581242,0.141907
4,0.383020,-0.023314
4,0.290772,-0.026606
4,0.076846,0.099309
4,0.047618,0.188570
4,0.105883,0.053308
4,0.990189,0.250407
4,0.897905,0.252881
4,0.441818,0.371958
4,0.782502,0.269670
4,0.221514,-0.015379
4,0.805605,0.261122
4,0.650425,0.145096
4,1.036295,0.256377
4,1.088434,0.201827
4,0.604307,0.142009
4,0.459321,0.325904
4,0.101698,0.347387
4,0.996275,0.178353
4,0.285872,0.428932
4,0.088481,0.076295
4,0.244615,-0.021044
4,0.466083,0.101032
4,0.468864,0.124110
4,0.124674,0.367671
4,0.359980,-0.029183
5,0.937340,0.160756
5,0.737186,0.270320
5,0.066543,0.177471
5,0.648537,0.269765
5,0.674741,0.130619
5,0.582051,0.269349
5,0.069986,0.133166
5,0.630417,0.130342
5,0.848691,0.160202
5,0.413877,0.328455
5,0.229218,-0.014639
5,0.936647,0.271568
5,0.066325,0.212304
5,0.481790,0.100918
5,0.981031,0.262354
5,0.449077,0.268517
5,0.082928,0.088921
5,0.081323,0.345373
5,0.803673,0.270736
5,0.958829,0.268546
5,0.537726,0.269071
5,0.407408,0.350579
5,0.100181,0.367654
5,0.321404,0.432361
5,0.870853,0.160340
5,0.072102,0.300992
5,0.207036,-0.011617
5,0.737880,0.159508
5,0.140372,0.016460
5,0.184814,-0.002255
5,1.009781,0.221368
5,0.440725,0.084829
5,0.299242,0.432222
5,0.399987,0.018084
5,0.608215,0.136534
5,0.693615,0.149740
5,0.412510,0.040326
5,0.428203,0.062587
5,0.692862,0.270042
5,0.277080,0.432084
5,0.144367,0.390093
5,0.652579,0.130480
5,0.381104,-0.001027
5,0.089398,0.066798
5,0.914484,0.271429
5,1.000419,0.199146
5,0.340128,-0.029777
5,0.066048,0.256628
5,0.759349,0.270458
5,0.847998,0.271013
5,0.069075,0.278810
5,0.825835,0.270874
5,0.586013,0.142735
5,0.397768,0.372682
5,0.166447,0.402896
5,0.715024,0.270181
5,0.210692,0.415837
5,0.066186,0.234466
5,0.981526,0.183196
5,0.781511,0.270597
5,0.892322,0.271290
5,0.429986,0.284229
5,0.076457,0.111043
5,0.715718,0.159370
5,0.870160,0.271152
5,0.317986,-0.033086
5,0.459628,0.100779
5,0.254937,0.428779
5,0.497523,0.116848
5,0.381798,0.394745
5,0.915178,0.160618
5,0.670700,0.269904
5,0.893055,0.154148
5,0.826628,0.144241
5,0.362231,-0.020147
5,0.162592,0.007107
5,0.804545,0.131431
5,0.604213,0.269488
5,0.515564,0.268933
5,1.003312,0.243491
5,0.273622,-0.027033
5,0.365828,0.416808
5,0.122264,0.380457
5,0.559888,0.269210
5,0.760121,0.146986
5,0.541768,0.129787
5,0.099035,0.044695
5,0.493402,0.268794
5,0.251420,-0.020841
5,0.626375,0.269626
5,0.343566,0.432500
5,0.188569,0.409367
5,0.295804,-0.030055
5,0.066404,0.199633
5,0.782383,0.131293
5,0.959483,0.164065
5,0.075129,0.323175
5,0.232815,0.422308
5,0.563891,0.136256
5,0.118090,0.035323
5,0.423507,0.306352
5,0.519625,0.126488
5,0.471239,0.268655
5,0.069848,0.155328
6,0.476639,0.093533
6,0.554458,0.112018
6,0.109980,0.041356
6,0.426232,0.000628
6,0.743951,0.135350
6,0.257859,-0.021787
6,0.816540,0.274567
6,0.616922,0.135893
6,0.151044,0.000800
6,0.731507,0.282986
6,0.519185,0.297975
6,0.891848,0.141758
6,0.321378,-0.022058
6,0.603955,0.295601
6,0.870719,0.140843
6,0.120265,0.362339
6,0.722691,0.137457
6,0.679918,0.147698
6,0.161339,0.391335
6,0.922439,0.273108
6,0.879797,0.280336
6,0.342377,-0.018125
6,0.764950,0.139288
6,0.469059,0.338141
6,0.051357,0.277705
6,0.308190,0.421885
6,0.849458,0.142950
6,0.463376,0.050620
6,0.646999,0.279325
6,0.806938,0.147155
6,0.093974,0.061829
6,0.405233,-0.003306
6,0.912847,0.145696
6,0.944353,0.255917
6,0.575457,0.115956
6,0.785949,0.143217
6,0.194087,-0.015478
6,0.300249,-0.022974
6,0.279119,-0.023889
6,0.215478,-0.020599
6,0.773767,0.284817
6,0.455233,0.029100
6,0.658658,0.149796
6,0.901048,0.278228
6,0.795148,0.279696
6,0.236739,-0.022702
6,0.393222,0.413476
6,0.974265,0.193715
6,0.701431,0.139555
6,0.596185,0.125920
6,0.582303,0.306756
6,0.625477,0.287458
6,0.482046,0.317535
6,0.561313,0.302828
6,0.363376,-0.014191
6,0.710509,0.279048
6,0.058027,0.123772
6,0.287061,0.420970
6,0.436266,0.397190
6,0.540315,0.298890
6,0.827806,0.154106
6,0.039012,0.213672
6,0.497925,0.300082
6,0.140742,0.378339
6,0.040189,0.186507
6,0.067997,0.103035
6,0.838061,0.266434
6,0.471519,0.072140
6,0.039928,0.192542
