Shape,X,Y
1,0.037176,0.280708
1,0.026320,0.260686
1,0.027903,0.238207
1,0.026916,0.215622
1,0.028821,0.193097
1,0.027374,0.170435
1,0.030724,0.148293
1,0.047112,0.132088
1,0.067765,0.108945
1,0.084788,0.093848
1,0.105539,0.084505
1,0.121960,0.068782
1,0.141119,0.057896
1,0.160479,0.047185
1,0.169211,0.025015
1,0.181672,0.008317
1,0.199332,-0.004034
1,0.208313,-0.024556
1,0.227020,-0.036815
1,0.232798,-0.059495
1,0.248673,-0.074646
1,0.271486,-0.070481
1,0.290166,-0.057956
1,0.302293,-0.038806
1,0.319647,-0.024630
1,0.336885,-0.009779
1,0.346982,0.010964
1,0.363513,0.024467
1,0.383718,0.035324
1,0.401906,0.048864
1,0.423419,0.055944
1,0.444605,0.063147
1,0.464720,0.072493
1,0.487559,0.073759
1,0.509076,0.081172
1,0.522936,0.099158
1,0.536533,0.113573
1,0.561538,0.111891
1,0.578847,0.122169
1,0.593014,0.138884
1,0.616255,0.141804
1,0.638072,0.148192
1,0.659967,0.149303
1,0.681540,0.142972
1,0.704164,0.146138
1,0.726865,0.147516
1,0.748580,0.142654
1,0.769209,0.134096
1,0.792074,0.133860
1,0.814573,0.132259
1,0.837196,0.131362
1,0.859500,0.137426
1,0.879642,0.138955
1,0.899072,0.125603
1,0.921754,0.123854
1,0.942845,0.131257
1,0.960523,0.145551
1,0.981619,0.153727
1,1.004103,0.155971
1,1.026738,0.157578
1,1.045396,0.170005
1,1.061393,0.186059
1,1.076480,0.203884
1,1.080013,0.224821
1,1.066675,0.244206
1,1.051664,0.260901
1,1.035156,0.276406
1,1.013075,0.281133
1,0.990535,0.279235
1,0.967950,0.280583
1,0.945373,0.281658
1,0.922834,0.279820
1,0.900250,0.281282
1,0.877668,0.282616
1,0.855093,0.283368
1,0.832553,0.281661
1,0.809963,0.283506
1,0.787396,0.283740
1,0.764849,0.282565
1,0.742277,0.283162
1,0.719734,0.281698
1,0.697142,0.283736
1,0.674582,0.283467
1,0.652033,0.282427
1,0.629440,0.284484
1,0.606886,0.283872
1,0.584327,0.283213
1,0.561755,0.285033
1,0.539115,0.285620
1,0.517183,0.290996
