Shape,X,Y
1,0.861484,0.278388
1,0.131333,0.054734
1,0.027528,0.132337
1,0.446725,0.080929
1,1.059051,0.231308
1,0.508890,0.317287
1,0.342905,0.024541
1,0.526978,0.122658
1,0.252017,-0.036876
1,0.254938,0.468176
1,0.166347,0.382049
1,0.874403,0.139373
1,0.194375,0.415809
1,0.174648,0.024484
1,0.145364,0.339587
1,0.817090,0.286726
1,0.809248,0.136426
1,0.563986,0.294360
1,0.765704,0.135498
1,0.613757,0.127614
1,0.839000,0.285644
1,0.383567,0.056364
1,0.852780,0.137363
1,0.548601,0.124668
1,0.329503,0.403438
1,0.971333,0.269895
1,0.896026,0.141382
1,0.542076,0.295442
1,0.600551,0.269711
1,0.406298,0.348254
1,1.015153,0.267740
1,0.027966,0.194689
1,1.004727,0.145247
1,0.104416,0.310853
1,1.038499,0.251218
1,0.448185,0.333455
1,0.657013,0.131634
1,0.722170,0.134571
1,0.570224,0.126677
1,0.666005,0.269567
1,0.038806,0.111565
1,0.939570,0.142310
1,0.520165,0.296525
1,0.215165,-0.009141
1,0.644955,0.261384
1,0.124315,0.331404
1,0.635390,0.129625
1,0.578353,0.273885
1,0.470095,0.332373
1,0.383527,0.358602
1,0.678924,0.130552
1,0.027035,0.238232
1,0.295274,-0.032856
1,0.277997,0.454736
1,0.026885,0.172778
1,0.917650,0.143392
1,0.622758,0.265548
1,0.043848,0.258486
1,0.363380,0.038908
1,0.232338,-0.026241
1,0.830871,0.138436
1,0.405201,0.058375
1,0.107987,0.071256
1,0.903296,0.297846
1,0.329178,0.004570
1,0.084926,0.084695
1,0.312341,0.420535
1,0.025956,0.216312
1,0.591847,0.128687
1,0.881959,0.292755
1,0.340778,0.382676
1,0.787624,0.134416
1,0.489396,0.091129
1,0.961194,0.144320
1,0.982817,0.146329
1,0.292364,0.434261
1,1.026063,0.150348
1,0.219301,0.449281
1,1.059978,0.187774
1,0.062154,0.095043
1,0.506216,0.111383
1,0.428495,0.344090
1,0.468061,0.086027
1,0.233028,0.469258
1,0.214850,0.430176
1,0.063463,0.282119
1,0.273927,-0.037955
1,0.363560,0.372329
1,0.083652,0.299578
1,0.308990,-0.012885
1,0.687915,0.268484
1,0.773843,0.282707
1,0.426537,0.063473
1,0.731448,0.269422
1,0.744080,0.133489
1,0.795466,0.284717
1,0.709825,0.267412
1,0.993243,0.268823
1,0.492292,0.328209
1,0.752210,0.280697
1,0.700547,0.132561
1,0.925503,0.293683
1,1.043169,0.167521
1,0.154394,0.041297
1,0.028607,0.154247
1,0.159092,0.359554
1,0.194912,0.007672
1,0.187109,0.393324
1,0.948848,0.277161
1,1.070326,0.210546
2,1.018676,0.167176
2,0.525697,0.316558
2,0.868853,0.154549
2,0.415888,0.011674
2,0.065914,0.108442
2,0.429893,0.028252
2,0.128076,0.393909
2,0.782972,0.150397
2,0.924043,0.266987
2,0.028121,0.191477
2,0.085807,0.091639
2,0.234329,0.412104
2,0.711251,0.270608
2,0.110562,0.053689
2,0.255990,0.410843
2,0.675956,0.141378
2,0.180958,-0.014285
2,0.773437,0.263533
2,0.525350,0.137924
2,0.603977,0.264643
2,0.611221,0.142075
2,0.718762,0.144986
2,0.858802,0.273804
2,0.460446,0.323375
2,0.034787,0.148929
2,0.093519,0.292450
2,0.408142,0.395958
2,0.689590,0.271858
2,0.437264,0.050430
2,0.450743,0.073122
2,0.096026,0.335771
2,0.032433,0.213396
2,0.170119,0.406692
2,0.987736,0.278518
2,0.625638,0.263392
2,0.309903,-0.009576
2,0.491746,0.098134
2,0.847192,0.155810
2,0.837142,0.275055
2,0.212926,0.410300
2,0.352451,-0.002910
2,0.506009,0.111652
2,0.117228,0.011139
2,0.761569,0.148593
2,0.568415,0.138467
2,0.539214,0.302305
2,0.394742,0.006813
2,0.331048,-0.004714
2,0.654295,0.142629
2,0.815470,0.276315
2,0.039802,0.235572
2,0.945188,0.271845
2,0.191265,0.411551
2,0.560655,0.267155
2,0.094772,0.314110
2,1.038762,0.221229
2,0.224022,-0.013735
2,0.438012,0.333800
2,0.148974,0.401823
2,0.890256,0.156353
2,0.997272,0.165372
2,0.320715,0.410145
2,0.342376,0.408894
2,0.933063,0.159961
2,0.632892,0.140825
2,0.589818,0.140271
2,0.109308,0.032028
2,0.436208,0.355213
2,0.740165,0.146789
2,0.425229,0.375843
2,0.504205,0.133055
2,0.667671,0.276174
2,0.794067,0.274511
2,1.052796,0.200846
2,0.482107,0.322124
2,0.903413,0.256009
2,0.100337,0.357700
2,0.546753,0.139728
2,0.080034,0.269758
2,0.966592,0.273649
2,0.911660,0.158157
2,0.470858,0.090215
2,0.137121,-0.005661
