SHAPE,LANDMARK,X,Y
1,1,-0.460,0.009
2,2,-0.182,0.254
3,3,0.109,0.075
4,4,0.729,-0.015
5,5,-0.195,-0.323
1,1,-0.469,-0.008
2,2,-0.185,0.233
3,3,0.098,0.063
4,4,0.753,-0.017
5,5,-0.197,-0.270
1,1,-0.461,-0.010
2,2,-0.189,0.263
3,3,0.107,0.064
4,4,0.736,-0.020
5,5,-0.193,-0.297
1,1,-0.453,-0.016
2,2,-0.159,0.259
3,3,0.058,0.055
4,4,0.759,-0.012
5,5,-0.205,-0.287
1,1,-0.454,-0.012
2,2,-0.188,0.250
3,3,0.064,0.072
4,4,0.760,-0.030
5,5,-0.182,-0.279
1,1,-0.443,0.008
2,2,-0.213,0.276
3,3,0.047,0.064
4,4,0.753,-0.042
5,5,-0.144,-0.307
1,1,-0.485,-0.016
2,2,-0.182,0.264
3,3,0.109,0.097
4,4,0.722,-0.039
5,5,-0.163,-0.306
1,1,-0.434,-0.027
2,2,-0.195,0.254
3,3,0.079,0.078
4,4,0.760,-0.029
5,5,-0.209,-0.276
1,1,-0.531,-0.003
2,2,-0.196,0.214
3,3,0.189,0.055
4,4,0.718,-0.014
5,5,-0.181,-0.252
1,1,-0.483,-0.015
2,2,-0.158,0.293
3,3,0.114,0.097
4,4,0.700,-0.028
5,5,-0.173,-0.347
