Two Sample SPM Results
alpha = 0.050
T2_critical = 33.853
p = 0.008
X0,Y0,X1,Y1,T2
0.061939,0.290928,0.051802,0.287196,0.737
0.048498,0.273370,0.048578,0.266959,2.024
0.041462,0.253484,0.046918,0.246392,2.029
0.034778,0.232504,0.045856,0.225494,2.030
0.033821,0.210090,0.045889,0.204563,1.489
0.034867,0.187760,0.045860,0.183632,1.062
0.037721,0.165636,0.046261,0.162713,0.533
0.048063,0.145284,0.047945,0.141942,0.282
0.062585,0.126553,0.052688,0.122206,1.161
0.076961,0.109653,0.059497,0.103047,4.138
0.090706,0.093900,0.067827,0.084635,9.021
0.103856,0.077238,0.077762,0.067066,11.186
0.118531,0.061958,0.089279,0.051221,9.448
0.135201,0.044987,0.103401,0.037378,7.333
0.148108,0.026918,0.120140,0.025803,7.058
0.164142,0.013301,0.138089,0.016234,7.835
0.183787,0.003168,0.157057,0.008816,9.204
0.199634,-0.009903,0.176702,0.002644,5.422
0.219406,-0.018443,0.196764,-0.002672,4.221
0.236263,-0.029326,0.217225,-0.006929,3.902
0.256725,-0.034865,0.237552,-0.011157,3.969
0.279280,-0.035354,0.258314,-0.013314,4.136
0.300824,-0.033065,0.279026,-0.016497,3.847
0.320883,-0.026583,0.299776,-0.018320,2.710
0.341221,-0.019023,0.320681,-0.018161,2.043
0.360568,-0.009357,0.341326,-0.015528,2.215
0.378715,0.004374,0.360959,-0.012459,4.090
0.396946,0.019744,0.380502,-0.009724,8.332
0.413544,0.034844,0.399643,-0.004977,11.335
0.428889,0.049581,0.417904,0.001793,12.138
0.443741,0.063379,0.436408,0.009616,11.529
0.459036,0.076633,0.451186,0.021256,9.517
0.476701,0.087508,0.462211,0.035662,8.765
0.494485,0.095504,0.471944,0.051229,8.760
0.515510,0.102453,0.479612,0.067679,9.695
0.534378,0.110904,0.485730,0.087116,10.103
0.548501,0.125633,0.497098,0.102031,10.615
0.567355,0.134940,0.513543,0.108912,10.562
0.587332,0.141121,0.530384,0.114610,10.580
0.607639,0.145448,0.549935,0.118968,10.018
0.629906,0.149028,0.570273,0.120793,11.920
0.652033,0.150448,0.586760,0.128603,11.592
0.673557,0.147455,0.605151,0.135494,12.526
0.694356,0.142861,0.624501,0.140622,14.370
0.716749,0.143313,0.643419,0.146659,19.257
0.738946,0.144579,0.662923,0.153057,31.001
0.760485,0.146594,0.682908,0.154079,22.540
0.781827,0.147670,0.703244,0.151486,18.649
0.802389,0.150361,0.722998,0.147161,20.651
0.824053,0.150404,0.742777,0.144292,18.974
0.845516,0.149865,0.763307,0.144631,21.078
0.867842,0.153030,0.783153,0.148672,20.989
0.889417,0.154989,0.803045,0.152278,22.463
0.909084,0.157738,0.822355,0.156004,27.599
0.930838,0.162164,0.842231,0.153909,25.437
0.952361,0.161576,0.862997,0.151752,26.172
0.973460,0.160973,0.883403,0.153948,27.578
0.995610,0.162240,0.903982,0.155723,26.410
1.017752,0.161180,0.924102,0.157524,40.625
1.037964,0.167772,0.942343,0.164236,54.459
1.056016,0.181102,0.958692,0.177603,37.176
1.072147,0.195909,0.972675,0.192658,43.880
1.084096,0.214233,0.983005,0.210815,51.741
1.082522,0.235172,0.982181,0.229639,72.271
1.067996,0.252103,0.967181,0.246795,64.981
1.050168,0.264779,0.950606,0.258405,56.132
1.029162,0.270794,0.932127,0.267189,54.412
