SPM results
T2_critical = 51.334
p = 0.022
X0,Y0,X1,Y1,T2
0.061939,0.290928,0.051913,0.288032,0.604
0.048497,0.273370,0.048709,0.267793,1.621
0.041462,0.253484,0.046915,0.247235,1.730
0.034779,0.232504,0.045851,0.226337,1.840
0.033821,0.210090,0.045882,0.205406,1.355
0.034867,0.187760,0.045856,0.184475,0.963
0.037721,0.165636,0.046116,0.163545,0.461
0.048064,0.145285,0.047970,0.142789,0.153
0.062585,0.126553,0.052429,0.123011,0.968
0.076961,0.109653,0.059265,0.103864,3.710
0.090706,0.093900,0.067577,0.085418,8.468
0.103856,0.077238,0.077551,0.067957,10.827
0.118531,0.061958,0.088625,0.051683,10.014
0.135201,0.044986,0.102665,0.037813,8.040
0.148109,0.026918,0.120747,0.025346,6.476
0.164142,0.013301,0.138847,0.016004,6.882
0.183787,0.003168,0.157750,0.008490,8.135
0.199634,-0.009903,0.177415,0.002338,4.725
0.219407,-0.018443,0.197532,-0.002757,3.726
0.236263,-0.029326,0.217969,-0.007132,3.613
0.256725,-0.034865,0.238291,-0.011388,3.661
0.279280,-0.035354,0.259075,-0.013424,3.816
0.300824,-0.033065,0.279790,-0.016628,3.505
0.320883,-0.026583,0.300541,-0.018300,2.446
0.341222,-0.019023,0.321436,-0.017943,1.828
0.360568,-0.009357,0.341961,-0.015109,1.987
0.378715,0.004374,0.361477,-0.011875,3.702
0.396946,0.019745,0.381065,-0.009193,7.584
0.413544,0.034845,0.400018,-0.004306,10.218
0.428889,0.049581,0.418332,0.002442,11.001
0.443741,0.063379,0.436832,0.010247,10.610
0.459036,0.076633,0.451564,0.021942,8.738
0.476701,0.087508,0.462820,0.036161,8.054
0.494485,0.095504,0.472750,0.051147,8.293
0.515510,0.102453,0.480128,0.068270,8.976
0.534378,0.110904,0.486418,0.087476,9.404
0.548501,0.125633,0.497866,0.102143,9.903
0.567355,0.134940,0.514289,0.109079,9.889
0.587332,0.141121,0.531122,0.114905,9.876
0.607639,0.145448,0.550678,0.118974,9.558
0.629906,0.149028,0.571015,0.120493,11.934
0.652033,0.150448,0.587507,0.128480,11.165
0.673558,0.147455,0.605939,0.135507,11.622
0.694357,0.142861,0.625243,0.140680,13.335
0.716749,0.143313,0.643918,0.147304,20.198
0.738947,0.144579,0.663621,0.153392,30.885
0.760485,0.146595,0.683691,0.154155,21.506
0.781827,0.147670,0.703952,0.151202,17.472
0.802389,0.150361,0.723606,0.146643,18.828
0.824053,0.150404,0.743448,0.143945,18.102
0.845516,0.149865,0.764091,0.144741,20.033
0.867842,0.153030,0.783801,0.149096,19.933
0.889417,0.154988,0.803643,0.152790,21.854
0.909085,0.157738,0.823108,0.156144,26.323
0.930838,0.162164,0.842992,0.153646,23.891
0.952361,0.161576,0.863728,0.151829,24.801
0.973460,0.160973,0.884157,0.154118,26.359
0.995611,0.162240,0.904771,0.155684,24.925
1.017753,0.161180,0.924813,0.157779,39.523
1.037964,0.167772,0.942894,0.164806,56.165
1.056017,0.181102,0.959299,0.178070,37.587
1.072147,0.195909,0.973095,0.193337,45.501
1.084096,0.214234,0.982931,0.211584,52.850
1.082522,0.235173,0.981727,0.230287,70.272
1.067996,0.252103,0.967939,0.246423,67.282
1.050168,0.264779,0.951440,0.258244,55.805
1.029162,0.270794,0.932963,0.267099,52.794
1.006827,0.271363,0.912584,0.270104,44.200
0.984536,0.269558,0.891545,0.269231,38.480
0.962082,0.269484,0.871014,0.269174,36.829
0.939652,0.270065,0.850655,0.269435,35.147
0.917372,0.269889,0.830090,0.270967,34.586
0.894925,0.270411,0.809418,0.272932,34.457
0.872470,0.271105,0.788584,0.272762,34.560
0.850094,0.271360,0.767816,0.273110,35.391
0.827628,0.270551,0.747188,0.272241,35.339
0.805176,0.271744,0.726293,0.271153,35.885
0.782975,0.273511,0.705478,0.269417,40.848
0.760630,0.273431,0.685339,0.265996,49.610
0.738144,0.273359,0.664594,0.267558,61.468
0.715693,0.272726,0.644641,0.271001,67.602
0.693230,0.272587,0.624257,0.272923,44.632
0.670835,0.271660,0.604265,0.276227,38.098
0.648368,0.270588,0.583925,0.278853,31.190
0.625867,0.271495,0.564067,0.283425,27.581
0.603378,0.272154,0.543746,0.288472,25.046
0.580860,0.271743,0.523475,0.290886,23.272
0.558845,0.272847,0.506498,0.295948,23.655
0.536917,0.274681,0.489967,0.302378,25.179
0.519872,0.281884,0.475627,0.314180,29.769
0.501091,0.293077,0.464033,0.330627,26.469
0.481747,0.303047,0.456474,0.349427,24.872
0.462846,0.313756,0.450800,0.367857,21.525
0.446674,0.327370,0.441210,0.384346,19.755
0.433566,0.344760,0.428141,0.397946,18.425
0.419261,0.359891,0.411173,0.407177,18.375
0.401534,0.370345,0.392282,0.412967,21.728
0.383282,0.381666,0.373264,0.416438,22.995
0.364274,0.393319,0.353933,0.420340,22.898
0.345573,0.404119,0.333613,0.422028,16.237
0.328088,0.415910,0.312642,0.421375,8.156
0.310733,0.427876,0.291908,0.419519,2.835
0.291741,0.435385,0.271009,0.418122,3.500
0.270178,0.438284,0.250118,0.416609,4.039
0.248633,0.434917,0.229576,0.412991,4.075
0.228614,0.426139,0.209264,0.408164,3.641
0.208692,0.418156,0.188984,0.403540,3.573
0.188671,0.408573,0.169107,0.397574,3.253
0.170122,0.397168,0.150095,0.389531,3.093
0.153209,0.383157,0.132118,0.379885,3.083
0.136375,0.368697,0.113736,0.370777,3.667
0.123539,0.352280,0.095354,0.358111,7.974
0.111710,0.334905,0.082198,0.343118,11.262
0.094782,0.320472,0.070261,0.326447,9.330
0.077411,0.306483,0.059243,0.308179,4.299
