Shape,Landmark,X,Y
1,1,0.000,0.000
1,2,0.203,0.886
1,3,0.629,0.991
1,4,0.580,0.224
2,1,0.000,0.000
2,2,0.071,0.878
2,3,0.470,1.000
2,4,0.397,0.237
3,1,0.000,0.000
3,2,0.241,0.866
3,3,0.765,1.000
3,4,0.616,0.182
4,1,0.000,0.000
4,2,0.287,0.886
4,3,0.638,0.974
4,4,0.540,0.178
5,1,0.000,0.002
5,2,0.207,0.877
5,3,0.616,1.000
5,4,0.505,0.150
6,1,0.000,0.000
6,2,0.227,0.709
6,3,0.668,1.000
6,4,0.564,0.192
7,1,0.000,0.002
7,2,0.199,0.871
7,3,0.622,1.000
7,4,0.452,0.136
8,1,0.000,0.000
8,2,0.084,0.765
8,3,0.627,1.000
8,4,0.538,0.188
9,1,0.000,0.000
9,2,0.215,0.751
9,3,0.635,1.000
9,4,0.527,0.174
10,1,0.000,0.000
10,2,0.205,0.911
10,3,0.640,0.984
10,4,0.518,0.158
