Shape,Landmark,X,Y
1,1,0.034,0.108
1,2,0.031,0.267
1,3,0.516,0.443
1,4,1.000,0.217
1,5,0.545,0.000
2,1,0.046,0.101
2,2,0.029,0.268
2,3,0.536,0.444
2,4,1.000,0.217
2,5,0.551,0.000
3,1,0.041,0.154
3,2,0.034,0.264
3,3,0.541,0.450
3,4,1.000,0.243
3,5,0.553,0.000
4,1,0.043,0.125
4,2,0.034,0.271
4,3,0.525,0.388
4,4,0.998,0.185
4,5,0.559,0.000
5,1,0.055,0.103
5,2,0.050,0.329
5,3,0.544,0.463
5,4,0.995,0.163
5,5,0.547,0.007
6,1,0.014,0.204
6,2,0.041,0.401
6,3,0.536,0.512
6,4,0.998,0.267
6,5,0.543,0.000
7,1,0.029,0.169
7,2,0.036,0.383
7,3,0.545,0.602
7,4,0.990,0.308
7,5,0.559,0.000
8,1,0.036,0.164
8,2,0.024,0.345
8,3,0.524,0.514
8,4,1.000,0.285
8,5,0.543,0.000
9,1,0.035,0.328
9,2,0.108,0.563
9,3,0.556,0.609
9,4,1.033,0.114
9,5,0.465,0.013
10,1,0.019,0.110
10,2,0.026,0.308
10,3,0.496,0.446
10,4,0.995,0.246
10,5,0.513,0.000
