"SHAPE","LANDMARK","X","Y"
"1",1,"-0.619","0.152"
"2",2,"0.289","0.267"
"3",3,"0.536","-0.100"
"4",4,"-0.207","-0.319"
"1",1,"-0.615","0.089"
"2",2,"0.314","0.270"
"3",3,"0.556","-0.107"
"4",4,"-0.255","-0.253"
"1",1,"-0.604","0.154"
"2",2,"0.245","0.281"
"3",3,"0.566","-0.124"
"4",4,"-0.206","-0.312"
"1",1,"-0.624","0.134"
"2",2,"0.319","0.227"
"3",3,"0.544","-0.064"
"4",4,"-0.238","-0.297"
"1",1,"-0.594","0.121"
"2",2,"0.297","0.254"
"3",3,"0.564","-0.081"
"4",4,"-0.268","-0.294"
"1",1,"-0.603","0.182"
"2",2,"0.179","0.222"
"3",3,"0.628","-0.103"
"4",4,"-0.205","-0.301"
"1",1,"-0.588","0.099"
"2",2,"0.295","0.255"
"3",3,"0.580","-0.086"
"4",4,"-0.287","-0.268"
"1",1,"-0.573","0.153"
"2",2,"0.199","0.308"
"3",3,"0.596","-0.148"
"4",4,"-0.223","-0.313"
"1",1,"-0.598","0.158"
"2",2,"0.216","0.226"
"3",3,"0.615","-0.092"
"4",4,"-0.233","-0.292"
"1",1,"-0.599","0.116"
"2",2,"0.312","0.276"
"3",3,"0.544","-0.094"
"4",4,"-0.257","-0.297"
