Shape,Landmark,X,Y
1,1,0.444,0.000
1,2,0.000,0.148
1,3,0.194,0.704
1,4,0.315,0.991
1,5,0.398,1.000
1,6,0.481,0.991
1,7,0.639,0.704
1,8,0.870,0.176
2,1,0.367,0.000
2,2,0.000,0.156
2,3,0.184,0.694
2,4,0.238,0.925
2,5,0.374,1.000
2,6,0.524,0.912
2,7,0.585,0.701
2,8,0.742,0.156
3,1,0.435,0.000
3,2,0.000,0.194
3,3,0.250,0.722
3,4,0.389,0.981
3,5,0.463,1.000
3,6,0.546,0.991
3,7,0.667,0.713
3,8,0.870,0.157
4,1,0.419,0.000
4,2,0.000,0.141
4,3,0.157,0.763
4,4,0.273,0.924
4,5,0.374,1.000
4,6,0.475,0.894
4,7,0.601,0.758
4,8,0.793,0.177
5,1,0.468,0.000
5,2,0.000,0.145
5,3,0.226,0.758
5,4,0.403,0.984
5,5,0.500,1.000
5,6,0.581,0.984
5,7,0.742,0.726
5,8,0.903,0.113
6,1,0.412,0.000
6,2,0.000,0.145
6,3,0.206,0.745
6,4,0.279,0.952
6,5,0.406,1.000
6,6,0.521,0.958
6,7,0.612,0.745
6,8,0.836,0.145
7,1,0.368,0.000
7,2,0.000,0.152
7,3,0.168,0.752
7,4,0.240,0.940
7,5,0.360,1.000
7,6,0.476,0.952
7,7,0.548,0.756
7,8,0.748,0.192
8,1,0.457,0.000
8,2,0.000,0.145
8,3,0.204,0.801
8,4,0.339,0.959
8,5,0.443,1.000
8,6,0.579,0.955
8,7,0.670,0.796
8,8,0.846,0.131
9,1,0.388,0.000
9,2,0.000,0.082
9,3,0.118,0.729
9,4,0.259,0.953
9,5,0.365,1.000
9,6,0.471,0.965
9,7,0.612,0.753
9,8,0.800,0.129
10,1,0.377,0.000
10,2,0.000,0.156
10,3,0.139,0.763
10,4,0.235,0.962
10,5,0.357,1.000
10,6,0.465,0.952
10,7,0.552,0.748
10,8,0.760,0.151
