Shape,Landmark,X,Y
1,1,0.344,0.003
1,2,0.014,0.541
1,3,0.299,1.000
1,4,0.643,0.551
2,1,0.289,0.000
2,2,0.003,0.546
2,3,0.293,1.000
2,4,0.592,0.576
3,1,0.300,0.000
3,2,0.000,0.527
3,3,0.287,1.000
3,4,0.600,0.583
4,1,0.303,0.000
4,2,0.000,0.556
4,3,0.286,1.000
4,4,0.613,0.596
5,1,0.327,0.000
5,2,0.013,0.550
5,3,0.293,1.000
5,4,0.610,0.593
6,1,0.327,0.003
6,2,0.013,0.556
6,3,0.296,1.000
6,4,0.606,0.589
7,1,0.312,0.000
7,2,0.013,0.543
7,3,0.280,1.000
7,4,0.592,0.569
8,1,0.288,0.000
8,2,0.013,0.579
8,3,0.291,0.997
8,4,0.605,0.579
9,1,0.288,0.000
9,2,0.013,0.579
9,3,0.291,0.997
9,4,0.605,0.579
10,1,0.314,0.003
10,2,0.013,0.579
10,3,0.314,1.000
10,4,0.592,0.582
